"wk","tr","nc","stg","id"
0,"471054940",0.0,"1",4710549401
1,"471054940",0.0,"1",4710549401
2,"471054940",0.0,"1",4710549401
3,"471054940",0.0,"1",4710549401
4,"471054940",0.14,"1",4710549401
5,"471054940",0.0,"1",4710549401
6,"471054940",0.14,"1",4710549401
7,"471054940",0.14,"1",4710549401
8,"471054940",0.0,"1",4710549401
8,"471054940",0.0,"1b",4710549402
9,"471054940",0.0,"1b",4710549402
10,"471054940",0.0,"1b",4710549402
10,"471054940",0.0,"1",4710549403
11,"471054940",0.0,"1",4710549403
12,"471054940",0.0,"1",4710549403
13,"471054940",0.0,"1",4710549403
14,"471054940",0.0,"1",4710549403
15,"471054940",0.0,"1",4710549403
16,"471054940",0.0,"1",4710549403
17,"471054940",0.0,"1",4710549403
18,"471054940",0.0,"1",4710549403
19,"471054940",0.14,"1",4710549403
20,"471054940",0.0,"1",4710549403
20,"471054940",0.0,"1b",4710549404
21,"471054940",0.43,"1b",4710549404
22,"471054940",0.0,"1b",4710549404
22,"471054940",0.0,"1",4710549405
23,"471054940",0.0,"1",4710549405
24,"471054940",0.0,"1",4710549405
25,"471054940",0.0,"1",4710549405
26,"471054940",0.0,"1",4710549405
27,"471054940",0.29,"1",4710549405
28,"471054940",0.29,"1",4710549405
29,"471054940",0.43,"1",4710549405
30,"471054940",1.43,"1",4710549405
31,"471054940",1.71,"1",4710549405
32,"471054940",2.86,"1",4710549405
33,"471054940",7.43,"1",4710549405
34,"471054940",8.14,"1",4710549405
35,"471054940",6.29,"1",4710549405
36,"471054940",4.14,"1",4710549405
37,"471054940",4.71,"1",4710549405
38,"471054940",2.86,"1",4710549405
39,"471054940",3.43,"1",4710549405
40,"471054940",5.86,"1",4710549405
41,"471054940",6.71,"1",4710549405
42,"471054940",4.86,"1",4710549405
43,"471054940",7.14,"1",4710549405
44,"471054940",6.57,"1",4710549405
45,"471054940",3.86,"1",4710549405
46,"471054940",4.57,"1",4710549405
47,"471054940",6.71,"1",4710549405
48,"471054940",3.57,"1",4710549405
49,"471054940",7.0,"1",4710549405
50,"471054940",6.0,"1",4710549405
51,"471054940",4.0,"1",4710549405
52,"471054940",5.29,"1",4710549405
53,"471054940",6.86,"1",4710549405
54,"471054940",6.57,"1",4710549405
55,"471054940",6.57,"1",4710549405
56,"471054940",8.57,"1",4710549405
57,"471054940",8.57,"1",4710549405
58,"471054940",8.57,"1",4710549405
59,"471054940",8.0,"1",4710549405
60,"471054940",7.29,"1",4710549405
61,"471054940",6.57,"1",4710549405
62,"471054940",4.86,"1",4710549405
63,"471054940",5.29,"1",4710549405
64,"471054940",3.43,"1",4710549405
65,"471054940",4.29,"1",4710549405
66,"471054940",4.0,"1",4710549405
67,"471054940",3.71,"1",4710549405
68,"471054940",5.29,"1",4710549405
69,"471054940",5.29,"1",4710549405
70,"471054940",5.0,"1",4710549405
71,"471054940",2.86,"1",4710549405
72,"471054940",2.86,"1",4710549405
73,"471054940",2.57,"1",4710549405
74,"471054940",2.29,"1",4710549405
75,"471054940",5.43,"1",4710549405
76,"471054940",6.0,"1",4710549405
77,"471054940",4.29,"1",4710549405
78,"471054940",6.29,"1",4710549405
79,"471054940",6.29,"1",4710549405
80,"471054940",5.29,"1",4710549405
81,"471054940",4.14,"1",4710549405
81,"471054940",4.14,"1",4711483075
0,"471148307",0.14,"1",4711483075
1,"471148307",0.57,"1",4711483075
1,"471148307",0.57,"1b",4711483076
2,"471148307",0.43,"1b",4711483076
2,"471148307",0.43,"2",4711483077
3,"471148307",0.71,"2",4711483077
4,"471148307",0.29,"2",4711483077
4,"471148307",0.29,"1b",4711483078
5,"471148307",0.29,"1b",4711483078
6,"471148307",0.57,"1b",4711483078
7,"471148307",1.29,"1b",4711483078
7,"471148307",1.29,"2",4711483079
8,"471148307",0.57,"2",4711483079
9,"471148307",0.29,"2",4711483079
9,"471148307",0.29,"1b",47114830710
10,"471148307",0.0,"1b",47114830710
11,"471148307",0.0,"1b",47114830710
11,"471148307",0.0,"1",47114830711
12,"471148307",0.0,"1",47114830711
13,"471148307",0.57,"1",47114830711
13,"471148307",0.57,"1b",47114830712
14,"471148307",0.0,"1b",47114830712
15,"471148307",0.0,"1b",47114830712
15,"471148307",0.0,"1",47114830713
16,"471148307",0.0,"1",47114830713
17,"471148307",0.0,"1",47114830713
18,"471148307",0.14,"1",47114830713
19,"471148307",0.86,"1",47114830713
19,"471148307",0.86,"1b",47114830714
20,"471148307",1.57,"1b",47114830714
20,"471148307",1.57,"2",47114830715
21,"471148307",2.29,"2",47114830715
22,"471148307",1.14,"2",47114830715
23,"471148307",0.71,"2",47114830715
23,"471148307",0.71,"1b",47114830716
24,"471148307",1.0,"1b",47114830716
25,"471148307",1.71,"1b",47114830716
25,"471148307",1.71,"2",47114830717
26,"471148307",0.57,"2",47114830717
27,"471148307",1.0,"2",47114830717
27,"471148307",1.0,"1b",47114830718
28,"471148307",1.0,"1b",47114830718
28,"471148307",1.0,"2",47114830719
