"wk","tr","nc","stg","id"
0,"11431329940",0.0,"1",114313299401
1,"11431329940",0.0,"1",114313299401
2,"11431329940",0.0,"1",114313299401
3,"11431329940",0.43,"1",114313299401
4,"11431329940",3.57,"1",114313299401
4,"11431329940",3.57,"1b",114313299402
5,"11431329940",15.29,"1b",114313299402
5,"11431329940",15.29,"3",114313299403
6,"11431329940",19.71,"3",114313299403
7,"11431329940",16.0,"3",114313299403
8,"11431329940",15.43,"3",114313299403
9,"11431329940",20.57,"3",114313299403
10,"11431329940",28.0,"3",114313299403
11,"11431329940",39.43,"3",114313299403
12,"11431329940",48.57,"3",114313299403
13,"11431329940",60.0,"3",114313299403
13,"11431329940",60.0,"4",114313299404
14,"11431329940",54.86,"4",114313299404
15,"11431329940",33.14,"4",114313299404
16,"11431329940",27.43,"4",114313299404
17,"11431329940",12.57,"4",114313299404
17,"11431329940",12.57,"3",114313299405
18,"11431329940",8.57,"3",114313299405
19,"11431329940",3.86,"3",114313299405
19,"11431329940",3.86,"2",114313299406
20,"11431329940",3.86,"2",114313299406
21,"11431329940",3.57,"2",114313299406
21,"11431329940",3.57,"1b",114313299407
22,"11431329940",4.0,"1b",114313299407
23,"11431329940",3.43,"1b",114313299407
23,"11431329940",3.43,"1",114313299408
24,"11431329940",4.71,"1",114313299408
25,"11431329940",19.57,"1",114313299408
26,"11431329940",56.0,"1",114313299408
26,"11431329940",56.0,"1b",114313299409
27,"11431329940",152.0,"1b",114313299409
27,"11431329940",152.0,"3",1143132994010
28,"11431329940",123.43,"3",1143132994010
28,"11431329940",123.43,"4",1143132994011
29,"11431329940",96.0,"4",1143132994011
30,"11431329940",66.29,"4",1143132994011
30,"11431329940",66.29,"3",1143132994012
31,"11431329940",84.57,"3",1143132994012
32,"11431329940",93.14,"3",1143132994012
32,"11431329940",93.14,"2",1143132994013
33,"11431329940",178.29,"2",1143132994013
34,"11431329940",370.29,"2",1143132994013
34,"11431329940",370.29,"1",1143132994014
35,"11431329940",1209.14,"1",1143132994014
36,"11431329940",3904.0,"1",1143132994014
36,"11431329940",3904.0,"1b",1143132994015
37,"11431329940",10020.57,"1b",1143132994015
37,"11431329940",10020.57,"2",1143132994016
38,"11431329940",14921.14,"2",1143132994016
38,"11431329940",14921.14,"3",1143132994017
39,"11431329940",10971.43,"3",1143132994017
39,"11431329940",10971.43,"4",1143132994018
40,"11431329940",4973.71,"4",1143132994018
41,"11431329940",2669.71,"4",1143132994018
42,"11431329940",1170.29,"4",1143132994018
42,"11431329940",1170.29,"3",1143132994019
43,"11431329940",1462.86,"3",1143132994019
43,"11431329940",1462.86,"4",1143132994020
44,"11431329940",502.86,"4",1143132994020
45,"11431329940",402.29,"4",1143132994020
45,"11431329940",402.29,"3",1143132994021
46,"11431329940",338.29,"3",1143132994021
47,"11431329940",411.43,"3",1143132994021
47,"11431329940",411.43,"2",1143132994022
48,"11431329940",329.14,"2",1143132994022
49,"11431329940",713.14,"2",1143132994022
49,"11431329940",713.14,"1",1143132994023
50,"11431329940",2889.14,"1",1143132994023
50,"11431329940",2889.14,"1b",1143132994024
51,"11431329940",4132.57,"1b",1143132994024
51,"11431329940",4132.57,"2",1143132994025
52,"11431329940",5083.43,"2",1143132994025
52,"11431329940",5083.43,"3",1143132994026
53,"11431329940",2048.0,"3",1143132994026
53,"11431329940",2048.0,"4",1143132994027
54,"11431329940",1462.86,"4",1143132994027
55,"11431329940",1170.29,"4",1143132994027
55,"11431329940",1170.29,"3",1143132994028
56,"11431329940",1280.0,"3",1143132994028
57,"11431329940",1609.14,"3",1143132994028
57,"11431329940",1609.14,"2",1143132994029
58,"11431329940",2194.29,"2",1143132994029
58,"11431329940",2194.29,"3",1143132994030
59,"11431329940",2084.57,"3",1143132994030
59,"11431329940",2084.57,"4",1143132994031
60,"11431329940",1353.14,"4",1143132994031
61,"11431329940",484.57,"4",1143132994031
61,"11431329940",484.57,"3",1143132994032
62,"11431329940",210.29,"3",1143132994032
63,"11431329940",219.43,"3",1143132994032
63,"11431329940",219.43,"2",1143132994033
64,"11431329940",185.14,"2",1143132994033
65,"11431329940",262.86,"2",1143132994033
65,"11431329940",262.86,"1",1143132994034
66,"11431329940",569.14,"1",1143132994034
67,"11431329940",1526.86,"1",1143132994034
68,"11431329940",2898.29,"1",1143132994034
68,"11431329940",2898.29,"1b",1143132994035
69,"11431329940",5193.14,"1b",1143132994035
69,"11431329940",5193.14,"2",1143132994036
70,"11431329940",6363.43,"2",1143132994036
70,"11431329940",6363.43,"3",1143132994037
71,"11431329940",4534.86,"3",1143132994037
71,"11431329940",4534.86,"4",1143132994038
72,"11431329940",2633.14,"4",1143132994038
73,"11431329940",1170.29,"4",1143132994038
73,"11431329940",1170.29,"3",1143132994039
74,"11431329940",777.14,"3",1143132994039
74,"11431329940",777.14,"4",1143132994040
75,"11431329940",438.86,"4",1143132994040
76,"11431329940",219.43,"4",1143132994040
76,"11431329940",219.43,"3",1143132994041
77,"11431329940",148.57,"3",1143132994041
78,"11431329940",98.29,"3",1143132994041
78,"11431329940",98.29,"2",1143132994042
79,"11431329940",144.0,"2",1143132994042
80,"11431329940",226.29,"2",1143132994042
80,"11431329940",226.29,"1b",1143132994043
81,"11431329940",450.29,"1b",1143132994043
81,"11431329940",450.29,"1",1143133352544
0,"11431333525",0.0,"1",1143133352544
1,"11431333525",0.0,"1",1143133352544
2,"11431333525",0.14,"1",1143133352544
3,"11431333525",1.0,"1",1143133352544
4,"11431333525",8.29,"1",1143133352544
4,"11431333525",8.29,"2",1143133352545
5,"11431333525",22.86,"2",1143133352545
5,"11431333525",22.86,"4",1143133352546
6,"11431333525",24.29,"4",1143133352546
7,"11431333525",11.43,"4",1143133352546
7,"11431333525",11.43,"3",1143133352547
8,"11431333525",16.57,"3",1143133352547
9,"11431333525",25.14,"3",1143133352547
10,"11431333525",34.86,"3",1143133352547
11,"11431333525",68.0,"3",1143133352547
11,"11431333525",68.0,"4",1143133352548
12,"11431333525",60.57,"4",1143133352548
13,"11431333525",39.43,"4",1143133352548
14,"11431333525",30.29,"4",1143133352548
15,"11431333525",18.86,"4",1143133352548
15,"11431333525",18.86,"3",1143133352549
16,"11431333525",15.43,"3",1143133352549
17,"11431333525",16.0,"3",1143133352549
17,"11431333525",16.0,"2",1143133352550
18,"11431333525",9.86,"2",1143133352550
19,"11431333525",14.0,"2",1143133352550
19,"11431333525",14.0,"1b",1143133352551
20,"11431333525",19.29,"1b",1143133352551
21,"11431333525",40.71,"1b",1143133352551
21,"11431333525",40.71,"1",1143133352552
22,"11431333525",126.86,"1",1143133352552
22,"11431333525",126.86,"3",1143133352553
23,"11431333525",210.29,"3",1143133352553
23,"11431333525",210.29,"4",1143133352554
24,"11431333525",196.57,"4",1143133352554
25,"11431333525",185.14,"4",1143133352554
26,"11431333525",100.57,"4",1143133352554
27,"11431333525",64.0,"4",1143133352554
28,"11431333525",26.29,"4",1143133352554
29,"11431333525",13.71,"4",1143133352554
29,"11431333525",13.71,"3",1143133352555
30,"11431333525",51.43,"3",1143133352555
31,"11431333525",105.14,"3",1143133352555
31,"11431333525",105.14,"2",1143133352556
32,"11431333525",251.43,"2",1143133352556
33,"11431333525",466.29,"2",1143133352556
33,"11431333525",466.29,"1",1143133352557
34,"11431333525",1481.14,"1",1143133352557
35,"11431333525",3666.29,"1",1143133352557
35,"11431333525",3666.29,"1b",1143133352558
36,"11431333525",6838.86,"1b",1143133352558
36,"11431333525",6838.86,"2",1143133352559
37,"11431333525",13458.29,"2",1143133352559
37,"11431333525",13458.29,"3",1143133352560
38,"11431333525",12580.57,"3",1143133352560
38,"11431333525",12580.57,"4",1143133352561
39,"11431333525",9947.43,"4",1143133352561
40,"11431333525",5558.86,"4",1143133352561
41,"11431333525",1974.86,"4",1143133352561
41,"11431333525",1974.86,"3",1143133352562
42,"11431333525",1206.86,"3",1143133352562
42,"11431333525",1206.86,"4",1143133352563
43,"11431333525",420.57,"4",1143133352563
44,"11431333525",292.57,"4",1143133352563
44,"11431333525",292.57,"3",1143133352564
45,"11431333525",301.71,"3",1143133352564
46,"11431333525",603.43,"3",1143133352564
46,"11431333525",603.43,"2",1143133352565
47,"11431333525",1033.14,"2",1143133352565
48,"11431333525",1380.57,"2",1143133352565
49,"11431333525",1645.71,"2",1143133352565
49,"11431333525",1645.71,"3",1143133352566
50,"11431333525",987.43,"3",1143133352566
50,"11431333525",987.43,"4",1143133352567
51,"11431333525",466.29,"4",1143133352567
52,"11431333525",219.43,"4",1143133352567
52,"11431333525",219.43,"3",1143133352568
53,"11431333525",253.71,"3",1143133352568
54,"11431333525",219.43,"3",1143133352568
54,"11431333525",219.43,"2",1143133352569
55,"11431333525",288.0,"2",1143133352569
56,"11431333525",333.71,"2",1143133352569
56,"11431333525",333.71,"1",1143133352570
57,"11431333525",870.86,"1",1143133352570
58,"11431333525",2971.43,"1",1143133352570
59,"11431333525",8009.14,"1",1143133352570
59,"11431333525",8009.14,"1b",1143133352571
60,"11431333525",16969.14,"1b",1143133352571
60,"11431333525",16969.14,"3",1143133352572
61,"11431333525",15652.57,"3",1143133352572
61,"11431333525",15652.57,"4",1143133352573
62,"11431333525",8777.14,"4",1143133352573
63,"11431333525",3949.71,"4",1143133352573
64,"11431333525",2340.57,"4",1143133352573
65,"11431333525",731.43,"4",1143133352573
65,"11431333525",731.43,"3",1143133352574
66,"11431333525",621.71,"3",1143133352574
66,"11431333525",621.71,"4",1143133352575
67,"11431333525",182.86,"4",1143133352575
68,"11431333525",105.14,"4",1143133352575
68,"11431333525",105.14,"3",1143133352576
69,"11431333525",89.14,"3",1143133352576
70,"11431333525",146.29,"3",1143133352576
70,"11431333525",146.29,"2",1143133352577
71,"11431333525",242.29,"2",1143133352577
71,"11431333525",242.29,"1b",1143133352578
72,"11431333525",468.57,"1b",1143133352578
72,"11431333525",468.57,"1",1143133352579
73,"11431333525",1417.14,"1",1143133352579
74,"11431333525",5257.14,"1",1143133352579
74,"11431333525",5257.14,"1b",1143133352580
75,"11431333525",9728.0,"1b",1143133352580
75,"11431333525",9728.0,"3",1143133352581
76,"11431333525",11849.14,"3",1143133352581
76,"11431333525",11849.14,"4",1143133352582
77,"11431333525",13312.0,"4",1143133352582
78,"11431333525",6290.29,"4",1143133352582
79,"11431333525",2962.29,"4",1143133352582
79,"11431333525",2962.29,"3",1143133352583
80,"11431333525",1097.14,"3",1143133352583
80,"11431333525",1097.14,"4",1143133352584
81,"11431333525",704.0,"4",1143133352584
81,"11431333525",704.0,"1",1143154611685
0,"11431546116",0.0,"1",1143154611685
1,"11431546116",0.0,"1",1143154611685
2,"11431546116",0.0,"1",1143154611685
3,"11431546116",0.0,"1",1143154611685
4,"11431546116",0.14,"1",1143154611685
5,"11431546116",1.14,"1",1143154611685
6,"11431546116",6.71,"1",1143154611685
6,"11431546116",6.71,"2",1143154611686
7,"11431546116",24.71,"2",1143154611686
7,"11431546116",24.71,"3",1143154611687
8,"11431546116",30.57,"3",1143154611687
9,"11431546116",65.71,"3",1143154611687
9,"11431546116",65.71,"4",1143154611688
10,"11431546116",85.14,"4",1143154611688
11,"11431546116",75.43,"4",1143154611688
12,"11431546116",20.57,"4",1143154611688
13,"11431546116",36.0,"4",1143154611688
14,"11431546116",24.57,"4",1143154611688
15,"11431546116",16.57,"4",1143154611688
15,"11431546116",16.57,"3",1143154611689
16,"11431546116",11.43,"3",1143154611689
17,"11431546116",9.0,"3",1143154611689
17,"11431546116",9.0,"2",1143154611690
18,"11431546116",13.14,"2",1143154611690
19,"11431546116",15.71,"2",1143154611690
19,"11431546116",15.71,"1b",1143154611691
20,"11431546116",24.14,"1b",1143154611691
21,"11431546116",41.14,"1b",1143154611691
22,"11431546116",65.14,"1b",1143154611691
22,"11431546116",65.14,"2",1143154611692
23,"11431546116",96.57,"2",1143154611692
23,"11431546116",96.57,"3",1143154611693
24,"11431546116",68.57,"3",1143154611693
24,"11431546116",68.57,"4",1143154611694
25,"11431546116",59.43,"4",1143154611694
26,"11431546116",30.86,"4",1143154611694
27,"11431546116",7.14,"4",1143154611694
27,"11431546116",7.14,"3",1143154611695
28,"11431546116",5.14,"3",1143154611695
29,"11431546116",2.29,"3",1143154611695
29,"11431546116",2.29,"2",1143154611696
30,"11431546116",38.86,"2",1143154611696
31,"11431546116",98.29,"2",1143154611696
31,"11431546116",98.29,"1",1143154611697
32,"11431546116",276.57,"1",1143154611697
33,"11431546116",857.14,"1",1143154611697
34,"11431546116",1956.57,"1",1143154611697
34,"11431546116",1956.57,"1b",1143154611698
35,"11431546116",4388.57,"1b",1143154611698
35,"11431546116",4388.57,"2",1143154611699
36,"11431546116",6253.71,"2",1143154611699
36,"11431546116",6253.71,"3",11431546116100
37,"11431546116",4827.43,"3",11431546116100
37,"11431546116",4827.43,"4",11431546116101
38,"11431546116",2304.0,"4",11431546116101
39,"11431546116",1462.86,"4",11431546116101
39,"11431546116",1462.86,"3",11431546116102
40,"11431546116",1353.14,"3",11431546116102
41,"11431546116",2194.29,"3",11431546116102
41,"11431546116",2194.29,"4",11431546116103
42,"11431546116",1353.14,"4",11431546116103
43,"11431546116",320.0,"4",11431546116103
43,"11431546116",320.0,"3",11431546116104
44,"11431546116",393.14,"3",11431546116104
45,"11431546116",365.71,"3",11431546116104
45,"11431546116",365.71,"2",11431546116105
46,"11431546116",722.29,"2",11431546116105
47,"11431546116",1380.57,"2",11431546116105
47,"11431546116",1380.57,"1",11431546116106
48,"11431546116",4726.86,"1",11431546116106
48,"11431546116",4726.86,"1b",11431546116107
49,"11431546116",10934.86,"1b",11431546116107
49,"11431546116",10934.86,"3",11431546116108
50,"11431546116",10093.71,"3",11431546116108
50,"11431546116",10093.71,"4",11431546116109
51,"11431546116",6290.29,"4",11431546116109
52,"11431546116",3547.43,"4",11431546116109
53,"11431546116",1133.71,"4",11431546116109
53,"11431546116",1133.71,"3",11431546116110
54,"11431546116",557.71,"3",11431546116110
54,"11431546116",557.71,"4",11431546116111
55,"11431546116",393.14,"4",11431546116111
56,"11431546116",121.14,"4",11431546116111
56,"11431546116",121.14,"3",11431546116112
57,"11431546116",57.14,"3",11431546116112
58,"11431546116",68.57,"3",11431546116112
58,"11431546116",68.57,"2",11431546116113
59,"11431546116",71.43,"2",11431546116113
60,"11431546116",116.0,"2",11431546116113
60,"11431546116",116.0,"1",11431546116114
61,"11431546116",240.0,"1",11431546116114
62,"11431546116",770.29,"1",11431546116114
63,"11431546116",2889.14,"1",11431546116114
63,"11431546116",2889.14,"1b",11431546116115
64,"11431546116",7680.0,"1b",11431546116115
64,"11431546116",7680.0,"3",11431546116116
65,"11431546116",9069.71,"3",11431546116116
65,"11431546116",9069.71,"4",11431546116117
66,"11431546116",7314.29,"4",11431546116117
67,"11431546116",3986.29,"4",11431546116117
68,"11431546116",1572.57,"4",11431546116117
68,"11431546116",1572.57,"3",11431546116118
69,"11431546116",2157.71,"3",11431546116118
69,"11431546116",2157.71,"4",11431546116119
70,"11431546116",1718.86,"4",11431546116119
71,"11431546116",758.86,"4",11431546116119
71,"11431546116",758.86,"3",11431546116120
72,"11431546116",438.86,"3",11431546116120
72,"11431546116",438.86,"4",11431546116121
73,"11431546116",356.57,"4",11431546116121
74,"11431546116",105.14,"4",11431546116121
74,"11431546116",105.14,"3",11431546116122
75,"11431546116",116.57,"3",11431546116122
76,"11431546116",153.14,"3",11431546116122
76,"11431546116",153.14,"2",11431546116123
77,"11431546116",272.0,"2",11431546116123
78,"11431546116",288.0,"2",11431546116123
78,"11431546116",288.0,"1",11431546116124
79,"11431546116",740.57,"1",11431546116124
80,"11431546116",1910.86,"1",11431546116124
80,"11431546116",1910.86,"1b",11431546116125
81,"11431546116",3254.86,"1b",11431546116125
81,"11431546116",3254.86,"1",11431933226126
0,"11431933226",0.14,"1",11431933226126
1,"11431933226",1.71,"1",11431933226126
2,"11431933226",9.86,"1",11431933226126
