"wk","tr","nc","stg","id"
0,"2631030464",0.0,"1",26310304641
1,"2631030464",0.0,"1",26310304641
2,"2631030464",0.0,"1",26310304641
3,"2631030464",0.0,"1",26310304641
4,"2631030464",0.0,"1",26310304641
5,"2631030464",0.0,"1",26310304641
6,"2631030464",0.0,"1",26310304641
7,"2631030464",0.0,"1",26310304641
8,"2631030464",0.0,"1",26310304641
9,"2631030464",0.14,"1",26310304641
10,"2631030464",0.0,"1",26310304641
11,"2631030464",0.0,"1",26310304641
12,"2631030464",0.0,"1",26310304641
13,"2631030464",0.0,"1",26310304641
14,"2631030464",0.0,"1",26310304641
15,"2631030464",0.0,"1",26310304641
16,"2631030464",0.0,"1",26310304641
17,"2631030464",0.0,"1",26310304641
18,"2631030464",0.0,"1",26310304641
19,"2631030464",0.14,"1",26310304641
20,"2631030464",0.0,"1",26310304641
21,"2631030464",0.0,"1",26310304641
22,"2631030464",0.14,"1",26310304641
23,"2631030464",0.0,"1",26310304641
24,"2631030464",0.0,"1",26310304641
25,"2631030464",0.0,"1",26310304641
26,"2631030464",0.0,"1",26310304641
27,"2631030464",0.0,"1",26310304641
28,"2631030464",0.0,"1",26310304641
29,"2631030464",0.0,"1",26310304641
30,"2631030464",0.0,"1",26310304641
31,"2631030464",0.14,"1",26310304641
32,"2631030464",0.0,"1",26310304641
33,"2631030464",0.29,"1",26310304641
34,"2631030464",0.57,"1",26310304641
35,"2631030464",0.71,"1",26310304641
36,"2631030464",0.57,"1",26310304641
37,"2631030464",0.86,"1",26310304641
38,"2631030464",1.86,"1",26310304641
39,"2631030464",2.14,"1",26310304641
40,"2631030464",2.71,"1",26310304641
41,"2631030464",5.29,"1",26310304641
42,"2631030464",12.29,"1",26310304641
43,"2631030464",15.43,"1",26310304641
44,"2631030464",14.14,"1",26310304641
45,"2631030464",13.29,"1",26310304641
46,"2631030464",12.0,"1",26310304641
47,"2631030464",10.14,"1",26310304641
48,"2631030464",7.14,"1",26310304641
49,"2631030464",6.14,"1",26310304641
50,"2631030464",5.14,"1",26310304641
51,"2631030464",6.29,"1",26310304641
52,"2631030464",7.57,"1",26310304641
53,"2631030464",8.43,"1",26310304641
54,"2631030464",9.0,"1",26310304641
55,"2631030464",11.71,"1",26310304641
56,"2631030464",10.86,"1",26310304641
57,"2631030464",11.29,"1",26310304641
58,"2631030464",11.86,"1",26310304641
59,"2631030464",11.14,"1",26310304641
60,"2631030464",10.57,"1",26310304641
61,"2631030464",9.43,"1",26310304641
62,"2631030464",14.43,"1",26310304641
63,"2631030464",18.86,"1",26310304641
64,"2631030464",17.0,"1",26310304641
65,"2631030464",13.71,"1",26310304641
66,"2631030464",18.29,"1",26310304641
67,"2631030464",28.57,"1",26310304641
68,"2631030464",28.0,"1",26310304641
69,"2631030464",20.0,"1",26310304641
70,"2631030464",12.57,"1",26310304641
71,"2631030464",5.0,"1",26310304641
72,"2631030464",2.0,"1",26310304641
73,"2631030464",1.71,"1",26310304641
74,"2631030464",0.71,"1",26310304641
75,"2631030464",0.57,"1",26310304641
76,"2631030464",0.86,"1",26310304641
77,"2631030464",0.71,"1",26310304641
78,"2631030464",1.14,"1",26310304641
79,"2631030464",0.43,"1",26310304641
80,"2631030464",1.57,"1",26310304641
81,"2631030464",3.14,"1",26310304641
81,"2631030464",3.14,"1",26311497111
0,"2631149711",0.0,"1",26311497111
1,"2631149711",0.0,"1",26311497111
2,"2631149711",0.14,"1",26311497111
3,"2631149711",0.86,"1",26311497111
3,"2631149711",0.86,"1b",26311497112
4,"2631149711",1.29,"1b",26311497112
4,"2631149711",1.29,"2",26311497113
5,"2631149711",2.14,"2",26311497113
6,"2631149711",0.29,"2",26311497113
6,"2631149711",0.29,"1b",26311497114
7,"2631149711",0.57,"1b",26311497114
8,"2631149711",0.86,"1b",26311497114
9,"2631149711",1.71,"1b",26311497114
9,"2631149711",1.71,"2",26311497115
10,"2631149711",1.43,"2",26311497115
11,"2631149711",1.0,"2",26311497115
12,"2631149711",0.86,"2",26311497115
12,"2631149711",0.86,"1b",26311497116
13,"2631149711",1.43,"1b",26311497116
13,"2631149711",1.43,"2",26311497117
14,"2631149711",1.71,"2",26311497117
15,"2631149711",3.0,"2",26311497117
15,"2631149711",3.0,"1b",26311497118
16,"2631149711",3.71,"1b",26311497118
17,"2631149711",8.86,"1b",26311497118
17,"2631149711",8.86,"1",26311497119
18,"2631149711",16.86,"1",26311497119
19,"2631149711",27.57,"1",26311497119
20,"2631149711",29.14,"1",26311497119
21,"2631149711",33.14,"1",26311497119
22,"2631149711",49.14,"1",26311497119
23,"2631149711",62.29,"1",26311497119
23,"2631149711",62.29,"1b",263114971110
24,"2631149711",62.86,"1b",263114971110
25,"2631149711",82.86,"1b",263114971110
26,"2631149711",73.71,"1b",263114971110
26,"2631149711",73.71,"2",263114971111
27,"2631149711",45.14,"2",263114971111
27,"2631149711",45.14,"3",263114971112
28,"2631149711",22.86,"3",263114971112
29,"2631149711",11.71,"3",263114971112
29,"2631149711",11.71,"2",263114971113
30,"2631149711",3.71,"2",263114971113
31,"2631149711",2.86,"2",263114971113
31,"2631149711",2.86,"1b",263114971114
32,"2631149711",5.29,"1b",263114971114
33,"2631149711",9.86,"1b",263114971114
33,"2631149711",9.86,"1",263114971115
34,"2631149711",15.86,"1",263114971115
35,"2631149711",20.86,"1",263114971115
36,"2631149711",23.71,"1",263114971115
37,"2631149711",24.29,"1",263114971115
38,"2631149711",11.43,"1",263114971115
39,"2631149711",11.86,"1",263114971115
40,"2631149711",9.71,"1",263114971115
41,"2631149711",8.71,"1",263114971115
42,"2631149711",6.57,"1",263114971115
43,"2631149711",12.71,"1",263114971115
44,"2631149711",15.14,"1",263114971115
45,"2631149711",16.14,"1",263114971115
46,"2631149711",22.0,"1",263114971115
47,"2631149711",22.43,"1",263114971115
48,"2631149711",29.14,"1",263114971115
49,"2631149711",38.29,"1",263114971115
50,"2631149711",33.14,"1",263114971115
51,"2631149711",39.43,"1",263114971115
52,"2631149711",45.14,"1",263114971115
53,"2631149711",46.86,"1",263114971115
54,"2631149711",55.43,"1",263114971115
55,"2631149711",79.43,"1",263114971115
56,"2631149711",101.14,"1",263114971115
57,"2631149711",105.14,"1",263114971115
58,"2631149711",121.14,"1",263114971115
59,"2631149711",109.71,"1",263114971115
60,"2631149711",137.14,"1",263114971115
61,"2631149711",157.71,"1",263114971115
62,"2631149711",292.57,"1",263114971115
63,"2631149711",356.57,"1",263114971115
63,"2631149711",356.57,"1b",263114971116
64,"2631149711",246.86,"1b",263114971116
