"wk","tr","nc","stg","id"
0,"1881030464",0.0,"1",18810304641
1,"1881030464",0.0,"1",18810304641
2,"1881030464",0.0,"1",18810304641
3,"1881030464",0.0,"1",18810304641
4,"1881030464",0.0,"1",18810304641
5,"1881030464",0.0,"1",18810304641
6,"1881030464",0.0,"1",18810304641
7,"1881030464",0.0,"1",18810304641
8,"1881030464",0.0,"1",18810304641
9,"1881030464",0.14,"1",18810304641
10,"1881030464",1.43,"1",18810304641
11,"1881030464",3.71,"1",18810304641
11,"1881030464",3.71,"2",18810304642
12,"1881030464",7.0,"2",18810304642
12,"1881030464",7.0,"3",18810304643
13,"1881030464",6.0,"3",18810304643
14,"1881030464",6.14,"3",18810304643
14,"1881030464",6.14,"2",18810304644
15,"1881030464",7.29,"2",18810304644
16,"1881030464",8.86,"2",18810304644
16,"1881030464",8.86,"3",18810304645
17,"1881030464",8.29,"3",18810304645
18,"1881030464",8.29,"3",18810304645
19,"1881030464",7.71,"3",18810304645
20,"1881030464",4.14,"3",18810304645
21,"1881030464",2.86,"3",18810304645
22,"1881030464",2.0,"3",18810304645
22,"1881030464",2.0,"2",18810304646
23,"1881030464",1.29,"2",18810304646
24,"1881030464",0.86,"2",18810304646
25,"1881030464",0.29,"2",18810304646
26,"1881030464",0.29,"2",18810304646
27,"1881030464",0.0,"2",18810304646
27,"1881030464",0.0,"1b",18810304647
28,"1881030464",0.0,"1b",18810304647
29,"1881030464",0.0,"1b",18810304647
29,"1881030464",0.0,"1",18810304648
30,"1881030464",39.0,"1",18810304648
31,"1881030464",99.43,"1",18810304648
31,"1881030464",99.43,"2",18810304649
32,"1881030464",143.43,"2",18810304649
32,"1881030464",143.43,"4",188103046410
33,"1881030464",157.71,"4",188103046410
34,"1881030464",96.0,"4",188103046410
35,"1881030464",84.57,"4",188103046410
36,"1881030464",70.86,"4",188103046410
37,"1881030464",91.43,"4",188103046410
38,"1881030464",91.43,"4",188103046410
38,"1881030464",91.43,"3",188103046411
39,"1881030464",98.29,"3",188103046411
39,"1881030464",98.29,"4",188103046412
40,"1881030464",141.71,"4",188103046412
41,"1881030464",91.43,"4",188103046412
42,"1881030464",66.29,"4",188103046412
42,"1881030464",66.29,"3",188103046413
43,"1881030464",78.29,"3",188103046413
43,"1881030464",78.29,"4",188103046414
44,"1881030464",54.86,"4",188103046414
45,"1881030464",43.43,"4",188103046414
46,"1881030464",50.29,"4",188103046414
47,"1881030464",61.14,"4",188103046414
48,"1881030464",47.43,"4",188103046414
49,"1881030464",53.71,"4",188103046414
49,"1881030464",53.71,"3",188103046415
50,"1881030464",85.71,"3",188103046415
50,"1881030464",85.71,"4",188103046416
51,"1881030464",45.71,"4",188103046416
52,"1881030464",54.86,"4",188103046416
53,"1881030464",45.71,"4",188103046416
53,"1881030464",45.71,"3",188103046417
54,"1881030464",82.29,"3",188103046417
54,"1881030464",82.29,"4",188103046418
55,"1881030464",93.71,"4",188103046418
56,"1881030464",77.71,"4",188103046418
57,"1881030464",64.0,"4",188103046418
58,"1881030464",77.71,"4",188103046418
59,"1881030464",80.0,"4",188103046418
60,"1881030464",75.43,"4",188103046418
61,"1881030464",57.14,"4",188103046418
61,"1881030464",57.14,"3",188103046419
62,"1881030464",77.71,"3",188103046419
63,"1881030464",93.71,"3",188103046419
63,"1881030464",93.71,"4",188103046420
64,"1881030464",75.43,"4",188103046420
65,"1881030464",70.86,"4",188103046420
66,"1881030464",86.86,"4",188103046420
67,"1881030464",84.57,"4",188103046420
68,"1881030464",75.43,"4",188103046420
69,"1881030464",61.14,"4",188103046420
70,"1881030464",50.86,"4",188103046420
70,"1881030464",50.86,"3",188103046421
71,"1881030464",72.57,"3",188103046421
72,"1881030464",53.71,"3",188103046421
72,"1881030464",53.71,"4",188103046422
73,"1881030464",50.29,"4",188103046422
74,"1881030464",48.0,"4",188103046422
75,"1881030464",56.0,"4",188103046422
76,"1881030464",61.71,"4",188103046422
77,"1881030464",60.57,"4",188103046422
78,"1881030464",57.14,"4",188103046422
79,"1881030464",61.14,"4",188103046422
80,"1881030464",58.86,"4",188103046422
81,"1881030464",64.0,"4",188103046422
81,"1881030464",64.0,"1",188114971123
0,"1881149711",0.0,"1",188114971123
1,"1881149711",0.0,"1",188114971123
2,"1881149711",0.14,"1",188114971123
3,"1881149711",0.86,"1",188114971123
3,"1881149711",0.86,"1b",188114971124
4,"1881149711",2.43,"1b",188114971124
4,"1881149711",2.43,"2",188114971125
5,"1881149711",3.43,"2",188114971125
6,"1881149711",9.0,"2",188114971125
7,"1881149711",20.71,"2",188114971125
7,"1881149711",20.71,"3",188114971126
8,"1881149711",23.71,"3",188114971126
8,"1881149711",23.71,"4",188114971127
9,"1881149711",12.0,"4",188114971127
10,"1881149711",8.0,"4",188114971127
10,"1881149711",8.0,"3",188114971128
11,"1881149711",7.29,"3",188114971128
12,"1881149711",5.86,"3",188114971128
12,"1881149711",5.86,"2",188114971129
13,"1881149711",3.57,"2",188114971129
14,"1881149711",3.29,"2",188114971129
15,"1881149711",3.57,"2",188114971129
16,"1881149711",4.29,"2",188114971129
17,"1881149711",2.71,"2",188114971129
18,"1881149711",6.57,"2",188114971129
19,"1881149711",7.14,"2",188114971129
20,"1881149711",8.29,"2",188114971129
21,"1881149711",11.57,"2",188114971129
21,"1881149711",11.57,"3",188114971130
22,"1881149711",7.71,"3",188114971130
23,"1881149711",5.14,"3",188114971130
23,"1881149711",5.14,"2",188114971131
24,"1881149711",4.29,"2",188114971131
25,"1881149711",2.29,"2",188114971131
26,"1881149711",2.86,"2",188114971131
27,"1881149711",1.29,"2",188114971131
28,"1881149711",2.71,"2",188114971131
29,"1881149711",4.43,"2",188114971131
30,"1881149711",35.71,"2",188114971131
31,"1881149711",67.43,"2",188114971131
31,"1881149711",67.43,"1b",188114971132
32,"1881149711",151.43,"1b",188114971132
32,"1881149711",151.43,"2",188114971133
33,"1881149711",196.57,"2",188114971133
33,"1881149711",196.57,"3",188114971134
34,"1881149711",185.14,"3",188114971134
34,"1881149711",185.14,"4",188114971135
35,"1881149711",128.0,"4",188114971135
36,"1881149711",105.14,"4",188114971135
37,"1881149711",82.29,"4",188114971135
38,"1881149711",61.71,"4",188114971135
39,"1881149711",60.0,"4",188114971135
40,"1881149711",57.14,"4",188114971135
41,"1881149711",57.71,"4",188114971135
42,"1881149711",51.43,"4",188114971135
42,"1881149711",51.43,"3",188114971136
43,"1881149711",62.86,"3",188114971136
44,"1881149711",75.43,"3",188114971136
44,"1881149711",75.43,"2",188114971137
45,"1881149711",101.14,"2",188114971137
45,"1881149711",101.14,"3",188114971138
46,"1881149711",105.14,"3",188114971138
46,"1881149711",105.14,"4",188114971139
47,"1881149711",52.57,"4",188114971139
48,"1881149711",49.14,"4",188114971139
48,"1881149711",49.14,"3",188114971140
49,"1881149711",54.86,"3",188114971140
50,"1881149711",85.71,"3",188114971140
51,"1881149711",85.14,"3",188114971140
51,"1881149711",85.14,"4",188114971141
52,"1881149711",52.57,"4",188114971141
53,"1881149711",39.43,"4",188114971141
54,"1881149711",44.0,"4",188114971141
54,"1881149711",44.0,"3",188114971142
55,"1881149711",56.0,"3",188114971142
56,"1881149711",60.0,"3",188114971142
57,"1881149711",95.43,"3",188114971142
57,"1881149711",95.43,"4",188114971143
58,"1881149711",73.14,"4",188114971143
59,"1881149711",59.43,"4",188114971143
60,"1881149711",54.86,"4",188114971143
60,"1881149711",54.86,"3",188114971144
61,"1881149711",69.14,"3",188114971144
61,"1881149711",69.14,"4",188114971145
62,"1881149711",70.86,"4",188114971145
63,"1881149711",58.29,"4",188114971145
64,"1881149711",58.29,"4",188114971145
64,"1881149711",58.29,"3",188114971146
65,"1881149711",69.14,"3",188114971146
66,"1881149711",85.71,"3",188114971146
66,"1881149711",85.71,"4",188114971147
67,"1881149711",61.14,"4",188114971147
68,"1881149711",60.0,"4",188114971147
68,"1881149711",60.0,"3",188114971148
69,"1881149711",72.0,"3",188114971148
70,"1881149711",73.71,"3",188114971148
71,"1881149711",98.29,"3",188114971148
71,"1881149711",98.29,"4",188114971149
72,"1881149711",73.14,"4",188114971149
73,"1881149711",45.14,"4",188114971149
74,"1881149711",46.86,"4",188114971149
74,"1881149711",46.86,"3",188114971150
75,"1881149711",55.43,"3",188114971150
76,"1881149711",76.57,"3",188114971150
77,"1881149711",79.43,"3",188114971150
78,"1881149711",98.86,"3",188114971150
78,"1881149711",98.86,"4",188114971151
79,"1881149711",100.57,"4",188114971151
80,"1881149711",73.14,"4",188114971151
81,"1881149711",51.43,"4",188114971151
81,"1881149711",51.43,"1",188116045352
0,"1881160453",0.0,"1",188116045352
1,"1881160453",0.0,"1",188116045352
2,"1881160453",0.0,"1",188116045352
3,"1881160453",0.29,"1",188116045352
4,"1881160453",0.57,"1",188116045352
4,"1881160453",0.57,"1b",188116045353
5,"1881160453",1.0,"1b",188116045353
5,"1881160453",1.0,"2",188116045354
6,"1881160453",1.86,"2",188116045354
7,"1881160453",10.43,"2",188116045354
8,"1881160453",33.0,"2",188116045354
8,"1881160453",33.0,"3",188116045355
9,"1881160453",74.29,"3",188116045355
10,"1881160453",120.57,"3",188116045355
10,"1881160453",120.57,"4",188116045356
11,"1881160453",102.86,"4",188116045356
12,"1881160453",100.57,"4",188116045356
13,"1881160453",75.43,"4",188116045356
13,"1881160453",75.43,"3",188116045357
14,"1881160453",80.0,"3",188116045357
14,"1881160453",80.0,"4",188116045358
15,"1881160453",64.0,"4",188116045358
16,"1881160453",41.71,"4",188116045358
17,"1881160453",37.14,"4",188116045358
18,"1881160453",15.43,"4",188116045358
18,"1881160453",15.43,"3",188116045359
19,"1881160453",20.0,"3",188116045359
20,"1881160453",9.57,"3",188116045359
21,"1881160453",6.57,"3",188116045359
22,"1881160453",5.29,"3",188116045359
22,"1881160453",5.29,"2",188116045360
23,"1881160453",6.43,"2",188116045360
24,"1881160453",12.14,"2",188116045360
25,"1881160453",15.14,"2",188116045360
25,"1881160453",15.14,"3",188116045361
26,"1881160453",13.0,"3",188116045361
27,"1881160453",10.57,"3",188116045361
28,"1881160453",6.71,"3",188116045361
29,"1881160453",5.0,"3",188116045361
29,"1881160453",5.0,"2",188116045362
30,"1881160453",41.71,"2",188116045362
31,"1881160453",86.29,"2",188116045362
31,"1881160453",86.29,"3",188116045363
32,"1881160453",140.0,"3",188116045363
32,"1881160453",140.0,"4",188116045364
33,"1881160453",141.71,"4",188116045364
34,"1881160453",141.71,"4",188116045364
35,"1881160453",96.0,"4",188116045364
36,"1881160453",89.14,"4",188116045364
37,"1881160453",96.0,"4",188116045364
38,"1881160453",84.57,"4",188116045364
39,"1881160453",82.29,"4",188116045364
40,"1881160453",82.29,"4",188116045364
41,"1881160453",55.43,"4",188116045364
42,"1881160453",75.43,"4",188116045364
43,"1881160453",79.43,"4",188116045364
44,"1881160453",96.0,"4",188116045364
45,"1881160453",77.71,"4",188116045364
45,"1881160453",77.71,"3",188116045365
46,"1881160453",123.43,"3",188116045365
47,"1881160453",208.0,"3",188116045365
47,"1881160453",208.0,"4",188116045366
48,"1881160453",139.43,"4",188116045366
49,"1881160453",109.71,"4",188116045366
50,"1881160453",98.29,"4",188116045366
51,"1881160453",98.29,"4",188116045366
52,"1881160453",100.57,"4",188116045366
53,"1881160453",118.86,"4",188116045366
54,"1881160453",157.71,"4",188116045366
55,"1881160453",118.86,"4",188116045366
56,"1881160453",100.57,"4",188116045366
57,"1881160453",116.57,"4",188116045366
58,"1881160453",109.71,"4",188116045366
59,"1881160453",102.86,"4",188116045366
60,"1881160453",70.86,"4",188116045366
61,"1881160453",68.0,"4",188116045366
62,"1881160453",59.43,"4",188116045366
63,"1881160453",65.71,"4",188116045366
64,"1881160453",63.43,"4",188116045366
65,"1881160453",73.14,"4",188116045366
66,"1881160453",74.29,"4",188116045366
67,"1881160453",61.14,"4",188116045366
68,"1881160453",80.57,"4",188116045366
68,"1881160453",80.57,"3",188116045367
69,"1881160453",98.29,"3",188116045367
69,"1881160453",98.29,"4",188116045368
70,"1881160453",98.29,"4",188116045368
71,"1881160453",86.86,"4",188116045368
72,"1881160453",77.71,"4",188116045368
73,"1881160453",86.86,"4",188116045368
73,"1881160453",86.86,"3",188116045369
74,"1881160453",98.29,"3",188116045369
74,"1881160453",98.29,"4",188116045370
75,"1881160453",118.86,"4",188116045370
76,"1881160453",100.57,"4",188116045370
77,"1881160453",75.43,"4",188116045370
78,"1881160453",56.57,"4",188116045370
79,"1881160453",64.0,"4",188116045370
80,"1881160453",68.57,"4",188116045370
81,"1881160453",72.0,"4",188116045370
81,"1881160453",72.0,"1",188126176771
0,"1881261767",0.14,"1",188126176771
1,"1881261767",0.14,"1",188126176771
2,"1881261767",1.43,"1",188126176771
3,"1881261767",13.0,"1",188126176771
3,"1881261767",13.0,"2",188126176772
4,"1881261767",41.86,"2",188126176772
4,"1881261767",41.86,"3",188126176773
5,"1881261767",63.43,"3",188126176773
5,"1881261767",63.43,"4",188126176774
6,"1881261767",89.14,"4",188126176774
7,"1881261767",93.71,"4",188126176774
8,"1881261767",75.43,"4",188126176774
9,"1881261767",73.14,"4",188126176774
10,"1881261767",41.14,"4",188126176774
11,"1881261767",52.57,"4",188126176774
12,"1881261767",91.43,"4",188126176774
13,"1881261767",100.57,"4",188126176774
14,"1881261767",91.43,"4",188126176774
15,"1881261767",86.86,"4",188126176774
16,"1881261767",114.29,"4",188126176774
17,"1881261767",75.43,"4",188126176774
18,"1881261767",68.57,"4",188126176774
19,"1881261767",45.71,"4",188126176774
20,"1881261767",25.71,"4",188126176774
20,"1881261767",25.71,"3",188126176775
21,"1881261767",18.86,"3",188126176775
22,"1881261767",12.86,"3",188126176775
23,"1881261767",8.29,"3",188126176775
24,"1881261767",4.57,"3",188126176775
24,"1881261767",4.57,"2",188126176776
25,"1881261767",3.14,"2",188126176776
26,"1881261767",10.29,"2",188126176776
26,"1881261767",10.29,"3",188126176777
27,"1881261767",14.86,"3",188126176777
28,"1881261767",8.29,"3",188126176777
29,"1881261767",9.0,"3",188126176777
29,"1881261767",9.0,"2",188126176778
30,"1881261767",37.14,"2",188126176778
31,"1881261767",79.43,"2",188126176778
31,"1881261767",79.43,"1b",188126176779
32,"1881261767",196.57,"1b",188126176779
32,"1881261767",196.57,"3",188126176780
33,"1881261767",333.71,"3",188126176780
33,"1881261767",333.71,"4",188126176781
34,"1881261767",418.29,"4",188126176781
35,"1881261767",246.86,"4",188126176781
36,"1881261767",224.0,"4",188126176781
37,"1881261767",141.71,"4",188126176781
38,"1881261767",121.14,"4",188126176781
39,"1881261767",123.43,"4",188126176781
40,"1881261767",134.86,"4",188126176781
41,"1881261767",105.14,"4",188126176781
42,"1881261767",150.86,"4",188126176781
43,"1881261767",198.86,"4",188126176781
44,"1881261767",114.29,"4",188126176781
45,"1881261767",146.29,"4",188126176781
46,"1881261767",102.86,"4",188126176781
47,"1881261767",109.71,"4",188126176781
48,"1881261767",91.43,"4",188126176781
49,"1881261767",80.0,"4",188126176781
50,"1881261767",84.57,"4",188126176781
51,"1881261767",114.29,"4",188126176781
52,"1881261767",114.29,"4",188126176781
53,"1881261767",121.14,"4",188126176781
54,"1881261767",98.29,"4",188126176781
55,"1881261767",57.14,"4",188126176781
56,"1881261767",70.29,"4",188126176781
57,"1881261767",69.14,"4",188126176781
58,"1881261767",64.0,"4",188126176781
59,"1881261767",73.71,"4",188126176781
60,"1881261767",65.71,"4",188126176781
61,"1881261767",43.43,"4",188126176781
62,"1881261767",68.57,"4",188126176781
63,"1881261767",92.0,"4",188126176781
64,"1881261767",82.29,"4",188126176781
65,"1881261767",75.43,"4",188126176781
66,"1881261767",57.14,"4",188126176781
67,"1881261767",60.0,"4",188126176781
68,"1881261767",66.29,"4",188126176781
69,"1881261767",68.0,"4",188126176781
70,"1881261767",75.43,"4",188126176781
71,"1881261767",85.71,"4",188126176781
72,"1881261767",130.29,"4",188126176781
73,"1881261767",107.43,"4",188126176781
74,"1881261767",121.14,"4",188126176781
75,"1881261767",144.0,"4",188126176781
76,"1881261767",96.0,"4",188126176781
77,"1881261767",102.86,"4",188126176781
78,"1881261767",109.71,"4",188126176781
79,"1881261767",61.71,"4",188126176781
80,"1881261767",86.86,"4",188126176781
81,"1881261767",93.71,"4",188126176781
81,"1881261767",93.71,"1",188128665382
0,"1881286653",0.0,"1",188128665382
1,"1881286653",0.29,"1",188128665382
2,"1881286653",0.57,"1",188128665382
3,"1881286653",3.57,"1",188128665382
3,"1881286653",3.57,"2",188128665383
