"wk","tr","nc","stg","id"
0,"4201030464",0.0,"1",42010304641
1,"4201030464",0.0,"1",42010304641
2,"4201030464",0.0,"1",42010304641
3,"4201030464",0.0,"1",42010304641
4,"4201030464",0.0,"1",42010304641
5,"4201030464",0.0,"1",42010304641
6,"4201030464",0.0,"1",42010304641
7,"4201030464",0.0,"1",42010304641
8,"4201030464",0.0,"1",42010304641
9,"4201030464",0.14,"1",42010304641
10,"4201030464",0.0,"1",42010304641
11,"4201030464",0.0,"1",42010304641
12,"4201030464",0.0,"1",42010304641
13,"4201030464",0.0,"1",42010304641
14,"4201030464",0.0,"1",42010304641
15,"4201030464",0.0,"1",42010304641
16,"4201030464",0.0,"1",42010304641
17,"4201030464",0.0,"1",42010304641
18,"4201030464",0.0,"1",42010304641
19,"4201030464",0.14,"1",42010304641
20,"4201030464",0.0,"1",42010304641
21,"4201030464",0.0,"1",42010304641
22,"4201030464",0.14,"1",42010304641
23,"4201030464",0.14,"1",42010304641
24,"4201030464",0.0,"1",42010304641
25,"4201030464",0.0,"1",42010304641
26,"4201030464",0.0,"1",42010304641
27,"4201030464",0.0,"1",42010304641
28,"4201030464",0.0,"1",42010304641
29,"4201030464",0.0,"1",42010304641
30,"4201030464",6.43,"1",42010304641
31,"4201030464",11.86,"1",42010304641
32,"4201030464",20.86,"1",42010304641
33,"4201030464",20.0,"1",42010304641
34,"4201030464",34.86,"1",42010304641
35,"4201030464",58.86,"1",42010304641
36,"4201030464",69.71,"1",42010304641
37,"4201030464",70.86,"1",42010304641
38,"4201030464",148.57,"1",42010304641
39,"4201030464",189.71,"1",42010304641
40,"4201030464",192.0,"1",42010304641
41,"4201030464",274.29,"1",42010304641
42,"4201030464",244.57,"1",42010304641
43,"4201030464",292.57,"1",42010304641
44,"4201030464",374.86,"1",42010304641
45,"4201030464",603.43,"1",42010304641
46,"4201030464",603.43,"1",42010304641
47,"4201030464",731.43,"1",42010304641
48,"4201030464",694.86,"1",42010304641
49,"4201030464",1024.0,"1",42010304641
50,"4201030464",1380.57,"1",42010304641
50,"4201030464",1380.57,"1b",42010304642
51,"4201030464",1280.0,"1b",42010304642
52,"4201030464",1609.14,"1b",42010304642
52,"4201030464",1609.14,"1",42010304643
53,"4201030464",2194.29,"1",42010304643
54,"4201030464",2706.29,"1",42010304643
54,"4201030464",2706.29,"1b",42010304644
55,"4201030464",2962.29,"1b",42010304644
55,"4201030464",2962.29,"2",42010304645
56,"4201030464",2194.29,"2",42010304645
56,"4201030464",2194.29,"3",42010304646
57,"4201030464",877.71,"3",42010304646
58,"4201030464",658.29,"3",42010304646
58,"4201030464",658.29,"2",42010304647
59,"4201030464",201.14,"2",42010304647
59,"4201030464",201.14,"3",42010304648
60,"4201030464",123.43,"3",42010304648
61,"4201030464",36.57,"3",42010304648
61,"4201030464",36.57,"2",42010304649
62,"4201030464",18.86,"2",42010304649
63,"4201030464",15.43,"2",42010304649
63,"4201030464",15.43,"1",420103046410
64,"4201030464",12.86,"1",420103046410
65,"4201030464",9.29,"1",420103046410
66,"4201030464",11.71,"1",420103046410
67,"4201030464",16.0,"1",420103046410
68,"4201030464",19.57,"1",420103046410
69,"4201030464",13.71,"1",420103046410
70,"4201030464",17.43,"1",420103046410
71,"4201030464",17.86,"1",420103046410
72,"4201030464",17.86,"1",420103046410
73,"4201030464",11.14,"1",420103046410
74,"4201030464",12.86,"1",420103046410
75,"4201030464",19.43,"1",420103046410
76,"4201030464",13.71,"1",420103046410
77,"4201030464",14.0,"1",420103046410
78,"4201030464",16.71,"1",420103046410
79,"4201030464",16.43,"1",420103046410
80,"4201030464",28.57,"1",420103046410
81,"4201030464",41.14,"1",420103046410
81,"4201030464",41.14,"1",420114971110
0,"4201149711",0.0,"1",420114971110
1,"4201149711",0.0,"1",420114971110
2,"4201149711",0.29,"1",420114971110
3,"4201149711",0.0,"1",420114971110
4,"4201149711",0.71,"1",420114971110
5,"4201149711",2.57,"1",420114971110
5,"4201149711",2.57,"2",420114971111
6,"4201149711",3.29,"2",420114971111
7,"4201149711",2.71,"2",420114971111
7,"4201149711",2.71,"1b",420114971112
8,"4201149711",8.57,"1b",420114971112
8,"4201149711",8.57,"2",420114971113
9,"4201149711",9.86,"2",420114971113
9,"4201149711",9.86,"3",420114971114
10,"4201149711",9.29,"3",420114971114
11,"4201149711",10.14,"3",420114971114
12,"4201149711",4.57,"3",420114971114
12,"4201149711",4.57,"2",420114971115
13,"4201149711",2.14,"2",420114971115
14,"4201149711",1.57,"2",420114971115
14,"4201149711",1.57,"1b",420114971116
15,"4201149711",2.71,"1b",420114971116
16,"4201149711",1.57,"1b",420114971116
16,"4201149711",1.57,"1",420114971117
17,"4201149711",0.57,"1",420114971117
18,"4201149711",0.14,"1",420114971117
19,"4201149711",0.57,"1",420114971117
20,"4201149711",0.0,"1",420114971117
21,"4201149711",0.0,"1",420114971117
22,"4201149711",0.0,"1",420114971117
23,"4201149711",0.0,"1",420114971117
24,"4201149711",0.0,"1",420114971117
25,"4201149711",0.43,"1",420114971117
26,"4201149711",0.43,"1",420114971117
27,"4201149711",0.29,"1",420114971117
28,"4201149711",1.29,"1",420114971117
29,"4201149711",0.57,"1",420114971117
30,"4201149711",7.86,"1",420114971117
31,"4201149711",16.14,"1",420114971117
32,"4201149711",19.86,"1",420114971117
33,"4201149711",27.14,"1",420114971117
34,"4201149711",38.86,"1",420114971117
35,"4201149711",46.86,"1",420114971117
36,"4201149711",66.29,"1",420114971117
37,"4201149711",88.0,"1",420114971117
38,"4201149711",75.43,"1",420114971117
39,"4201149711",93.71,"1",420114971117
40,"4201149711",50.29,"1",420114971117
41,"4201149711",49.14,"1",420114971117
42,"4201149711",38.29,"1",420114971117
43,"4201149711",58.29,"1",420114971117
44,"4201149711",49.14,"1",420114971117
45,"4201149711",56.57,"1",420114971117
46,"4201149711",61.14,"1",420114971117
47,"4201149711",77.14,"1",420114971117
48,"4201149711",76.0,"1",420114971117
49,"4201149711",73.71,"1",420114971117
50,"4201149711",43.43,"1",420114971117
51,"4201149711",61.71,"1",420114971117
52,"4201149711",166.86,"1",420114971117
53,"4201149711",153.14,"1",420114971117
54,"4201149711",196.57,"1",420114971117
55,"4201149711",274.29,"1",420114971117
56,"4201149711",278.86,"1",420114971117
57,"4201149711",310.86,"1",420114971117
58,"4201149711",418.29,"1",420114971117
59,"4201149711",585.14,"1",420114971117
60,"4201149711",1170.29,"1",420114971117
61,"4201149711",1664.0,"1",420114971117
61,"4201149711",1664.0,"1b",420114971118
62,"4201149711",603.43,"1b",420114971118
62,"4201149711",603.43,"2",420114971119
63,"4201149711",429.71,"2",420114971119
64,"4201149711",256.0,"2",420114971119
64,"4201149711",256.0,"1",420114971120
65,"4201149711",219.43,"1",420114971120
66,"4201149711",269.71,"1",420114971120
67,"4201149711",205.71,"1",420114971120
68,"4201149711",221.71,"1",420114971120
69,"4201149711",304.0,"1",420114971120
70,"4201149711",292.57,"1",420114971120
71,"4201149711",164.57,"1",420114971120
72,"4201149711",109.71,"1",420114971120
73,"4201149711",137.14,"1",420114971120
74,"4201149711",132.57,"1",420114971120
75,"4201149711",166.86,"1",420114971120
76,"4201149711",221.71,"1",420114971120
77,"4201149711",251.43,"1",420114971120
78,"4201149711",262.86,"1",420114971120
79,"4201149711",249.14,"1",420114971120
80,"4201149711",169.14,"1",420114971120
81,"4201149711",171.43,"1",420114971120
81,"4201149711",171.43,"1",420116045320
0,"4201160453",0.0,"1",420116045320
1,"4201160453",0.0,"1",420116045320
2,"4201160453",0.0,"1",420116045320
3,"4201160453",0.29,"1",420116045320
4,"4201160453",1.0,"1",420116045320
5,"4201160453",6.29,"1",420116045320
5,"4201160453",6.29,"2",420116045321
6,"4201160453",7.57,"2",420116045321
6,"4201160453",7.57,"3",420116045322
7,"4201160453",7.0,"3",420116045322
8,"4201160453",3.57,"3",420116045322
8,"4201160453",3.57,"2",420116045323
9,"4201160453",2.57,"2",420116045323
10,"4201160453",1.57,"2",420116045323
11,"4201160453",1.29,"2",420116045323
12,"4201160453",0.71,"2",420116045323
13,"4201160453",0.14,"2",420116045323
13,"4201160453",0.14,"1b",420116045324
14,"4201160453",0.43,"1b",420116045324
15,"4201160453",0.71,"1b",420116045324
15,"4201160453",0.71,"1",420116045325
16,"4201160453",0.14,"1",420116045325
17,"4201160453",0.29,"1",420116045325
18,"4201160453",0.43,"1",420116045325
19,"4201160453",0.0,"1",420116045325
20,"4201160453",0.0,"1",420116045325
21,"4201160453",0.0,"1",420116045325
22,"4201160453",0.14,"1",420116045325
23,"4201160453",0.0,"1",420116045325
24,"4201160453",0.0,"1",420116045325
25,"4201160453",0.0,"1",420116045325
26,"4201160453",0.0,"1",420116045325
27,"4201160453",0.29,"1",420116045325
28,"4201160453",0.43,"1",420116045325
29,"4201160453",2.14,"1",420116045325
30,"4201160453",13.57,"1",420116045325
31,"4201160453",27.29,"1",420116045325
32,"4201160453",46.86,"1",420116045325
33,"4201160453",58.86,"1",420116045325
34,"4201160453",71.43,"1",420116045325
35,"4201160453",86.29,"1",420116045325
36,"4201160453",93.71,"1",420116045325
37,"4201160453",246.86,"1",420116045325
38,"4201160453",436.57,"1",420116045325
39,"4201160453",667.43,"1",420116045325
40,"4201160453",932.57,"1",420116045325
41,"4201160453",1581.71,"1",420116045325
41,"4201160453",1581.71,"1b",420116045326
42,"4201160453",2084.57,"1b",420116045326
43,"4201160453",3437.71,"1b",420116045326
43,"4201160453",3437.71,"2",420116045327
44,"4201160453",3510.86,"2",420116045327
44,"4201160453",3510.86,"3",420116045328
45,"4201160453",2596.57,"3",420116045328
45,"4201160453",2596.57,"4",420116045329
46,"4201160453",877.71,"4",420116045329
47,"4201160453",347.43,"4",420116045329
47,"4201160453",347.43,"3",420116045330
48,"4201160453",182.86,"3",420116045330
49,"4201160453",84.57,"3",420116045330
49,"4201160453",84.57,"2",420116045331
50,"4201160453",59.43,"2",420116045331
51,"4201160453",24.0,"2",420116045331
51,"4201160453",24.0,"1",420116045332
52,"4201160453",30.29,"1",420116045332
53,"4201160453",61.14,"1",420116045332
54,"4201160453",129.71,"1",420116045332
55,"4201160453",130.29,"1",420116045332
56,"4201160453",100.57,"1",420116045332
57,"4201160453",166.86,"1",420116045332
58,"4201160453",240.0,"1",420116045332
59,"4201160453",429.71,"1",420116045332
60,"4201160453",1133.71,"1",420116045332
61,"4201160453",1572.57,"1",420116045332
61,"4201160453",1572.57,"1b",420116045333
62,"4201160453",1938.29,"1b",420116045333
63,"4201160453",1609.14,"1b",420116045333
63,"4201160453",1609.14,"2",420116045334
64,"4201160453",1353.14,"2",420116045334
64,"4201160453",1353.14,"3",420116045335
65,"4201160453",621.71,"3",420116045335
65,"4201160453",621.71,"4",420116045336
66,"4201160453",219.43,"4",420116045336
67,"4201160453",93.71,"4",420116045336
67,"4201160453",93.71,"3",420116045337
68,"4201160453",29.14,"3",420116045337
69,"4201160453",22.86,"3",420116045337
69,"4201160453",22.86,"2",420116045338
70,"4201160453",8.86,"2",420116045338
71,"4201160453",10.14,"2",420116045338
71,"4201160453",10.14,"1b",420116045339
72,"4201160453",15.86,"1b",420116045339
72,"4201160453",15.86,"1",420116045340
73,"4201160453",38.0,"1",420116045340
74,"4201160453",44.57,"1",420116045340
75,"4201160453",60.57,"1",420116045340
76,"4201160453",94.29,"1",420116045340
77,"4201160453",173.71,"1",420116045340
78,"4201160453",363.43,"1",420116045340
