"wk","tr","nc","stg","id"
0,"3081030464",0.0,"1",30810304641
1,"3081030464",0.0,"1",30810304641
2,"3081030464",0.0,"1",30810304641
3,"3081030464",0.0,"1",30810304641
4,"3081030464",0.0,"1",30810304641
5,"3081030464",0.0,"1",30810304641
6,"3081030464",0.0,"1",30810304641
7,"3081030464",0.0,"1",30810304641
8,"3081030464",0.0,"1",30810304641
9,"3081030464",0.14,"1",30810304641
10,"3081030464",0.86,"1",30810304641
11,"3081030464",1.43,"1",30810304641
11,"3081030464",1.43,"2",30810304642
12,"3081030464",1.14,"2",30810304642
13,"3081030464",0.71,"2",30810304642
13,"3081030464",0.71,"1b",30810304643
14,"3081030464",0.43,"1b",30810304643
15,"3081030464",0.14,"1b",30810304643
15,"3081030464",0.14,"1",30810304644
16,"3081030464",0.0,"1",30810304644
17,"3081030464",0.0,"1",30810304644
18,"3081030464",0.0,"1",30810304644
19,"3081030464",0.14,"1",30810304644
20,"3081030464",0.0,"1",30810304644
21,"3081030464",0.0,"1",30810304644
22,"3081030464",0.14,"1",30810304644
23,"3081030464",0.0,"1",30810304644
24,"3081030464",0.14,"1",30810304644
25,"3081030464",0.29,"1",30810304644
26,"3081030464",0.29,"1",30810304644
27,"3081030464",0.0,"1",30810304644
28,"3081030464",0.0,"1",30810304644
29,"3081030464",0.0,"1",30810304644
30,"3081030464",35.29,"1",30810304644
31,"3081030464",68.0,"1",30810304644
32,"3081030464",90.86,"1",30810304644
33,"3081030464",114.29,"1",30810304644
34,"3081030464",171.43,"1",30810304644
35,"3081030464",354.29,"1",30810304644
36,"3081030464",427.43,"1",30810304644
36,"3081030464",427.43,"1b",30810304645
37,"3081030464",685.71,"1b",30810304645
37,"3081030464",685.71,"2",30810304646
38,"3081030464",777.14,"2",30810304646
38,"3081030464",777.14,"3",30810304647
39,"3081030464",704.0,"3",30810304647
39,"3081030464",704.0,"4",30810304648
40,"3081030464",457.14,"4",30810304648
41,"3081030464",265.14,"4",30810304648
42,"3081030464",130.29,"4",30810304648
42,"3081030464",130.29,"3",30810304649
43,"3081030464",102.86,"3",30810304649
