"wk","tr","nc","stg","id"
0,"7481054940",0.0,"1",74810549401
1,"7481054940",0.0,"1",74810549401
2,"7481054940",0.0,"1",74810549401
3,"7481054940",0.0,"1",74810549401
4,"7481054940",0.14,"1",74810549401
5,"7481054940",0.14,"1",74810549401
5,"7481054940",0.14,"1b",74810549402
6,"7481054940",0.57,"1b",74810549402
7,"7481054940",1.29,"1b",74810549402
8,"7481054940",2.86,"1b",74810549402
8,"7481054940",2.86,"2",74810549403
9,"7481054940",2.57,"2",74810549403
10,"7481054940",1.29,"2",74810549403
11,"7481054940",1.71,"2",74810549403
12,"7481054940",0.57,"2",74810549403
12,"7481054940",0.57,"1b",74810549404
13,"7481054940",1.0,"1b",74810549404
14,"7481054940",0.29,"1b",74810549404
14,"7481054940",0.29,"1",74810549405
15,"7481054940",0.14,"1",74810549405
16,"7481054940",0.14,"1",74810549405
17,"7481054940",0.0,"1",74810549405
18,"7481054940",0.0,"1",74810549405
19,"7481054940",0.29,"1",74810549405
20,"7481054940",0.0,"1",74810549405
21,"7481054940",0.43,"1",74810549405
22,"7481054940",0.14,"1",74810549405
23,"7481054940",0.29,"1",74810549405
24,"7481054940",0.0,"1",74810549405
25,"7481054940",0.0,"1",74810549405
26,"7481054940",0.0,"1",74810549405
27,"7481054940",0.29,"1",74810549405
28,"7481054940",1.29,"1",74810549405
29,"7481054940",3.57,"1",74810549405
30,"7481054940",48.14,"1",74810549405
31,"7481054940",172.57,"1",74810549405
32,"7481054940",326.86,"1",74810549405
32,"7481054940",326.86,"1b",74810549406
33,"7481054940",509.71,"1b",74810549406
33,"7481054940",509.71,"2",74810549407
34,"7481054940",603.43,"2",74810549407
34,"7481054940",603.43,"3",74810549408
35,"7481054940",438.86,"3",74810549408
35,"7481054940",438.86,"4",74810549409
36,"7481054940",141.71,"4",74810549409
37,"7481054940",91.43,"4",74810549409
37,"7481054940",91.43,"3",748105494010
38,"7481054940",128.0,"3",748105494010
39,"7481054940",125.71,"3",748105494010
40,"7481054940",139.43,"3",748105494010
41,"7481054940",157.71,"3",748105494010
41,"7481054940",157.71,"2",748105494011
42,"7481054940",116.57,"2",748105494011
43,"7481054940",187.43,"2",748105494011
44,"7481054940",297.14,"2",748105494011
44,"7481054940",297.14,"3",748105494012
45,"7481054940",347.43,"3",748105494012
45,"7481054940",347.43,"4",748105494013
46,"7481054940",137.14,"4",748105494013
47,"7481054940",89.14,"4",748105494013
47,"7481054940",89.14,"3",748105494014
48,"7481054940",57.14,"3",748105494014
49,"7481054940",70.86,"3",748105494014
49,"7481054940",70.86,"2",748105494015
50,"7481054940",78.29,"2",748105494015
51,"7481054940",125.71,"2",748105494015
51,"7481054940",125.71,"1b",748105494016
52,"7481054940",139.43,"1b",748105494016
53,"7481054940",285.71,"1b",748105494016
53,"7481054940",285.71,"2",748105494017
54,"7481054940",413.71,"2",748105494017
54,"7481054940",413.71,"3",748105494018
55,"7481054940",329.14,"3",748105494018
55,"7481054940",329.14,"4",748105494019
56,"7481054940",164.57,"4",748105494019
57,"7481054940",107.43,"4",748105494019
58,"7481054940",77.71,"4",748105494019
58,"7481054940",77.71,"3",748105494020
59,"7481054940",114.29,"3",748105494020
60,"7481054940",58.29,"3",748105494020
60,"7481054940",58.29,"2",748105494021
61,"7481054940",74.29,"2",748105494021
62,"7481054940",43.43,"2",748105494021
62,"7481054940",43.43,"1b",748105494022
63,"7481054940",61.71,"1b",748105494022
64,"7481054940",110.86,"1b",748105494022
64,"7481054940",110.86,"1",748105494023
65,"7481054940",153.14,"1",748105494023
66,"7481054940",409.14,"1",748105494023
66,"7481054940",409.14,"2",748105494024
67,"7481054940",429.71,"2",748105494024
67,"7481054940",429.71,"4",748105494025
68,"7481054940",347.43,"4",748105494025
69,"7481054940",157.71,"4",748105494025
70,"7481054940",91.43,"4",748105494025
70,"7481054940",91.43,"3",748105494026
71,"7481054940",89.14,"3",748105494026
72,"7481054940",125.71,"3",748105494026
72,"7481054940",125.71,"2",748105494027
73,"7481054940",169.14,"2",748105494027
74,"7481054940",198.86,"2",748105494027
74,"7481054940",198.86,"3",748105494028
75,"7481054940",130.29,"3",748105494028
76,"7481054940",182.86,"3",748105494028
77,"7481054940",212.57,"3",748105494028
78,"7481054940",217.14,"3",748105494028
78,"7481054940",217.14,"4",748105494029
79,"7481054940",160.0,"4",748105494029
80,"7481054940",107.43,"4",748105494029
80,"7481054940",107.43,"3",748105494030
81,"7481054940",109.71,"3",748105494030
81,"7481054940",109.71,"1",748114830731
0,"7481148307",0.14,"1",748114830731
1,"7481148307",1.29,"1",748114830731
1,"7481148307",1.29,"2",748114830732
2,"7481148307",2.14,"2",748114830732
3,"7481148307",1.14,"2",748114830732
3,"7481148307",1.14,"1b",748114830733
4,"7481148307",0.57,"1b",748114830733
5,"7481148307",0.29,"1b",748114830733
6,"7481148307",0.43,"1b",748114830733
7,"7481148307",0.14,"1b",748114830733
7,"7481148307",0.14,"1",748114830734
8,"7481148307",0.71,"1",748114830734
9,"7481148307",6.14,"1",748114830734
9,"7481148307",6.14,"2",748114830735
10,"7481148307",13.14,"2",748114830735
10,"7481148307",13.14,"3",748114830736
11,"7481148307",6.0,"3",748114830736
12,"7481148307",5.71,"3",748114830736
13,"7481148307",4.71,"3",748114830736
13,"7481148307",4.71,"2",748114830737
14,"7481148307",3.29,"2",748114830737
15,"7481148307",2.0,"2",748114830737
15,"7481148307",2.0,"1b",748114830738
16,"7481148307",1.43,"1b",748114830738
17,"7481148307",1.43,"1b",748114830738
17,"7481148307",1.43,"1",748114830739
18,"7481148307",1.0,"1",748114830739
19,"7481148307",0.86,"1",748114830739
20,"7481148307",0.57,"1",748114830739
21,"7481148307",0.14,"1",748114830739
22,"7481148307",0.71,"1",748114830739
23,"7481148307",3.29,"1",748114830739
24,"7481148307",9.29,"1",748114830739
25,"7481148307",19.14,"1",748114830739
26,"7481148307",33.29,"1",748114830739
26,"7481148307",33.29,"1b",748114830740
27,"7481148307",36.0,"1b",748114830740
27,"7481148307",36.0,"2",748114830741
28,"7481148307",31.43,"2",748114830741
29,"7481148307",56.57,"2",748114830741
29,"7481148307",56.57,"1b",748114830742
30,"7481148307",97.71,"1b",748114830742
31,"7481148307",166.86,"1b",748114830742
31,"7481148307",166.86,"1",748114830743
32,"7481148307",786.29,"1",748114830743
32,"7481148307",786.29,"2",748114830744
33,"7481148307",1609.14,"2",748114830744
33,"7481148307",1609.14,"4",748114830745
34,"7481148307",1097.14,"4",748114830745
35,"7481148307",731.43,"4",748114830745
36,"7481148307",320.0,"4",748114830745
37,"7481148307",256.0,"4",748114830745
38,"7481148307",114.29,"4",748114830745
39,"7481148307",77.71,"4",748114830745
39,"7481148307",77.71,"3",748114830746
40,"7481148307",128.0,"3",748114830746
41,"7481148307",194.29,"3",748114830746
42,"7481148307",288.0,"3",748114830746
42,"7481148307",288.0,"4",748114830747
43,"7481148307",249.14,"4",748114830747
44,"7481148307",130.29,"4",748114830747
45,"7481148307",128.0,"4",748114830747
46,"7481148307",144.0,"4",748114830747
46,"7481148307",144.0,"3",748114830748
47,"7481148307",144.0,"3",748114830748
48,"7481148307",134.86,"3",748114830748
49,"7481148307",176.0,"3",748114830748
50,"7481148307",210.29,"3",748114830748
51,"7481148307",187.43,"3",748114830748
52,"7481148307",240.0,"3",748114830748
52,"7481148307",240.0,"4",748114830749
53,"7481148307",205.71,"4",748114830749
54,"7481148307",109.71,"4",748114830749
55,"7481148307",137.14,"4",748114830749
56,"7481148307",96.0,"4",748114830749
56,"7481148307",96.0,"3",748114830750
57,"7481148307",150.86,"3",748114830750
58,"7481148307",196.57,"3",748114830750
59,"7481148307",304.0,"3",748114830750
59,"7481148307",304.0,"4",748114830751
60,"7481148307",205.71,"4",748114830751
61,"7481148307",134.86,"4",748114830751
62,"7481148307",82.29,"4",748114830751
62,"7481148307",82.29,"3",748114830752
63,"7481148307",118.86,"3",748114830752
64,"7481148307",189.71,"3",748114830752
64,"7481148307",189.71,"4",748114830753
65,"7481148307",203.43,"4",748114830753
66,"7481148307",196.57,"4",748114830753
67,"7481148307",176.0,"4",748114830753
68,"7481148307",98.29,"4",748114830753
69,"7481148307",112.0,"4",748114830753
69,"7481148307",112.0,"3",748114830754
70,"7481148307",132.57,"3",748114830754
71,"7481148307",187.43,"3",748114830754
72,"7481148307",210.29,"3",748114830754
72,"7481148307",210.29,"4",748114830755
73,"7481148307",139.43,"4",748114830755
74,"7481148307",98.29,"4",748114830755
74,"7481148307",98.29,"3",748114830756
75,"7481148307",141.71,"3",748114830756
76,"7481148307",187.43,"3",748114830756
77,"7481148307",178.29,"3",748114830756
78,"7481148307",210.29,"3",748114830756
79,"7481148307",196.57,"3",748114830756
80,"7481148307",244.57,"3",748114830756
80,"7481148307",244.57,"4",748114830757
81,"7481148307",160.0,"4",748114830757
81,"7481148307",160.0,"1",748118490058
0,"7481184900",0.43,"1",748118490058
1,"7481184900",3.14,"1",748118490058
1,"7481184900",3.14,"2",748118490059
2,"7481184900",6.71,"2",748118490059
2,"7481184900",6.71,"3",748118490060
3,"7481184900",6.71,"3",748118490060
4,"7481184900",8.29,"3",748118490060
5,"7481184900",6.14,"3",748118490060
6,"7481184900",4.14,"3",748118490060
6,"7481184900",4.14,"2",748118490061
7,"7481184900",3.86,"2",748118490061
8,"7481184900",4.86,"2",748118490061
9,"7481184900",5.29,"2",748118490061
10,"7481184900",6.86,"2",748118490061
10,"7481184900",6.86,"3",748118490062
11,"7481184900",7.0,"3",748118490062
12,"7481184900",4.0,"3",748118490062
12,"7481184900",4.0,"2",748118490063
13,"7481184900",7.57,"2",748118490063
13,"7481184900",7.57,"3",748118490064
14,"7481184900",7.43,"3",748118490064
15,"7481184900",5.43,"3",748118490064
15,"7481184900",5.43,"2",748118490065
16,"7481184900",4.29,"2",748118490065
17,"7481184900",2.57,"2",748118490065
17,"7481184900",2.57,"1b",748118490066
18,"7481184900",2.29,"1b",748118490066
19,"7481184900",4.29,"1b",748118490066
19,"7481184900",4.29,"1",748118490067
