"wk","tr","nc","stg","id"
0,"13111555476",0.0,"2",131115554761
1,"13111555476",0.0,"2",131115554761
2,"13111555476",0.0,"2",131115554761
3,"13111555476",0.0,"2",131115554761
4,"13111555476",0.0,"2",131115554761
5,"13111555476",0.0,"2",131115554761
6,"13111555476",0.0,"2",131115554761
7,"13111555476",0.0,"2",131115554761
8,"13111555476",0.0,"2",131115554761
9,"13111555476",0.0,"2",131115554761
10,"13111555476",0.0,"2",131115554761
11,"13111555476",0.0,"2",131115554761
12,"13111555476",0.0,"2",131115554761
13,"13111555476",0.0,"2",131115554761
14,"13111555476",0.0,"2",131115554761
15,"13111555476",0.0,"2",131115554761
16,"13111555476",0.0,"2",131115554761
17,"13111555476",0.0,"2",131115554761
18,"13111555476",0.0,"2",131115554761
19,"13111555476",0.0,"2",131115554761
20,"13111555476",0.29,"2",131115554761
21,"13111555476",0.0,"2",131115554761
22,"13111555476",0.0,"2",131115554761
23,"13111555476",0.0,"2",131115554761
24,"13111555476",0.0,"2",131115554761
25,"13111555476",0.0,"2",131115554761
26,"13111555476",0.0,"2",131115554761
27,"13111555476",0.0,"2",131115554761
28,"13111555476",0.0,"2",131115554761
29,"13111555476",0.0,"2",131115554761
30,"13111555476",0.0,"2",131115554761
31,"13111555476",0.43,"2",131115554761
32,"13111555476",1.14,"2",131115554761
33,"13111555476",2.14,"2",131115554761
34,"13111555476",1.86,"2",131115554761
35,"13111555476",3.86,"2",131115554761
36,"13111555476",4.57,"2",131115554761
37,"13111555476",5.43,"2",131115554761
38,"13111555476",4.29,"2",131115554761
39,"13111555476",5.71,"2",131115554761
40,"13111555476",4.57,"2",131115554761
41,"13111555476",4.14,"2",131115554761
42,"13111555476",1.57,"2",131115554761
43,"13111555476",8.0,"2",131115554761
44,"13111555476",7.0,"2",131115554761
45,"13111555476",11.14,"2",131115554761
46,"13111555476",5.57,"2",131115554761
47,"13111555476",3.43,"2",131115554761
48,"13111555476",5.57,"2",131115554761
49,"13111555476",8.14,"2",131115554761
50,"13111555476",12.57,"2",131115554761
51,"13111555476",9.86,"2",131115554761
52,"13111555476",11.14,"2",131115554761
53,"13111555476",14.14,"2",131115554761
54,"13111555476",12.86,"2",131115554761
55,"13111555476",21.86,"2",131115554761
56,"13111555476",21.0,"2",131115554761
57,"13111555476",33.43,"2",131115554761
58,"13111555476",72.0,"2",131115554761
58,"13111555476",72.0,"3",131115554762
59,"13111555476",135.0,"3",131115554762
59,"13111555476",135.0,"4",131115554763
60,"13111555476",57.86,"4",131115554763
61,"13111555476",42.43,"4",131115554763
62,"13111555476",34.71,"4",131115554763
63,"13111555476",32.14,"4",131115554763
64,"13111555476",9.0,"4",131115554763
64,"13111555476",9.0,"3",131115554764
65,"13111555476",10.29,"3",131115554764
66,"13111555476",8.14,"3",131115554764
66,"13111555476",8.14,"2",131115554765
67,"13111555476",2.57,"2",131115554765
68,"13111555476",2.71,"2",131115554765
69,"13111555476",1.86,"2",131115554765
70,"13111555476",1.86,"2",131115554765
71,"13111555476",2.43,"2",131115554765
72,"13111555476",4.14,"2",131115554765
73,"13111555476",2.71,"2",131115554765
74,"13111555476",5.14,"2",131115554765
75,"13111555476",3.0,"2",131115554765
76,"13111555476",2.57,"2",131115554765
77,"13111555476",1.43,"2",131115554765
78,"13111555476",1.57,"2",131115554765
79,"13111555476",2.57,"2",131115554765
80,"13111555476",0.71,"2",131115554765
81,"13111555476",1.0,"2",131115554765
81,"13111555476",1.0,"2",131119584185
