"wk","tr","nc","stg","id"
0,"1091585801",0.0,"1",10915858011
1,"1091585801",0.0,"1",10915858011
2,"1091585801",0.0,"1",10915858011
3,"1091585801",0.0,"1",10915858011
4,"1091585801",0.0,"1",10915858011
5,"1091585801",0.0,"1",10915858011
6,"1091585801",0.0,"1",10915858011
7,"1091585801",0.0,"1",10915858011
8,"1091585801",0.0,"1",10915858011
9,"1091585801",0.0,"1",10915858011
10,"1091585801",1.43,"1",10915858011
10,"1091585801",1.43,"2",10915858012
11,"1091585801",6.57,"2",10915858012
11,"1091585801",6.57,"3",10915858013
12,"1091585801",9.71,"3",10915858013
13,"1091585801",21.86,"3",10915858013
14,"1091585801",13.71,"3",10915858013
15,"1091585801",16.71,"3",10915858013
16,"1091585801",20.14,"3",10915858013
17,"1091585801",22.29,"3",10915858013
17,"1091585801",22.29,"4",10915858014
18,"1091585801",37.29,"4",10915858014
19,"1091585801",16.71,"4",10915858014
19,"1091585801",16.71,"3",10915858015
20,"1091585801",3.86,"3",10915858015
21,"1091585801",15.86,"3",10915858015
22,"1091585801",11.14,"3",10915858015
23,"1091585801",15.43,"3",10915858015
24,"1091585801",21.0,"3",10915858015
25,"1091585801",14.14,"3",10915858015
26,"1091585801",13.29,"3",10915858015
27,"1091585801",13.29,"3",10915858015
28,"1091585801",6.43,"3",10915858015
29,"1091585801",6.0,"3",10915858015
30,"1091585801",10.71,"3",10915858015
31,"1091585801",11.14,"3",10915858015
31,"1091585801",11.14,"2",10915858016
32,"1091585801",21.86,"2",10915858016
33,"1091585801",60.0,"2",10915858016
33,"1091585801",60.0,"3",10915858017
34,"1091585801",178.71,"3",10915858017
34,"1091585801",178.71,"4",10915858018
35,"1091585801",204.43,"4",10915858018
36,"1091585801",304.71,"4",10915858018
37,"1091585801",486.0,"4",10915858018
38,"1091585801",358.71,"4",10915858018
39,"1091585801",266.14,"4",10915858018
40,"1091585801",347.14,"4",10915858018
41,"1091585801",254.57,"4",10915858018
42,"1091585801",150.43,"4",10915858018
43,"1091585801",150.43,"4",10915858018
44,"1091585801",115.71,"4",10915858018
45,"1091585801",146.57,"4",10915858018
46,"1091585801",54.0,"4",10915858018
47,"1091585801",30.86,"4",10915858018
48,"1091585801",46.29,"4",10915858018
49,"1091585801",38.57,"4",10915858018
50,"1091585801",24.43,"4",10915858018
51,"1091585801",19.29,"4",10915858018
51,"1091585801",19.29,"3",10915858019
52,"1091585801",14.14,"3",10915858019
53,"1091585801",10.71,"3",10915858019
53,"1091585801",10.71,"2",109158580110
54,"1091585801",19.71,"2",109158580110
55,"1091585801",9.0,"2",109158580110
55,"1091585801",9.0,"1b",109158580111
56,"1091585801",15.0,"1b",109158580111
57,"1091585801",24.43,"1b",109158580111
57,"1091585801",24.43,"1",109158580112
58,"1091585801",84.86,"1",109158580112
58,"1091585801",84.86,"1b",109158580113
59,"1091585801",334.29,"1b",109158580113
59,"1091585801",334.29,"3",109158580114
60,"1091585801",921.86,"3",109158580114
60,"1091585801",921.86,"4",109158580115
61,"1091585801",2013.43,"4",109158580115
62,"1091585801",2707.71,"4",109158580115
63,"1091585801",2916.0,"4",109158580115
64,"1091585801",3020.14,"4",109158580115
65,"1091585801",3124.29,"4",109158580115
66,"1091585801",3228.43,"4",109158580115
67,"1091585801",2916.0,"4",109158580115
68,"1091585801",3645.0,"4",109158580115
69,"1091585801",4165.71,"4",109158580115
70,"1091585801",2916.0,"4",109158580115
71,"1091585801",1770.43,"4",109158580115
72,"1091585801",3020.14,"4",109158580115
73,"1091585801",2082.86,"4",109158580115
74,"1091585801",1666.29,"4",109158580115
75,"1091585801",1458.0,"4",109158580115
76,"1091585801",1458.0,"4",109158580115
77,"1091585801",1076.14,"4",109158580115
78,"1091585801",2152.29,"4",109158580115
79,"1091585801",5103.0,"4",109158580115
80,"1091585801",3645.0,"4",109158580115
81,"1091585801",3332.57,"1",10915940616
81,"1091585801",3332.57,"4",109158580115
0,"109159406",0.0,"1",10915940616
1,"109159406",0.0,"1",10915940616
2,"109159406",0.43,"1",10915940616
3,"109159406",0.43,"1",10915940616
3,"109159406",0.43,"2",10915940617
4,"109159406",1.0,"2",10915940617
5,"109159406",0.86,"2",10915940617
5,"109159406",0.86,"1b",10915940618
6,"109159406",0.71,"1b",10915940618
7,"109159406",2.71,"1b",10915940618
7,"109159406",2.71,"2",10915940619
8,"109159406",2.29,"2",10915940619
9,"109159406",1.29,"2",10915940619
10,"109159406",1.86,"2",10915940619
11,"109159406",6.14,"2",10915940619
12,"109159406",15.86,"2",10915940619
12,"109159406",15.86,"3",10915940620
13,"109159406",25.29,"3",10915940620
14,"109159406",60.86,"3",10915940620
14,"109159406",60.86,"4",10915940621
15,"109159406",51.43,"4",10915940621
16,"109159406",20.57,"4",10915940621
17,"109159406",19.29,"4",10915940621
17,"109159406",19.29,"3",10915940622
18,"109159406",23.14,"3",10915940622
19,"109159406",20.57,"3",10915940622
20,"109159406",14.14,"3",10915940622
21,"109159406",11.57,"3",10915940622
22,"109159406",18.86,"3",10915940622
23,"109159406",15.43,"3",10915940622
24,"109159406",15.43,"3",10915940622
25,"109159406",15.43,"3",10915940622
26,"109159406",41.57,"3",10915940622
26,"109159406",41.57,"4",10915940623
27,"109159406",27.0,"4",10915940623
28,"109159406",21.86,"4",10915940623
28,"109159406",21.86,"3",10915940624
29,"109159406",14.14,"3",10915940624
30,"109159406",12.86,"3",10915940624
30,"109159406",12.86,"2",10915940625
31,"109159406",11.14,"2",10915940625
32,"109159406",18.43,"2",10915940625
32,"109159406",18.43,"1b",10915940626
33,"109159406",18.0,"1b",10915940626
34,"109159406",44.14,"1b",10915940626
34,"109159406",44.14,"2",10915940627
35,"109159406",42.43,"2",10915940627
36,"109159406",82.29,"2",10915940627
36,"109159406",82.29,"3",10915940628
37,"109159406",150.43,"3",10915940628
37,"109159406",150.43,"4",10915940629
38,"109159406",150.43,"4",10915940629
39,"109159406",127.29,"4",10915940629
40,"109159406",88.71,"4",10915940629
41,"109159406",69.43,"4",10915940629
42,"109159406",65.57,"4",10915940629
43,"109159406",38.57,"4",10915940629
44,"109159406",34.71,"4",10915940629
45,"109159406",48.86,"4",10915940629
46,"109159406",18.0,"4",10915940629
46,"109159406",18.0,"3",10915940630
47,"109159406",10.29,"3",10915940630
48,"109159406",18.0,"3",10915940630
49,"109159406",16.71,"3",10915940630
49,"109159406",16.71,"2",10915940631
50,"109159406",14.14,"2",10915940631
51,"109159406",9.0,"2",10915940631
51,"109159406",9.0,"1b",10915940632
52,"109159406",27.86,"1b",10915940632
53,"109159406",51.86,"1b",10915940632
53,"109159406",51.86,"2",10915940633
54,"109159406",52.71,"2",10915940633
54,"109159406",52.71,"3",10915940634
55,"109159406",43.71,"3",10915940634
55,"109159406",43.71,"4",10915940635
56,"109159406",52.71,"4",10915940635
57,"109159406",41.14,"4",10915940635
58,"109159406",41.14,"4",10915940635
59,"109159406",27.0,"4",10915940635
60,"109159406",16.71,"4",10915940635
61,"109159406",16.71,"4",10915940635
61,"109159406",16.71,"3",10915940636
62,"109159406",19.29,"3",10915940636
63,"109159406",11.57,"3",10915940636
63,"109159406",11.57,"2",10915940637
64,"109159406",12.43,"2",10915940637
65,"109159406",13.29,"2",10915940637
65,"109159406",13.29,"1b",10915940638
66,"109159406",9.0,"1b",10915940638
67,"109159406",17.14,"1b",10915940638
67,"109159406",17.14,"1",10915940639
68,"109159406",25.29,"1",10915940639
69,"109159406",113.14,"1",10915940639
69,"109159406",113.14,"3",10915940640
70,"109159406",146.57,"3",10915940640
70,"109159406",146.57,"4",10915940641
71,"109159406",42.43,"4",10915940641
72,"109159406",30.86,"4",10915940641
73,"109159406",50.14,"4",10915940641
74,"109159406",66.86,"4",10915940641
75,"109159406",29.57,"4",10915940641
76,"109159406",24.43,"4",10915940641
77,"109159406",25.71,"4",10915940641
78,"109159406",34.71,"4",10915940641
79,"109159406",23.14,"4",10915940641
80,"109159406",23.14,"4",10915940641
81,"109159406",7.71,"4",10915940641
81,"109159406",7.71,"1",109171643142
0,"1091716431",0.0,"1",109171643142
1,"1091716431",0.0,"1",109171643142
2,"1091716431",0.0,"1",109171643142
3,"1091716431",0.0,"1",109171643142
4,"1091716431",0.0,"1",109171643142
5,"1091716431",0.57,"1",109171643142
6,"1091716431",3.14,"1",109171643142
6,"1091716431",3.14,"1b",109171643143
7,"1091716431",25.29,"1b",109171643143
7,"1091716431",25.29,"3",109171643144
8,"1091716431",62.14,"3",109171643144
8,"1091716431",62.14,"4",109171643145
9,"1091716431",59.14,"4",109171643145
10,"1091716431",29.57,"4",109171643145
11,"1091716431",23.14,"4",109171643145
12,"1091716431",41.14,"4",109171643145
