"wk","tr","nc","stg","id"
0,"11832010551",0.0,"2",118320105511
1,"11832010551",0.29,"2",118320105511
2,"11832010551",1.0,"2",118320105511
3,"11832010551",0.86,"2",118320105511
4,"11832010551",0.71,"2",118320105511
5,"11832010551",0.43,"2",118320105511
6,"11832010551",1.43,"2",118320105511
7,"11832010551",1.14,"2",118320105511
8,"11832010551",0.14,"2",118320105511
9,"11832010551",0.0,"2",118320105511
10,"11832010551",0.0,"2",118320105511
11,"11832010551",0.14,"2",118320105511
12,"11832010551",0.43,"2",118320105511
13,"11832010551",0.57,"2",118320105511
14,"11832010551",0.43,"2",118320105511
15,"11832010551",2.14,"2",118320105511
16,"11832010551",1.14,"2",118320105511
17,"11832010551",1.43,"2",118320105511
18,"11832010551",1.86,"2",118320105511
19,"11832010551",1.43,"2",118320105511
20,"11832010551",0.43,"2",118320105511
21,"11832010551",0.29,"2",118320105511
22,"11832010551",0.71,"2",118320105511
23,"11832010551",0.71,"2",118320105511
24,"11832010551",0.29,"2",118320105511
25,"11832010551",1.0,"2",118320105511
26,"11832010551",0.57,"2",118320105511
27,"11832010551",0.0,"2",118320105511
28,"11832010551",0.0,"2",118320105511
29,"11832010551",0.0,"2",118320105511
30,"11832010551",0.29,"2",118320105511
31,"11832010551",2.43,"2",118320105511
32,"11832010551",5.0,"2",118320105511
33,"11832010551",7.43,"2",118320105511
34,"11832010551",16.71,"2",118320105511
35,"11832010551",18.43,"2",118320105511
36,"11832010551",19.71,"2",118320105511
37,"11832010551",38.57,"2",118320105511
38,"11832010551",32.14,"2",118320105511
39,"11832010551",39.86,"2",118320105511
40,"11832010551",45.0,"2",118320105511
41,"11832010551",30.86,"2",118320105511
42,"11832010551",37.29,"2",118320105511
43,"11832010551",15.43,"2",118320105511
44,"11832010551",14.14,"2",118320105511
45,"11832010551",8.57,"2",118320105511
46,"11832010551",13.29,"2",118320105511
47,"11832010551",9.43,"2",118320105511
48,"11832010551",14.57,"2",118320105511
49,"11832010551",20.14,"2",118320105511
50,"11832010551",33.43,"2",118320105511
51,"11832010551",30.86,"2",118320105511
52,"11832010551",50.14,"2",118320105511
53,"11832010551",45.0,"2",118320105511
54,"11832010551",36.0,"2",118320105511
55,"11832010551",39.86,"2",118320105511
56,"11832010551",24.43,"2",118320105511
57,"11832010551",19.29,"2",118320105511
58,"11832010551",23.14,"2",118320105511
59,"11832010551",24.43,"2",118320105511
60,"11832010551",28.29,"2",118320105511
61,"11832010551",27.0,"2",118320105511
62,"11832010551",14.14,"2",118320105511
63,"11832010551",14.14,"2",118320105511
64,"11832010551",9.43,"2",118320105511
65,"11832010551",10.71,"2",118320105511
66,"11832010551",16.29,"2",118320105511
67,"11832010551",17.14,"2",118320105511
68,"11832010551",16.71,"2",118320105511
69,"11832010551",19.71,"2",118320105511
70,"11832010551",29.57,"2",118320105511
71,"11832010551",33.43,"2",118320105511
72,"11832010551",14.14,"2",118320105511
73,"11832010551",28.29,"2",118320105511
74,"11832010551",57.86,"2",118320105511
75,"11832010551",66.86,"2",118320105511
76,"11832010551",153.0,"2",118320105511
77,"11832010551",173.57,"2",118320105511
78,"11832010551",216.0,"2",118320105511
79,"11832010551",532.29,"2",118320105511
80,"11832010551",324.0,"2",118320105511
81,"11832010551",578.57,"2",118320105511
81,"11832010551",578.57,"2",118323680561
0,"11832368056",0.0,"2",118323680561
1,"11832368056",0.0,"2",118323680561
2,"11832368056",0.0,"2",118323680561
3,"11832368056",0.0,"2",118323680561
4,"11832368056",0.0,"2",118323680561
5,"11832368056",0.0,"2",118323680561
6,"11832368056",0.0,"2",118323680561
7,"11832368056",0.14,"2",118323680561
8,"11832368056",0.14,"2",118323680561
9,"11832368056",0.14,"2",118323680561
10,"11832368056",0.14,"2",118323680561
11,"11832368056",0.0,"2",118323680561
12,"11832368056",0.14,"2",118323680561
13,"11832368056",0.0,"2",118323680561
14,"11832368056",0.0,"2",118323680561
15,"11832368056",0.14,"2",118323680561
16,"11832368056",0.86,"2",118323680561
17,"11832368056",0.57,"2",118323680561
18,"11832368056",0.43,"2",118323680561
19,"11832368056",0.43,"2",118323680561
20,"11832368056",1.14,"2",118323680561
21,"11832368056",1.29,"2",118323680561
22,"11832368056",0.71,"2",118323680561
23,"11832368056",0.43,"2",118323680561
24,"11832368056",0.14,"2",118323680561
25,"11832368056",0.0,"2",118323680561
26,"11832368056",0.0,"2",118323680561
27,"11832368056",0.0,"2",118323680561
28,"11832368056",0.0,"2",118323680561
29,"11832368056",0.0,"2",118323680561
30,"11832368056",1.43,"2",118323680561
31,"11832368056",3.57,"2",118323680561
32,"11832368056",6.43,"2",118323680561
33,"11832368056",8.86,"2",118323680561
34,"11832368056",4.29,"2",118323680561
35,"11832368056",3.86,"2",118323680561
36,"11832368056",4.29,"2",118323680561
37,"11832368056",5.14,"2",118323680561
38,"11832368056",7.29,"2",118323680561
39,"11832368056",13.29,"2",118323680561
40,"11832368056",12.43,"2",118323680561
41,"11832368056",13.71,"2",118323680561
42,"11832368056",17.57,"2",118323680561
43,"11832368056",13.71,"2",118323680561
44,"11832368056",7.29,"2",118323680561
45,"11832368056",9.43,"2",118323680561
46,"11832368056",7.29,"2",118323680561
47,"11832368056",9.86,"2",118323680561
48,"11832368056",4.71,"2",118323680561
49,"11832368056",10.29,"2",118323680561
50,"11832368056",17.14,"2",118323680561
51,"11832368056",14.14,"2",118323680561
52,"11832368056",9.43,"2",118323680561
53,"11832368056",19.29,"2",118323680561
54,"11832368056",22.29,"2",118323680561
55,"11832368056",55.29,"2",118323680561
56,"11832368056",24.43,"2",118323680561
57,"11832368056",25.71,"2",118323680561
58,"11832368056",20.57,"2",118323680561
59,"11832368056",46.29,"2",118323680561
60,"11832368056",68.14,"2",118323680561
61,"11832368056",102.86,"2",118323680561
62,"11832368056",119.57,"2",118323680561
63,"11832368056",158.14,"2",118323680561
64,"11832368056",115.71,"2",118323680561
65,"11832368056",119.57,"2",118323680561
66,"11832368056",115.71,"2",118323680561
67,"11832368056",162.0,"2",118323680561
68,"11832368056",138.86,"2",118323680561
69,"11832368056",115.71,"2",118323680561
70,"11832368056",127.29,"2",118323680561
71,"11832368056",96.43,"2",118323680561
72,"11832368056",111.86,"2",118323680561
73,"11832368056",96.43,"2",118323680561
74,"11832368056",119.57,"2",118323680561
75,"11832368056",108.0,"2",118323680561
76,"11832368056",77.14,"2",118323680561
77,"11832368056",54.0,"2",118323680561
78,"11832368056",100.29,"2",118323680561
79,"11832368056",92.57,"2",118323680561
80,"11832368056",92.57,"2",118323680561
81,"11832368056",88.71,"2",118323680561
81,"11832368056",88.71,"2",118330803201
0,"11833080320",0.0,"2",118330803201
1,"11833080320",0.0,"2",118330803201
2,"11833080320",0.29,"2",118330803201
3,"11833080320",0.86,"2",118330803201
4,"11833080320",0.14,"2",118330803201
5,"11833080320",0.71,"2",118330803201
6,"11833080320",1.57,"2",118330803201
7,"11833080320",0.71,"2",118330803201
8,"11833080320",1.0,"2",118330803201
9,"11833080320",0.43,"2",118330803201
10,"11833080320",0.86,"2",118330803201
11,"11833080320",1.43,"2",118330803201
12,"11833080320",5.0,"2",118330803201
13,"11833080320",5.57,"2",118330803201
13,"11833080320",5.57,"3",118330803202
14,"11833080320",3.57,"3",118330803202
15,"11833080320",2.71,"3",118330803202
15,"11833080320",2.71,"2",118330803203
16,"11833080320",2.14,"2",118330803203
17,"11833080320",3.14,"2",118330803203
18,"11833080320",1.71,"2",118330803203
19,"11833080320",1.0,"2",118330803203
20,"11833080320",0.86,"2",118330803203
21,"11833080320",0.71,"2",118330803203
22,"11833080320",1.0,"2",118330803203
23,"11833080320",1.57,"2",118330803203
24,"11833080320",1.14,"2",118330803203
25,"11833080320",1.29,"2",118330803203
26,"11833080320",0.29,"2",118330803203
27,"11833080320",0.29,"2",118330803203
28,"11833080320",0.86,"2",118330803203
29,"11833080320",1.14,"2",118330803203
30,"11833080320",0.57,"2",118330803203
31,"11833080320",1.0,"2",118330803203
32,"11833080320",2.43,"2",118330803203
33,"11833080320",3.57,"2",118330803203
34,"11833080320",5.43,"2",118330803203
35,"11833080320",7.86,"2",118330803203
36,"11833080320",9.0,"2",118330803203
37,"11833080320",9.0,"2",118330803203
38,"11833080320",13.29,"2",118330803203
39,"11833080320",18.86,"2",118330803203
40,"11833080320",25.71,"2",118330803203
41,"11833080320",36.0,"2",118330803203
42,"11833080320",41.14,"2",118330803203
43,"11833080320",37.29,"2",118330803203
44,"11833080320",46.29,"2",118330803203
45,"11833080320",77.14,"2",118330803203
46,"11833080320",146.57,"2",118330803203
47,"11833080320",169.71,"2",118330803203
48,"11833080320",316.29,"2",118330803203
49,"11833080320",428.14,"2",118330803203
50,"11833080320",439.71,"2",118330803203
51,"11833080320",486.0,"2",118330803203
52,"11833080320",601.71,"2",118330803203
53,"11833080320",972.0,"2",118330803203
54,"11833080320",1874.57,"2",118330803203
55,"11833080320",3749.14,"2",118330803203
55,"11833080320",3749.14,"3",118330803204
56,"11833080320",6248.57,"3",118330803204
56,"11833080320",6248.57,"4",118330803205
57,"11833080320",8435.57,"4",118330803205
58,"11833080320",5311.29,"4",118330803205
59,"11833080320",2187.0,"4",118330803205
60,"11833080320",937.29,"4",118330803205
60,"11833080320",937.29,"3",118330803206
61,"11833080320",1145.57,"3",118330803206
61,"11833080320",1145.57,"4",118330803207
62,"11833080320",798.43,"4",118330803207
63,"11833080320",451.29,"4",118330803207
63,"11833080320",451.29,"3",118330803208
64,"11833080320",138.86,"3",118330803208
65,"11833080320",104.14,"3",118330803208
65,"11833080320",104.14,"2",118330803209
66,"11833080320",65.57,"2",118330803209
67,"11833080320",34.71,"2",118330803209
68,"11833080320",21.86,"2",118330803209
69,"11833080320",14.14,"2",118330803209
70,"11833080320",11.57,"2",118330803209
71,"11833080320",5.57,"2",118330803209
72,"11833080320",11.57,"2",118330803209
73,"11833080320",3.86,"2",118330803209
74,"11833080320",7.71,"2",118330803209
75,"11833080320",6.43,"2",118330803209
76,"11833080320",4.71,"2",118330803209
77,"11833080320",4.29,"2",118330803209
78,"11833080320",3.86,"2",118330803209
79,"11833080320",7.29,"2",118330803209
80,"11833080320",7.71,"2",118330803209
81,"11833080320",9.43,"2",118330803209
81,"11833080320",9.43,"2",118332702129
0,"11833270212",0.0,"2",118332702129
1,"11833270212",0.0,"2",118332702129
2,"11833270212",0.0,"2",118332702129
3,"11833270212",0.0,"2",118332702129
4,"11833270212",0.0,"2",118332702129
5,"11833270212",0.0,"2",118332702129
6,"11833270212",0.0,"2",118332702129
7,"11833270212",0.0,"2",118332702129
8,"11833270212",0.0,"2",118332702129
9,"11833270212",0.0,"2",118332702129
10,"11833270212",0.0,"2",118332702129
11,"11833270212",0.0,"2",118332702129
12,"11833270212",0.0,"2",118332702129
13,"11833270212",0.0,"2",118332702129
14,"11833270212",0.0,"2",118332702129
15,"11833270212",0.0,"2",118332702129
16,"11833270212",0.0,"2",118332702129
17,"11833270212",0.43,"2",118332702129
