"wk","tr","nc","stg","id"
0,"10212010551",0.0,"1",102120105511
1,"10212010551",0.29,"1",102120105511
1,"10212010551",0.29,"1b",102120105512
2,"10212010551",1.0,"1b",102120105512
2,"10212010551",1.0,"2",102120105513
3,"10212010551",0.57,"2",102120105513
4,"10212010551",0.43,"2",102120105513
4,"10212010551",0.43,"1b",102120105514
5,"10212010551",3.29,"1b",102120105514
5,"10212010551",3.29,"2",102120105515
6,"10212010551",7.86,"2",102120105515
6,"10212010551",7.86,"3",102120105516
7,"10212010551",6.0,"3",102120105516
8,"10212010551",3.0,"3",102120105516
8,"10212010551",3.0,"2",102120105517
9,"10212010551",2.71,"2",102120105517
10,"10212010551",3.0,"2",102120105517
11,"10212010551",3.0,"2",102120105517
12,"10212010551",1.86,"2",102120105517
13,"10212010551",1.14,"2",102120105517
14,"10212010551",2.29,"2",102120105517
15,"10212010551",2.71,"2",102120105517
16,"10212010551",2.0,"2",102120105517
16,"10212010551",2.0,"1b",102120105518
17,"10212010551",1.71,"1b",102120105518
18,"10212010551",1.14,"1b",102120105518
18,"10212010551",1.14,"1",102120105519
19,"10212010551",1.0,"1",102120105519
20,"10212010551",0.57,"1",102120105519
21,"10212010551",0.14,"1",102120105519
22,"10212010551",0.43,"1",102120105519
23,"10212010551",0.43,"1",102120105519
24,"10212010551",0.43,"1",102120105519
25,"10212010551",0.29,"1",102120105519
26,"10212010551",0.57,"1",102120105519
27,"10212010551",0.57,"1",102120105519
28,"10212010551",0.29,"1",102120105519
29,"10212010551",0.29,"1",102120105519
30,"10212010551",0.86,"1",102120105519
31,"10212010551",0.29,"1",102120105519
32,"10212010551",1.43,"1",102120105519
33,"10212010551",1.57,"1",102120105519
34,"10212010551",4.14,"1",102120105519
35,"10212010551",3.14,"1",102120105519
36,"10212010551",5.14,"1",102120105519
37,"10212010551",5.86,"1",102120105519
38,"10212010551",9.71,"1",102120105519
39,"10212010551",10.71,"1",102120105519
40,"10212010551",10.71,"1",102120105519
41,"10212010551",16.71,"1",102120105519
42,"10212010551",21.43,"1",102120105519
43,"10212010551",35.57,"1",102120105519
44,"10212010551",59.14,"1",102120105519
45,"10212010551",99.0,"1",102120105519
46,"10212010551",212.14,"1",102120105519
46,"10212010551",212.14,"1b",1021201055110
47,"10212010551",393.43,"1b",1021201055110
47,"10212010551",393.43,"2",1021201055111
48,"10212010551",555.43,"2",1021201055111
48,"10212010551",555.43,"3",1021201055112
49,"10212010551",821.57,"3",1021201055112
49,"10212010551",821.57,"4",1021201055113
50,"10212010551",937.29,"4",1021201055113
51,"10212010551",659.57,"4",1021201055113
52,"10212010551",347.14,"4",1021201055113
53,"10212010551",208.29,"4",1021201055113
54,"10212010551",150.43,"4",1021201055113
55,"10212010551",162.0,"4",1021201055113
56,"10212010551",69.43,"4",1021201055113
56,"10212010551",69.43,"3",1021201055114
57,"10212010551",88.71,"3",1021201055114
58,"10212010551",65.57,"3",1021201055114
58,"10212010551",65.57,"2",1021201055115
59,"10212010551",42.43,"2",1021201055115
60,"10212010551",15.43,"2",1021201055115
60,"10212010551",15.43,"1b",1021201055116
61,"10212010551",25.71,"1b",1021201055116
62,"10212010551",30.86,"1b",1021201055116
