"wk","tr","nc","stg","id"
0,"11612010551",0.0,"1",116120105511
1,"11612010551",0.0,"1",116120105511
2,"11612010551",0.0,"1",116120105511
3,"11612010551",0.0,"1",116120105511
4,"11612010551",0.0,"1",116120105511
5,"11612010551",0.14,"1",116120105511
6,"11612010551",0.0,"1",116120105511
6,"11612010551",0.0,"1b",116120105512
7,"11612010551",0.29,"1b",116120105512
8,"11612010551",0.0,"1b",116120105512
8,"11612010551",0.0,"1",116120105513
9,"11612010551",1.0,"1",116120105513
10,"11612010551",1.0,"1",116120105513
10,"11612010551",1.0,"2",116120105514
11,"11612010551",0.71,"2",116120105514
12,"11612010551",0.43,"2",116120105514
12,"11612010551",0.43,"1b",116120105515
13,"11612010551",0.57,"1b",116120105515
14,"11612010551",0.71,"1b",116120105515
14,"11612010551",0.71,"1",116120105516
15,"11612010551",0.14,"1",116120105516
16,"11612010551",0.43,"1",116120105516
17,"11612010551",0.43,"1",116120105516
18,"11612010551",0.14,"1",116120105516
19,"11612010551",0.29,"1",116120105516
20,"11612010551",0.43,"1",116120105516
21,"11612010551",0.43,"1",116120105516
22,"11612010551",0.43,"1",116120105516
23,"11612010551",0.57,"1",116120105516
24,"11612010551",0.71,"1",116120105516
25,"11612010551",2.14,"1",116120105516
26,"11612010551",2.14,"1",116120105516
27,"11612010551",2.0,"1",116120105516
28,"11612010551",3.29,"1",116120105516
29,"11612010551",1.71,"1",116120105516
30,"11612010551",0.86,"1",116120105516
31,"11612010551",2.57,"1",116120105516
32,"11612010551",2.71,"1",116120105516
33,"11612010551",3.0,"1",116120105516
34,"11612010551",7.71,"1",116120105516
35,"11612010551",9.71,"1",116120105516
36,"11612010551",9.86,"1",116120105516
37,"11612010551",6.43,"1",116120105516
38,"11612010551",11.57,"1",116120105516
39,"11612010551",18.0,"1",116120105516
40,"11612010551",25.71,"1",116120105516
41,"11612010551",50.14,"1",116120105516
42,"11612010551",70.71,"1",116120105516
43,"11612010551",140.14,"1",116120105516
44,"11612010551",196.71,"1",116120105516
45,"11612010551",258.43,"1",116120105516
46,"11612010551",243.0,"1",116120105516
47,"11612010551",416.57,"1",116120105516
48,"11612010551",1087.71,"1",116120105516
49,"11612010551",1596.86,"1",116120105516
49,"11612010551",1596.86,"1b",116120105517
50,"11612010551",4096.29,"1b",116120105517
50,"11612010551",4096.29,"2",116120105518
51,"11612010551",4686.43,"2",116120105518
51,"11612010551",4686.43,"3",116120105519
52,"11612010551",2707.71,"3",116120105519
52,"11612010551",2707.71,"4",1161201055110
53,"11612010551",1978.71,"4",1161201055110
54,"11612010551",1770.43,"4",1161201055110
54,"11612010551",1770.43,"3",1161201055111
55,"11612010551",1458.0,"3",1161201055111
55,"11612010551",1458.0,"4",1161201055112
56,"11612010551",1145.57,"4",1161201055112
57,"11612010551",659.57,"4",1161201055112
57,"11612010551",659.57,"3",1161201055113
58,"11612010551",694.29,"3",1161201055113
58,"11612010551",694.29,"4",1161201055114
59,"11612010551",277.71,"4",1161201055114
60,"11612010551",277.71,"4",1161201055114
60,"11612010551",277.71,"3",1161201055115
61,"11612010551",312.43,"3",1161201055115
62,"11612010551",162.0,"3",1161201055115
62,"11612010551",162.0,"2",1161201055116
63,"11612010551",57.86,"2",1161201055116
63,"11612010551",57.86,"1b",1161201055117
64,"11612010551",69.43,"1b",1161201055117
64,"11612010551",69.43,"1",1161201055118
65,"11612010551",154.29,"1",1161201055118
66,"11612010551",162.0,"1",1161201055118
67,"11612010551",138.86,"1",1161201055118
68,"11612010551",300.86,"1",1161201055118
69,"11612010551",590.14,"1",1161201055118
70,"11612010551",1677.86,"1",1161201055118
71,"11612010551",2221.71,"1",1161201055118
71,"11612010551",2221.71,"1b",1161201055119
72,"11612010551",5207.14,"1b",1161201055119
72,"11612010551",5207.14,"2",1161201055120
73,"11612010551",8019.0,"2",1161201055120
73,"11612010551",8019.0,"3",1161201055121
74,"11612010551",9997.71,"3",1161201055121
74,"11612010551",9997.71,"4",1161201055122
75,"11612010551",4061.57,"4",1161201055122
76,"11612010551",3124.29,"4",1161201055122
77,"11612010551",1458.0,"4",1161201055122
77,"11612010551",1458.0,"3",1161201055123
78,"11612010551",2082.86,"3",1161201055123
78,"11612010551",2082.86,"4",1161201055124
79,"11612010551",729.0,"4",1161201055124
80,"11612010551",694.29,"4",1161201055124
80,"11612010551",694.29,"3",1161201055125
81,"11612010551",347.14,"3",1161201055125
81,"11612010551",347.14,"1",1161236805626
0,"11612368056",0.0,"1",1161236805626
1,"11612368056",0.0,"1",1161236805626
2,"11612368056",0.0,"1",1161236805626
3,"11612368056",0.0,"1",1161236805626
4,"11612368056",0.0,"1",1161236805626
5,"11612368056",0.0,"1",1161236805626
6,"11612368056",0.14,"1",1161236805626
7,"11612368056",0.14,"1",1161236805626
7,"11612368056",0.14,"1b",1161236805627
8,"11612368056",0.57,"1b",1161236805627
9,"11612368056",0.57,"1b",1161236805627
10,"11612368056",1.57,"1b",1161236805627
11,"11612368056",2.14,"1b",1161236805627
11,"11612368056",2.14,"2",1161236805628
12,"11612368056",2.0,"2",1161236805628
13,"11612368056",1.43,"2",1161236805628
14,"11612368056",0.57,"2",1161236805628
15,"11612368056",0.57,"2",1161236805628
16,"11612368056",0.57,"2",1161236805628
16,"11612368056",0.57,"1b",1161236805629
17,"11612368056",0.14,"1b",1161236805629
18,"11612368056",0.29,"1b",1161236805629
18,"11612368056",0.29,"1",1161236805630
19,"11612368056",0.14,"1",1161236805630
20,"11612368056",0.14,"1",1161236805630
21,"11612368056",0.43,"1",1161236805630
22,"11612368056",0.71,"1",1161236805630
23,"11612368056",0.71,"1",1161236805630
24,"11612368056",0.14,"1",1161236805630
25,"11612368056",0.0,"1",1161236805630
26,"11612368056",0.0,"1",1161236805630
27,"11612368056",0.0,"1",1161236805630
28,"11612368056",0.0,"1",1161236805630
29,"11612368056",0.14,"1",1161236805630
30,"11612368056",0.0,"1",1161236805630
31,"11612368056",0.0,"1",1161236805630
32,"11612368056",0.43,"1",1161236805630
33,"11612368056",2.14,"1",1161236805630
34,"11612368056",3.0,"1",1161236805630
35,"11612368056",3.0,"1",1161236805630
36,"11612368056",1.86,"1",1161236805630
37,"11612368056",2.43,"1",1161236805630
38,"11612368056",7.86,"1",1161236805630
39,"11612368056",18.0,"1",1161236805630
40,"11612368056",21.86,"1",1161236805630
41,"11612368056",44.14,"1",1161236805630
42,"11612368056",51.43,"1",1161236805630
43,"11612368056",27.0,"1",1161236805630
44,"11612368056",36.0,"1",1161236805630
45,"11612368056",38.57,"1",1161236805630
46,"11612368056",45.0,"1",1161236805630
47,"11612368056",109.29,"1",1161236805630
48,"11612368056",254.57,"1",1161236805630
49,"11612368056",378.0,"1",1161236805630
50,"11612368056",555.43,"1",1161236805630
51,"11612368056",1562.14,"1",1161236805630
51,"11612368056",1562.14,"1b",1161236805631
52,"11612368056",3575.57,"1b",1161236805631
52,"11612368056",3575.57,"2",1161236805632
53,"11612368056",3957.43,"2",1161236805632
53,"11612368056",3957.43,"3",1161236805633
54,"11612368056",1666.29,"3",1161236805633
54,"11612368056",1666.29,"4",1161236805634
55,"11612368056",1041.43,"4",1161236805634
56,"11612368056",833.14,"4",1161236805634
56,"11612368056",833.14,"3",1161236805635
57,"11612368056",1006.71,"3",1161236805635
57,"11612368056",1006.71,"4",1161236805636
58,"11612368056",451.29,"4",1161236805636
59,"11612368056",69.43,"4",1161236805636
59,"11612368056",69.43,"3",1161236805637
60,"11612368056",324.0,"3",1161236805637
61,"11612368056",115.71,"3",1161236805637
61,"11612368056",115.71,"2",1161236805638
62,"11612368056",92.57,"2",1161236805638
63,"11612368056",69.43,"2",1161236805638
63,"11612368056",69.43,"1",1161236805639
64,"11612368056",77.14,"1",1161236805639
65,"11612368056",88.71,"1",1161236805639
66,"11612368056",135.0,"1",1161236805639
67,"11612368056",115.71,"1",1161236805639
68,"11612368056",266.14,"1",1161236805639
69,"11612368056",393.43,"1",1161236805639
70,"11612368056",543.86,"1",1161236805639
71,"11612368056",2499.43,"1",1161236805639
72,"11612368056",5866.71,"1",1161236805639
72,"11612368056",5866.71,"1b",1161236805640
73,"11612368056",13746.86,"1b",1161236805640
73,"11612368056",13746.86,"2",1161236805641
74,"11612368056",15621.43,"2",1161236805641
74,"11612368056",15621.43,"3",1161236805642
75,"11612368056",14681.83,"3",1161236805642
75,"11612368056",14681.83,"4",1161236805643
76,"11612368056",8780.74,"4",1161236805643
77,"11612368056",1527.09,"4",1161236805643
77,"11612368056",1527.09,"3",1161236805644
78,"11612368056",1145.31,"3",1161236805644
78,"11612368056",1145.31,"4",1161236805645
79,"11612368056",1770.43,"4",1161236805645
80,"11612368056",1215.0,"4",1161236805645
80,"11612368056",1215.0,"3",1161236805646
81,"11612368056",381.86,"3",1161236805646
81,"11612368056",381.86,"1",1161308032047
0,"11613080320",0.0,"1",1161308032047
1,"11613080320",0.14,"1",1161308032047
2,"11613080320",0.14,"1",1161308032047
2,"11613080320",0.14,"1b",1161308032048
3,"11613080320",0.0,"1b",1161308032048
4,"11613080320",0.14,"1b",1161308032048
4,"11613080320",0.14,"1",1161308032049
5,"11613080320",0.0,"1",1161308032049
6,"11613080320",0.0,"1",1161308032049
7,"11613080320",0.0,"1",1161308032049
8,"11613080320",0.0,"1",1161308032049
9,"11613080320",0.0,"1",1161308032049
10,"11613080320",0.0,"1",1161308032049
11,"11613080320",0.86,"1",1161308032049
11,"11613080320",0.86,"1b",1161308032050
12,"11613080320",1.0,"1b",1161308032050
12,"11613080320",1.0,"2",1161308032051
13,"11613080320",0.71,"2",1161308032051
13,"11613080320",0.71,"1b",1161308032052
14,"11613080320",0.29,"1b",1161308032052
15,"11613080320",1.0,"1b",1161308032052
15,"11613080320",1.0,"1",1161308032053
16,"11613080320",0.43,"1",1161308032053
17,"11613080320",0.14,"1",1161308032053
18,"11613080320",0.0,"1",1161308032053
19,"11613080320",0.0,"1",1161308032053
20,"11613080320",0.0,"1",1161308032053
21,"11613080320",0.0,"1",1161308032053
22,"11613080320",0.0,"1",1161308032053
23,"11613080320",0.0,"1",1161308032053
24,"11613080320",0.43,"1",1161308032053
25,"11613080320",1.57,"1",1161308032053
26,"11613080320",1.0,"1",1161308032053
27,"11613080320",0.57,"1",1161308032053
28,"11613080320",1.29,"1",1161308032053
29,"11613080320",0.71,"1",1161308032053
30,"11613080320",0.43,"1",1161308032053
31,"11613080320",0.14,"1",1161308032053
32,"11613080320",1.57,"1",1161308032053
33,"11613080320",5.86,"1",1161308032053
34,"11613080320",11.29,"1",1161308032053
35,"11613080320",15.43,"1",1161308032053
36,"11613080320",16.71,"1",1161308032053
37,"11613080320",21.0,"1",1161308032053
38,"11613080320",30.0,"1",1161308032053
39,"11613080320",32.14,"1",1161308032053
40,"11613080320",43.71,"1",1161308032053
41,"11613080320",69.43,"1",1161308032053
42,"11613080320",165.86,"1",1161308032053
43,"11613080320",173.57,"1",1161308032053
44,"11613080320",162.0,"1",1161308032053
45,"11613080320",150.43,"1",1161308032053
46,"11613080320",196.71,"1",1161308032053
47,"11613080320",173.57,"1",1161308032053
48,"11613080320",127.29,"1",1161308032053
49,"11613080320",104.14,"1",1161308032053
50,"11613080320",88.71,"1",1161308032053
51,"11613080320",100.29,"1",1161308032053
52,"11613080320",216.0,"1",1161308032053
53,"11613080320",351.0,"1",1161308032053
54,"11613080320",729.0,"1",1161308032053
55,"11613080320",1863.0,"1",1161308032053
55,"11613080320",1863.0,"1b",1161308032054
56,"11613080320",3922.71,"1b",1161308032054
56,"11613080320",3922.71,"2",1161308032055
57,"11613080320",7081.71,"2",1161308032055
57,"11613080320",7081.71,"3",1161308032056
58,"11613080320",7602.43,"3",1161308032056
