"wk","tr","nc","stg","id"
0,"10632010551",0.0,"2",106320105511
1,"10632010551",0.0,"2",106320105511
2,"10632010551",0.0,"2",106320105511
3,"10632010551",0.43,"2",106320105511
4,"10632010551",1.0,"2",106320105511
5,"10632010551",0.14,"2",106320105511
6,"10632010551",0.29,"2",106320105511
7,"10632010551",0.71,"2",106320105511
8,"10632010551",0.71,"2",106320105511
9,"10632010551",0.86,"2",106320105511
10,"10632010551",1.57,"2",106320105511
11,"10632010551",1.14,"2",106320105511
12,"10632010551",0.71,"2",106320105511
13,"10632010551",0.57,"2",106320105511
14,"10632010551",0.43,"2",106320105511
15,"10632010551",0.29,"2",106320105511
16,"10632010551",0.86,"2",106320105511
17,"10632010551",0.71,"2",106320105511
18,"10632010551",0.29,"2",106320105511
19,"10632010551",0.0,"2",106320105511
20,"10632010551",0.43,"2",106320105511
21,"10632010551",0.43,"2",106320105511
22,"10632010551",0.57,"2",106320105511
23,"10632010551",0.14,"2",106320105511
24,"10632010551",0.57,"2",106320105511
25,"10632010551",1.0,"2",106320105511
26,"10632010551",2.14,"2",106320105511
27,"10632010551",0.71,"2",106320105511
28,"10632010551",0.86,"2",106320105511
29,"10632010551",0.29,"2",106320105511
30,"10632010551",0.57,"2",106320105511
31,"10632010551",0.57,"2",106320105511
32,"10632010551",1.71,"2",106320105511
33,"10632010551",4.71,"2",106320105511
34,"10632010551",11.29,"2",106320105511
35,"10632010551",19.71,"2",106320105511
36,"10632010551",20.14,"2",106320105511
37,"10632010551",36.43,"2",106320105511
38,"10632010551",25.71,"2",106320105511
39,"10632010551",27.0,"2",106320105511
40,"10632010551",15.43,"2",106320105511
41,"10632010551",5.14,"2",106320105511
42,"10632010551",8.14,"2",106320105511
43,"10632010551",8.14,"2",106320105511
44,"10632010551",4.71,"2",106320105511
45,"10632010551",5.57,"2",106320105511
46,"10632010551",4.71,"2",106320105511
47,"10632010551",7.29,"2",106320105511
48,"10632010551",5.57,"2",106320105511
49,"10632010551",5.14,"2",106320105511
50,"10632010551",4.71,"2",106320105511
51,"10632010551",11.86,"2",106320105511
52,"10632010551",9.86,"2",106320105511
53,"10632010551",12.0,"2",106320105511
54,"10632010551",18.86,"2",106320105511
55,"10632010551",27.86,"2",106320105511
56,"10632010551",75.86,"2",106320105511
57,"10632010551",113.14,"2",106320105511
58,"10632010551",165.86,"2",106320105511
59,"10632010551",285.43,"2",106320105511
59,"10632010551",285.43,"3",106320105512
60,"10632010551",358.71,"3",106320105512
60,"10632010551",358.71,"4",106320105513
61,"10632010551",289.29,"4",106320105513
