"wk","tr","nc","stg","id"
0,"13661555476",0.0,"1",136615554761
1,"13661555476",0.0,"1",136615554761
2,"13661555476",0.0,"1",136615554761
3,"13661555476",0.0,"1",136615554761
4,"13661555476",0.0,"1",136615554761
5,"13661555476",0.0,"1",136615554761
6,"13661555476",0.0,"1",136615554761
7,"13661555476",0.0,"1",136615554761
8,"13661555476",0.0,"1",136615554761
9,"13661555476",0.0,"1",136615554761
10,"13661555476",0.0,"1",136615554761
11,"13661555476",0.0,"1",136615554761
12,"13661555476",0.0,"1",136615554761
13,"13661555476",0.0,"1",136615554761
14,"13661555476",0.0,"1",136615554761
15,"13661555476",0.0,"1",136615554761
16,"13661555476",0.0,"1",136615554761
17,"13661555476",0.0,"1",136615554761
18,"13661555476",0.0,"1",136615554761
19,"13661555476",0.0,"1",136615554761
20,"13661555476",0.0,"1",136615554761
21,"13661555476",0.14,"1",136615554761
21,"13661555476",0.14,"1b",136615554762
22,"13661555476",0.29,"1b",136615554762
23,"13661555476",0.14,"1b",136615554762
24,"13661555476",0.0,"1b",136615554762
25,"13661555476",0.29,"1b",136615554762
26,"13661555476",0.14,"1b",136615554762
27,"13661555476",0.14,"1b",136615554762
27,"13661555476",0.14,"1",136615554763
28,"13661555476",0.0,"1",136615554763
29,"13661555476",0.14,"1",136615554763
30,"13661555476",1.0,"1",136615554763
31,"13661555476",3.86,"1",136615554763
32,"13661555476",9.14,"1",136615554763
33,"13661555476",14.86,"1",136615554763
34,"13661555476",40.71,"1",136615554763
35,"13661555476",106.71,"1",136615554763
35,"13661555476",106.71,"2",136615554764
36,"13661555476",110.57,"2",136615554764
36,"13661555476",110.57,"4",136615554765
37,"13661555476",96.43,"4",136615554765
38,"13661555476",73.29,"4",136615554765
39,"13661555476",57.86,"4",136615554765
40,"13661555476",38.57,"4",136615554765
41,"13661555476",25.71,"4",136615554765
42,"13661555476",14.14,"4",136615554765
42,"13661555476",14.14,"3",136615554766
43,"13661555476",3.43,"3",136615554766
44,"13661555476",5.14,"3",136615554766
44,"13661555476",5.14,"2",136615554767
45,"13661555476",8.14,"2",136615554767
46,"13661555476",3.0,"2",136615554767
46,"13661555476",3.0,"1b",136615554768
47,"13661555476",4.43,"1b",136615554768
48,"13661555476",5.0,"1b",136615554768
48,"13661555476",5.0,"1",136615554769
49,"13661555476",7.71,"1",136615554769
50,"13661555476",13.29,"1",136615554769
51,"13661555476",15.0,"1",136615554769
52,"13661555476",16.29,"1",136615554769
53,"13661555476",33.0,"1",136615554769
54,"13661555476",60.43,"1",136615554769
54,"13661555476",60.43,"1b",1366155547610
55,"13661555476",64.29,"1b",1366155547610
55,"13661555476",64.29,"2",1366155547611
56,"13661555476",79.71,"2",1366155547611
56,"13661555476",79.71,"3",1366155547612
57,"13661555476",69.43,"3",1366155547612
57,"13661555476",69.43,"4",1366155547613
58,"13661555476",54.0,"4",1366155547613
59,"13661555476",18.0,"4",1366155547613
60,"13661555476",14.14,"4",1366155547613
60,"13661555476",14.14,"3",1366155547614
61,"13661555476",8.57,"3",1366155547614
62,"13661555476",11.57,"3",1366155547614
62,"13661555476",11.57,"2",1366155547615
63,"13661555476",10.29,"2",1366155547615
64,"13661555476",9.86,"2",1366155547615
64,"13661555476",9.86,"1b",1366155547616
65,"13661555476",9.43,"1b",1366155547616
66,"13661555476",12.86,"1b",1366155547616
66,"13661555476",12.86,"1",1366155547617
67,"13661555476",10.71,"1",1366155547617
68,"13661555476",13.29,"1",1366155547617
69,"13661555476",17.57,"1",1366155547617
70,"13661555476",41.57,"1",1366155547617
71,"13661555476",55.29,"1",1366155547617
71,"13661555476",55.29,"1b",1366155547618
72,"13661555476",72.0,"1b",1366155547618
72,"13661555476",72.0,"2",1366155547619
73,"13661555476",117.0,"2",1366155547619
73,"13661555476",117.0,"3",1366155547620
74,"13661555476",96.43,"3",1366155547620
74,"13661555476",96.43,"4",1366155547621
75,"13661555476",100.29,"4",1366155547621
76,"13661555476",54.0,"4",1366155547621
76,"13661555476",54.0,"3",1366155547622
77,"13661555476",77.14,"3",1366155547622
77,"13661555476",77.14,"4",1366155547623
78,"13661555476",34.71,"4",1366155547623
79,"13661555476",27.0,"4",1366155547623
80,"13661555476",25.71,"4",1366155547623
81,"13661555476",7.71,"4",1366155547623
81,"13661555476",7.71,"1",1366195841824
0,"13661958418",0.0,"1",1366195841824
1,"13661958418",0.0,"1",1366195841824
2,"13661958418",0.0,"1",1366195841824
3,"13661958418",0.0,"1",1366195841824
4,"13661958418",0.29,"1",1366195841824
5,"13661958418",5.14,"1",1366195841824
