"wk","tr","nc","stg","id"
0,"1201585801",0.0,"2",12015858011
1,"1201585801",0.0,"2",12015858011
2,"1201585801",0.0,"2",12015858011
3,"1201585801",0.0,"2",12015858011
4,"1201585801",0.0,"2",12015858011
5,"1201585801",0.0,"2",12015858011
6,"1201585801",0.0,"2",12015858011
7,"1201585801",0.0,"2",12015858011
8,"1201585801",0.0,"2",12015858011
9,"1201585801",0.14,"2",12015858011
10,"1201585801",2.43,"2",12015858011
11,"1201585801",5.71,"2",12015858011
12,"1201585801",9.29,"2",12015858011
13,"1201585801",30.57,"2",12015858011
13,"1201585801",30.57,"3",12015858012
14,"1201585801",49.29,"3",12015858012
14,"1201585801",49.29,"4",12015858013
15,"1201585801",34.71,"4",12015858013
16,"1201585801",18.0,"4",12015858013
16,"1201585801",18.0,"3",12015858014
17,"1201585801",11.57,"3",12015858014
18,"1201585801",11.57,"3",12015858014
19,"1201585801",9.43,"3",12015858014
20,"1201585801",8.57,"3",12015858014
21,"1201585801",11.14,"3",12015858014
22,"1201585801",9.86,"3",12015858014
23,"1201585801",12.43,"3",12015858014
24,"1201585801",10.71,"3",12015858014
25,"1201585801",6.0,"3",12015858014
26,"1201585801",8.14,"3",12015858014
26,"1201585801",8.14,"2",12015858015
27,"1201585801",3.43,"2",12015858015
28,"1201585801",3.14,"2",12015858015
29,"1201585801",3.57,"2",12015858015
30,"1201585801",5.71,"2",12015858015
31,"1201585801",5.29,"2",12015858015
32,"1201585801",7.57,"2",12015858015
33,"1201585801",11.14,"2",12015858015
34,"1201585801",12.0,"2",12015858015
35,"1201585801",13.29,"2",12015858015
36,"1201585801",16.71,"2",12015858015
37,"1201585801",23.14,"2",12015858015
38,"1201585801",42.86,"2",12015858015
39,"1201585801",41.14,"2",12015858015
40,"1201585801",93.86,"2",12015858015
40,"1201585801",93.86,"3",12015858016
41,"1201585801",138.86,"3",12015858016
41,"1201585801",138.86,"4",12015858017
42,"1201585801",54.0,"4",12015858017
43,"1201585801",77.14,"4",12015858017
44,"1201585801",50.14,"4",12015858017
45,"1201585801",27.0,"4",12015858017
46,"1201585801",41.14,"4",12015858017
47,"1201585801",12.86,"4",12015858017
47,"1201585801",12.86,"3",12015858018
48,"1201585801",8.57,"3",12015858018
49,"1201585801",9.86,"3",12015858018
49,"1201585801",9.86,"2",12015858019
50,"1201585801",9.0,"2",12015858019
51,"1201585801",10.71,"2",12015858019
52,"1201585801",18.0,"2",12015858019
53,"1201585801",29.57,"2",12015858019
54,"1201585801",45.0,"2",12015858019
54,"1201585801",45.0,"3",120158580110
55,"1201585801",81.0,"3",120158580110
55,"1201585801",81.0,"4",120158580111
56,"1201585801",87.43,"4",120158580111
57,"1201585801",81.0,"4",120158580111
58,"1201585801",61.71,"4",120158580111
59,"1201585801",54.0,"4",120158580111
60,"1201585801",46.29,"4",120158580111
61,"1201585801",33.43,"4",120158580111
61,"1201585801",33.43,"3",120158580112
62,"1201585801",41.14,"3",120158580112
62,"1201585801",41.14,"4",120158580113
63,"1201585801",19.29,"4",120158580113
64,"1201585801",9.0,"4",120158580113
64,"1201585801",9.0,"3",120158580114
65,"1201585801",15.0,"3",120158580114
66,"1201585801",14.14,"3",120158580114
66,"1201585801",14.14,"2",120158580115
67,"1201585801",3.86,"2",120158580115
68,"1201585801",6.43,"2",120158580115
69,"1201585801",11.14,"2",120158580115
70,"1201585801",14.57,"2",120158580115
71,"1201585801",23.14,"2",120158580115
72,"1201585801",36.0,"2",120158580115
73,"1201585801",48.86,"2",120158580115
73,"1201585801",48.86,"3",120158580116
74,"1201585801",29.57,"3",120158580116
74,"1201585801",29.57,"4",120158580117
75,"1201585801",33.43,"4",120158580117
76,"1201585801",25.71,"4",120158580117
76,"1201585801",25.71,"3",120158580118
77,"1201585801",25.71,"3",120158580118
77,"1201585801",25.71,"4",120158580119
78,"1201585801",20.57,"4",120158580119
79,"1201585801",11.57,"4",120158580119
79,"1201585801",11.57,"3",120158580120
80,"1201585801",6.86,"3",120158580120
81,"1201585801",9.0,"2",12015940621
81,"1201585801",9.0,"3",120158580120
0,"120159406",0.0,"2",12015940621
1,"120159406",0.0,"2",12015940621
2,"120159406",0.43,"2",12015940621
3,"120159406",2.0,"2",12015940621
4,"120159406",4.71,"2",12015940621
5,"120159406",9.57,"2",12015940621
5,"120159406",9.57,"3",12015940622
6,"120159406",27.29,"3",12015940622
7,"120159406",40.71,"3",12015940622
7,"120159406",40.71,"4",12015940623
8,"120159406",52.71,"4",12015940623
9,"120159406",24.43,"4",12015940623
10,"120159406",27.0,"4",12015940623
11,"120159406",30.86,"4",12015940623
12,"120159406",33.43,"4",12015940623
13,"120159406",14.14,"4",12015940623
13,"120159406",14.14,"3",12015940624
14,"120159406",28.29,"3",12015940624
15,"120159406",46.29,"3",12015940624
15,"120159406",46.29,"4",12015940625
16,"120159406",32.14,"4",12015940625
17,"120159406",27.0,"4",12015940625
17,"120159406",27.0,"3",12015940626
18,"120159406",20.57,"3",12015940626
19,"120159406",24.43,"3",12015940626
20,"120159406",14.14,"3",12015940626
21,"120159406",12.86,"3",12015940626
22,"120159406",23.14,"3",12015940626
23,"120159406",12.43,"3",12015940626
24,"120159406",9.86,"3",12015940626
25,"120159406",6.43,"3",12015940626
26,"120159406",7.71,"3",12015940626
27,"120159406",3.43,"3",12015940626
27,"120159406",3.43,"2",12015940627
28,"120159406",3.43,"2",12015940627
29,"120159406",2.86,"2",12015940627
30,"120159406",2.43,"2",12015940627
31,"120159406",4.0,"2",12015940627
32,"120159406",5.14,"2",12015940627
33,"120159406",9.57,"2",12015940627
34,"120159406",22.29,"2",12015940627
35,"120159406",14.57,"2",12015940627
36,"120159406",27.0,"2",12015940627
37,"120159406",42.43,"2",12015940627
37,"120159406",42.43,"3",12015940628
38,"120159406",37.29,"3",12015940628
38,"120159406",37.29,"4",12015940629
39,"120159406",27.0,"4",12015940629
40,"120159406",11.57,"4",12015940629
40,"120159406",11.57,"3",12015940630
41,"120159406",14.14,"3",12015940630
42,"120159406",13.71,"3",12015940630
42,"120159406",13.71,"2",12015940631
43,"120159406",16.29,"2",12015940631
44,"120159406",13.29,"2",12015940631
45,"120159406",12.43,"2",12015940631
46,"120159406",15.0,"2",12015940631
47,"120159406",17.57,"2",12015940631
48,"120159406",16.71,"2",12015940631
49,"120159406",15.86,"2",12015940631
50,"120159406",18.0,"2",12015940631
51,"120159406",42.43,"2",12015940631
51,"120159406",42.43,"3",12015940632
52,"120159406",20.57,"3",12015940632
53,"120159406",14.14,"3",12015940632
53,"120159406",14.14,"2",12015940633
54,"120159406",12.86,"2",12015940633
55,"120159406",13.29,"2",12015940633
56,"120159406",9.86,"2",12015940633
57,"120159406",12.0,"2",12015940633
58,"120159406",13.29,"2",12015940633
59,"120159406",15.0,"2",12015940633
60,"120159406",13.71,"2",12015940633
61,"120159406",12.0,"2",12015940633
62,"120159406",12.0,"2",12015940633
63,"120159406",22.29,"2",12015940633
64,"120159406",29.57,"2",12015940633
65,"120159406",30.86,"2",12015940633
66,"120159406",29.57,"2",12015940633
67,"120159406",39.86,"2",12015940633
67,"120159406",39.86,"3",12015940634
68,"120159406",52.71,"3",12015940634
68,"120159406",52.71,"4",12015940635
69,"120159406",27.0,"4",12015940635
70,"120159406",9.0,"4",12015940635
70,"120159406",9.0,"3",12015940636
71,"120159406",11.57,"3",12015940636
72,"120159406",6.86,"3",12015940636
72,"120159406",6.86,"2",12015940637
73,"120159406",7.71,"2",12015940637
74,"120159406",6.43,"2",12015940637
75,"120159406",10.71,"2",12015940637
76,"120159406",18.0,"2",12015940637
77,"120159406",25.29,"2",12015940637
78,"120159406",11.57,"2",12015940637
79,"120159406",14.14,"2",12015940637
80,"120159406",21.86,"2",12015940637
81,"120159406",16.71,"2",12015940637
81,"120159406",16.71,"2",120171643137
0,"1201716431",0.0,"2",120171643137
1,"1201716431",0.0,"2",120171643137
2,"1201716431",0.0,"2",120171643137
3,"1201716431",0.0,"2",120171643137
4,"1201716431",0.0,"2",120171643137
5,"1201716431",1.71,"2",120171643137
6,"1201716431",8.0,"2",120171643137
6,"1201716431",8.0,"3",120171643138
7,"1201716431",8.0,"3",120171643138
8,"1201716431",16.43,"3",120171643138
9,"1201716431",28.29,"3",120171643138
10,"1201716431",41.57,"3",120171643138
10,"1201716431",41.57,"4",120171643139
11,"1201716431",65.57,"4",120171643139
12,"1201716431",56.57,"4",120171643139
13,"1201716431",33.43,"4",120171643139
14,"1201716431",25.71,"4",120171643139
15,"1201716431",23.14,"4",120171643139
15,"1201716431",23.14,"3",120171643140
16,"1201716431",11.57,"3",120171643140
17,"1201716431",9.43,"3",120171643140
18,"1201716431",9.86,"3",120171643140
19,"1201716431",4.29,"3",120171643140
19,"1201716431",4.29,"2",120171643141
20,"1201716431",3.29,"2",120171643141
21,"1201716431",2.0,"2",120171643141
22,"1201716431",0.57,"2",120171643141
23,"1201716431",0.86,"2",120171643141
24,"1201716431",0.57,"2",120171643141
25,"1201716431",0.86,"2",120171643141
26,"1201716431",0.71,"2",120171643141
27,"1201716431",0.29,"2",120171643141
28,"1201716431",0.0,"2",120171643141
29,"1201716431",0.0,"2",120171643141
30,"1201716431",0.71,"2",120171643141
31,"1201716431",0.71,"2",120171643141
32,"1201716431",2.86,"2",120171643141
33,"1201716431",4.0,"2",120171643141
34,"1201716431",6.14,"2",120171643141
35,"1201716431",9.14,"2",120171643141
36,"1201716431",10.29,"2",120171643141
37,"1201716431",7.29,"2",120171643141
38,"1201716431",9.43,"2",120171643141
39,"1201716431",6.0,"2",120171643141
40,"1201716431",3.86,"2",120171643141
41,"1201716431",3.57,"2",120171643141
42,"1201716431",4.14,"2",120171643141
43,"1201716431",4.14,"2",120171643141
44,"1201716431",4.86,"2",120171643141
45,"1201716431",5.86,"2",120171643141
46,"1201716431",3.14,"2",120171643141
47,"1201716431",4.71,"2",120171643141
48,"1201716431",5.43,"2",120171643141
49,"1201716431",2.86,"2",120171643141
50,"1201716431",2.71,"2",120171643141
51,"1201716431",5.14,"2",120171643141
52,"1201716431",5.86,"2",120171643141
53,"1201716431",4.71,"2",120171643141
54,"1201716431",3.86,"2",120171643141
55,"1201716431",3.0,"2",120171643141
56,"1201716431",3.71,"2",120171643141
