"wk","tr","nc","stg","id"
0,"11702010551",0.29,"1",117020105511
1,"11702010551",3.0,"1",117020105511
1,"11702010551",3.0,"1b",117020105512
2,"11702010551",6.43,"1b",117020105512
2,"11702010551",6.43,"3",117020105513
3,"11702010551",5.71,"3",117020105513
4,"11702010551",3.43,"3",117020105513
4,"11702010551",3.43,"2",117020105514
5,"11702010551",3.57,"2",117020105514
6,"11702010551",2.86,"2",117020105514
7,"11702010551",2.71,"2",117020105514
8,"11702010551",3.29,"2",117020105514
9,"11702010551",3.14,"2",117020105514
10,"11702010551",1.0,"2",117020105514
11,"11702010551",1.14,"2",117020105514
12,"11702010551",0.57,"2",117020105514
13,"11702010551",0.57,"2",117020105514
13,"11702010551",0.57,"1b",117020105515
14,"11702010551",0.29,"1b",117020105515
15,"11702010551",0.43,"1b",117020105515
15,"11702010551",0.43,"1",117020105516
16,"11702010551",0.29,"1",117020105516
17,"11702010551",1.14,"1",117020105516
18,"11702010551",2.86,"1",117020105516
19,"11702010551",2.29,"1",117020105516
20,"11702010551",2.71,"1",117020105516
21,"11702010551",2.43,"1",117020105516
22,"11702010551",1.86,"1",117020105516
23,"11702010551",1.43,"1",117020105516
24,"11702010551",2.57,"1",117020105516
25,"11702010551",3.86,"1",117020105516
26,"11702010551",1.43,"1",117020105516
27,"11702010551",1.29,"1",117020105516
28,"11702010551",0.43,"1",117020105516
29,"11702010551",0.57,"1",117020105516
30,"11702010551",0.43,"1",117020105516
31,"11702010551",0.86,"1",117020105516
32,"11702010551",4.43,"1",117020105516
33,"11702010551",3.57,"1",117020105516
34,"11702010551",6.57,"1",117020105516
35,"11702010551",10.14,"1",117020105516
36,"11702010551",9.86,"1",117020105516
37,"11702010551",9.0,"1",117020105516
38,"11702010551",7.71,"1",117020105516
39,"11702010551",11.57,"1",117020105516
40,"11702010551",13.71,"1",117020105516
41,"11702010551",21.0,"1",117020105516
42,"11702010551",27.86,"1",117020105516
43,"11702010551",28.29,"1",117020105516
44,"11702010551",39.86,"1",117020105516
45,"11702010551",48.86,"1",117020105516
46,"11702010551",46.29,"1",117020105516
47,"11702010551",42.43,"1",117020105516
48,"11702010551",45.0,"1",117020105516
49,"11702010551",36.0,"1",117020105516
50,"11702010551",29.57,"1",117020105516
51,"11702010551",51.43,"1",117020105516
52,"11702010551",36.0,"1",117020105516
53,"11702010551",38.57,"1",117020105516
54,"11702010551",82.29,"1",117020105516
55,"11702010551",83.57,"1",117020105516
56,"11702010551",104.14,"1",117020105516
57,"11702010551",104.14,"1",117020105516
58,"11702010551",138.86,"1",117020105516
59,"11702010551",104.14,"1",117020105516
60,"11702010551",146.57,"1",117020105516
61,"11702010551",192.86,"1",117020105516
62,"11702010551",104.14,"1",117020105516
63,"11702010551",135.0,"1",117020105516
64,"11702010551",123.43,"1",117020105516
65,"11702010551",150.43,"1",117020105516
66,"11702010551",50.14,"1",117020105516
67,"11702010551",42.43,"1",117020105516
68,"11702010551",54.0,"1",117020105516
69,"11702010551",41.14,"1",117020105516
70,"11702010551",55.29,"1",117020105516
71,"11702010551",105.43,"1",117020105516
72,"11702010551",173.57,"1",117020105516
73,"11702010551",158.14,"1",117020105516
74,"11702010551",104.14,"1",117020105516
75,"11702010551",131.14,"1",117020105516
76,"11702010551",173.57,"1",117020105516
77,"11702010551",142.71,"1",117020105516
78,"11702010551",181.29,"1",117020105516
79,"11702010551",254.57,"1",117020105516
80,"11702010551",231.43,"1",117020105516
81,"11702010551",439.71,"1",117020105516
81,"11702010551",439.71,"1",117023680566
0,"11702368056",0.0,"1",117023680566
1,"11702368056",0.0,"1",117023680566
2,"11702368056",0.0,"1",117023680566
3,"11702368056",0.0,"1",117023680566
4,"11702368056",0.0,"1",117023680566
5,"11702368056",0.0,"1",117023680566
6,"11702368056",0.14,"1",117023680566
6,"11702368056",0.14,"1b",117023680567
7,"11702368056",0.43,"1b",117023680567
8,"11702368056",0.29,"1b",117023680567
9,"11702368056",0.43,"1b",117023680567
10,"11702368056",0.14,"1b",117023680567
10,"11702368056",0.14,"1",117023680568
11,"11702368056",0.14,"1",117023680568
11,"11702368056",0.14,"1b",117023680569
12,"11702368056",0.43,"1b",117023680569
13,"11702368056",0.29,"1b",117023680569
13,"11702368056",0.29,"1",1170236805610
14,"11702368056",0.43,"1",1170236805610
14,"11702368056",0.43,"1b",1170236805611
15,"11702368056",0.14,"1b",1170236805611
16,"11702368056",0.14,"1b",1170236805611
16,"11702368056",0.14,"1",1170236805612
17,"11702368056",0.57,"1",1170236805612
18,"11702368056",0.43,"1",1170236805612
19,"11702368056",0.29,"1",1170236805612
20,"11702368056",0.14,"1",1170236805612
21,"11702368056",0.43,"1",1170236805612
22,"11702368056",0.29,"1",1170236805612
23,"11702368056",0.43,"1",1170236805612
24,"11702368056",0.29,"1",1170236805612
25,"11702368056",0.0,"1",1170236805612
26,"11702368056",0.0,"1",1170236805612
27,"11702368056",0.0,"1",1170236805612
28,"11702368056",0.14,"1",1170236805612
29,"11702368056",0.0,"1",1170236805612
30,"11702368056",0.14,"1",1170236805612
31,"11702368056",1.14,"1",1170236805612
32,"11702368056",1.86,"1",1170236805612
33,"11702368056",2.29,"1",1170236805612
34,"11702368056",5.0,"1",1170236805612
35,"11702368056",7.29,"1",1170236805612
36,"11702368056",11.0,"1",1170236805612
37,"11702368056",10.29,"1",1170236805612
38,"11702368056",13.71,"1",1170236805612
39,"11702368056",8.57,"1",1170236805612
40,"11702368056",15.0,"1",1170236805612
41,"11702368056",9.43,"1",1170236805612
42,"11702368056",5.57,"1",1170236805612
43,"11702368056",6.43,"1",1170236805612
44,"11702368056",6.43,"1",1170236805612
45,"11702368056",4.29,"1",1170236805612
46,"11702368056",6.86,"1",1170236805612
47,"11702368056",6.0,"1",1170236805612
48,"11702368056",5.57,"1",1170236805612
49,"11702368056",5.57,"1",1170236805612
50,"11702368056",4.29,"1",1170236805612
