"wk","tr","nc","stg","id"
0,"12842010551",0.14,"2",128420105511
1,"12842010551",0.0,"2",128420105511
2,"12842010551",0.14,"2",128420105511
3,"12842010551",0.14,"2",128420105511
4,"12842010551",0.14,"2",128420105511
5,"12842010551",0.43,"2",128420105511
6,"12842010551",3.0,"2",128420105511
7,"12842010551",5.71,"2",128420105511
8,"12842010551",14.0,"2",128420105511
8,"12842010551",14.0,"3",128420105512
9,"12842010551",28.29,"3",128420105512
10,"12842010551",37.29,"3",128420105512
10,"12842010551",37.29,"4",128420105513
11,"12842010551",39.86,"4",128420105513
12,"12842010551",9.0,"4",128420105513
12,"12842010551",9.0,"3",128420105514
13,"12842010551",6.43,"3",128420105514
14,"12842010551",13.71,"3",128420105514
14,"12842010551",13.71,"2",128420105515
15,"12842010551",10.71,"2",128420105515
16,"12842010551",7.71,"2",128420105515
17,"12842010551",10.29,"2",128420105515
18,"12842010551",14.14,"2",128420105515
19,"12842010551",17.14,"2",128420105515
20,"12842010551",19.71,"2",128420105515
21,"12842010551",42.0,"2",128420105515
21,"12842010551",42.0,"3",128420105516
22,"12842010551",33.43,"3",128420105516
22,"12842010551",33.43,"4",128420105517
23,"12842010551",28.29,"4",128420105517
24,"12842010551",16.71,"4",128420105517
25,"12842010551",21.86,"4",128420105517
25,"12842010551",21.86,"3",128420105518
26,"12842010551",18.0,"3",128420105518
27,"12842010551",15.43,"3",128420105518
27,"12842010551",15.43,"2",128420105519
28,"12842010551",11.57,"2",128420105519
29,"12842010551",13.29,"2",128420105519
30,"12842010551",6.43,"2",128420105519
31,"12842010551",11.57,"2",128420105519
32,"12842010551",16.71,"2",128420105519
33,"12842010551",26.57,"2",128420105519
34,"12842010551",63.0,"2",128420105519
35,"12842010551",73.29,"2",128420105519
36,"12842010551",162.0,"2",128420105519
37,"12842010551",204.43,"2",128420105519
38,"12842010551",389.57,"2",128420105519
39,"12842010551",648.0,"2",128420105519
40,"12842010551",960.43,"2",128420105519
40,"12842010551",960.43,"3",1284201055110
41,"12842010551",1249.71,"3",1284201055110
41,"12842010551",1249.71,"4",1284201055111
42,"12842010551",867.86,"4",1284201055111
43,"12842010551",347.14,"4",1284201055111
43,"12842010551",347.14,"3",1284201055112
44,"12842010551",659.57,"3",1284201055112
45,"12842010551",347.14,"3",1284201055112
45,"12842010551",347.14,"2",1284201055113
46,"12842010551",324.0,"2",1284201055113
47,"12842010551",462.86,"2",1284201055113
47,"12842010551",462.86,"3",1284201055114
48,"12842010551",324.0,"3",1284201055114
49,"12842010551",381.86,"3",1284201055114
49,"12842010551",381.86,"2",1284201055115
50,"12842010551",104.14,"2",1284201055115
51,"12842010551",173.57,"2",1284201055115
52,"12842010551",115.71,"2",1284201055115
53,"12842010551",111.86,"2",1284201055115
54,"12842010551",135.0,"2",1284201055115
55,"12842010551",123.43,"2",1284201055115
56,"12842010551",165.86,"2",1284201055115
57,"12842010551",339.43,"2",1284201055115
58,"12842010551",474.43,"2",1284201055115
59,"12842010551",555.43,"2",1284201055115
60,"12842010551",867.86,"2",1284201055115
61,"12842010551",1110.86,"2",1284201055115
62,"12842010551",1562.14,"2",1284201055115
62,"12842010551",1562.14,"3",1284201055116
63,"12842010551",1666.29,"3",1284201055116
63,"12842010551",1666.29,"4",1284201055117
64,"12842010551",798.43,"4",1284201055117
65,"12842010551",590.14,"4",1284201055117
65,"12842010551",590.14,"3",1284201055118
66,"12842010551",590.14,"3",1284201055118
66,"12842010551",590.14,"4",1284201055119
67,"12842010551",277.71,"4",1284201055119
68,"12842010551",266.14,"4",1284201055119
68,"12842010551",266.14,"3",1284201055120
69,"12842010551",173.57,"3",1284201055120
70,"12842010551",138.86,"3",1284201055120
70,"12842010551",138.86,"2",1284201055121
71,"12842010551",92.57,"2",1284201055121
72,"12842010551",150.43,"2",1284201055121
73,"12842010551",119.57,"2",1284201055121
74,"12842010551",169.71,"2",1284201055121
75,"12842010551",270.0,"2",1284201055121
76,"12842010551",613.29,"2",1284201055121
77,"12842010551",1481.14,"2",1284201055121
77,"12842010551",1481.14,"3",1284201055122
78,"12842010551",1735.71,"3",1284201055122
78,"12842010551",1735.71,"4",1284201055123
79,"12842010551",2221.71,"4",1284201055123
80,"12842010551",1978.71,"4",1284201055123
80,"12842010551",1978.71,"3",1284201055124
81,"12842010551",2291.14,"3",1284201055124
81,"12842010551",2291.14,"2",1284236805625
0,"12842368056",0.0,"2",1284236805625
1,"12842368056",0.0,"2",1284236805625
2,"12842368056",0.0,"2",1284236805625
3,"12842368056",0.0,"2",1284236805625
4,"12842368056",0.0,"2",1284236805625
5,"12842368056",0.0,"2",1284236805625
6,"12842368056",0.0,"2",1284236805625
7,"12842368056",0.29,"2",1284236805625
8,"12842368056",1.0,"2",1284236805625
9,"12842368056",3.29,"2",1284236805625
10,"12842368056",5.29,"2",1284236805625
11,"12842368056",10.0,"2",1284236805625
11,"12842368056",10.0,"3",1284236805626
12,"12842368056",23.57,"3",1284236805626
13,"12842368056",16.71,"3",1284236805626
14,"12842368056",36.43,"3",1284236805626
14,"12842368056",36.43,"2",1284236805627
15,"12842368056",45.0,"2",1284236805627
15,"12842368056",45.0,"3",1284236805628
16,"12842368056",43.71,"3",1284236805628
17,"12842368056",59.14,"3",1284236805628
17,"12842368056",59.14,"4",1284236805629
18,"12842368056",54.0,"4",1284236805629
19,"12842368056",57.86,"4",1284236805629
20,"12842368056",32.14,"4",1284236805629
21,"12842368056",21.86,"4",1284236805629
22,"12842368056",15.43,"4",1284236805629
22,"12842368056",15.43,"3",1284236805630
23,"12842368056",17.57,"3",1284236805630
24,"12842368056",15.86,"3",1284236805630
24,"12842368056",15.86,"2",1284236805631
25,"12842368056",8.14,"2",1284236805631
26,"12842368056",6.43,"2",1284236805631
27,"12842368056",7.71,"2",1284236805631
28,"12842368056",9.0,"2",1284236805631
29,"12842368056",5.57,"2",1284236805631
30,"12842368056",8.57,"2",1284236805631
31,"12842368056",13.71,"2",1284236805631
32,"12842368056",16.71,"2",1284236805631
33,"12842368056",25.29,"2",1284236805631
34,"12842368056",38.57,"2",1284236805631
35,"12842368056",59.14,"2",1284236805631
36,"12842368056",54.0,"2",1284236805631
37,"12842368056",59.14,"2",1284236805631
38,"12842368056",57.86,"2",1284236805631
39,"12842368056",73.29,"2",1284236805631
40,"12842368056",61.71,"2",1284236805631
