"wk","tr","nc","stg","id"
0,"11062010551",0.0,"1",110620105511
1,"11062010551",0.71,"1",110620105511
1,"11062010551",0.71,"1b",110620105512
2,"11062010551",0.0,"1b",110620105512
3,"11062010551",0.0,"1b",110620105512
3,"11062010551",0.0,"1",110620105513
4,"11062010551",0.14,"1",110620105513
5,"11062010551",3.14,"1",110620105513
5,"11062010551",3.14,"2",110620105514
6,"11062010551",6.71,"2",110620105514
6,"11062010551",6.71,"3",110620105515
7,"11062010551",7.86,"3",110620105515
8,"11062010551",16.71,"3",110620105515
9,"11062010551",12.0,"3",110620105515
10,"11062010551",16.29,"3",110620105515
11,"11062010551",20.14,"3",110620105515
12,"11062010551",18.86,"3",110620105515
13,"11062010551",57.86,"3",110620105515
13,"11062010551",57.86,"4",110620105516
14,"11062010551",30.86,"4",110620105516
15,"11062010551",29.57,"4",110620105516
16,"11062010551",18.0,"4",110620105516
16,"11062010551",18.0,"3",110620105517
17,"11062010551",38.57,"3",110620105517
18,"11062010551",55.29,"3",110620105517
18,"11062010551",55.29,"4",110620105518
19,"11062010551",34.71,"4",110620105518
20,"11062010551",32.14,"4",110620105518
21,"11062010551",30.86,"4",110620105518
22,"11062010551",20.57,"4",110620105518
23,"11062010551",16.71,"4",110620105518
23,"11062010551",16.71,"3",110620105519
24,"11062010551",18.0,"3",110620105519
25,"11062010551",12.86,"3",110620105519
25,"11062010551",12.86,"2",1106201055110
26,"11062010551",19.71,"2",1106201055110
27,"11062010551",15.43,"2",1106201055110
27,"11062010551",15.43,"1b",1106201055111
28,"11062010551",10.71,"1b",1106201055111
29,"11062010551",3.86,"1b",1106201055111
29,"11062010551",3.86,"1",1106201055112
30,"11062010551",6.86,"1",1106201055112
31,"11062010551",9.0,"1",1106201055112
32,"11062010551",19.29,"1",1106201055112
33,"11062010551",25.71,"1",1106201055112
34,"11062010551",52.71,"1",1106201055112
35,"11062010551",55.29,"1",1106201055112
36,"11062010551",56.57,"1",1106201055112
37,"11062010551",88.71,"1",1106201055112
38,"11062010551",111.86,"1",1106201055112
39,"11062010551",312.43,"1",1106201055112
39,"11062010551",312.43,"1b",1106201055113
40,"11062010551",694.29,"1b",1106201055113
40,"11062010551",694.29,"2",1106201055114
41,"11062010551",601.71,"2",1106201055114
41,"11062010551",601.71,"3",1106201055115
42,"11062010551",659.57,"3",1106201055115
42,"11062010551",659.57,"4",1106201055116
43,"11062010551",555.43,"4",1106201055116
44,"11062010551",347.14,"4",1106201055116
45,"11062010551",312.43,"4",1106201055116
46,"11062010551",231.43,"4",1106201055116
47,"11062010551",185.14,"4",1106201055116
48,"11062010551",185.14,"4",1106201055116
49,"11062010551",104.14,"4",1106201055116
50,"11062010551",104.14,"4",1106201055116
50,"11062010551",104.14,"3",1106201055117
51,"11062010551",42.43,"3",1106201055117
52,"11062010551",30.86,"3",1106201055117
52,"11062010551",30.86,"2",1106201055118
53,"11062010551",42.43,"2",1106201055118
54,"11062010551",19.29,"2",1106201055118
54,"11062010551",19.29,"1b",1106201055119
55,"11062010551",38.57,"1b",1106201055119
