"wk","tr","nc","stg","id"
0,"701022892",0.0,"1",7010228921
1,"701022892",0.0,"1",7010228921
2,"701022892",0.0,"1",7010228921
3,"701022892",0.14285714285714285,"1",7010228921
4,"701022892",0.0,"1",7010228921
5,"701022892",0.0,"1",7010228921
6,"701022892",0.0,"1",7010228921
7,"701022892",0.14285714285714285,"1",7010228921
7,"701022892",0.14285714285714285,"1b",7010228922
8,"701022892",0.14285714285714285,"1b",7010228922
9,"701022892",0.14285714285714285,"1b",7010228922
9,"701022892",0.14285714285714285,"1",7010228923
10,"701022892",0.0,"1",7010228923
11,"701022892",0.0,"1",7010228923
12,"701022892",0.14285714285714285,"1",7010228923
13,"701022892",0.0,"1",7010228923
14,"701022892",0.0,"1",7010228923
15,"701022892",0.14285714285714285,"1",7010228923
15,"701022892",0.14285714285714285,"1b",7010228924
16,"701022892",0.2857142857142857,"1b",7010228924
17,"701022892",0.0,"1b",7010228924
17,"701022892",0.0,"1",7010228925
18,"701022892",0.0,"1",7010228925
19,"701022892",0.0,"1",7010228925
20,"701022892",0.0,"1",7010228925
21,"701022892",0.0,"1",7010228925
22,"701022892",0.0,"1",7010228925
23,"701022892",0.0,"1",7010228925
24,"701022892",0.0,"1",7010228925
25,"701022892",0.2857142857142857,"1",7010228925
26,"701022892",1.2857142857142858,"1",7010228925
26,"701022892",1.2857142857142858,"2",7010228926
27,"701022892",1.4285714285714286,"2",7010228926
28,"701022892",0.14285714285714285,"2",7010228926
28,"701022892",0.14285714285714285,"1b",7010228927
29,"701022892",0.0,"1b",7010228927
30,"701022892",0.14285714285714285,"1b",7010228927
31,"701022892",0.0,"1b",7010228927
31,"701022892",0.0,"1",7010228928
32,"701022892",0.0,"1",7010228928
33,"701022892",0.0,"1",7010228928
34,"701022892",0.0,"1",7010228928
35,"701022892",0.0,"1",7010228928
36,"701022892",0.0,"1",7010228928
37,"701022892",0.14285714285714285,"1",7010228928
37,"701022892",0.14285714285714285,"1b",7010228929
38,"701022892",0.5714285714285714,"1b",7010228929
39,"701022892",0.14285714285714285,"1b",7010228929
39,"701022892",0.14285714285714285,"1",70102289210
40,"701022892",0.14285714285714285,"1",70102289210
41,"701022892",0.0,"1",70102289210
42,"701022892",0.0,"1",70102289210
43,"701022892",0.0,"1",70102289210
44,"701022892",0.0,"1",70102289210
45,"701022892",0.0,"1",70102289210
46,"701022892",0.0,"1",70102289210
47,"701022892",0.0,"1",70102289210
48,"701022892",0.0,"1",70102289210
49,"701022892",0.0,"1",70102289210
50,"701022892",0.14285714285714285,"1",70102289210
50,"701022892",0.14285714285714285,"1b",70102289211
51,"701022892",1.0,"1b",70102289211
52,"701022892",0.0,"1b",70102289211
52,"701022892",0.0,"1",70102289212
53,"701022892",5.285714285714286,"1",70102289212
54,"701022892",13.0,"1",70102289212
55,"701022892",12.571428571428571,"1",70102289212
56,"701022892",12.428571428571429,"1",70102289212
57,"701022892",9.714285714285714,"1",70102289212
58,"701022892",7.714285714285714,"1",70102289212
59,"701022892",9.714285714285714,"1",70102289212
60,"701022892",14.428571428571429,"1",70102289212
61,"701022892",13.428571428571429,"1",70102289212
62,"701022892",13.428571428571429,"1",70102289212
63,"701022892",13.285714285714286,"1",70102289212
64,"701022892",14.142857142857142,"1",70102289212
65,"701022892",14.714285714285714,"1",70102289212
66,"701022892",12.857142857142858,"1",70102289212
67,"701022892",11.142857142857142,"1",70102289212
68,"701022892",12.714285714285714,"1",70102289212
69,"701022892",12.0,"1",70102289212
70,"701022892",9.0,"1",70102289212
71,"701022892",10.428571428571429,"1",70102289212
72,"701022892",10.142857142857142,"1",70102289212
