"wk","tr","nc","stg","id"
0,"1971022892",0.0,"1",19710228921
1,"1971022892",0.0,"1",19710228921
2,"1971022892",0.0,"1",19710228921
3,"1971022892",0.14285714285714285,"1",19710228921
4,"1971022892",0.0,"1",19710228921
5,"1971022892",0.0,"1",19710228921
6,"1971022892",0.0,"1",19710228921
7,"1971022892",0.8571428571428571,"1",19710228921
7,"1971022892",0.8571428571428571,"1b",19710228922
8,"1971022892",1.2857142857142858,"1b",19710228922
8,"1971022892",1.2857142857142858,"2",19710228923
9,"1971022892",1.8571428571428572,"2",19710228923
10,"1971022892",1.0,"2",19710228923
11,"1971022892",1.0,"2",19710228923
11,"1971022892",1.0,"1b",19710228924
12,"1971022892",0.2857142857142857,"1b",19710228924
13,"1971022892",0.0,"1b",19710228924
13,"1971022892",0.0,"1",19710228925
14,"1971022892",0.0,"1",19710228925
15,"1971022892",0.14285714285714285,"1",19710228925
16,"1971022892",0.7142857142857143,"1",19710228925
16,"1971022892",0.7142857142857143,"1b",19710228926
17,"1971022892",1.7142857142857142,"1b",19710228926
17,"1971022892",1.7142857142857142,"2",19710228927
18,"1971022892",1.2857142857142858,"2",19710228927
19,"1971022892",0.5714285714285714,"2",19710228927
19,"1971022892",0.5714285714285714,"1b",19710228928
20,"1971022892",0.0,"1b",19710228928
21,"1971022892",0.0,"1b",19710228928
21,"1971022892",0.0,"1",19710228929
22,"1971022892",0.0,"1",19710228929
23,"1971022892",0.0,"1",19710228929
24,"1971022892",0.0,"1",19710228929
25,"1971022892",0.2857142857142857,"1",19710228929
26,"1971022892",0.14285714285714285,"1",19710228929
27,"1971022892",0.14285714285714285,"1",19710228929
28,"1971022892",0.0,"1",19710228929
29,"1971022892",0.0,"1",19710228929
30,"1971022892",0.14285714285714285,"1",19710228929
31,"1971022892",0.0,"1",19710228929
32,"1971022892",0.0,"1",19710228929
33,"1971022892",0.0,"1",19710228929
34,"1971022892",0.0,"1",19710228929
35,"1971022892",0.0,"1",19710228929
36,"1971022892",0.0,"1",19710228929
37,"1971022892",0.14285714285714285,"1",19710228929
38,"1971022892",0.0,"1",19710228929
39,"1971022892",0.14285714285714285,"1",19710228929
40,"1971022892",0.14285714285714285,"1",19710228929
41,"1971022892",0.0,"1",19710228929
42,"1971022892",0.0,"1",19710228929
43,"1971022892",0.0,"1",19710228929
44,"1971022892",0.0,"1",19710228929
45,"1971022892",0.0,"1",19710228929
46,"1971022892",0.0,"1",19710228929
47,"1971022892",0.0,"1",19710228929
48,"1971022892",0.0,"1",19710228929
49,"1971022892",0.0,"1",19710228929
50,"1971022892",0.14285714285714285,"1",19710228929
51,"1971022892",0.14285714285714285,"1",19710228929
52,"1971022892",0.0,"1",19710228929
53,"1971022892",1.4285714285714286,"1",19710228929
54,"1971022892",1.2857142857142858,"1",19710228929
55,"1971022892",1.2857142857142858,"1",19710228929
56,"1971022892",2.5714285714285716,"1",19710228929
57,"1971022892",2.2857142857142856,"1",19710228929
