"wk","tr","nc","stg","id"
0,"2501022892",0.0,"1",25010228921
1,"2501022892",0.0,"1",25010228921
2,"2501022892",0.0,"1",25010228921
3,"2501022892",0.14285714285714285,"1",25010228921
4,"2501022892",0.0,"1",25010228921
5,"2501022892",0.0,"1",25010228921
6,"2501022892",0.0,"1",25010228921
7,"2501022892",0.14285714285714285,"1",25010228921
7,"2501022892",0.14285714285714285,"1b",25010228922
8,"2501022892",0.14285714285714285,"1b",25010228922
9,"2501022892",0.14285714285714285,"1b",25010228922
10,"2501022892",0.0,"1b",25010228922
10,"2501022892",0.0,"1",25010228923
11,"2501022892",0.0,"1",25010228923
12,"2501022892",0.14285714285714285,"1",25010228923
13,"2501022892",0.0,"1",25010228923
14,"2501022892",0.0,"1",25010228923
15,"2501022892",0.14285714285714285,"1",25010228923
16,"2501022892",0.2857142857142857,"1",25010228923
17,"2501022892",0.0,"1",25010228923
18,"2501022892",0.0,"1",25010228923
19,"2501022892",0.0,"1",25010228923
20,"2501022892",0.0,"1",25010228923
21,"2501022892",0.0,"1",25010228923
22,"2501022892",0.0,"1",25010228923
23,"2501022892",0.0,"1",25010228923
24,"2501022892",0.0,"1",25010228923
25,"2501022892",1.0,"1",25010228923
25,"2501022892",1.0,"1b",25010228924
26,"2501022892",0.42857142857142855,"1b",25010228924
26,"2501022892",0.42857142857142855,"2",25010228925
27,"2501022892",0.14285714285714285,"2",25010228925
27,"2501022892",0.14285714285714285,"1b",25010228926
28,"2501022892",0.0,"1b",25010228926
29,"2501022892",0.0,"1b",25010228926
29,"2501022892",0.0,"1",25010228927
30,"2501022892",0.14285714285714285,"1",25010228927
31,"2501022892",0.0,"1",25010228927
32,"2501022892",0.0,"1",25010228927
33,"2501022892",0.0,"1",25010228927
34,"2501022892",0.0,"1",25010228927
35,"2501022892",0.0,"1",25010228927
36,"2501022892",0.0,"1",25010228927
37,"2501022892",0.14285714285714285,"1",25010228927
38,"2501022892",0.0,"1",25010228927
39,"2501022892",0.14285714285714285,"1",25010228927
40,"2501022892",0.5714285714285714,"1",25010228927
41,"2501022892",0.2857142857142857,"1",25010228927
41,"2501022892",0.2857142857142857,"1b",25010228928
42,"2501022892",0.7142857142857143,"1b",25010228928
43,"2501022892",0.14285714285714285,"1b",25010228928
43,"2501022892",0.14285714285714285,"1",25010228929
44,"2501022892",0.0,"1",25010228929
45,"2501022892",0.0,"1",25010228929
46,"2501022892",0.0,"1",25010228929
47,"2501022892",0.0,"1",25010228929
48,"2501022892",0.0,"1",25010228929
49,"2501022892",0.0,"1",25010228929
50,"2501022892",0.14285714285714285,"1",25010228929
51,"2501022892",0.14285714285714285,"1",25010228929
52,"2501022892",0.0,"1",25010228929
53,"2501022892",5.714285714285714,"1",25010228929
54,"2501022892",8.714285714285714,"1",25010228929
55,"2501022892",8.714285714285714,"1",25010228929
56,"2501022892",11.142857142857142,"1",25010228929
57,"2501022892",11.0,"1",25010228929
58,"2501022892",11.142857142857142,"1",25010228929
59,"2501022892",12.714285714285714,"1",25010228929
60,"2501022892",15.142857142857142,"1",25010228929
61,"2501022892",12.714285714285714,"1",25010228929
62,"2501022892",13.571428571428571,"1",25010228929
63,"2501022892",10.0,"1",25010228929
64,"2501022892",11.571428571428571,"1",25010228929
65,"2501022892",10.714285714285714,"1",25010228929
66,"2501022892",8.428571428571429,"1",25010228929
67,"2501022892",8.857142857142858,"1",25010228929
68,"2501022892",9.0,"1",25010228929
69,"2501022892",9.0,"1",25010228929
70,"2501022892",11.142857142857142,"1",25010228929
71,"2501022892",12.571428571428571,"1",25010228929
72,"2501022892",10.714285714285714,"1",25010228929
73,"2501022892",10.714285714285714,"1",25010228929
74,"2501022892",9.0,"1",25010228929
75,"2501022892",9.857142857142858,"1",25010228929
76,"2501022892",6.714285714285714,"1",25010228929
77,"2501022892",8.857142857142858,"1",25010228929
78,"2501022892",11.142857142857142,"1",25010228929
79,"2501022892",11.428571428571429,"1",25010228929
80,"2501022892",7.571428571428571,"1",25010228929
81,"2501022892",9.285714285714286,"1",25010228929
82,"2501022892",10.0,"1",25010228929
83,"2501022892",8.285714285714286,"1",25010228929
84,"2501022892",6.285714285714286,"1",25010228929
85,"2501022892",9.142857142857142,"1",25010228929
86,"2501022892",13.142857142857142,"1",25010228929
87,"2501022892",18.0,"1",25010228929
88,"2501022892",14.714285714285714,"1",25010228929
89,"2501022892",12.285714285714286,"1",25010228929
90,"2501022892",8.857142857142858,"1",25010228929
91,"2501022892",10.142857142857142,"1",25010228929
92,"2501022892",10.142857142857142,"1",25010228929
93,"2501022892",10.0,"1",25010228929
94,"2501022892",10.714285714285714,"1",25010228929
95,"2501022892",9.714285714285714,"1",25010228929
96,"2501022892",8.714285714285714,"1",25010228929
97,"2501022892",8.0,"1",25010228929
98,"2501022892",8.428571428571429,"1",25010228929
99,"2501022892",8.142857142857142,"1",25010228929
100,"2501022892",11.142857142857142,"1",25010228929
101,"2501022892",8.857142857142858,"1",25010228929
102,"2501022892",8.142857142857142,"1",25010228929
103,"2501022892",9.571428571428571,"1",25010228929
104,"2501022892",11.571428571428571,"1",25010228929
104,"2501022892",11.571428571428571,"1",25010875279
0,"2501087527",0.0,"1",25010875279
1,"2501087527",0.0,"1",25010875279
2,"2501087527",0.0,"1",25010875279
3,"2501087527",0.14285714285714285,"1",25010875279
4,"2501087527",0.7142857142857143,"1",25010875279
4,"2501087527",0.7142857142857143,"1b",250108752710
5,"2501087527",6.714285714285714,"1b",250108752710
5,"2501087527",6.714285714285714,"3",250108752711
6,"2501087527",5.428571428571429,"3",250108752711
7,"2501087527",3.4285714285714284,"3",250108752711
7,"2501087527",3.4285714285714284,"2",250108752712
