"wk","tr","nc","stg","id"
0,"5941022892",0.0,"1",59410228921
1,"5941022892",0.0,"1",59410228921
2,"5941022892",0.0,"1",59410228921
3,"5941022892",0.14285714285714285,"1",59410228921
4,"5941022892",0.0,"1",59410228921
5,"5941022892",0.0,"1",59410228921
6,"5941022892",0.0,"1",59410228921
7,"5941022892",0.14285714285714285,"1",59410228921
8,"5941022892",0.0,"1",59410228921
9,"5941022892",0.14285714285714285,"1",59410228921
10,"5941022892",0.0,"1",59410228921
11,"5941022892",0.0,"1",59410228921
12,"5941022892",0.14285714285714285,"1",59410228921
13,"5941022892",0.0,"1",59410228921
14,"5941022892",0.0,"1",59410228921
15,"5941022892",0.14285714285714285,"1",59410228921
16,"5941022892",0.2857142857142857,"1",59410228921
17,"5941022892",0.0,"1",59410228921
18,"5941022892",0.0,"1",59410228921
19,"5941022892",0.0,"1",59410228921
20,"5941022892",0.0,"1",59410228921
21,"5941022892",0.0,"1",59410228921
22,"5941022892",0.0,"1",59410228921
23,"5941022892",0.0,"1",59410228921
24,"5941022892",0.0,"1",59410228921
25,"5941022892",0.2857142857142857,"1",59410228921
26,"5941022892",0.42857142857142855,"1",59410228921
27,"5941022892",0.14285714285714285,"1",59410228921
28,"5941022892",0.0,"1",59410228921
29,"5941022892",0.0,"1",59410228921
30,"5941022892",0.14285714285714285,"1",59410228921
31,"5941022892",0.0,"1",59410228921
32,"5941022892",0.0,"1",59410228921
33,"5941022892",0.0,"1",59410228921
34,"5941022892",0.0,"1",59410228921
35,"5941022892",0.0,"1",59410228921
36,"5941022892",0.0,"1",59410228921
37,"5941022892",0.14285714285714285,"1",59410228921
38,"5941022892",0.0,"1",59410228921
39,"5941022892",0.14285714285714285,"1",59410228921
40,"5941022892",0.42857142857142855,"1",59410228921
41,"5941022892",0.0,"1",59410228921
42,"5941022892",0.0,"1",59410228921
43,"5941022892",0.0,"1",59410228921
44,"5941022892",0.0,"1",59410228921
45,"5941022892",0.0,"1",59410228921
46,"5941022892",0.0,"1",59410228921
47,"5941022892",0.0,"1",59410228921
48,"5941022892",0.0,"1",59410228921
49,"5941022892",0.0,"1",59410228921
50,"5941022892",0.14285714285714285,"1",59410228921
51,"5941022892",0.14285714285714285,"1",59410228921
52,"5941022892",0.0,"1",59410228921
53,"5941022892",0.0,"1",59410228921
54,"5941022892",0.0,"1",59410228921
55,"5941022892",0.14285714285714285,"1",59410228921
56,"5941022892",0.0,"1",59410228921
57,"5941022892",0.2857142857142857,"1",59410228921
58,"5941022892",0.0,"1",59410228921
59,"5941022892",1.2857142857142858,"1",59410228921
60,"5941022892",3.2857142857142856,"1",59410228921
61,"5941022892",1.1428571428571428,"1",59410228921
62,"5941022892",0.5714285714285714,"1",59410228921
63,"5941022892",0.2857142857142857,"1",59410228921
64,"5941022892",0.42857142857142855,"1",59410228921
65,"5941022892",0.0,"1",59410228921
66,"5941022892",0.0,"1",59410228921
67,"5941022892",0.14285714285714285,"1",59410228921
68,"5941022892",0.0,"1",59410228921
69,"5941022892",0.0,"1",59410228921
70,"5941022892",0.14285714285714285,"1",59410228921
71,"5941022892",0.14285714285714285,"1",59410228921
72,"5941022892",0.0,"1",59410228921
73,"5941022892",0.5714285714285714,"1",59410228921
74,"5941022892",0.8571428571428571,"1",59410228921
75,"5941022892",0.2857142857142857,"1",59410228921
76,"5941022892",0.14285714285714285,"1",59410228921
77,"5941022892",0.0,"1",59410228921
78,"5941022892",0.0,"1",59410228921
79,"5941022892",0.0,"1",59410228921
80,"5941022892",0.0,"1",59410228921
81,"5941022892",0.0,"1",59410228921
82,"5941022892",0.0,"1",59410228921
83,"5941022892",0.14285714285714285,"1",59410228921
84,"5941022892",0.14285714285714285,"1",59410228921
85,"5941022892",0.14285714285714285,"1",59410228921
86,"5941022892",0.2857142857142857,"1",59410228921
87,"5941022892",0.0,"1",59410228921
88,"5941022892",0.0,"1",59410228921
89,"5941022892",0.0,"1",59410228921
90,"5941022892",0.0,"1",59410228921
91,"5941022892",0.14285714285714285,"1",59410228921
92,"5941022892",0.0,"1",59410228921
93,"5941022892",0.42857142857142855,"1",59410228921
94,"5941022892",1.1428571428571428,"1",59410228921
95,"5941022892",0.5714285714285714,"1",59410228921
96,"5941022892",0.2857142857142857,"1",59410228921
97,"5941022892",0.42857142857142855,"1",59410228921
98,"5941022892",0.0,"1",59410228921
99,"5941022892",0.0,"1",59410228921
100,"5941022892",0.14285714285714285,"1",59410228921
101,"5941022892",0.5714285714285714,"1",59410228921
102,"5941022892",0.0,"1",59410228921
103,"5941022892",0.0,"1",59410228921
104,"5941022892",0.2857142857142857,"1",59410228921
104,"5941022892",0.2857142857142857,"1",59410875271
0,"5941087527",0.0,"1",59410875271
1,"5941087527",0.0,"1",59410875271
2,"5941087527",0.0,"1",59410875271
3,"5941087527",0.14285714285714285,"1",59410875271
4,"5941087527",0.14285714285714285,"1",59410875271
5,"5941087527",0.0,"1",59410875271
6,"5941087527",0.0,"1",59410875271
7,"5941087527",0.14285714285714285,"1",59410875271
8,"5941087527",0.14285714285714285,"1",59410875271
9,"5941087527",0.0,"1",59410875271
10,"5941087527",0.0,"1",59410875271
11,"5941087527",0.0,"1",59410875271
12,"5941087527",0.0,"1",59410875271
13,"5941087527",0.0,"1",59410875271
14,"5941087527",0.14285714285714285,"1",59410875271
15,"5941087527",0.14285714285714285,"1",59410875271
16,"5941087527",0.0,"1",59410875271
17,"5941087527",0.0,"1",59410875271
18,"5941087527",0.0,"1",59410875271
19,"5941087527",0.0,"1",59410875271
20,"5941087527",0.14285714285714285,"1",59410875271
21,"5941087527",0.0,"1",59410875271
22,"5941087527",0.0,"1",59410875271
23,"5941087527",0.0,"1",59410875271
24,"5941087527",0.0,"1",59410875271
25,"5941087527",0.14285714285714285,"1",59410875271
26,"5941087527",0.0,"1",59410875271
27,"5941087527",0.0,"1",59410875271
28,"5941087527",0.0,"1",59410875271
29,"5941087527",0.0,"1",59410875271
30,"5941087527",0.0,"1",59410875271
31,"5941087527",0.0,"1",59410875271
32,"5941087527",0.0,"1",59410875271
33,"5941087527",0.0,"1",59410875271
34,"5941087527",0.0,"1",59410875271
35,"5941087527",0.0,"1",59410875271
36,"5941087527",0.0,"1",59410875271
37,"5941087527",0.5714285714285714,"1",59410875271
38,"5941087527",0.8571428571428571,"1",59410875271
39,"5941087527",0.7142857142857143,"1",59410875271
40,"5941087527",0.2857142857142857,"1",59410875271
41,"5941087527",0.0,"1",59410875271
42,"5941087527",0.0,"1",59410875271
43,"5941087527",0.14285714285714285,"1",59410875271
44,"5941087527",0.0,"1",59410875271
45,"5941087527",0.0,"1",59410875271
46,"5941087527",0.0,"1",59410875271
47,"5941087527",0.0,"1",59410875271
48,"5941087527",0.0,"1",59410875271
49,"5941087527",0.0,"1",59410875271
50,"5941087527",0.0,"1",59410875271
51,"5941087527",0.0,"1",59410875271
52,"5941087527",0.14285714285714285,"1",59410875271
53,"5941087527",0.0,"1",59410875271
54,"5941087527",0.2857142857142857,"1",59410875271
55,"5941087527",0.5714285714285714,"1",59410875271
56,"5941087527",0.42857142857142855,"1",59410875271
57,"5941087527",0.0,"1",59410875271
58,"5941087527",0.0,"1",59410875271
59,"5941087527",0.14285714285714285,"1",59410875271
60,"5941087527",0.0,"1",59410875271
61,"5941087527",0.0,"1",59410875271
62,"5941087527",0.2857142857142857,"1",59410875271
63,"5941087527",0.0,"1",59410875271
64,"5941087527",0.2857142857142857,"1",59410875271
65,"5941087527",0.0,"1",59410875271
66,"5941087527",0.0,"1",59410875271
67,"5941087527",0.0,"1",59410875271
68,"5941087527",0.14285714285714285,"1",59410875271
69,"5941087527",0.2857142857142857,"1",59410875271
70,"5941087527",0.2857142857142857,"1",59410875271
71,"5941087527",0.0,"1",59410875271
72,"5941087527",0.14285714285714285,"1",59410875271
73,"5941087527",0.14285714285714285,"1",59410875271
74,"5941087527",0.0,"1",59410875271
75,"5941087527",0.14285714285714285,"1",59410875271
76,"5941087527",0.14285714285714285,"1",59410875271
77,"5941087527",0.0,"1",59410875271
78,"5941087527",0.0,"1",59410875271
79,"5941087527",0.14285714285714285,"1",59410875271
80,"5941087527",0.0,"1",59410875271
81,"5941087527",0.14285714285714285,"1",59410875271
82,"5941087527",1.2857142857142858,"1",59410875271
83,"5941087527",0.2857142857142857,"1",59410875271
84,"5941087527",0.0,"1",59410875271
85,"5941087527",0.0,"1",59410875271
86,"5941087527",0.14285714285714285,"1",59410875271
87,"5941087527",0.0,"1",59410875271
88,"5941087527",0.0,"1",59410875271
89,"5941087527",0.0,"1",59410875271
90,"5941087527",0.42857142857142855,"1",59410875271
91,"5941087527",0.2857142857142857,"1",59410875271
92,"5941087527",0.2857142857142857,"1",59410875271
93,"5941087527",0.14285714285714285,"1",59410875271
94,"5941087527",0.0,"1",59410875271
95,"5941087527",0.2857142857142857,"1",59410875271
96,"5941087527",0.0,"1",59410875271
97,"5941087527",0.42857142857142855,"1",59410875271
98,"5941087527",0.0,"1",59410875271
99,"5941087527",0.0,"1",59410875271
100,"5941087527",0.14285714285714285,"1",59410875271
101,"5941087527",0.14285714285714285,"1",59410875271
102,"5941087527",0.0,"1",59410875271
103,"5941087527",0.14285714285714285,"1",59410875271
104,"5941087527",0.2857142857142857,"1",59410875271
104,"5941087527",0.2857142857142857,"1",59410947491
0,"5941094749",0.0,"1",59410947491
1,"5941094749",0.14285714285714285,"1",59410947491
2,"5941094749",0.0,"1",59410947491
3,"5941094749",0.0,"1",59410947491
4,"5941094749",0.14285714285714285,"1",59410947491
5,"5941094749",0.0,"1",59410947491
6,"5941094749",0.0,"1",59410947491
7,"5941094749",0.0,"1",59410947491
8,"5941094749",0.0,"1",59410947491
9,"5941094749",0.0,"1",59410947491
10,"5941094749",0.0,"1",59410947491
11,"5941094749",0.0,"1",59410947491
12,"5941094749",0.0,"1",59410947491
13,"5941094749",0.0,"1",59410947491
14,"5941094749",0.0,"1",59410947491
15,"5941094749",0.0,"1",59410947491
16,"5941094749",0.0,"1",59410947491
17,"5941094749",0.0,"1",59410947491
18,"5941094749",0.0,"1",59410947491
19,"5941094749",0.0,"1",59410947491
20,"5941094749",0.0,"1",59410947491
21,"5941094749",0.0,"1",59410947491
22,"5941094749",0.14285714285714285,"1",59410947491
23,"5941094749",0.0,"1",59410947491
24,"5941094749",0.0,"1",59410947491
25,"5941094749",0.0,"1",59410947491
26,"5941094749",0.0,"1",59410947491
27,"5941094749",0.0,"1",59410947491
28,"5941094749",0.0,"1",59410947491
29,"5941094749",0.0,"1",59410947491
30,"5941094749",0.0,"1",59410947491
31,"5941094749",0.0,"1",59410947491
32,"5941094749",0.42857142857142855,"1",59410947491
33,"5941094749",0.8571428571428571,"1",59410947491
34,"5941094749",0.14285714285714285,"1",59410947491
35,"5941094749",0.14285714285714285,"1",59410947491
36,"5941094749",0.8571428571428571,"1",59410947491
37,"5941094749",0.0,"1",59410947491
38,"5941094749",0.0,"1",59410947491
39,"5941094749",0.0,"1",59410947491
40,"5941094749",0.14285714285714285,"1",59410947491
41,"5941094749",0.14285714285714285,"1",59410947491
42,"5941094749",0.0,"1",59410947491
43,"5941094749",0.0,"1",59410947491
44,"5941094749",0.0,"1",59410947491
45,"5941094749",0.0,"1",59410947491
46,"5941094749",0.14285714285714285,"1",59410947491
47,"5941094749",0.0,"1",59410947491
48,"5941094749",0.0,"1",59410947491
49,"5941094749",0.0,"1",59410947491
50,"5941094749",0.0,"1",59410947491
51,"5941094749",0.2857142857142857,"1",59410947491
52,"5941094749",0.0,"1",59410947491
53,"5941094749",0.5714285714285714,"1",59410947491
54,"5941094749",1.0,"1",59410947491
55,"5941094749",0.2857142857142857,"1",59410947491
56,"5941094749",0.0,"1",59410947491
57,"5941094749",0.0,"1",59410947491
58,"5941094749",0.0,"1",59410947491
59,"5941094749",0.2857142857142857,"1",59410947491
60,"5941094749",2.857142857142857,"1",59410947491
61,"5941094749",0.2857142857142857,"1",59410947491
62,"5941094749",0.42857142857142855,"1",59410947491
63,"5941094749",0.14285714285714285,"1",59410947491
64,"5941094749",0.0,"1",59410947491
65,"5941094749",0.5714285714285714,"1",59410947491
66,"5941094749",0.2857142857142857,"1",59410947491
67,"5941094749",0.14285714285714285,"1",59410947491
68,"5941094749",0.0,"1",59410947491
69,"5941094749",0.2857142857142857,"1",59410947491
70,"5941094749",1.0,"1",59410947491
71,"5941094749",3.7142857142857144,"1",59410947491
72,"5941094749",2.7142857142857144,"1",59410947491
73,"5941094749",0.2857142857142857,"1",59410947491
74,"5941094749",0.42857142857142855,"1",59410947491
75,"5941094749",0.42857142857142855,"1",59410947491
76,"5941094749",0.14285714285714285,"1",59410947491
77,"5941094749",0.14285714285714285,"1",59410947491
78,"5941094749",0.2857142857142857,"1",59410947491
79,"5941094749",0.0,"1",59410947491
80,"5941094749",0.0,"1",59410947491
81,"5941094749",0.14285714285714285,"1",59410947491
82,"5941094749",0.0,"1",59410947491
83,"5941094749",0.14285714285714285,"1",59410947491
84,"5941094749",0.14285714285714285,"1",59410947491
85,"5941094749",0.14285714285714285,"1",59410947491
86,"5941094749",0.2857142857142857,"1",59410947491
87,"5941094749",0.14285714285714285,"1",59410947491
88,"5941094749",0.14285714285714285,"1",59410947491
89,"5941094749",0.2857142857142857,"1",59410947491
90,"5941094749",0.2857142857142857,"1",59410947491
91,"5941094749",0.0,"1",59410947491
92,"5941094749",0.14285714285714285,"1",59410947491
93,"5941094749",0.0,"1",59410947491
94,"5941094749",0.42857142857142855,"1",59410947491
95,"5941094749",0.0,"1",59410947491
96,"5941094749",0.0,"1",59410947491
97,"5941094749",0.0,"1",59410947491
98,"5941094749",0.14285714285714285,"1",59410947491
99,"5941094749",0.14285714285714285,"1",59410947491
100,"5941094749",1.1428571428571428,"1",59410947491
101,"5941094749",0.0,"1",59410947491
102,"5941094749",0.0,"1",59410947491
103,"5941094749",0.14285714285714285,"1",59410947491
104,"5941094749",0.2857142857142857,"1",59410947491
104,"5941094749",0.2857142857142857,"1",59411121991
0,"5941112199",0.0,"1",59411121991
1,"5941112199",0.14285714285714285,"1",59411121991
2,"5941112199",0.0,"1",59411121991
3,"5941112199",0.14285714285714285,"1",59411121991
4,"5941112199",0.0,"1",59411121991
5,"5941112199",0.0,"1",59411121991
6,"5941112199",0.0,"1",59411121991
7,"5941112199",0.0,"1",59411121991
8,"5941112199",0.0,"1",59411121991
9,"5941112199",0.0,"1",59411121991
10,"5941112199",0.0,"1",59411121991
11,"5941112199",0.0,"1",59411121991
12,"5941112199",0.14285714285714285,"1",59411121991
13,"5941112199",0.0,"1",59411121991
14,"5941112199",0.0,"1",59411121991
15,"5941112199",0.0,"1",59411121991
16,"5941112199",0.0,"1",59411121991
17,"5941112199",0.0,"1",59411121991
18,"5941112199",0.0,"1",59411121991
19,"5941112199",0.0,"1",59411121991
20,"5941112199",0.0,"1",59411121991
21,"5941112199",0.0,"1",59411121991
