"wk","tr","nc","stg","id"
0,"1681022892",0.0,"1",16810228921
1,"1681022892",0.0,"1",16810228921
2,"1681022892",0.0,"1",16810228921
3,"1681022892",0.14285714285714285,"1",16810228921
4,"1681022892",0.0,"1",16810228921
5,"1681022892",0.0,"1",16810228921
6,"1681022892",0.0,"1",16810228921
7,"1681022892",0.7142857142857143,"1",16810228921
7,"1681022892",0.7142857142857143,"1b",16810228922
8,"1681022892",1.8571428571428572,"1b",16810228922
8,"1681022892",1.8571428571428572,"2",16810228923
9,"1681022892",2.7142857142857144,"2",16810228923
10,"1681022892",1.4285714285714286,"2",16810228923
11,"1681022892",1.8571428571428572,"2",16810228923
12,"1681022892",1.5714285714285714,"2",16810228923
13,"1681022892",1.1428571428571428,"2",16810228923
14,"1681022892",0.0,"2",16810228923
15,"1681022892",0.14285714285714285,"2",16810228923
15,"1681022892",0.14285714285714285,"1b",16810228924
16,"1681022892",0.2857142857142857,"1b",16810228924
17,"1681022892",0.0,"1b",16810228924
17,"1681022892",0.0,"1",16810228925
18,"1681022892",0.0,"1",16810228925
19,"1681022892",0.0,"1",16810228925
20,"1681022892",0.0,"1",16810228925
21,"1681022892",0.0,"1",16810228925
22,"1681022892",0.0,"1",16810228925
23,"1681022892",0.0,"1",16810228925
24,"1681022892",0.0,"1",16810228925
25,"1681022892",0.42857142857142855,"1",16810228925
26,"1681022892",0.14285714285714285,"1",16810228925
27,"1681022892",0.14285714285714285,"1",16810228925
28,"1681022892",0.0,"1",16810228925
29,"1681022892",0.0,"1",16810228925
30,"1681022892",0.14285714285714285,"1",16810228925
31,"1681022892",0.0,"1",16810228925
32,"1681022892",0.0,"1",16810228925
33,"1681022892",0.0,"1",16810228925
34,"1681022892",0.0,"1",16810228925
35,"1681022892",0.0,"1",16810228925
36,"1681022892",0.0,"1",16810228925
37,"1681022892",0.14285714285714285,"1",16810228925
38,"1681022892",0.0,"1",16810228925
39,"1681022892",0.14285714285714285,"1",16810228925
40,"1681022892",0.14285714285714285,"1",16810228925
41,"1681022892",0.2857142857142857,"1",16810228925
41,"1681022892",0.2857142857142857,"1b",16810228926
42,"1681022892",1.4285714285714286,"1b",16810228926
42,"1681022892",1.4285714285714286,"2",16810228927
43,"1681022892",1.2857142857142858,"2",16810228927
44,"1681022892",0.2857142857142857,"2",16810228927
44,"1681022892",0.2857142857142857,"1b",16810228928
45,"1681022892",0.0,"1b",16810228928
46,"1681022892",0.0,"1b",16810228928
46,"1681022892",0.0,"1",16810228929
47,"1681022892",0.0,"1",16810228929
48,"1681022892",0.0,"1",16810228929
49,"1681022892",0.0,"1",16810228929
50,"1681022892",0.14285714285714285,"1",16810228929
51,"1681022892",0.14285714285714285,"1",16810228929
52,"1681022892",0.0,"1",16810228929
53,"1681022892",1.4285714285714286,"1",16810228929
54,"1681022892",1.2857142857142858,"1",16810228929
55,"1681022892",2.4285714285714284,"1",16810228929
56,"1681022892",2.4285714285714284,"1",16810228929
57,"1681022892",3.142857142857143,"1",16810228929
58,"1681022892",5.142857142857143,"1",16810228929
59,"1681022892",5.285714285714286,"1",16810228929
60,"1681022892",7.714285714285714,"1",16810228929
61,"1681022892",4.0,"1",16810228929
62,"1681022892",2.2857142857142856,"1",16810228929
63,"1681022892",2.0,"1",16810228929
64,"1681022892",1.1428571428571428,"1",16810228929
65,"1681022892",1.7142857142857142,"1",16810228929
66,"1681022892",4.857142857142857,"1",16810228929
67,"1681022892",5.714285714285714,"1",16810228929
68,"1681022892",4.857142857142857,"1",16810228929
69,"1681022892",6.142857142857143,"1",16810228929
70,"1681022892",4.428571428571429,"1",16810228929
71,"1681022892",4.142857142857143,"1",16810228929
72,"1681022892",3.857142857142857,"1",16810228929
73,"1681022892",3.142857142857143,"1",16810228929
74,"1681022892",1.7142857142857142,"1",16810228929
75,"1681022892",2.0,"1",16810228929
76,"1681022892",4.285714285714286,"1",16810228929
77,"1681022892",2.7142857142857144,"1",16810228929
78,"1681022892",3.7142857142857144,"1",16810228929
79,"1681022892",2.857142857142857,"1",16810228929
80,"1681022892",7.142857142857143,"1",16810228929
81,"1681022892",5.714285714285714,"1",16810228929
82,"1681022892",4.0,"1",16810228929
83,"1681022892",4.714285714285714,"1",16810228929
84,"1681022892",3.5714285714285716,"1",16810228929
85,"1681022892",1.5714285714285714,"1",16810228929
86,"1681022892",1.5714285714285714,"1",16810228929
87,"1681022892",1.2857142857142858,"1",16810228929
88,"1681022892",5.142857142857143,"1",16810228929
89,"1681022892",2.7142857142857144,"1",16810228929
90,"1681022892",2.857142857142857,"1",16810228929
91,"1681022892",3.0,"1",16810228929
92,"1681022892",4.0,"1",16810228929
93,"1681022892",4.428571428571429,"1",16810228929
94,"1681022892",4.285714285714286,"1",16810228929
95,"1681022892",2.7142857142857144,"1",16810228929
96,"1681022892",3.0,"1",16810228929
97,"1681022892",4.428571428571429,"1",16810228929
98,"1681022892",4.285714285714286,"1",16810228929
99,"1681022892",3.142857142857143,"1",16810228929
100,"1681022892",3.857142857142857,"1",16810228929
101,"1681022892",6.142857142857143,"1",16810228929
102,"1681022892",5.714285714285714,"1",16810228929
103,"1681022892",3.857142857142857,"1",16810228929
104,"1681022892",1.8571428571428572,"1",16810228929
104,"1681022892",1.8571428571428572,"1",16810875279
0,"1681087527",0.0,"1",16810875279
1,"1681087527",0.0,"1",16810875279
2,"1681087527",0.0,"1",16810875279
3,"1681087527",0.14285714285714285,"1",16810875279
4,"1681087527",0.14285714285714285,"1",16810875279
5,"1681087527",0.0,"1",16810875279
6,"1681087527",0.0,"1",16810875279
7,"1681087527",0.14285714285714285,"1",16810875279
8,"1681087527",0.14285714285714285,"1",16810875279
9,"1681087527",0.0,"1",16810875279
10,"1681087527",0.0,"1",16810875279
11,"1681087527",0.0,"1",16810875279
12,"1681087527",0.0,"1",16810875279
13,"1681087527",0.0,"1",16810875279
13,"1681087527",0.0,"1b",168108752710
14,"1681087527",0.42857142857142855,"1b",168108752710
14,"1681087527",0.42857142857142855,"2",168108752711
15,"1681087527",1.1428571428571428,"2",168108752711
16,"1681087527",0.5714285714285714,"2",168108752711
16,"1681087527",0.5714285714285714,"1b",168108752712
17,"1681087527",0.2857142857142857,"1b",168108752712
18,"1681087527",0.0,"1b",168108752712
18,"1681087527",0.0,"1",168108752713
19,"1681087527",0.0,"1",168108752713
20,"1681087527",0.14285714285714285,"1",168108752713
21,"1681087527",0.0,"1",168108752713
22,"1681087527",0.0,"1",168108752713
23,"1681087527",0.0,"1",168108752713
24,"1681087527",0.0,"1",168108752713
25,"1681087527",0.14285714285714285,"1",168108752713
26,"1681087527",0.0,"1",168108752713
27,"1681087527",0.0,"1",168108752713
28,"1681087527",0.0,"1",168108752713
29,"1681087527",0.0,"1",168108752713
30,"1681087527",0.0,"1",168108752713
31,"1681087527",0.0,"1",168108752713
32,"1681087527",0.0,"1",168108752713
33,"1681087527",0.0,"1",168108752713
34,"1681087527",0.0,"1",168108752713
35,"1681087527",0.0,"1",168108752713
36,"1681087527",0.0,"1",168108752713
37,"1681087527",0.42857142857142855,"1",168108752713
38,"1681087527",1.0,"1",168108752713
38,"1681087527",1.0,"2",168108752714
39,"1681087527",1.5714285714285714,"2",168108752714
40,"1681087527",0.14285714285714285,"2",168108752714
40,"1681087527",0.14285714285714285,"1b",168108752715
41,"1681087527",0.0,"1b",168108752715
42,"1681087527",0.0,"1b",168108752715
42,"1681087527",0.0,"1",168108752716
43,"1681087527",0.14285714285714285,"1",168108752716
44,"1681087527",0.0,"1",168108752716
45,"1681087527",0.0,"1",168108752716
46,"1681087527",0.0,"1",168108752716
47,"1681087527",0.0,"1",168108752716
48,"1681087527",0.0,"1",168108752716
49,"1681087527",0.0,"1",168108752716
50,"1681087527",0.0,"1",168108752716
51,"1681087527",0.0,"1",168108752716
52,"1681087527",0.14285714285714285,"1",168108752716
53,"1681087527",1.7142857142857142,"1",168108752716
54,"1681087527",2.4285714285714284,"1",168108752716
55,"1681087527",2.142857142857143,"1",168108752716
56,"1681087527",2.2857142857142856,"1",168108752716
57,"1681087527",1.5714285714285714,"1",168108752716
58,"1681087527",2.5714285714285716,"1",168108752716
59,"1681087527",3.5714285714285716,"1",168108752716
60,"1681087527",4.0,"1",168108752716
61,"1681087527",2.7142857142857144,"1",168108752716
62,"1681087527",4.142857142857143,"1",168108752716
63,"1681087527",4.142857142857143,"1",168108752716
64,"1681087527",5.142857142857143,"1",168108752716
65,"1681087527",5.285714285714286,"1",168108752716
66,"1681087527",3.7142857142857144,"1",168108752716
67,"1681087527",3.5714285714285716,"1",168108752716
68,"1681087527",3.0,"1",168108752716
69,"1681087527",3.2857142857142856,"1",168108752716
70,"1681087527",2.4285714285714284,"1",168108752716
71,"1681087527",4.142857142857143,"1",168108752716
72,"1681087527",5.428571428571429,"1",168108752716
73,"1681087527",4.0,"1",168108752716
74,"1681087527",2.142857142857143,"1",168108752716
