"wk","tr","nc","stg","id"
0,104,0.86,"1",867
1,104,0.86,"1",867
1,104,0.86,"2",868
2,104,0.71,"2",868
3,104,1,"2",868
4,104,0.71,"2",868
4,104,0.71,"3",869
5,104,0.14,"3",869
6,104,0.29,"3",869
7,104,0,"3",869
8,104,0.14,"3",869
8,104,0.14,"2",870
9,104,0,"2",870
10,104,0,"2",870
11,104,0,"2",870
11,104,0,"1b",871
12,104,0,"1b",871
13,104,0,"1b",871
14,104,0,"1b",871
14,104,0,"1",872
15,104,0.14,"1",872
15,104,0.14,"1b",873
16,104,0.14,"1b",873
17,104,0.43,"1b",873
18,104,1.29,"1b",873
18,104,1.29,"2",874
19,104,0.14,"2",874
20,104,0.57,"2",874
21,104,0.29,"2",874
22,104,0.29,"2",874
23,104,0,"2",874
24,104,0,"2",874
25,104,0,"2",874
25,104,0,"1b",875
26,104,0,"1b",875
27,104,0.29,"1b",875
28,104,0,"1b",875
29,104,0.29,"1b",875
30,104,0.43,"1b",875
30,104,0.43,"2",876
31,104,0.29,"2",876
32,104,0.14,"2",876
33,104,1.29,"2",876
34,104,1.14,"2",876
35,104,0.86,"2",876
36,104,1,"2",876
37,104,0.43,"2",876
38,104,0.43,"2",876
39,104,1.14,"2",876
40,104,2.43,"2",876
40,104,2.43,"3",877
41,104,3.14,"3",877
42,104,1.86,"3",877
43,104,1.86,"3",877
44,104,1.57,"3",877
45,104,2,"3",877
46,104,1.14,"3",877
47,104,2.71,"3",877
48,104,2.43,"3",877
49,104,2.29,"3",877
50,104,1.71,"3",877
51,104,1.43,"3",877
52,104,2.29,"3",877
0,749,0.86,"1",5169
1,749,1.71,"1",5169
1,749,1.71,"2",5170
2,749,1.86,"2",5170
2,749,1.86,"3",5171
3,749,1.57,"3",5171
4,749,1.71,"3",5171
5,749,1.29,"3",5171
6,749,1.29,"3",5171
7,749,1.14,"3",5171
7,749,1.14,"2",5172
8,749,0.71,"2",5172
8,749,0.71,"3",5173
9,749,1.57,"3",5173
10,749,0.86,"3",5173
11,749,0.71,"3",5173
12,749,0.14,"3",5173
12,749,0.14,"2",5174
13,749,0.29,"2",5174
14,749,0,"2",5174
15,749,0.29,"2",5174
16,749,0.14,"2",5174
17,749,0.14,"2",5174
18,749,0.14,"2",5174
19,749,0.14,"2",5174
20,749,0.14,"2",5174
21,749,0.29,"2",5174
22,749,0.14,"2",5174
23,749,0.43,"2",5174
24,749,0.14,"2",5174
25,749,0.29,"2",5174
26,749,0.57,"2",5174
27,749,0.14,"2",5174
28,749,0.14,"2",5174
29,749,0.29,"2",5174
30,749,0.29,"2",5174
31,749,0.71,"2",5174
32,749,0.14,"2",5174
33,749,0.29,"2",5174
34,749,0.43,"2",5174
35,749,0.71,"2",5174
36,749,0.29,"2",5174
37,749,0.43,"2",5174
38,749,0.14,"2",5174
39,749,0.71,"2",5174
40,749,2.14,"2",5174
41,749,3.57,"2",5174
41,749,3.57,"3",5175
42,749,3.57,"3",5175
43,749,3.86,"3",5175
44,749,3.57,"3",5175
45,749,2,"3",5175
