"wk","tr","nc","stg","id"
0,512,0.86,"1",3437
1,512,1.29,"1",3437
2,512,0.71,"1",3437
3,512,0.86,"1",3437
4,512,0.43,"1",3437
5,512,1,"1",3437
6,512,0.86,"1",3437
7,512,0.86,"1",3437
8,512,0.86,"1",3437
9,512,1.71,"1",3437
10,512,1.14,"1",3437
11,512,2.29,"1",3437
12,512,1,"1",3437
13,512,0.71,"1",3437
14,512,0.57,"1",3437
15,512,0.71,"1",3437
16,512,0.57,"1",3437
17,512,0.71,"1",3437
18,512,0.86,"1",3437
19,512,1.71,"1",3437
20,512,1.14,"1",3437
21,512,1.57,"1",3437
22,512,1,"1",3437
23,512,1.14,"1",3437
24,512,0.29,"1",3437
25,512,0.43,"1",3437
26,512,0,"1",3437
27,512,0.29,"1",3437
28,512,0.14,"1",3437
29,512,0.43,"1",3437
30,512,0.57,"1",3437
31,512,0.43,"1",3437
32,512,0.57,"1",3437
33,512,2.14,"1",3437
34,512,1,"1",3437
35,512,0.86,"1",3437
36,512,0.29,"1",3437
37,512,0.86,"1",3437
38,512,0.86,"1",3437
39,512,0.86,"1",3437
40,512,0.86,"1",3437
41,512,0.57,"1",3437
42,512,1,"1",3437
43,512,1.71,"1",3437
44,512,0.71,"1",3437
45,512,1.29,"1",3437
46,512,1.43,"1",3437
47,512,2.57,"1",3437
48,512,2.71,"1",3437
49,512,3.43,"1",3437
50,512,2.29,"1",3437
51,512,2.86,"1",3437
52,512,1.57,"1",3437
0,1160,0.86,"1",7764
1,1160,1.29,"1",7764
2,1160,0.86,"1",7764
3,1160,1.57,"1",7764
4,1160,2.29,"1",7764
5,1160,2.43,"1",7764
6,1160,4.43,"1",7764
7,1160,4,"1",7764
8,1160,5.29,"1",7764
9,1160,5.14,"1",7764
10,1160,5.86,"1",7764
11,1160,3.57,"1",7764
12,1160,5,"1",7764
13,1160,4,"1",7764
14,1160,4.29,"1",7764
15,1160,3.29,"1",7764
16,1160,2,"1",7764
17,1160,2.43,"1",7764
18,1160,2.71,"1",7764
19,1160,2.29,"1",7764
20,1160,2.14,"1",7764
21,1160,1.57,"1",7764
22,1160,2.29,"1",7764
23,1160,2,"1",7764
24,1160,2.86,"1",7764
25,1160,2.29,"1",7764
26,1160,1.57,"1",7764
27,1160,1.14,"1",7764
28,1160,1.71,"1",7764
29,1160,2.14,"1",7764
30,1160,3.29,"1",7764
31,1160,3.43,"1",7764
32,1160,3.57,"1",7764
33,1160,2.29,"1",7764
34,1160,1.86,"1",7764
35,1160,2.14,"1",7764
36,1160,1.14,"1",7764
37,1160,1.14,"1",7764
38,1160,0.71,"1",7764
39,1160,0.57,"1",7764
40,1160,2,"1",7764
41,1160,2.14,"1",7764
42,1160,4,"1",7764
43,1160,3.71,"1",7764
44,1160,2.57,"1",7764
45,1160,0.71,"1",7764
46,1160,2,"1",7764
47,1160,1.71,"1",7764
48,1160,1.57,"1",7764
49,1160,1.57,"1",7764
50,1160,1.57,"1",7764
51,1160,2,"1",7764
52,1160,1.14,"1",7764
0,1809,1,"1",12589
1,1809,1.57,"1",12589
2,1809,2.57,"1",12589
3,1809,3.14,"1",12589
4,1809,4.14,"1",12589
5,1809,4.86,"1",12589
6,1809,5.14,"1",12589
7,1809,5.29,"1",12589
8,1809,4,"1",12589
9,1809,2.43,"1",12589
10,1809,3.29,"1",12589
11,1809,3.57,"1",12589
12,1809,5,"1",12589
13,1809,5.29,"1",12589
14,1809,6.71,"1",12589
15,1809,6.57,"1",12589
16,1809,7.43,"1",12589
17,1809,6.43,"1",12589
18,1809,7.86,"1",12589
19,1809,8.43,"1",12589
20,1809,9.14,"1",12589
21,1809,7.14,"1",12589
22,1809,7.86,"1",12589
23,1809,6.57,"1",12589
24,1809,4.29,"1",12589
25,1809,3.29,"1",12589
26,1809,1.43,"1",12589
27,1809,2.29,"1",12589
28,1809,2.43,"1",12589
29,1809,2.14,"1",12589
30,1809,1.14,"1",12589
31,1809,1.43,"1",12589
32,1809,1.57,"1",12589
33,1809,1.43,"1",12589
34,1809,1.29,"1",12589
35,1809,1.29,"1",12589
36,1809,1.57,"1",12589
37,1809,1.71,"1",12589
38,1809,2,"1",12589
39,1809,1.43,"1",12589
40,1809,2.14,"1",12589
41,1809,1.14,"1",12589
42,1809,1.57,"1",12589
43,1809,1.29,"1",12589
44,1809,0.57,"1",12589
45,1809,0.57,"1",12589
46,1809,0.57,"1",12589
47,1809,0.71,"1",12589
48,1809,1,"1",12589
49,1809,0.57,"1",12589
50,1809,1.29,"1",12589
51,1809,0.71,"1",12589
52,1809,0.57,"1",12589
0,2459,0.86,"1",17057
1,2459,0.71,"1",17057
2,2459,0.86,"1",17057
3,2459,1.57,"1",17057
4,2459,2,"1",17057
5,2459,2.43,"1",17057
6,2459,2.57,"1",17057
7,2459,2,"1",17057
