"wk","tr","nc","stg","id"
0,234,0.86,"1",1907
1,234,1.43,"1",1907
1,234,1.43,"1b",1908
2,234,1.14,"1b",1908
2,234,1.14,"2",1909
3,234,1.71,"2",1909
4,234,1.43,"2",1909
5,234,0.86,"2",1909
6,234,0.71,"2",1909
7,234,0.29,"2",1909
7,234,0.29,"1b",1910
8,234,0.29,"1b",1910
9,234,1.43,"1b",1910
10,234,1.14,"1b",1910
10,234,1.14,"2",1911
11,234,1.43,"2",1911
12,234,1.29,"2",1911
13,234,1.43,"2",1911
14,234,2.29,"2",1911
14,234,2.29,"1b",1912
15,234,2.14,"1b",1912
15,234,2.14,"2",1913
16,234,0.43,"2",1913
17,234,0.86,"2",1913
18,234,1.29,"2",1913
18,234,1.29,"1b",1914
19,234,1.86,"1b",1914
20,234,1.43,"1b",1914
20,234,1.43,"2",1915
21,234,1.86,"2",1915
22,234,1.43,"2",1915
23,234,1.14,"2",1915
24,234,1,"2",1915
24,234,1,"1b",1916
25,234,1,"1b",1916
26,234,0.86,"1b",1916
27,234,1.57,"1b",1916
28,234,0.86,"1b",1916
29,234,0.43,"1b",1916
30,234,0.71,"1b",1916
31,234,0.43,"1b",1916
32,234,0.29,"1b",1916
33,234,0.86,"1b",1916
34,234,1.14,"1b",1916
35,234,0.86,"1b",1916
36,234,1.71,"1b",1916
37,234,1.57,"1b",1916
38,234,0.71,"1b",1916
39,234,1.43,"1b",1916
40,234,1.14,"1b",1916
41,234,1.71,"1b",1916
42,234,2.14,"1b",1916
43,234,1.57,"1b",1916
44,234,0.57,"1b",1916
45,234,1.14,"1b",1916
46,234,1.14,"1b",1916
47,234,1.71,"1b",1916
48,234,2.43,"1b",1916
49,234,1.71,"1b",1916
50,234,1.43,"1b",1916
51,234,0.86,"1b",1916
52,234,1,"1b",1916
0,882,0.86,"1",6179
1,882,1.57,"1",6179
1,882,1.57,"2",6180
2,882,1,"2",6180
3,882,0.71,"2",6180
4,882,1,"2",6180
5,882,0.43,"2",6180
6,882,1,"2",6180
7,882,0.43,"2",6180
8,882,0.29,"2",6180
9,882,0.57,"2",6180
9,882,0.57,"1b",6181
10,882,0.14,"1b",6181
11,882,0,"1b",6181
12,882,0.29,"1b",6181
12,882,0.29,"1",6182
13,882,0.43,"1",6182
13,882,0.43,"1b",6183
14,882,0.29,"1b",6183
15,882,0.14,"1b",6183
16,882,0.86,"1b",6183
17,882,0.29,"1b",6183
18,882,0.43,"1b",6183
19,882,0.14,"1b",6183
20,882,0.29,"1b",6183
21,882,0.57,"1b",6183
22,882,0.14,"1b",6183
23,882,0.29,"1b",6183
24,882,0.14,"1b",6183
25,882,0.14,"1b",6183
26,882,0,"1b",6183
27,882,0.14,"1b",6183
27,882,0.14,"1",6184
28,882,0.14,"1",6184
29,882,0.14,"1",6184
30,882,0.43,"1",6184
31,882,1,"1",6184
32,882,0.29,"1",6184
32,882,0.29,"1b",6185
33,882,0.57,"1b",6185
34,882,0.71,"1b",6185
35,882,0.71,"1b",6185
36,882,0.71,"1b",6185
37,882,0.29,"1b",6185
38,882,0.86,"1b",6185
