"wk","tr","nc","stg","id"
0,401,0.86,"1",2797
1,401,1.57,"1",2797
2,401,2.43,"1",2797
3,401,2.86,"1",2797
4,401,7.57,"1",2797
5,401,10.43,"1",2797
6,401,14.86,"1",2797
7,401,21,"1",2797
8,401,25.71,"1",2797
8,401,25.71,"1b",2798
9,401,33.71,"1b",2798
10,401,35.43,"1b",2798
11,401,45.14,"1b",2798
12,401,55.43,"1b",2798
13,401,76.57,"1b",2798
14,401,123.43,"1b",2798
15,401,132.57,"1b",2798
16,401,178.29,"1b",2798
16,401,178.29,"3",2799
17,401,128,"3",2799
18,401,109.71,"3",2799
19,401,86.86,"3",2799
20,401,70.86,"3",2799
21,401,36.57,"3",2799
22,401,38.86,"3",2799
23,401,19.43,"3",2799
23,401,19.43,"2",2800
24,401,17.14,"2",2800
25,401,20,"2",2800
26,401,18.29,"2",2800
26,401,18.29,"1b",2801
27,401,14.86,"1b",2801
28,401,18.86,"1b",2801
29,401,28,"1b",2801
29,401,28,"1",2802
30,401,34.29,"1",2802
31,401,52.57,"1",2802
32,401,40.57,"1",2802
33,401,44.57,"1",2802
34,401,45.71,"1",2802
35,401,41.14,"1",2802
36,401,37.71,"1",2802
37,401,41.71,"1",2802
38,401,36,"1",2802
39,401,26.86,"1",2802
40,401,25.14,"1",2802
41,401,26.29,"1",2802
42,401,21.14,"1",2802
43,401,20,"1",2802
44,401,18.86,"1",2802
45,401,15.43,"1",2802
46,401,14.86,"1",2802
47,401,12.57,"1",2802
48,401,6.29,"1",2802
49,401,9.57,"1",2802
50,401,8.14,"1",2802
51,401,8.86,"1",2802
52,401,8.43,"1",2802
0,1047,0.86,"1",7114
1,1047,2.29,"1",7114
2,1047,2.29,"1",7114
3,1047,4,"1",7114
4,1047,3.29,"1",7114
5,1047,4.14,"1",7114
6,1047,8,"1",7114
7,1047,10.29,"1",7114
8,1047,9,"1",7114
9,1047,12.86,"1",7114
10,1047,13.14,"1",7114
11,1047,19.43,"1",7114
12,1047,32.57,"1",7114
12,1047,32.57,"1b",7115
13,1047,36,"1b",7115
14,1047,41.71,"1b",7115
15,1047,41.14,"1b",7115
16,1047,43.43,"1b",7115
17,1047,46.86,"1b",7115
18,1047,50.29,"1b",7115
19,1047,46.86,"1b",7115
20,1047,46.86,"1b",7115
21,1047,40.57,"1b",7115
22,1047,52,"1b",7115
23,1047,56.57,"1b",7115
24,1047,25.14,"1b",7115
25,1047,27.43,"1b",7115
26,1047,40,"1b",7115
27,1047,34.29,"1b",7115
28,1047,40,"1b",7115
29,1047,38.29,"1b",7115
30,1047,45.71,"1b",7115
30,1047,45.71,"1",7116
31,1047,52,"1",7116
32,1047,36.57,"1",7116
33,1047,36,"1",7116
