"wk","tr","nc","stg","id"
0,10,0.86,"1",60
1,10,0.57,"1",60
1,10,0.57,"2",61
2,10,0.86,"2",61
3,10,0.86,"2",61
4,10,0.43,"2",61
5,10,0.57,"2",61
6,10,0.57,"2",61
7,10,0,"2",61
8,10,0.43,"2",61
9,10,0.43,"2",61
10,10,0.29,"2",61
11,10,0,"2",61
12,10,0,"2",61
13,10,0,"2",61
13,10,0,"1b",62
14,10,0,"1b",62
15,10,0.14,"1b",62
16,10,0.14,"1b",62
16,10,0.14,"1",63
17,10,0.57,"1",63
17,10,0.57,"2",64
18,10,0.29,"2",64
19,10,0.86,"2",64
20,10,1,"2",64
21,10,0.29,"2",64
22,10,0.71,"2",64
23,10,0.43,"2",64
24,10,0.86,"2",64
25,10,0.57,"2",64
26,10,0.43,"2",64
27,10,0.43,"2",64
28,10,0,"2",64
29,10,1,"2",64
30,10,0.71,"2",64
31,10,0.57,"2",64
32,10,0.14,"2",64
33,10,1,"2",64
34,10,0.86,"2",64
35,10,1.57,"2",64
36,10,1.29,"2",64
37,10,2.43,"2",64
38,10,1.71,"2",64
39,10,2,"2",64
40,10,2.14,"2",64
41,10,1.86,"2",64
42,10,2.29,"2",64
43,10,4.43,"2",64
44,10,3.57,"2",64
45,10,4.86,"2",64
46,10,3.86,"2",64
47,10,5.29,"2",64
48,10,4.86,"2",64
49,10,5,"2",64
50,10,3.86,"2",64
51,10,4.14,"2",64
52,10,2.43,"2",64
0,654,0.86,"1",4282
1,654,1,"1",4282
1,654,1,"2",4283
2,654,1.14,"2",4283
2,654,1.14,"3",4284
3,654,0.43,"3",4284
4,654,0.86,"3",4284
5,654,0.29,"3",4284
5,654,0.29,"2",4285
6,654,0.43,"2",4285
7,654,0.29,"2",4285
8,654,0.14,"2",4285
9,654,0,"2",4285
10,654,0,"2",4285
10,654,0,"1b",4286
11,654,0,"1b",4286
12,654,0.14,"1b",4286
13,654,0,"1b",4286
14,654,0.29,"1b",4286
15,654,0.29,"1b",4286
16,654,0.14,"1b",4286
17,654,0,"1b",4286
18,654,0.43,"1b",4286
18,654,0.43,"2",4287
19,654,0.57,"2",4287
20,654,1,"2",4287
21,654,0.57,"2",4287
22,654,0.57,"2",4287
23,654,0.57,"2",4287
24,654,0.29,"2",4287
25,654,0.14,"2",4287
26,654,0.14,"2",4287
