"wk","tr","nc","stg","id"
0,621,0.86,"1",3994
1,621,1.57,"1",3994
2,621,2.71,"1",3994
3,621,3.14,"1",3994
4,621,5.14,"1",3994
5,621,6.86,"1",3994
6,621,10.14,"1",3994
7,621,16.57,"1",3994
8,621,26.43,"1",3994
9,621,46.86,"1",3994
10,621,66.86,"1",3994
11,621,96.57,"1",3994
12,621,155.43,"1",3994
13,621,219.43,"1",3994
13,621,219.43,"1b",3995
14,621,388.57,"1b",3995
15,621,521.14,"1b",3995
16,621,859.43,"1b",3995
17,621,1225.14,"1b",3995
17,621,1225.14,"3",3996
18,621,1024,"3",3996
18,621,1024,"4",3997
19,621,548.57,"4",3997
20,621,301.71,"4",3997
21,621,100.57,"4",3997
22,621,89.14,"4",3997
23,621,48,"4",3997
23,621,48,"3",3998
24,621,66.29,"3",3998
25,621,33.14,"3",3998
26,621,20,"3",3998
26,621,20,"2",3999
27,621,26.29,"2",3999
28,621,29.14,"2",3999
28,621,29.14,"1b",4000
29,621,40,"1b",4000
30,621,34.29,"1b",4000
31,621,31.43,"1b",4000
31,621,31.43,"1",4001
32,621,40.57,"1",4001
33,621,30.86,"1",4001
34,621,28,"1",4001
35,621,23.43,"1",4001
36,621,22.29,"1",4001
37,621,18.29,"1",4001
38,621,18.86,"1",4001
39,621,20.57,"1",4001
40,621,16,"1",4001
41,621,7.71,"1",4001
42,621,3.86,"1",4001
43,621,5.57,"1",4001
44,621,3.43,"1",4001
45,621,2.14,"1",4001
46,621,1.43,"1",4001
47,621,1.57,"1",4001
48,621,2.43,"1",4001
49,621,2.14,"1",4001
50,621,2.86,"1",4001
51,621,1.43,"1",4001
52,621,0.71,"1",4001
0,1269,0.86,"1",8272
1,1269,3.14,"1",8272
2,1269,4,"1",8272
3,1269,5.71,"1",8272
4,1269,7.71,"1",8272
5,1269,11,"1",8272
6,1269,17.86,"1",8272
7,1269,29.71,"1",8272
8,1269,50.29,"1",8272
9,1269,88.57,"1",8272
10,1269,160,"1",8272
10,1269,160,"1b",8273
11,1269,240,"1b",8273
12,1269,443.43,"1b",8273
13,1269,585.14,"1b",8273
13,1269,585.14,"3",8274
14,1269,530.29,"3",8274
15,1269,356.57,"3",8274
16,1269,484.57,"3",8274
17,1269,658.29,"3",8274
18,1269,466.29,"3",8274
19,1269,512,"3",8274
20,1269,365.71,"3",8274
21,1269,356.57,"3",8274
22,1269,228.57,"3",8274
23,1269,228.57,"3",8274
24,1269,102.86,"3",8274
25,1269,68.57,"3",8274
25,1269,68.57,"2",8275
26,1269,91.43,"2",8275
27,1269,45.71,"2",8275
28,1269,32,"2",8275
28,1269,32,"1b",8276
29,1269,15.43,"1b",8276
30,1269,15.43,"1b",8276
31,1269,11.14,"1b",8276
31,1269,11.14,"1",8277
32,1269,8.71,"1",8277
33,1269,8.86,"1",8277
34,1269,6.57,"1",8277
35,1269,5.57,"1",8277
36,1269,9.14,"1",8277
37,1269,4.86,"1",8277
38,1269,4.71,"1",8277
39,1269,3.29,"1",8277
40,1269,4.14,"1",8277
41,1269,2.57,"1",8277
42,1269,2.71,"1",8277
43,1269,4,"1",8277
44,1269,3.71,"1",8277
45,1269,2.86,"1",8277
46,1269,4.14,"1",8277
47,1269,3,"1",8277
48,1269,1.71,"1",8277
49,1269,1.43,"1",8277
50,1269,1.43,"1",8277
51,1269,1.43,"1",8277
52,1269,1.86,"1",8277
0,1916,1,"1",13070
1,1916,1.57,"1",13070
2,1916,3.71,"1",13070
3,1916,4.71,"1",13070
4,1916,6.14,"1",13070
5,1916,11.71,"1",13070
6,1916,19.29,"1",13070
7,1916,29.71,"1",13070
8,1916,56.57,"1",13070
9,1916,84,"1",13070
10,1916,123.43,"1",13070
10,1916,123.43,"1b",13071
11,1916,210.29,"1b",13071
12,1916,276.57,"1b",13071
13,1916,621.71,"1b",13071
14,1916,768,"1b",13071
15,1916,1133.71,"1b",13071
16,1916,2048,"1b",13071
16,1916,2048,"3",13072
17,1916,1572.57,"3",13072
17,1916,1572.57,"4",13073
18,1916,877.71,"4",13073
19,1916,365.71,"4",13073
20,1916,82.29,"4",13073
21,1916,89.14,"4",13073
22,1916,43.43,"4",13073
22,1916,43.43,"3",13074
23,1916,48,"3",13074
24,1916,20,"3",13074
25,1916,24,"3",13074
25,1916,24,"2",13075
26,1916,21.71,"2",13075
27,1916,22.29,"2",13075
28,1916,25.14,"2",13075
28,1916,25.14,"1b",13076
29,1916,16.57,"1b",13076
30,1916,15.43,"1b",13076
31,1916,24.57,"1b",13076
31,1916,24.57,"1",13077
32,1916,22.86,"1",13077
33,1916,20.57,"1",13077
34,1916,16,"1",13077
35,1916,10.86,"1",13077
36,1916,3.29,"1",13077
37,1916,2.86,"1",13077
38,1916,2,"1",13077
39,1916,2.14,"1",13077
40,1916,0.86,"1",13077
41,1916,0.86,"1",13077
42,1916,1,"1",13077
43,1916,0.86,"1",13077
44,1916,0.57,"1",13077
45,1916,1.29,"1",13077
46,1916,0.57,"1",13077
47,1916,1.43,"1",13077
48,1916,0.57,"1",13077
49,1916,0.71,"1",13077
50,1916,0.86,"1",13077
51,1916,0.43,"1",13077
52,1916,0.57,"1",13077
0,2565,0.86,"1",17501
1,2565,2.14,"1",17501
2,2565,4.86,"1",17501
3,2565,6.71,"1",17501
4,2565,11.71,"1",17501
5,2565,17.29,"1",17501
6,2565,27.43,"1",17501
7,2565,55.43,"1",17501
8,2565,98.29,"1",17501
9,2565,221.71,"1",17501
9,2565,221.71,"1b",17502
10,2565,228.57,"1b",17502
11,2565,402.29,"1b",17502
12,2565,685.71,"1b",17502
12,2565,685.71,"3",17503
13,2565,658.29,"3",17503
14,2565,621.71,"3",17503
15,2565,521.14,"3",17503
16,2565,594.29,"3",17503
17,2565,603.43,"3",17503
18,2565,557.71,"3",17503
19,2565,521.14,"3",17503
20,2565,356.57,"3",17503
21,2565,256,"3",17503
22,2565,219.43,"3",17503
23,2565,210.29,"3",17503
24,2565,73.14,"3",17503
25,2565,66.29,"3",17503
25,2565,66.29,"2",17504
26,2565,70.86,"2",17504
27,2565,50.29,"2",17504
28,2565,54.86,"2",17504
28,2565,54.86,"1b",17505
29,2565,49.14,"1b",17505
30,2565,22.86,"1b",17505
31,2565,28.57,"1b",17505
31,2565,28.57,"1",17506
32,2565,22.86,"1",17506
33,2565,23.43,"1",17506
34,2565,16.57,"1",17506
35,2565,17.71,"1",17506
36,2565,10,"1",17506
37,2565,3.86,"1",17506
38,2565,4.14,"1",17506
39,2565,4.14,"1",17506
40,2565,3.43,"1",17506
41,2565,1.57,"1",17506
42,2565,1.86,"1",17506
43,2565,1.43,"1",17506
44,2565,1,"1",17506
45,2565,2.43,"1",17506
46,2565,1.86,"1",17506
47,2565,2.14,"1",17506
48,2565,1.57,"1",17506
49,2565,0.43,"1",17506
50,2565,1,"1",17506
51,2565,0.71,"1",17506
52,2565,0,"1",17506
0,3210,0.86,"1",21827
1,3210,0.43,"1",21827
2,3210,1.29,"1",21827
3,3210,2.29,"1",21827
4,3210,3.29,"1",21827
5,3210,3,"1",21827
6,3210,5.43,"1",21827
7,3210,8,"1",21827
8,3210,13.14,"1",21827
9,3210,15,"1",21827
10,3210,37.14,"1",21827
11,3210,42.86,"1",21827
12,3210,66.29,"1",21827
13,3210,89.14,"1",21827
14,3210,123.43,"1",21827
15,3210,189.71,"1",21827
16,3210,272,"1",21827
16,3210,272,"1b",21828
17,3210,374.86,"1b",21828
18,3210,484.57,"1b",21828
19,3210,603.43,"1b",21828
20,3210,621.71,"1b",21828
20,3210,621.71,"3",21829
21,3210,512,"3",21829
22,3210,484.57,"3",21829
23,3210,402.29,"3",21829
24,3210,338.29,"3",21829
25,3210,265.14,"3",21829
26,3210,393.14,"3",21829
27,3210,283.43,"3",21829
27,3210,283.43,"2",21830
28,3210,338.29,"2",21830
29,3210,301.71,"2",21830
30,3210,292.57,"2",21830
30,3210,292.57,"1b",21831
31,3210,256,"1b",21831
32,3210,292.57,"1b",21831
33,3210,329.14,"1b",21831
33,3210,329.14,"1",21832
34,3210,320,"1",21832
35,3210,347.43,"1",21832
36,3210,338.29,"1",21832
36,3210,338.29,"1b",21833
37,3210,292.57,"1b",21833
38,3210,219.43,"1b",21833
39,3210,121.14,"1b",21833
39,3210,121.14,"1",21834
40,3210,66.29,"1",21834
41,3210,41.14,"1",21834
42,3210,18.29,"1",21834
43,3210,20.57,"1",21834
44,3210,21.71,"1",21834
