"wk","tr","nc","stg","id"
0,201,0.86,"1",1617
1,201,1.14,"1",1617
1,201,1.14,"1b",1618
2,201,0.43,"1b",1618
2,201,0.43,"2",1619
3,201,1.43,"2",1619
4,201,0.71,"2",1619
5,201,1.29,"2",1619
6,201,0.29,"2",1619
7,201,0.43,"2",1619
8,201,0.71,"2",1619
9,201,0.57,"2",1619
9,201,0.57,"1b",1620
10,201,0,"1b",1620
11,201,0.29,"1b",1620
12,201,0,"1b",1620
13,201,0.14,"1b",1620
14,201,0.14,"1b",1620
15,201,0.57,"1b",1620
16,201,0.43,"1b",1620
17,201,0.71,"1b",1620
18,201,0.43,"1b",1620
19,201,0.86,"1b",1620
20,201,0.57,"1b",1620
21,201,1,"1b",1620
22,201,0.86,"1b",1620
22,201,0.86,"2",1621
23,201,0.71,"2",1621
24,201,0.43,"2",1621
25,201,1.14,"2",1621
26,201,0.57,"2",1621
26,201,0.57,"1b",1622
27,201,1.29,"1b",1622
27,201,1.29,"2",1623
28,201,0.71,"2",1623
29,201,0.71,"2",1623
30,201,1,"2",1623
31,201,1,"2",1623
31,201,1,"1b",1624
32,201,1.14,"1b",1624
33,201,1.71,"1b",1624
33,201,1.71,"2",1625
34,201,1.14,"2",1625
35,201,1.57,"2",1625
36,201,4.29,"2",1625
37,201,3,"2",1625
38,201,2.14,"2",1625
39,201,2.14,"2",1625
40,201,2.57,"2",1625
41,201,2.14,"2",1625
42,201,2.29,"2",1625
43,201,2.71,"2",1625
44,201,3.57,"2",1625
45,201,3.86,"2",1625
46,201,2.86,"2",1625
47,201,3,"2",1625
48,201,3.14,"2",1625
49,201,3.71,"2",1625
50,201,2.57,"2",1625
51,201,3.71,"2",1625
52,201,3.14,"2",1625
0,848,0.86,"1",5911
1,848,1,"1",5911
1,848,1,"2",5912
2,848,1.29,"2",5912
3,848,1.14,"2",5912
4,848,1.14,"2",5912
5,848,2.29,"2",5912
6,848,1.71,"2",5912
7,848,2.86,"2",5912
8,848,1.86,"2",5912
