"wk","tr","nc","stg","id"
0,371,0.86,"1",2665
1,371,1.29,"1",2665
2,371,0.71,"1",2665
3,371,0.86,"1",2665
4,371,0.43,"1",2665
5,371,1,"1",2665
6,371,0.86,"1",2665
7,371,0.86,"1",2665
8,371,0.71,"1",2665
9,371,0.86,"1",2665
10,371,0.86,"1",2665
11,371,0.57,"1",2665
12,371,1.14,"1",2665
13,371,1.29,"1",2665
14,371,0.86,"1",2665
15,371,1.14,"1",2665
16,371,0.86,"1",2665
17,371,1.86,"1",2665
18,371,1.29,"1",2665
19,371,1.14,"1",2665
20,371,0.86,"1",2665
21,371,1,"1",2665
22,371,1.14,"1",2665
23,371,0.86,"1",2665
24,371,0.43,"1",2665
25,371,0.43,"1",2665
26,371,0.86,"1",2665
27,371,1.29,"1",2665
28,371,0.86,"1",2665
29,371,1.29,"1",2665
30,371,3,"1",2665
31,371,1.86,"1",2665
32,371,0.86,"1",2665
33,371,1,"1",2665
34,371,1,"1",2665
35,371,1,"1",2665
36,371,1.14,"1",2665
37,371,1.14,"1",2665
38,371,0.71,"1",2665
39,371,0.57,"1",2665
40,371,2,"1",2665
41,371,1.29,"1",2665
42,371,1.29,"1",2665
43,371,1.86,"1",2665
44,371,3,"1",2665
45,371,4.14,"1",2665
46,371,2.86,"1",2665
47,371,3.43,"1",2665
48,371,4.71,"1",2665
49,371,4.43,"1",2665
50,371,3.29,"1",2665
51,371,3.29,"1",2665
52,371,2.86,"1",2665
0,1017,0.86,"1",7000
1,1017,1.29,"1",7000
2,1017,0.86,"1",7000
3,1017,1.57,"1",7000
4,1017,2.29,"1",7000
5,1017,2.43,"1",7000
6,1017,4.43,"1",7000
7,1017,4.29,"1",7000
8,1017,4.14,"1",7000
9,1017,3.71,"1",7000
10,1017,5.86,"1",7000
11,1017,5.29,"1",7000
12,1017,3.86,"1",7000
13,1017,4.43,"1",7000
14,1017,6,"1",7000
15,1017,7,"1",7000
16,1017,8.57,"1",7000
17,1017,4.86,"1",7000
18,1017,3.86,"1",7000
19,1017,3.57,"1",7000
20,1017,2.43,"1",7000
21,1017,2.14,"1",7000
22,1017,2.57,"1",7000
23,1017,2.43,"1",7000
24,1017,2.57,"1",7000
25,1017,1.57,"1",7000
26,1017,1.57,"1",7000
27,1017,1.57,"1",7000
28,1017,1.71,"1",7000
29,1017,1.43,"1",7000
30,1017,2.14,"1",7000
31,1017,1.71,"1",7000
32,1017,1.29,"1",7000
33,1017,1.43,"1",7000
34,1017,1.86,"1",7000
35,1017,2.14,"1",7000
36,1017,2.14,"1",7000
37,1017,1.14,"1",7000
38,1017,0.43,"1",7000
39,1017,0.29,"1",7000
40,1017,1.86,"1",7000
41,1017,2.29,"1",7000
42,1017,2,"1",7000
43,1017,3,"1",7000
44,1017,3.86,"1",7000
45,1017,2.29,"1",7000
46,1017,2.43,"1",7000
47,1017,3.14,"1",7000
48,1017,2.29,"1",7000
49,1017,3,"1",7000
50,1017,3.43,"1",7000
51,1017,3.86,"1",7000
52,1017,3.14,"1",7000
0,1671,1,"1",11847
1,1671,1.57,"1",11847
2,1671,2.57,"1",11847
3,1671,3.14,"1",11847
4,1671,3.14,"1",11847
5,1671,3.43,"1",11847
6,1671,4.43,"1",11847
7,1671,4.86,"1",11847
8,1671,6,"1",11847
9,1671,6.71,"1",11847
10,1671,6.57,"1",11847
11,1671,6.71,"1",11847
12,1671,6.71,"1",11847
13,1671,5.29,"1",11847
14,1671,4.86,"1",11847
15,1671,6,"1",11847
16,1671,5.29,"1",11847
17,1671,3.71,"1",11847
18,1671,2.57,"1",11847
19,1671,2,"1",11847
20,1671,2.86,"1",11847
21,1671,3,"1",11847
22,1671,2.57,"1",11847
