vu,R0,str,vk,va,tp,ms,wk,q50,q95,q5,bo
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,0,0.0,0.01,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,1,0.0,1.0,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,2,0.0,2.01,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,3,0.0,3.29,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,4,0.0,3.72,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,5,0.29,4.31,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,6,0.29,4.74,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,7,0.5,3.71,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,8,0.57,4.86,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,9,0.64,5.19,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,10,0.71,4.33,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,11,0.71,4.0,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,12,0.57,3.45,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,13,0.57,3.58,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,14,0.43,3.16,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,15,0.43,2.88,0.0,0
70% Vaccinated,5.0,ME_ME_TS,0,0.2,ass100_90at5,1a,16,0.43,3.06,0.0,0
