"stage","R0","R"
"None","2.5",2.77906468853032
"None","2.5",2.37159287736976
"None","2.5",2.70707981282584
"None","2.5",2.48147681389758
"None","2.5",2.33406951754869
"None","2.5",2.55891423171304
"None","2.5",2.69013150489901
"None","2.5",2.19098853856977
"None","2.5",2.55759301435491
"None","2.5",2.69137966699493
"None","2.5",2.52640460373522
"None","2.5",2.78560366279583
"None","2.5",2.60465438677251
"None","2.5",2.83851931556354
"None","2.5",2.30701107349391
"None","2.5",2.43034040604428
"None","2.5",2.60190631779217
"None","2.5",2.28204553872014
"None","2.5",2.77842555386283
"None","2.5",2.20636958608544
"None","2.5",2.80419281685496
"None","2.5",2.39088109422569
"None","2.5",2.55275192427265
"None","2.5",2.29052107547367
"None","2.5",2.66600109372431
"None","2.5",2.5293348314651
"None","2.5",2.590098194299
"None","2.5",2.48439109279767
"None","2.5",2.22442526026121
"None","2.5",2.57912031705073
"None","2.5",2.29533157855926
"None","2.5",2.46892707900489
"None","2.5",2.97642064505964
"None","2.5",2.04226761711405
"None","2.5",2.58976363580403
"None","2.5",2.37790335149384
"None","2.5",2.24200830095651
"None","2.5",2.35506206202502
"None","2.5",2.64083681087464
"None","2.5",2.35848256399178
"None","2.5",2.58849976976345
"None","2.5",1.95262941972801
"None","2.5",2.38067061965163
"None","2.5",2.44902221635055
"None","2.5",2.47199656987251
"None","2.5",2.45862789108463
"None","2.5",2.11592964439086
"None","2.5",2.42005613938103
"None","2.5",2.34320613732602
"None","2.5",2.44447935707963
"None","2.5",2.42545283008517
"None","2.5",2.57838026890873
"None","2.5",2.73416662341271
"None","2.5",2.5942024501447
"None","2.5",2.81539656312999
"None","2.5",2.39863298472666
"None","2.5",2.61516819087055
"None","2.5",2.31572598850093
"None","2.5",2.61977903233691
"None","2.5",2.64913388745721
"None","2.5",2.44265502091598
"None","2.5",2.47129289442952
"None","2.5",2.77147756428976
"None","2.5",2.26172164939361
"None","2.5",2.71563794489486
"None","2.5",2.39742151981213
"None","2.5",2.50987149726387
"None","2.5",2.48732810349658
"None","2.5",2.19611835351083
"None","2.5",2.39028560795846
"None","2.5",2.67100351823621
"None","2.5",2.6933891637506
"None","2.5",2.82997590832738
"None","2.5",2.26990707549437
"None","2.5",2.70985584682098
"None","2.5",2.50931163826048
"None","2.5",2.71568883466672
"None","2.5",2.7414060009284
"None","2.5",2.83243359072598
"None","2.5",2.45230233533786
"None","2.5",2.96327164882347
"None","2.5",2.97402420349875
"None","2.5",2.96608584205049
"None","2.5",2.5110329946968
"None","2.5",2.5701076884133
"None","2.5",2.96159838364212
"None","2.5",2.28906558976531
"None","2.5",2.44075264083036
"None","2.5",2.77838654341865
"None","2.5",2.62596884892363
"None","2.5",2.99618665857339
"None","2.5",2.0905058765109
"None","2.5",2.31937696536681
"None","2.5",2.38280029655154
"None","2.5",2.13407626631238
"None","2.5",2.5217849970071
"None","2.5",2.73241622204747
"None","2.5",2.6784309690039
"None","2.5",2.64057112913147
"None","2.5",2.71181519740277
"None","3.125",2.92280350121963
"None","3.125",2.6649303116699
"None","3.125",2.93166198512224
"None","3.125",3.49576028734409
"None","3.125",2.51824540956003
"None","3.125",3.91741847938352
"None","3.125",2.99850331627003
"None","3.125",2.52115894169165
"None","3.125",3.17273203174277
"None","3.125",2.95775978070028
"None","3.125",2.45493014257737
"None","3.125",2.82257584383098
"None","3.125",3.21006772132029
"None","3.125",3.334304143373
"None","3.125",3.21771045326515
"None","3.125",2.68661937485061
"None","3.125",2.42571493020761
"None","3.125",3.65552224385627
"None","3.125",2.64128685094365
"None","3.125",3.53022296577303
"None","3.125",3.50573668263898
"None","3.125",2.9171856278046
"None","3.125",3.13852722508241
"None","3.125",3.10790204078688
"None","3.125",3.78437810629669
"None","3.125",3.03770795212281
"None","3.125",2.81339833215825
"None","3.125",2.8546255346982
"None","3.125",3.0542253128613
"None","3.125",3.26873501332575
"None","3.125",3.24763332440097
"None","3.125",3.17866068809132
"None","3.125",3.57232026675207
"None","3.125",3.31128220061884
"None","3.125",2.2650660243081
"None","3.125",3.2305576497752
"None","3.125",2.91723930743867
"None","3.125",2.87233426396878
"None","3.125",2.78460728962725
