day,R0,Policy,VacUptake,Kids,IncurRate,TracePower,days_in_month,stage,stage_prop
Aug (2021),6.5,ME_TS_LS,0.8,Yes,0.2,ass100_90at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,Yes,1.0,ass200_90at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,Yes,1.0,ass50_70at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,Yes,5.0,ass100_90at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,Yes,5.0,ass100_90at5_iso,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,Yes,5.0,ass200_90at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,Yes,5.0,ass50_70at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,Yes,25.0,ass100_90at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,Yes,25.0,ass100_90at5_iso,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,Yes,25.0,ass200_90at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,Yes,25.0,ass50_70at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.8,No,0.2,ass100_90at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.8,No,0.2,ass100_90at5_iso,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.8,No,0.2,ass200_90at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.8,No,0.2,ass50_70at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.8,No,1.0,ass100_90at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.8,No,1.0,ass100_90at5_iso,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.8,No,1.0,ass200_90at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.8,No,1.0,ass50_70at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.8,No,5.0,ass100_90at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.8,No,5.0,ass100_90at5_iso,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.8,No,5.0,ass200_90at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,Yes,1.0,ass100_90at5_iso,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.8,No,5.0,ass50_70at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,Yes,1.0,ass100_90at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,Yes,0.2,ass200_90at5,31,1,100.0
Aug (2021),6.5,ME_ME_TS,0.95,Yes,25.0,ass100_90at5_iso,31,1,100.0
Aug (2021),6.5,ME_ME_TS,0.95,Yes,25.0,ass200_90at5,31,1,100.0
Aug (2021),6.5,ME_ME_TS,0.95,Yes,25.0,ass50_70at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,No,0.2,ass100_90at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,No,0.2,ass100_90at5_iso,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,No,0.2,ass200_90at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,No,0.2,ass50_70at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,No,1.0,ass100_90at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,No,1.0,ass100_90at5_iso,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,No,1.0,ass200_90at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,No,1.0,ass50_70at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,No,5.0,ass100_90at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,No,5.0,ass100_90at5_iso,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,No,5.0,ass200_90at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,No,5.0,ass50_70at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,No,25.0,ass100_90at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,No,25.0,ass100_90at5_iso,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,No,25.0,ass200_90at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,No,25.0,ass50_70at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,Yes,0.2,ass100_90at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,Yes,0.2,ass100_90at5_iso,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.7,Yes,0.2,ass50_70at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.8,No,25.0,ass100_90at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.8,No,25.0,ass100_90at5_iso,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.8,No,25.0,ass200_90at5,31,1,100.0
Aug (2021),6.5,ME_TS_BS,0.9,No,5.0,ass100_90at5_iso,31,1,100.0
