"strategy","phase_1_vaccine_transmission_reduction","phase_2_3_vaccine_transmission_reduction","vaccine_uptake","relax_strategies","unmitigated_reproduction_rate","effect","change_in_HALYs","type"
"Aggressive Elimination",50,50,60,0,2.5,"Anxiety",-121.69,"Morbidity"
"Aggressive Elimination",50,50,60,0,3.125,"Anxiety",-191.17,"Morbidity"
"Aggressive Elimination",50,50,60,0,3.75,"Anxiety",-282.84,"Morbidity"
"Aggressive Elimination",50,50,60,1,2.5,"Anxiety",-31.18,"Morbidity"
"Aggressive Elimination",50,50,60,1,3.125,"Anxiety",-73.95,"Morbidity"
"Aggressive Elimination",50,50,60,1,3.75,"Anxiety",-182.42,"Morbidity"
"Aggressive Elimination",50,75,60,0,2.5,"Anxiety",-112.41,"Morbidity"
"Aggressive Elimination",50,75,60,0,3.125,"Anxiety",-179.32,"Morbidity"
"Aggressive Elimination",50,75,60,0,3.75,"Anxiety",-275.73,"Morbidity"
"Aggressive Elimination",50,75,60,1,2.5,"Anxiety",-30.38,"Morbidity"
"Aggressive Elimination",50,75,60,1,3.125,"Anxiety",-66.03,"Morbidity"
"Aggressive Elimination",50,75,60,1,3.75,"Anxiety",-156.82,"Morbidity"
"Aggressive Elimination",50,90,60,0,2.5,"Anxiety",-100.44,"Morbidity"
"Aggressive Elimination",50,90,60,0,3.125,"Anxiety",-170,"Morbidity"
"Aggressive Elimination",50,90,60,0,3.75,"Anxiety",-268.42,"Morbidity"
"Aggressive Elimination",50,90,60,1,2.5,"Anxiety",-29.74,"Morbidity"
"Aggressive Elimination",50,90,60,1,3.125,"Anxiety",-63.08,"Morbidity"
"Aggressive Elimination",50,90,60,1,3.75,"Anxiety",-146.39,"Morbidity"
"Aggressive Elimination",75,50,60,0,2.5,"Anxiety",-116.92,"Morbidity"
"Aggressive Elimination",75,50,60,0,3.125,"Anxiety",-170.56,"Morbidity"
"Aggressive Elimination",75,50,60,0,3.75,"Anxiety",-269.02,"Morbidity"
"Aggressive Elimination",75,50,60,1,2.5,"Anxiety",-29.83,"Morbidity"
"Aggressive Elimination",75,50,60,1,3.125,"Anxiety",-57.51,"Morbidity"
"Aggressive Elimination",75,50,60,1,3.75,"Anxiety",-159.09,"Morbidity"
"Aggressive Elimination",75,75,60,0,2.5,"Anxiety",-106.82,"Morbidity"
"Aggressive Elimination",75,75,60,0,3.125,"Anxiety",-155.22,"Morbidity"
"Aggressive Elimination",75,75,60,0,3.75,"Anxiety",-254.35,"Morbidity"
"Aggressive Elimination",75,75,60,1,2.5,"Anxiety",-29.64,"Morbidity"
"Aggressive Elimination",75,75,60,1,3.125,"Anxiety",-55.19,"Morbidity"
"Aggressive Elimination",75,75,60,1,3.75,"Anxiety",-137.75,"Morbidity"
"Aggressive Elimination",75,90,60,0,2.5,"Anxiety",-94.21,"Morbidity"
"Aggressive Elimination",75,90,60,0,3.125,"Anxiety",-144.65,"Morbidity"
"Aggressive Elimination",75,90,60,0,3.75,"Anxiety",-245.18,"Morbidity"
"Aggressive Elimination",75,90,60,1,2.5,"Anxiety",-29.71,"Morbidity"
"Aggressive Elimination",75,90,60,1,3.125,"Anxiety",-54.3,"Morbidity"
"Aggressive Elimination",75,90,60,1,3.75,"Anxiety",-127.02,"Morbidity"
"Aggressive Elimination",90,50,60,0,2.5,"Anxiety",-106.43,"Morbidity"
"Aggressive Elimination",90,50,60,0,3.125,"Anxiety",-159.56,"Morbidity"
"Aggressive Elimination",90,50,60,0,3.75,"Anxiety",-253.85,"Morbidity"
"Aggressive Elimination",90,50,60,1,2.5,"Anxiety",-28.63,"Morbidity"
"Aggressive Elimination",90,50,60,1,3.125,"Anxiety",-52.02,"Morbidity"
"Aggressive Elimination",90,50,60,1,3.75,"Anxiety",-131.99,"Morbidity"
"Aggressive Elimination",90,75,60,0,2.5,"Anxiety",-98.54,"Morbidity"
"Aggressive Elimination",90,75,60,0,3.125,"Anxiety",-146.64,"Morbidity"
"Aggressive Elimination",90,75,60,0,3.75,"Anxiety",-242.07,"Morbidity"
"Aggressive Elimination",90,75,60,1,2.5,"Anxiety",-28.43,"Morbidity"
"Aggressive Elimination",90,75,60,1,3.125,"Anxiety",-51.48,"Morbidity"
"Aggressive Elimination",90,75,60,1,3.75,"Anxiety",-116.89,"Morbidity"
"Aggressive Elimination",90,90,60,0,2.5,"Anxiety",-86.9,"Morbidity"
"Aggressive Elimination",90,90,60,0,3.125,"Anxiety",-135.57,"Morbidity"
"Aggressive Elimination",90,90,60,0,3.75,"Anxiety",-225.62,"Morbidity"
"Aggressive Elimination",90,90,60,1,2.5,"Anxiety",-28.83,"Morbidity"
"Aggressive Elimination",90,90,60,1,3.125,"Anxiety",-50.62,"Morbidity"
"Aggressive Elimination",90,90,60,1,3.75,"Anxiety",-113.03,"Morbidity"
"Aggressive Elimination",50,50,75,0,2.5,"Anxiety",-115.95,"Morbidity"
"Aggressive Elimination",50,50,75,0,3.125,"Anxiety",-180.7,"Morbidity"
"Aggressive Elimination",50,50,75,0,3.75,"Anxiety",-266.99,"Morbidity"
"Aggressive Elimination",50,50,75,1,2.5,"Anxiety",-29.68,"Morbidity"
