"wk","tr","nc","stg","id"
0,44,0.86,"1",315
1,44,0.57,"1",315
1,44,0.57,"2",316
2,44,0.86,"2",316
3,44,0.86,"2",316
4,44,0.43,"2",316
5,44,0.57,"2",316
6,44,0.57,"2",316
7,44,0,"2",316
8,44,0.43,"2",316
9,44,0.43,"2",316
10,44,0.29,"2",316
11,44,0,"2",316
12,44,0,"2",316
13,44,0,"2",316
13,44,0,"1b",317
14,44,0,"1b",317
15,44,0.14,"1b",317
16,44,0.29,"1b",317
16,44,0.29,"2",318
17,44,0.14,"2",318
18,44,0.14,"2",318
19,44,0,"2",318
20,44,0,"2",318
21,44,0.14,"2",318
22,44,0,"2",318
23,44,0,"2",318
23,44,0,"1b",319
24,44,0,"1b",319
25,44,0,"1b",319
26,44,0,"1b",319
26,44,0,"1",320
27,44,0.29,"1",320
28,44,0.57,"1",320
28,44,0.57,"2",321
29,44,0.57,"2",321
30,44,0.86,"2",321
31,44,1.43,"2",321
32,44,0.71,"2",321
33,44,2.14,"2",321
34,44,3.57,"2",321
34,44,3.57,"3",322
35,44,1.57,"3",322
36,44,1.71,"3",322
37,44,1.14,"3",322
38,44,1.43,"3",322
39,44,0.57,"3",322
40,44,1.14,"3",322
40,44,1.14,"2",323
41,44,1.14,"2",323
41,44,1.14,"3",324
42,44,1.29,"3",324
43,44,1.43,"3",324
44,44,1.57,"3",324
45,44,1.29,"3",324
46,44,1.86,"3",324
47,44,2.14,"3",324
48,44,2.29,"3",324
49,44,2.43,"3",324
50,44,2.14,"3",324
51,44,1.29,"3",324
52,44,1.29,"3",324
0,694,0.86,"1",4665
1,694,1,"1",4665
1,694,1,"2",4666
2,694,1.14,"2",4666
2,694,1.14,"3",4667
3,694,0.43,"3",4667
4,694,0.86,"3",4667
5,694,0.29,"3",4667
5,694,0.29,"2",4668
6,694,0.43,"2",4668
7,694,0.29,"2",4668
8,694,0.14,"2",4668
9,694,0,"2",4668
10,694,0,"2",4668
10,694,0,"1b",4669
11,694,0,"1b",4669
12,694,0.14,"1b",4669
13,694,0,"1b",4669
14,694,0.29,"1b",4669
14,694,0.29,"2",4670
15,694,0.43,"2",4670
16,694,0.14,"2",4670
17,694,0.29,"2",4670
18,694,0.14,"2",4670
19,694,0.43,"2",4670
20,694,0.71,"2",4670
21,694,0.71,"2",4670
22,694,0.43,"2",4670
23,694,0.43,"2",4670
24,694,0.86,"2",4670
25,694,0.71,"2",4670
26,694,0.86,"2",4670
27,694,0.57,"2",4670
28,694,0.71,"2",4670
29,694,1.14,"2",4670
30,694,0.71,"2",4670
31,694,1.57,"2",4670
32,694,0.71,"2",4670
32,694,0.71,"3",4671
33,694,0.57,"3",4671
34,694,1.14,"3",4671
35,694,0.86,"3",4671
36,694,0.57,"3",4671
37,694,0,"3",4671
37,694,0,"2",4672
38,694,0.14,"2",4672
39,694,0.29,"2",4672
40,694,1.71,"2",4672
41,694,1.86,"2",4672
41,694,1.86,"3",4673
42,694,2.71,"3",4673
43,694,2.86,"3",4673
44,694,2.43,"3",4673
45,694,1.14,"3",4673
46,694,1.14,"3",4673
46,694,1.14,"2",4674
47,694,2,"2",4674
48,694,1.14,"2",4674
48,694,1.14,"3",4675
49,694,1,"3",4675
50,694,1.71,"3",4675
51,694,1.57,"3",4675
52,694,1.29,"3",4675
0,1341,1,"1",8998
1,1341,2,"1",8998
1,1341,2,"2",8999
2,1341,2,"2",8999
2,1341,2,"3",9000
3,1341,2.71,"3",9000
4,1341,2.14,"3",9000
5,1341,1.71,"3",9000
6,1341,1.43,"3",9000
7,1341,1.86,"3",9000
8,1341,1.43,"3",9000
9,1341,1,"3",9000
10,1341,0.71,"3",9000
11,1341,1.29,"3",9000
12,1341,0.57,"3",9000
13,1341,0.43,"3",9000
14,1341,0.29,"3",9000
15,1341,0.14,"3",9000
15,1341,0.14,"2",9001
16,1341,0,"2",9001
17,1341,0,"2",9001
18,1341,0,"2",9001
18,1341,0,"1b",9002
19,1341,0,"1b",9002
20,1341,0,"1b",9002
21,1341,0.43,"1b",9002
21,1341,0.43,"1",9003
22,1341,0.29,"1",9003
22,1341,0.29,"2",9004
23,1341,0.14,"2",9004
24,1341,0,"2",9004
25,1341,0,"2",9004
26,1341,0,"2",9004
26,1341,0,"1b",9005
27,1341,0.29,"1b",9005
28,1341,0,"1b",9005
28,1341,0,"2",9006
29,1341,0.29,"2",9006
30,1341,0.57,"2",9006
31,1341,0.86,"2",9006
32,1341,0.71,"2",9006
33,1341,1.14,"2",9006
34,1341,0.86,"2",9006
35,1341,1.14,"2",9006
36,1341,0.57,"2",9006
37,1341,0.57,"2",9006
38,1341,0.86,"2",9006
39,1341,0.29,"2",9006
40,1341,0.71,"2",9006
41,1341,1.29,"2",9006
42,1341,0.86,"2",9006
43,1341,1.29,"2",9006
44,1341,0.86,"2",9006
44,1341,0.86,"3",9007
45,1341,1,"3",9007
46,1341,1.29,"3",9007
47,1341,1.43,"3",9007
48,1341,0.43,"3",9007
49,1341,0.71,"3",9007
50,1341,1.14,"3",9007
51,1341,2.86,"3",9007
52,1341,1.86,"3",9007
0,1990,0.86,"1",13669
1,1990,0.86,"1",13669
1,1990,0.86,"2",13670
2,1990,0.71,"2",13670
3,1990,0,"2",13670
4,1990,0.43,"2",13670
5,1990,0,"2",13670
6,1990,0.43,"2",13670
7,1990,0,"2",13670
8,1990,0,"2",13670
9,1990,0,"2",13670
10,1990,0,"2",13670
10,1990,0,"1b",13671
11,1990,0,"1b",13671
12,1990,0,"1b",13671
13,1990,0,"1b",13671
13,1990,0,"1",13672
14,1990,0,"1",13672
15,1990,0,"1",13672
16,1990,0,"1",13672
17,1990,0,"1",13672
18,1990,0,"1",13672
19,1990,0,"1",13672
20,1990,0,"1",13672
21,1990,0,"1",13672
22,1990,0,"1",13672
23,1990,0,"1",13672
24,1990,0,"1",13672
25,1990,0,"1",13672
26,1990,0.14,"1",13672
27,1990,0,"1",13672
28,1990,0.57,"1",13672
28,1990,0.57,"1b",13673
29,1990,0.57,"1b",13673
29,1990,0.57,"2",13674
30,1990,0.86,"2",13674
31,1990,0.43,"2",13674
32,1990,0.29,"2",13674
33,1990,0.14,"2",13674
