"wk","tr","nc","stg","id"
0,597,0.86,"1",3779
1,597,1.57,"1",3779
2,597,2.71,"1",3779
3,597,3.14,"1",3779
4,597,5.57,"1",3779
5,597,7.29,"1",3779
6,597,7,"1",3779
7,597,13.29,"1",3779
8,597,22.14,"1",3779
9,597,41.71,"1",3779
10,597,52.57,"1",3779
11,597,97.14,"1",3779
12,597,128,"1",3779
12,597,128,"1b",3780
13,597,176,"1b",3780
14,597,251.43,"1b",3780
15,597,404.57,"1b",3780
16,597,594.29,"1b",3780
17,597,886.86,"1b",3780
18,597,868.57,"1b",3780
18,597,868.57,"3",3781
19,597,987.43,"3",3781
20,597,1133.71,"3",3781
21,597,950.86,"3",3781
22,597,1060.57,"3",3781
23,597,1170.29,"3",3781
24,597,1024,"3",3781
24,597,1024,"4",3782
25,597,731.43,"4",3782
26,597,356.57,"4",3782
27,597,100.57,"4",3782
28,597,102.86,"4",3782
29,597,64,"4",3782
29,597,64,"3",3783
30,597,82.29,"3",3783
31,597,80,"3",3783
31,597,80,"2",3784
32,597,80,"2",3784
33,597,102.86,"2",3784
34,597,114.29,"2",3784
34,597,114.29,"1b",3785
35,597,162.29,"1b",3785
36,597,173.71,"1b",3785
37,597,189.71,"1b",3785
37,597,189.71,"1",3786
38,597,358.86,"1",3786
39,597,594.29,"1",3786
40,597,987.43,"1",3786
41,597,1536,"1",3786
41,597,1536,"1b",3787
42,597,2194.29,"1b",3787
43,597,3108.57,"1b",3787
44,597,5010.29,"1b",3787
44,597,5010.29,"3",3788
45,597,4681.14,"3",3788
46,597,3364.57,"3",3788
47,597,2925.71,"3",3788
48,597,950.86,"3",3788
49,597,1499.43,"3",3788
50,597,1536,"3",3788
50,597,1536,"2",3789
51,597,1389.71,"2",3789
52,597,1462.86,"2",3789
0,1245,0.86,"1",8051
1,1245,3.14,"1",8051
2,1245,4,"1",8051
3,1245,5.71,"1",8051
4,1245,8.57,"1",8051
5,1245,12.43,"1",8051
6,1245,20.43,"1",8051
7,1245,38.86,"1",8051
8,1245,66.29,"1",8051
9,1245,146.86,"1",8051
10,1245,203.43,"1",8051
10,1245,203.43,"1b",8052
11,1245,349.71,"1b",8052
12,1245,749.71,"1b",8052
12,1245,749.71,"3",8053
13,1245,603.43,"3",8053
13,1245,603.43,"4",8054
14,1245,429.71,"4",8054
15,1245,219.43,"4",8054
16,1245,210.29,"4",8054
17,1245,84.57,"4",8054
18,1245,64,"4",8054
18,1245,64,"3",8055
19,1245,80,"3",8055
20,1245,80,"3",8055
21,1245,73.14,"3",8055
21,1245,73.14,"2",8056
22,1245,116.57,"2",8056
23,1245,134.86,"2",8056
24,1245,169.14,"2",8056
24,1245,169.14,"1b",8057
25,1245,192,"1b",8057
26,1245,230.86,"1b",8057
27,1245,596.57,"1b",8057
27,1245,596.57,"1",8058
28,1245,740.57,"1",8058
28,1245,740.57,"1b",8059
29,1245,1033.14,"1b",8059
30,1245,2194.29,"1b",8059
30,1245,2194.29,"3",8060
31,1245,1536,"3",8060
32,1245,1682.29,"3",8060
33,1245,2230.86,"3",8060
34,1245,2633.14,"3",8060
35,1245,2121.14,"3",8060
35,1245,2121.14,"4",8061
36,1245,1133.71,"4",8061
37,1245,804.57,"4",8061
38,1245,402.29,"4",8061
39,1245,109.71,"4",8061
40,1245,100.57,"4",8061
40,1245,100.57,"3",8062
41,1245,45.71,"3",8062
42,1245,45.71,"3",8062
43,1245,50.29,"3",8062
43,1245,50.29,"2",8063
44,1245,16,"2",8063
45,1245,21.14,"2",8063
46,1245,24,"2",8063
46,1245,24,"1b",8064
47,1245,23.43,"1b",8064
48,1245,24,"1b",8064
49,1245,37.71,"1b",8064
49,1245,37.71,"1",8065
50,1245,46.29,"1",8065
51,1245,50.86,"1",8065
52,1245,52.57,"1",8065
0,1893,1,"1",12863
1,1893,1.57,"1",12863
2,1893,3.71,"1",12863
3,1893,4.71,"1",12863
4,1893,6.29,"1",12863
5,1893,8.71,"1",12863
6,1893,10.14,"1",12863
7,1893,20.43,"1",12863
8,1893,17.14,"1",12863
9,1893,33.14,"1",12863
10,1893,57.71,"1",12863
11,1893,81.14,"1",12863
12,1893,169.14,"1",12863
12,1893,169.14,"1b",12864
13,1893,187.43,"1b",12864
14,1893,299.43,"1b",12864
15,1893,493.71,"1b",12864
