"wk","tr","nc","stg","id"
0,314,0.86,"1",2585
1,314,1.43,"1",2585
1,314,1.43,"1b",2586
2,314,1,"1b",2586
2,314,1,"2",2587
3,314,1.71,"2",2587
4,314,2.29,"2",2587
5,314,4.29,"2",2587
6,314,2.29,"2",2587
7,314,1.14,"2",2587
8,314,1.43,"2",2587
9,314,0.43,"2",2587
10,314,0.86,"2",2587
11,314,1,"2",2587
11,314,1,"1b",2588
12,314,0.43,"1b",2588
13,314,2,"1b",2588
13,314,2,"2",2589
14,314,1.29,"2",2589
15,314,2.71,"2",2589
16,314,3.14,"2",2589
17,314,2.86,"2",2589
18,314,5.14,"2",2589
19,314,4.43,"2",2589
20,314,4.29,"2",2589
21,314,4.14,"2",2589
22,314,3.86,"2",2589
23,314,3.71,"2",2589
24,314,4.14,"2",2589
25,314,3.14,"2",2589
26,314,2,"2",2589
27,314,2.57,"2",2589
28,314,2.86,"2",2589
29,314,3.29,"2",2589
30,314,3.29,"2",2589
31,314,3.86,"2",2589
32,314,5.71,"2",2589
33,314,4.86,"2",2589
34,314,4.43,"2",2589
34,314,4.43,"3",2590
35,314,3.86,"3",2590
36,314,3.57,"3",2590
37,314,4.29,"3",2590
38,314,2.71,"3",2590
38,314,2.71,"2",2591
39,314,3,"2",2591
40,314,4.71,"2",2591
41,314,3.14,"2",2591
42,314,2.86,"2",2591
43,314,4.14,"2",2591
44,314,6.57,"2",2591
44,314,6.57,"3",2592
45,314,4.29,"3",2592
46,314,2.29,"3",2592
47,314,2.43,"3",2592
48,314,3.57,"3",2592
48,314,3.57,"2",2593
49,314,4,"2",2593
50,314,2.71,"2",2593
51,314,2.86,"2",2593
52,314,0.86,"2",2593
0,961,0.86,"1",6904
1,961,2.86,"1",6904
1,961,2.86,"2",6905
2,961,3.57,"2",6905
3,961,3.43,"2",6905
4,961,6,"2",6905
5,961,9.86,"2",6905
5,961,9.86,"3",6906
6,961,7,"3",6906
7,961,8.71,"3",6906
8,961,7.43,"3",6906
9,961,6.86,"3",6906
10,961,5.29,"3",6906
11,961,6,"3",6906
12,961,5.71,"3",6906
12,961,5.71,"2",6907
13,961,8,"2",6907
13,961,8,"3",6908
14,961,5.14,"3",6908
15,961,5.43,"3",6908
16,961,6.29,"3",6908
17,961,3.29,"3",6908
18,961,1.86,"3",6908
19,961,1.14,"3",6908
20,961,3.29,"3",6908
20,961,3.29,"2",6909
21,961,3.86,"2",6909
22,961,5.14,"2",6909
23,961,2.86,"2",6909
24,961,4.71,"2",6909
25,961,4.71,"2",6909
26,961,5.86,"2",6909
27,961,4.43,"2",6909
28,961,3.86,"2",6909
29,961,4.86,"2",6909
30,961,3.57,"2",6909
31,961,4.71,"2",6909
32,961,4.14,"2",6909
33,961,4.57,"2",6909
34,961,4.14,"2",6909
35,961,2.71,"2",6909
36,961,2.43,"2",6909
37,961,1.14,"2",6909
38,961,1.71,"2",6909
39,961,2.14,"2",6909
40,961,2.57,"2",6909
41,961,4.29,"2",6909
42,961,3.71,"2",6909
43,961,3.71,"2",6909
44,961,3.57,"2",6909
45,961,3,"2",6909
46,961,2.71,"2",6909
47,961,2.86,"2",6909
48,961,2.29,"2",6909
49,961,2.43,"2",6909
50,961,2.14,"2",6909
51,961,2.29,"2",6909
52,961,1.71,"2",6909
0,1611,1,"1",11757
1,1611,1.57,"1",11757
1,1611,1.57,"1b",11758
2,1611,2,"1b",11758
2,1611,2,"2",11759
3,1611,4.14,"2",11759
4,1611,4.86,"2",11759
5,1611,7.86,"2",11759
6,1611,7.86,"2",11759
6,1611,7.86,"3",11760
7,1611,8,"3",11760
8,1611,8.86,"3",11760
9,1611,7.71,"3",11760
10,1611,8.71,"3",11760
11,1611,6.86,"3",11760
12,1611,7.43,"3",11760
13,1611,5.43,"3",11760
14,1611,6.43,"3",11760
15,1611,4,"3",11760
16,1611,6.14,"3",11760
16,1611,6.14,"2",11761
17,1611,5.43,"2",11761
17,1611,5.43,"3",11762
18,1611,5.86,"3",11762
19,1611,5.57,"3",11762
20,1611,4.86,"3",11762
21,1611,4.57,"3",11762
21,1611,4.57,"2",11763
22,1611,5.14,"2",11763
23,1611,4.29,"2",11763
24,1611,3.57,"2",11763
25,1611,4,"2",11763
26,1611,4.71,"2",11763
27,1611,3.29,"2",11763
28,1611,4,"2",11763
29,1611,4.43,"2",11763
30,1611,4.29,"2",11763
31,1611,3.29,"2",11763
32,1611,2.71,"2",11763
33,1611,2.71,"2",11763
34,1611,3,"2",11763
35,1611,3.43,"2",11763
36,1611,3.14,"2",11763
37,1611,3,"2",11763
38,1611,1.57,"2",11763
39,1611,1.29,"2",11763
40,1611,1.29,"2",11763
41,1611,1.57,"2",11763
42,1611,1.29,"2",11763
43,1611,2.71,"2",11763
44,1611,1.14,"2",11763
45,1611,0.86,"2",11763
46,1611,1.57,"2",11763
46,1611,1.57,"1b",11764
47,1611,0.86,"1b",11764
47,1611,0.86,"2",11765
48,1611,0.29,"2",11765
49,1611,0.14,"2",11765
50,1611,1.14,"2",11765
50,1611,1.14,"1b",11766
51,1611,0.43,"1b",11766
52,1611,0.86,"1b",11766
0,2257,0.86,"1",16144
1,2257,2,"1",16144
1,2257,2,"1b",16145
2,2257,3.86,"1b",16145
2,2257,3.86,"2",16146
3,2257,2.86,"2",16146
4,2257,3.57,"2",16146
5,2257,3.14,"2",16146
6,2257,4.43,"2",16146
7,2257,3.43,"2",16146
8,2257,5.29,"2",16146
9,2257,6,"2",16146
10,2257,5.14,"2",16146
10,2257,5.14,"3",16147
11,2257,4.14,"3",16147
12,2257,4.71,"3",16147
13,2257,2.43,"3",16147
