"wk","tr","nc","stg","id"
0,439,0.86,"1",3019
1,439,1.57,"1",3019
2,439,2.71,"1",3019
3,439,3.14,"1",3019
4,439,5.57,"1",3019
5,439,7.43,"1",3019
6,439,8.57,"1",3019
7,439,12.43,"1",3019
8,439,13.57,"1",3019
9,439,30.43,"1",3019
9,439,30.43,"1b",3020
10,439,37.71,"1b",3020
11,439,50.29,"1b",3020
12,439,95.43,"1b",3020
12,439,95.43,"3",3021
13,439,96,"3",3021
14,439,105.14,"3",3021
15,439,128,"3",3021
16,439,118.86,"3",3021
17,439,102.86,"3",3021
18,439,80,"3",3021
19,439,84.57,"3",3021
20,439,109.71,"3",3021
21,439,93.71,"3",3021
22,439,80,"3",3021
23,439,91.43,"3",3021
24,439,75.43,"3",3021
25,439,98.29,"3",3021
26,439,98.29,"3",3021
27,439,80,"3",3021
28,439,73.14,"3",3021
29,439,80,"3",3021
30,439,70.86,"3",3021
31,439,70.86,"3",3021
31,439,70.86,"2",3022
32,439,77.71,"2",3022
33,439,59.43,"2",3022
34,439,86.86,"2",3022
34,439,86.86,"1b",3023
35,439,141.71,"1b",3023
36,439,148.57,"1b",3023
37,439,146.29,"1b",3023
38,439,150.86,"1b",3023
39,439,169.14,"1b",3023
40,439,208,"1b",3023
41,439,221.71,"1b",3023
42,439,246.86,"1b",3023
43,439,365.71,"1b",3023
44,439,402.29,"1b",3023
45,439,429.71,"1b",3023
46,439,731.43,"1b",3023
47,439,685.71,"1b",3023
47,439,685.71,"3",3024
48,439,566.86,"3",3024
49,439,466.29,"3",3024
50,439,292.57,"3",3024
51,439,173.71,"3",3024
52,439,64,"3",3024
0,1087,0.86,"1",7325
1,1087,3.14,"1",7325
2,1087,4,"1",7325
3,1087,5.71,"1",7325
4,1087,8.57,"1",7325
5,1087,12.43,"1",7325
6,1087,20.43,"1",7325
7,1087,37.71,"1",7325
7,1087,37.71,"1b",7326
8,1087,32,"1b",7326
9,1087,45.71,"1b",7326
10,1087,65.14,"1b",7326
11,1087,98.29,"1b",7326
11,1087,98.29,"3",7327
12,1087,66.29,"3",7327
13,1087,64,"3",7327
14,1087,75.43,"3",7327
15,1087,86.86,"3",7327
16,1087,61.71,"3",7327
17,1087,75.43,"3",7327
18,1087,84.57,"3",7327
19,1087,59.43,"3",7327
20,1087,77.71,"3",7327
21,1087,75.43,"3",7327
22,1087,45.71,"3",7327
23,1087,52.57,"3",7327
24,1087,20.57,"3",7327
25,1087,24.57,"3",7327
26,1087,25.14,"3",7327
26,1087,25.14,"2",7328
27,1087,26.86,"2",7328
28,1087,29.14,"2",7328
29,1087,33.14,"2",7328
29,1087,33.14,"1b",7329
30,1087,41.14,"1b",7329
31,1087,57.71,"1b",7329
31,1087,57.71,"1",7330
32,1087,96,"1",7330
33,1087,125.71,"1",7330
33,1087,125.71,"1b",7331
34,1087,125.71,"1b",7331
35,1087,208,"1b",7331
36,1087,176,"1b",7331
37,1087,196.57,"1b",7331
38,1087,237.71,"1b",7331
39,1087,400,"1b",7331
39,1087,400,"3",7332
40,1087,228.57,"3",7332
41,1087,164.57,"3",7332
42,1087,237.71,"3",7332
43,1087,89.14,"3",7332
44,1087,96,"3",7332
45,1087,84.57,"3",7332
45,1087,84.57,"2",7333
46,1087,86.86,"2",7333
47,1087,68.57,"2",7333
48,1087,59.43,"2",7333
48,1087,59.43,"1b",7334
49,1087,73.14,"1b",7334
50,1087,41.14,"1b",7334
51,1087,42.29,"1b",7334
51,1087,42.29,"1",7335
52,1087,29.14,"1",7335
