"wk","tr","nc","stg","id"
0,"2201036958",0.0,"1",22010369581
1,"2201036958",0.0,"1",22010369581
2,"2201036958",0.0,"1",22010369581
3,"2201036958",0.14,"1",22010369581
4,"2201036958",0.0,"1",22010369581
5,"2201036958",0.0,"1",22010369581
6,"2201036958",0.0,"1",22010369581
7,"2201036958",0.0,"1",22010369581
8,"2201036958",0.0,"1",22010369581
9,"2201036958",0.0,"1",22010369581
10,"2201036958",0.0,"1",22010369581
11,"2201036958",0.14,"1",22010369581
12,"2201036958",0.0,"1",22010369581
13,"2201036958",0.0,"1",22010369581
14,"2201036958",0.0,"1",22010369581
15,"2201036958",0.14,"1",22010369581
16,"2201036958",0.14,"1",22010369581
17,"2201036958",0.14,"1",22010369581
18,"2201036958",0.0,"1",22010369581
19,"2201036958",0.14,"1",22010369581
20,"2201036958",0.0,"1",22010369581
21,"2201036958",0.0,"1",22010369581
22,"2201036958",0.0,"1",22010369581
23,"2201036958",0.0,"1",22010369581
24,"2201036958",0.0,"1",22010369581
25,"2201036958",0.0,"1",22010369581
26,"2201036958",0.14,"1",22010369581
27,"2201036958",0.0,"1",22010369581
28,"2201036958",0.14,"1",22010369581
29,"2201036958",0.0,"1",22010369581
30,"2201036958",0.0,"1",22010369581
31,"2201036958",0.0,"1",22010369581
32,"2201036958",0.14,"1",22010369581
33,"2201036958",0.0,"1",22010369581
34,"2201036958",0.0,"1",22010369581
35,"2201036958",0.0,"1",22010369581
36,"2201036958",0.0,"1",22010369581
37,"2201036958",0.0,"1",22010369581
38,"2201036958",0.0,"1",22010369581
39,"2201036958",0.0,"1",22010369581
40,"2201036958",0.0,"1",22010369581
41,"2201036958",0.0,"1",22010369581
42,"2201036958",0.29,"1",22010369581
43,"2201036958",0.0,"1",22010369581
44,"2201036958",0.0,"1",22010369581
45,"2201036958",0.0,"1",22010369581
46,"2201036958",0.0,"1",22010369581
47,"2201036958",0.0,"1",22010369581
48,"2201036958",0.0,"1",22010369581
49,"2201036958",0.0,"1",22010369581
50,"2201036958",0.14,"1",22010369581
51,"2201036958",0.0,"1",22010369581
52,"2201036958",0.71,"1",22010369581
53,"2201036958",3.57,"1",22010369581
54,"2201036958",1.57,"1",22010369581
55,"2201036958",2.0,"1",22010369581
56,"2201036958",3.57,"1",22010369581
57,"2201036958",3.14,"1",22010369581
58,"2201036958",6.43,"1",22010369581
59,"2201036958",10.71,"1",22010369581
60,"2201036958",12.29,"1",22010369581
61,"2201036958",9.71,"1",22010369581
62,"2201036958",4.57,"1",22010369581
63,"2201036958",5.29,"1",22010369581
64,"2201036958",5.0,"1",22010369581
65,"2201036958",8.57,"1",22010369581
66,"2201036958",7.29,"1",22010369581
67,"2201036958",16.71,"1",22010369581
68,"2201036958",9.43,"1",22010369581
69,"2201036958",10.0,"1",22010369581
70,"2201036958",7.29,"1",22010369581
71,"2201036958",5.0,"1",22010369581
72,"2201036958",9.14,"1",22010369581
73,"2201036958",15.29,"1",22010369581
74,"2201036958",13.57,"1",22010369581
75,"2201036958",12.86,"1",22010369581
76,"2201036958",8.14,"1",22010369581
77,"2201036958",7.0,"1",22010369581
78,"2201036958",3.71,"1",22010369581
79,"2201036958",1.71,"1",22010369581
80,"2201036958",1.71,"1",22010369581
81,"2201036958",3.14,"1",22010369581
82,"2201036958",5.0,"1",22010369581
83,"2201036958",4.57,"1",22010369581
84,"2201036958",4.57,"1",22010369581
85,"2201036958",6.0,"1",22010369581
86,"2201036958",8.14,"1",22010369581
87,"2201036958",14.57,"1",22010369581
88,"2201036958",10.29,"1",22010369581
89,"2201036958",15.57,"1",22010369581
90,"2201036958",20.0,"1",22010369581
91,"2201036958",38.86,"1",22010369581
92,"2201036958",46.86,"1",22010369581
93,"2201036958",37.14,"1",22010369581
94,"2201036958",9.14,"1",22010369581
95,"2201036958",14.86,"1",22010369581
96,"2201036958",11.14,"1",22010369581
97,"2201036958",3.29,"1",22010369581
98,"2201036958",4.0,"1",22010369581
99,"2201036958",1.57,"1",22010369581
100,"2201036958",2.86,"1",22010369581
101,"2201036958",2.86,"1",22010369581
102,"2201036958",1.71,"1",22010369581
103,"2201036958",2.14,"1",22010369581
104,"2201036958",1.57,"1",22010369581
104,"2201036958",1.57,"1",22010611901
0,"2201061190",0.0,"1",22010611901
1,"2201061190",0.0,"1",22010611901
2,"2201061190",0.14,"1",22010611901
3,"2201061190",0.14,"1",22010611901
4,"2201061190",1.57,"1",22010611901
4,"2201061190",1.57,"3",22010611902
5,"2201061190",6.0,"3",22010611902
6,"2201061190",3.71,"3",22010611902
6,"2201061190",3.71,"2",22010611903
7,"2201061190",2.14,"2",22010611903
8,"2201061190",2.14,"2",22010611903
9,"2201061190",2.43,"2",22010611903
9,"2201061190",2.43,"1b",22010611904
10,"2201061190",2.71,"1b",22010611904
10,"2201061190",2.71,"2",22010611905
11,"2201061190",1.43,"2",22010611905
12,"2201061190",1.29,"2",22010611905
13,"2201061190",1.57,"2",22010611905
13,"2201061190",1.57,"1b",22010611906
14,"2201061190",0.86,"1b",22010611906
15,"2201061190",0.29,"1b",22010611906
16,"2201061190",0.14,"1b",22010611906
17,"2201061190",0.29,"1b",22010611906
17,"2201061190",0.29,"1",22010611907
18,"2201061190",0.29,"1",22010611907
19,"2201061190",0.0,"1",22010611907
20,"2201061190",0.0,"1",22010611907
21,"2201061190",0.0,"1",22010611907
22,"2201061190",0.0,"1",22010611907
23,"2201061190",0.0,"1",22010611907
24,"2201061190",0.14,"1",22010611907
24,"2201061190",0.14,"1b",22010611908
25,"2201061190",1.14,"1b",22010611908
26,"2201061190",2.71,"1b",22010611908
26,"2201061190",2.71,"1",22010611909
27,"2201061190",2.86,"1",22010611909
28,"2201061190",3.86,"1",22010611909
29,"2201061190",2.86,"1",22010611909
30,"2201061190",1.0,"1",22010611909
31,"2201061190",0.29,"1",22010611909
32,"2201061190",1.57,"1",22010611909
33,"2201061190",2.57,"1",22010611909
34,"2201061190",0.86,"1",22010611909
35,"2201061190",0.0,"1",22010611909
36,"2201061190",0.0,"1",22010611909
37,"2201061190",0.0,"1",22010611909
38,"2201061190",0.14,"1",22010611909
39,"2201061190",0.29,"1",22010611909
40,"2201061190",0.0,"1",22010611909
41,"2201061190",0.0,"1",22010611909
42,"2201061190",0.14,"1",22010611909
43,"2201061190",0.0,"1",22010611909
44,"2201061190",0.0,"1",22010611909
45,"2201061190",0.0,"1",22010611909
46,"2201061190",0.0,"1",22010611909
47,"2201061190",0.14,"1",22010611909
48,"2201061190",0.14,"1",22010611909
49,"2201061190",0.57,"1",22010611909
50,"2201061190",0.57,"1",22010611909
51,"2201061190",1.86,"1",22010611909
52,"2201061190",0.14,"1",22010611909
53,"2201061190",1.14,"1",22010611909
54,"2201061190",1.14,"1",22010611909
55,"2201061190",1.71,"1",22010611909
56,"2201061190",2.57,"1",22010611909
57,"2201061190",4.71,"1",22010611909
58,"2201061190",12.71,"1",22010611909
59,"2201061190",15.86,"1",22010611909
60,"2201061190",18.0,"1",22010611909
