"wk","tr","nc","stg","id"
0,"10552010551",0.0,"2",105520105511
1,"10552010551",0.29,"2",105520105511
2,"10552010551",1.0,"2",105520105511
3,"10552010551",0.86,"2",105520105511
4,"10552010551",0.71,"2",105520105511
5,"10552010551",0.43,"2",105520105511
6,"10552010551",1.43,"2",105520105511
7,"10552010551",1.14,"2",105520105511
8,"10552010551",0.14,"2",105520105511
9,"10552010551",0.0,"2",105520105511
10,"10552010551",0.0,"2",105520105511
11,"10552010551",0.14,"2",105520105511
12,"10552010551",0.43,"2",105520105511
13,"10552010551",0.57,"2",105520105511
14,"10552010551",0.43,"2",105520105511
15,"10552010551",2.14,"2",105520105511
16,"10552010551",1.14,"2",105520105511
17,"10552010551",1.43,"2",105520105511
18,"10552010551",1.86,"2",105520105511
19,"10552010551",1.43,"2",105520105511
20,"10552010551",0.43,"2",105520105511
21,"10552010551",0.29,"2",105520105511
22,"10552010551",0.71,"2",105520105511
23,"10552010551",0.71,"2",105520105511
24,"10552010551",0.29,"2",105520105511
25,"10552010551",1.0,"2",105520105511
26,"10552010551",0.57,"2",105520105511
27,"10552010551",0.0,"2",105520105511
28,"10552010551",0.0,"2",105520105511
29,"10552010551",0.0,"2",105520105511
30,"10552010551",1.86,"2",105520105511
31,"10552010551",7.57,"2",105520105511
32,"10552010551",22.29,"2",105520105511
33,"10552010551",28.29,"2",105520105511
34,"10552010551",55.29,"2",105520105511
35,"10552010551",60.43,"2",105520105511
36,"10552010551",88.71,"2",105520105511
37,"10552010551",108.0,"2",105520105511
38,"10552010551",108.0,"2",105520105511
39,"10552010551",108.0,"2",105520105511
40,"10552010551",111.86,"2",105520105511
41,"10552010551",162.0,"2",105520105511
42,"10552010551",162.0,"2",105520105511
42,"10552010551",162.0,"3",105520105512
43,"10552010551",111.86,"3",105520105512
44,"10552010551",123.43,"3",105520105512
44,"10552010551",123.43,"2",105520105513
45,"10552010551",235.29,"2",105520105513
45,"10552010551",235.29,"3",105520105514
46,"10552010551",393.43,"3",105520105514
46,"10552010551",393.43,"4",105520105515
47,"10552010551",393.43,"4",105520105515
48,"10552010551",277.71,"4",105520105515
49,"10552010551",219.86,"4",105520105515
50,"10552010551",104.14,"4",105520105515
51,"10552010551",81.0,"4",105520105515
52,"10552010551",61.71,"4",105520105515
52,"10552010551",61.71,"3",105520105516
53,"10552010551",38.57,"3",105520105516
54,"10552010551",46.29,"3",105520105516
54,"10552010551",46.29,"2",105520105517
55,"10552010551",46.29,"2",105520105517
56,"10552010551",42.43,"2",105520105517
57,"10552010551",73.29,"2",105520105517
58,"10552010551",84.86,"2",105520105517
59,"10552010551",96.43,"2",105520105517
60,"10552010551",108.0,"2",105520105517
61,"10552010551",219.86,"2",105520105517
61,"10552010551",219.86,"3",105520105518
62,"10552010551",320.14,"3",105520105518
62,"10552010551",320.14,"4",105520105519
63,"10552010551",231.43,"4",105520105519
64,"10552010551",162.0,"4",105520105519
65,"10552010551",104.14,"4",105520105519
65,"10552010551",104.14,"3",1055201055110
66,"10552010551",127.29,"3",1055201055110
67,"10552010551",127.29,"3",1055201055110
67,"10552010551",127.29,"4",1055201055111
68,"10552010551",104.14,"4",1055201055111
69,"10552010551",77.14,"4",1055201055111
69,"10552010551",77.14,"3",1055201055112
70,"10552010551",92.57,"3",1055201055112
71,"10552010551",65.57,"3",1055201055112
72,"10552010551",135.0,"3",1055201055112
73,"10552010551",65.57,"3",1055201055112
73,"10552010551",65.57,"2",1055201055113
74,"10552010551",115.71,"2",1055201055113
75,"10552010551",119.57,"2",1055201055113
76,"10552010551",150.43,"2",1055201055113
77,"10552010551",142.71,"2",1055201055113
78,"10552010551",204.43,"2",1055201055113
79,"10552010551",243.0,"2",1055201055113
79,"10552010551",243.0,"3",1055201055114
80,"10552010551",300.86,"3",1055201055114
80,"10552010551",300.86,"4",1055201055115
81,"10552010551",104.14,"4",1055201055115
81,"10552010551",104.14,"2",1055236805616
0,"10552368056",0.0,"2",1055236805616
1,"10552368056",0.0,"2",1055236805616
2,"10552368056",0.0,"2",1055236805616
3,"10552368056",0.0,"2",1055236805616
4,"10552368056",0.0,"2",1055236805616
5,"10552368056",0.0,"2",1055236805616
6,"10552368056",0.0,"2",1055236805616
7,"10552368056",0.14,"2",1055236805616
8,"10552368056",0.14,"2",1055236805616
9,"10552368056",0.14,"2",1055236805616
10,"10552368056",0.14,"2",1055236805616
11,"10552368056",0.0,"2",1055236805616
12,"10552368056",0.14,"2",1055236805616
13,"10552368056",0.0,"2",1055236805616
14,"10552368056",0.0,"2",1055236805616
15,"10552368056",0.14,"2",1055236805616
16,"10552368056",0.86,"2",1055236805616
17,"10552368056",0.57,"2",1055236805616
18,"10552368056",0.43,"2",1055236805616
19,"10552368056",0.43,"2",1055236805616
20,"10552368056",1.14,"2",1055236805616
21,"10552368056",1.29,"2",1055236805616
22,"10552368056",0.71,"2",1055236805616
23,"10552368056",0.43,"2",1055236805616
24,"10552368056",0.14,"2",1055236805616
25,"10552368056",0.0,"2",1055236805616
26,"10552368056",0.0,"2",1055236805616
27,"10552368056",0.0,"2",1055236805616
28,"10552368056",0.0,"2",1055236805616
29,"10552368056",0.0,"2",1055236805616
30,"10552368056",1.57,"2",1055236805616
31,"10552368056",9.29,"2",1055236805616
32,"10552368056",17.14,"2",1055236805616
33,"10552368056",28.29,"2",1055236805616
34,"10552368056",41.14,"2",1055236805616
35,"10552368056",50.14,"2",1055236805616
36,"10552368056",90.0,"2",1055236805616
37,"10552368056",81.0,"2",1055236805616
38,"10552368056",104.14,"2",1055236805616
39,"10552368056",123.43,"2",1055236805616
40,"10552368056",154.29,"2",1055236805616
41,"10552368056",154.29,"2",1055236805616
42,"10552368056",297.0,"2",1055236805616
42,"10552368056",297.0,"3",1055236805617
43,"10552368056",347.14,"3",1055236805617
43,"10552368056",347.14,"4",1055236805618
44,"10552368056",127.29,"4",1055236805618
45,"10552368056",115.71,"4",1055236805618
46,"10552368056",115.71,"4",1055236805618
46,"10552368056",115.71,"3",1055236805619
47,"10552368056",84.86,"3",1055236805619
48,"10552368056",88.71,"3",1055236805619
48,"10552368056",88.71,"2",1055236805620
49,"10552368056",88.71,"2",1055236805620
50,"10552368056",100.29,"2",1055236805620
51,"10552368056",127.29,"2",1055236805620
52,"10552368056",173.57,"2",1055236805620
53,"10552368056",270.0,"2",1055236805620
53,"10552368056",270.0,"3",1055236805621
54,"10552368056",150.43,"3",1055236805621
