"wk","tr","nc","stg","id"
0,"13281555476",0.0,"2",132815554761
1,"13281555476",0.0,"2",132815554761
2,"13281555476",0.0,"2",132815554761
3,"13281555476",0.0,"2",132815554761
4,"13281555476",0.0,"2",132815554761
5,"13281555476",0.0,"2",132815554761
6,"13281555476",0.0,"2",132815554761
7,"13281555476",0.0,"2",132815554761
8,"13281555476",0.0,"2",132815554761
9,"13281555476",0.0,"2",132815554761
10,"13281555476",0.0,"2",132815554761
11,"13281555476",0.0,"2",132815554761
12,"13281555476",0.0,"2",132815554761
13,"13281555476",0.0,"2",132815554761
14,"13281555476",0.0,"2",132815554761
15,"13281555476",0.0,"2",132815554761
16,"13281555476",0.0,"2",132815554761
17,"13281555476",0.0,"2",132815554761
18,"13281555476",0.0,"2",132815554761
19,"13281555476",0.0,"2",132815554761
20,"13281555476",0.29,"2",132815554761
21,"13281555476",0.86,"2",132815554761
22,"13281555476",0.71,"2",132815554761
23,"13281555476",0.29,"2",132815554761
24,"13281555476",0.71,"2",132815554761
25,"13281555476",0.43,"2",132815554761
26,"13281555476",0.29,"2",132815554761
27,"13281555476",1.0,"2",132815554761
28,"13281555476",0.14,"2",132815554761
29,"13281555476",0.43,"2",132815554761
30,"13281555476",0.57,"2",132815554761
31,"13281555476",2.86,"2",132815554761
32,"13281555476",8.86,"2",132815554761
33,"13281555476",13.71,"2",132815554761
34,"13281555476",12.0,"2",132815554761
35,"13281555476",11.57,"2",132815554761
36,"13281555476",5.57,"2",132815554761
37,"13281555476",7.29,"2",132815554761
38,"13281555476",4.29,"2",132815554761
39,"13281555476",3.43,"2",132815554761
40,"13281555476",1.0,"2",132815554761
41,"13281555476",1.57,"2",132815554761
42,"13281555476",5.57,"2",132815554761
43,"13281555476",8.14,"2",132815554761
44,"13281555476",15.43,"2",132815554761
45,"13281555476",11.57,"2",132815554761
46,"13281555476",9.0,"2",132815554761
47,"13281555476",6.86,"2",132815554761
48,"13281555476",9.86,"2",132815554761
49,"13281555476",6.43,"2",132815554761
50,"13281555476",7.71,"2",132815554761
51,"13281555476",18.86,"2",132815554761
52,"13281555476",21.43,"2",132815554761
53,"13281555476",25.29,"2",132815554761
54,"13281555476",51.43,"2",132815554761
54,"13281555476",51.43,"3",132815554762
55,"13281555476",51.43,"3",132815554762
55,"13281555476",51.43,"4",132815554763
56,"13281555476",14.14,"4",132815554763
57,"13281555476",9.0,"4",132815554763
57,"13281555476",9.0,"3",132815554764
58,"13281555476",9.86,"3",132815554764
59,"13281555476",8.14,"3",132815554764
59,"13281555476",8.14,"2",132815554765
60,"13281555476",7.71,"2",132815554765
61,"13281555476",5.14,"2",132815554765
62,"13281555476",5.57,"2",132815554765
63,"13281555476",7.29,"2",132815554765
64,"13281555476",9.43,"2",132815554765
65,"13281555476",10.29,"2",132815554765
66,"13281555476",12.0,"2",132815554765
67,"13281555476",8.14,"2",132815554765
68,"13281555476",3.43,"2",132815554765
69,"13281555476",6.0,"2",132815554765
70,"13281555476",8.57,"2",132815554765
71,"13281555476",5.57,"2",132815554765
72,"13281555476",10.29,"2",132815554765
73,"13281555476",9.43,"2",132815554765
74,"13281555476",10.29,"2",132815554765
75,"13281555476",9.43,"2",132815554765
76,"13281555476",11.57,"2",132815554765
77,"13281555476",12.0,"2",132815554765
78,"13281555476",9.86,"2",132815554765
79,"13281555476",10.29,"2",132815554765
80,"13281555476",11.14,"2",132815554765
81,"13281555476",11.57,"2",132815554765
81,"13281555476",11.57,"2",132819584185
0,"13281958418",0.0,"2",132819584185
1,"13281958418",0.0,"2",132819584185
2,"13281958418",0.0,"2",132819584185
3,"13281958418",0.0,"2",132819584185
4,"13281958418",0.0,"2",132819584185
5,"13281958418",0.14,"2",132819584185
6,"13281958418",0.14,"2",132819584185
7,"13281958418",0.0,"2",132819584185
8,"13281958418",0.0,"2",132819584185
9,"13281958418",0.0,"2",132819584185
10,"13281958418",0.0,"2",132819584185
11,"13281958418",0.0,"2",132819584185
12,"13281958418",0.14,"2",132819584185
13,"13281958418",0.0,"2",132819584185
14,"13281958418",0.0,"2",132819584185
15,"13281958418",0.14,"2",132819584185
16,"13281958418",0.43,"2",132819584185
17,"13281958418",0.86,"2",132819584185
18,"13281958418",0.71,"2",132819584185
19,"13281958418",0.57,"2",132819584185
20,"13281958418",0.29,"2",132819584185
21,"13281958418",0.0,"2",132819584185
22,"13281958418",0.14,"2",132819584185
23,"13281958418",0.0,"2",132819584185
24,"13281958418",0.0,"2",132819584185
25,"13281958418",0.0,"2",132819584185
26,"13281958418",0.0,"2",132819584185
27,"13281958418",0.0,"2",132819584185
28,"13281958418",0.0,"2",132819584185
29,"13281958418",0.0,"2",132819584185
30,"13281958418",0.14,"2",132819584185
31,"13281958418",3.71,"2",132819584185
32,"13281958418",4.43,"2",132819584185
33,"13281958418",6.43,"2",132819584185
34,"13281958418",18.0,"2",132819584185
35,"13281958418",32.14,"2",132819584185
35,"13281958418",32.14,"3",132819584186
36,"13281958418",33.43,"3",132819584186
37,"13281958418",38.57,"3",132819584186
38,"13281958418",45.0,"3",132819584186
38,"13281958418",45.0,"4",132819584187
39,"13281958418",36.0,"4",132819584187
40,"13281958418",12.86,"4",132819584187
40,"13281958418",12.86,"3",132819584188
41,"13281958418",20.57,"3",132819584188
42,"13281958418",12.86,"3",132819584188
42,"13281958418",12.86,"2",132819584189
43,"13281958418",11.57,"2",132819584189
44,"13281958418",15.43,"2",132819584189
45,"13281958418",12.86,"2",132819584189
46,"13281958418",10.29,"2",132819584189
47,"13281958418",8.57,"2",132819584189
48,"13281958418",6.86,"2",132819584189
49,"13281958418",11.14,"2",132819584189
50,"13281958418",8.57,"2",132819584189
51,"13281958418",9.0,"2",132819584189
52,"13281958418",3.86,"2",132819584189
53,"13281958418",4.29,"2",132819584189
54,"13281958418",6.43,"2",132819584189
55,"13281958418",9.43,"2",132819584189
56,"13281958418",8.14,"2",132819584189
57,"13281958418",9.0,"2",132819584189
58,"13281958418",12.0,"2",132819584189
59,"13281958418",9.43,"2",132819584189
60,"13281958418",11.14,"2",132819584189
61,"13281958418",9.86,"2",132819584189
62,"13281958418",10.29,"2",132819584189
63,"13281958418",6.43,"2",132819584189
64,"13281958418",6.0,"2",132819584189
65,"13281958418",7.71,"2",132819584189
66,"13281958418",6.43,"2",132819584189
67,"13281958418",6.0,"2",132819584189
68,"13281958418",8.57,"2",132819584189
69,"13281958418",10.71,"2",132819584189
70,"13281958418",12.43,"2",132819584189
71,"13281958418",11.57,"2",132819584189
72,"13281958418",6.43,"2",132819584189
73,"13281958418",9.0,"2",132819584189
74,"13281958418",13.29,"2",132819584189
75,"13281958418",18.0,"2",132819584189
76,"13281958418",19.71,"2",132819584189
77,"13281958418",25.71,"2",132819584189
78,"13281958418",32.14,"2",132819584189
79,"13281958418",37.29,"2",132819584189
79,"13281958418",37.29,"3",1328195841810
80,"13281958418",14.14,"3",1328195841810
81,"13281958418",27.0,"3",1328195841810
81,"13281958418",27.0,"2",1328250126311
0,"13282501263",0.0,"2",1328250126311
1,"13282501263",0.29,"2",1328250126311
2,"13282501263",0.14,"2",1328250126311
3,"13282501263",0.0,"2",1328250126311
4,"13282501263",0.43,"2",1328250126311
5,"13282501263",1.14,"2",1328250126311
6,"13282501263",1.0,"2",1328250126311
7,"13282501263",1.14,"2",1328250126311
8,"13282501263",0.29,"2",1328250126311
9,"13282501263",0.14,"2",1328250126311
10,"13282501263",0.0,"2",1328250126311
11,"13282501263",0.14,"2",1328250126311
12,"13282501263",0.14,"2",1328250126311
13,"13282501263",0.0,"2",1328250126311
14,"13282501263",0.0,"2",1328250126311
15,"13282501263",0.71,"2",1328250126311
16,"13282501263",2.0,"2",1328250126311
17,"13282501263",2.0,"2",1328250126311
18,"13282501263",0.86,"2",1328250126311
19,"13282501263",0.14,"2",1328250126311
20,"13282501263",0.14,"2",1328250126311
21,"13282501263",0.14,"2",1328250126311
22,"13282501263",0.43,"2",1328250126311
23,"13282501263",0.29,"2",1328250126311
24,"13282501263",0.0,"2",1328250126311
25,"13282501263",0.0,"2",1328250126311
26,"13282501263",0.57,"2",1328250126311
27,"13282501263",0.0,"2",1328250126311
28,"13282501263",0.0,"2",1328250126311
29,"13282501263",0.0,"2",1328250126311
30,"13282501263",0.0,"2",1328250126311
31,"13282501263",0.71,"2",1328250126311
32,"13282501263",1.86,"2",1328250126311
33,"13282501263",1.29,"2",1328250126311
34,"13282501263",2.14,"2",1328250126311
35,"13282501263",5.71,"2",1328250126311
36,"13282501263",6.14,"2",1328250126311
37,"13282501263",5.86,"2",1328250126311
38,"13282501263",7.29,"2",1328250126311
39,"13282501263",11.14,"2",1328250126311
40,"13282501263",9.0,"2",1328250126311
41,"13282501263",9.86,"2",1328250126311
42,"13282501263",19.71,"2",1328250126311
43,"13282501263",14.14,"2",1328250126311
44,"13282501263",13.29,"2",1328250126311
45,"13282501263",14.14,"2",1328250126311
46,"13282501263",11.57,"2",1328250126311
47,"13282501263",12.0,"2",1328250126311
48,"13282501263",10.29,"2",1328250126311
49,"13282501263",15.0,"2",1328250126311
50,"13282501263",12.86,"2",1328250126311
51,"13282501263",13.71,"2",1328250126311
52,"13282501263",16.71,"2",1328250126311
53,"13282501263",14.57,"2",1328250126311
54,"13282501263",16.29,"2",1328250126311
55,"13282501263",15.43,"2",1328250126311
56,"13282501263",18.0,"2",1328250126311
57,"13282501263",10.29,"2",1328250126311
58,"13282501263",12.43,"2",1328250126311
59,"13282501263",8.14,"2",1328250126311
60,"13282501263",7.29,"2",1328250126311
61,"13282501263",6.43,"2",1328250126311
62,"13282501263",16.71,"2",1328250126311
63,"13282501263",17.57,"2",1328250126311
64,"13282501263",23.57,"2",1328250126311
65,"13282501263",21.86,"2",1328250126311
66,"13282501263",21.86,"2",1328250126311
67,"13282501263",15.43,"2",1328250126311
68,"13282501263",15.43,"2",1328250126311
69,"13282501263",18.0,"2",1328250126311
70,"13282501263",33.43,"2",1328250126311
70,"13282501263",33.43,"3",1328250126312
71,"13282501263",21.86,"3",1328250126312
