"wk","tr","nc","stg","id"
0,"11662010551",0.0,"1",116620105511
1,"11662010551",0.29,"1",116620105511
1,"11662010551",0.29,"1b",116620105512
2,"11662010551",1.0,"1b",116620105512
2,"11662010551",1.0,"2",116620105513
3,"11662010551",0.57,"2",116620105513
4,"11662010551",0.43,"2",116620105513
4,"11662010551",0.43,"1b",116620105514
5,"11662010551",3.29,"1b",116620105514
5,"11662010551",3.29,"2",116620105515
6,"11662010551",7.86,"2",116620105515
6,"11662010551",7.86,"3",116620105516
7,"11662010551",6.0,"3",116620105516
8,"11662010551",3.0,"3",116620105516
8,"11662010551",3.0,"2",116620105517
9,"11662010551",2.71,"2",116620105517
10,"11662010551",3.0,"2",116620105517
11,"11662010551",3.14,"2",116620105517
12,"11662010551",4.86,"2",116620105517
13,"11662010551",4.0,"2",116620105517
14,"11662010551",1.86,"2",116620105517
14,"11662010551",1.86,"1b",116620105518
15,"11662010551",2.57,"1b",116620105518
16,"11662010551",2.29,"1b",116620105518
16,"11662010551",2.29,"1",116620105519
17,"11662010551",1.43,"1",116620105519
18,"11662010551",1.14,"1",116620105519
19,"11662010551",0.71,"1",116620105519
20,"11662010551",0.29,"1",116620105519
21,"11662010551",0.29,"1",116620105519
22,"11662010551",0.29,"1",116620105519
23,"11662010551",0.29,"1",116620105519
24,"11662010551",0.86,"1",116620105519
25,"11662010551",3.43,"1",116620105519
26,"11662010551",5.43,"1",116620105519
27,"11662010551",4.29,"1",116620105519
28,"11662010551",2.43,"1",116620105519
29,"11662010551",4.43,"1",116620105519
30,"11662010551",3.86,"1",116620105519
31,"11662010551",4.0,"1",116620105519
32,"11662010551",3.43,"1",116620105519
33,"11662010551",5.43,"1",116620105519
34,"11662010551",6.86,"1",116620105519
35,"11662010551",4.43,"1",116620105519
36,"11662010551",6.14,"1",116620105519
37,"11662010551",5.57,"1",116620105519
38,"11662010551",4.71,"1",116620105519
39,"11662010551",12.43,"1",116620105519
40,"11662010551",12.0,"1",116620105519
41,"11662010551",13.29,"1",116620105519
42,"11662010551",17.57,"1",116620105519
43,"11662010551",18.86,"1",116620105519
44,"11662010551",26.14,"1",116620105519
45,"11662010551",51.43,"1",116620105519
46,"11662010551",87.43,"1",116620105519
47,"11662010551",131.14,"1",116620105519
48,"11662010551",196.71,"1",116620105519
49,"11662010551",435.86,"1",116620105519
50,"11662010551",763.71,"1",116620105519
51,"11662010551",1562.14,"1",116620105519
51,"11662010551",1562.14,"1b",1166201055110
52,"11662010551",2673.0,"1b",1166201055110
52,"11662010551",2673.0,"2",1166201055111
53,"11662010551",6144.43,"2",1166201055111
53,"11662010551",6144.43,"3",1166201055112
54,"11662010551",9060.43,"3",1166201055112
54,"11662010551",9060.43,"4",1166201055113
55,"11662010551",9997.71,"4",1166201055113
56,"11662010551",2811.86,"4",1166201055113
57,"11662010551",1562.14,"4",1166201055113
57,"11662010551",1562.14,"3",1166201055114
58,"11662010551",1666.29,"3",1166201055114
58,"11662010551",1666.29,"4",1166201055115
59,"11662010551",1458.0,"4",1166201055115
60,"11662010551",624.86,"4",1166201055115
60,"11662010551",624.86,"3",1166201055116
61,"11662010551",486.0,"3",1166201055116
61,"11662010551",486.0,"4",1166201055117
62,"11662010551",451.29,"4",1166201055117
63,"11662010551",243.0,"4",1166201055117
63,"11662010551",243.0,"3",1166201055118
64,"11662010551",231.43,"3",1166201055118
65,"11662010551",138.86,"3",1166201055118
65,"11662010551",138.86,"2",1166201055119
66,"11662010551",115.71,"2",1166201055119
67,"11662010551",123.43,"2",1166201055119
67,"11662010551",123.43,"1",1166201055120
68,"11662010551",138.86,"1",1166201055120
69,"11662010551",69.43,"1",1166201055120
70,"11662010551",119.57,"1",1166201055120
71,"11662010551",123.43,"1",1166201055120
72,"11662010551",165.86,"1",1166201055120
73,"11662010551",169.71,"1",1166201055120
74,"11662010551",231.43,"1",1166201055120
75,"11662010551",671.14,"1",1166201055120
76,"11662010551",1423.29,"1",1166201055120
77,"11662010551",2916.0,"1",1166201055120
77,"11662010551",2916.0,"1b",1166201055121
78,"11662010551",5623.71,"1b",1166201055121
78,"11662010551",5623.71,"2",1166201055122
79,"11662010551",7914.86,"2",1166201055122
79,"11662010551",7914.86,"3",1166201055123
80,"11662010551",7498.29,"3",1166201055123
80,"11662010551",7498.29,"4",1166201055124
81,"11662010551",4998.86,"4",1166201055124
81,"11662010551",4998.86,"1",1166236805625
0,"11662368056",0.0,"1",1166236805625
1,"11662368056",0.0,"1",1166236805625
2,"11662368056",0.0,"1",1166236805625
3,"11662368056",0.0,"1",1166236805625
4,"11662368056",0.0,"1",1166236805625
5,"11662368056",0.0,"1",1166236805625
6,"11662368056",0.0,"1",1166236805625
7,"11662368056",0.43,"1",1166236805625
7,"11662368056",0.43,"1b",1166236805626
8,"11662368056",1.0,"1b",1166236805626
8,"11662368056",1.0,"2",1166236805627
9,"11662368056",1.14,"2",1166236805627
10,"11662368056",0.43,"2",1166236805627
10,"11662368056",0.43,"1b",1166236805628
11,"11662368056",0.0,"1b",1166236805628
12,"11662368056",0.57,"1b",1166236805628
13,"11662368056",0.14,"1b",1166236805628
13,"11662368056",0.14,"1",1166236805629
14,"11662368056",0.29,"1",1166236805629
15,"11662368056",0.0,"1",1166236805629
16,"11662368056",0.29,"1",1166236805629
17,"11662368056",0.43,"1",1166236805629
18,"11662368056",0.14,"1",1166236805629
19,"11662368056",0.0,"1",1166236805629
20,"11662368056",0.29,"1",1166236805629
21,"11662368056",0.0,"1",1166236805629
22,"11662368056",0.0,"1",1166236805629
23,"11662368056",0.0,"1",1166236805629
24,"11662368056",0.0,"1",1166236805629
25,"11662368056",0.0,"1",1166236805629
26,"11662368056",0.0,"1",1166236805629
27,"11662368056",0.0,"1",1166236805629
28,"11662368056",0.14,"1",1166236805629
29,"11662368056",0.29,"1",1166236805629
30,"11662368056",0.14,"1",1166236805629
31,"11662368056",0.43,"1",1166236805629
32,"11662368056",2.0,"1",1166236805629
33,"11662368056",2.14,"1",1166236805629
34,"11662368056",3.71,"1",1166236805629
35,"11662368056",5.0,"1",1166236805629
36,"11662368056",5.0,"1",1166236805629
37,"11662368056",6.43,"1",1166236805629
38,"11662368056",10.71,"1",1166236805629
39,"11662368056",9.43,"1",1166236805629
40,"11662368056",9.86,"1",1166236805629
41,"11662368056",15.86,"1",1166236805629
42,"11662368056",28.29,"1",1166236805629
43,"11662368056",37.29,"1",1166236805629
44,"11662368056",68.14,"1",1166236805629
45,"11662368056",154.29,"1",1166236805629
46,"11662368056",177.43,"1",1166236805629
47,"11662368056",462.86,"1",1166236805629
48,"11662368056",879.43,"1",1166236805629
49,"11662368056",937.29,"1",1166236805629
50,"11662368056",1735.71,"1",1166236805629
50,"11662368056",1735.71,"1b",1166236805630
51,"11662368056",4061.57,"1b",1166236805630
51,"11662368056",4061.57,"2",1166236805631
52,"11662368056",7185.86,"2",1166236805631
52,"11662368056",7185.86,"3",1166236805632
53,"11662368056",6873.43,"3",1166236805632
53,"11662368056",6873.43,"4",1166236805633
54,"11662368056",4686.43,"4",1166236805633
55,"11662368056",1874.57,"4",1166236805633
55,"11662368056",1874.57,"3",1166236805634
56,"11662368056",3124.29,"3",1166236805634
56,"11662368056",3124.29,"4",1166236805635
57,"11662368056",1666.29,"4",1166236805635
58,"11662368056",1249.71,"4",1166236805635
58,"11662368056",1249.71,"3",1166236805636
59,"11662368056",833.14,"3",1166236805636
59,"11662368056",833.14,"4",1166236805637
60,"11662368056",798.43,"4",1166236805637
61,"11662368056",486.0,"4",1166236805637
61,"11662368056",486.0,"3",1166236805638
62,"11662368056",520.71,"3",1166236805638
