"wk","tr","nc","stg","id"
0,"1031585801",0.0,"2",10315858011
1,"1031585801",0.0,"2",10315858011
2,"1031585801",0.0,"2",10315858011
3,"1031585801",0.0,"2",10315858011
4,"1031585801",0.0,"2",10315858011
5,"1031585801",0.0,"2",10315858011
6,"1031585801",0.0,"2",10315858011
7,"1031585801",0.0,"2",10315858011
8,"1031585801",0.0,"2",10315858011
9,"1031585801",0.14,"2",10315858011
10,"1031585801",2.43,"2",10315858011
11,"1031585801",5.71,"2",10315858011
12,"1031585801",9.29,"2",10315858011
13,"1031585801",30.57,"2",10315858011
13,"1031585801",30.57,"3",10315858012
14,"1031585801",49.29,"3",10315858012
14,"1031585801",49.29,"4",10315858013
15,"1031585801",37.29,"4",10315858013
16,"1031585801",18.0,"4",10315858013
16,"1031585801",18.0,"3",10315858014
17,"1031585801",20.57,"3",10315858014
18,"1031585801",14.57,"3",10315858014
19,"1031585801",24.0,"3",10315858014
20,"1031585801",15.86,"3",10315858014
21,"1031585801",9.0,"3",10315858014
22,"1031585801",15.0,"3",10315858014
23,"1031585801",19.71,"3",10315858014
24,"1031585801",10.71,"3",10315858014
25,"1031585801",9.86,"3",10315858014
26,"1031585801",10.71,"3",10315858014
27,"1031585801",12.0,"3",10315858014
28,"1031585801",10.71,"3",10315858014
29,"1031585801",8.57,"3",10315858014
29,"1031585801",8.57,"2",10315858015
30,"1031585801",19.29,"2",10315858015
31,"1031585801",26.57,"2",10315858015
32,"1031585801",72.43,"2",10315858015
32,"1031585801",72.43,"3",10315858016
33,"1031585801",78.43,"3",10315858016
33,"1031585801",78.43,"4",10315858017
34,"1031585801",123.43,"4",10315858017
35,"1031585801",54.0,"4",10315858017
36,"1031585801",57.86,"4",10315858017
37,"1031585801",84.86,"4",10315858017
38,"1031585801",38.57,"4",10315858017
39,"1031585801",46.29,"4",10315858017
40,"1031585801",41.14,"4",10315858017
41,"1031585801",41.14,"4",10315858017
42,"1031585801",14.14,"4",10315858017
42,"1031585801",14.14,"3",10315858018
43,"1031585801",15.43,"3",10315858018
44,"1031585801",8.14,"3",10315858018
44,"1031585801",8.14,"2",10315858019
45,"1031585801",10.29,"2",10315858019
46,"1031585801",5.57,"2",10315858019
47,"1031585801",6.0,"2",10315858019
48,"1031585801",13.71,"2",10315858019
49,"1031585801",22.71,"2",10315858019
50,"1031585801",43.29,"2",10315858019
50,"1031585801",43.29,"3",103158580110
51,"1031585801",52.71,"3",103158580110
51,"1031585801",52.71,"4",103158580111
52,"1031585801",38.57,"4",103158580111
53,"1031585801",23.14,"4",103158580111
53,"1031585801",23.14,"3",103158580112
54,"1031585801",27.0,"3",103158580112
55,"1031585801",36.0,"3",103158580112
56,"1031585801",37.29,"3",103158580112
57,"1031585801",51.43,"3",103158580112
57,"1031585801",51.43,"4",103158580113
58,"1031585801",23.14,"4",103158580113
59,"1031585801",15.43,"4",103158580113
59,"1031585801",15.43,"3",103158580114
60,"1031585801",9.43,"3",103158580114
61,"1031585801",20.14,"3",103158580114
62,"1031585801",10.29,"3",103158580114
62,"1031585801",10.29,"2",103158580115
63,"1031585801",6.43,"2",103158580115
64,"1031585801",6.86,"2",103158580115
65,"1031585801",10.29,"2",103158580115
66,"1031585801",24.86,"2",103158580115
67,"1031585801",63.43,"2",103158580115
67,"1031585801",63.43,"3",103158580116
68,"1031585801",92.57,"3",103158580116
68,"1031585801",92.57,"4",103158580117
69,"1031585801",123.43,"4",103158580117
70,"1031585801",81.0,"4",103158580117
71,"1031585801",77.14,"4",103158580117
72,"1031585801",57.86,"4",103158580117
73,"1031585801",42.43,"4",103158580117
74,"1031585801",37.29,"4",103158580117
75,"1031585801",38.57,"4",103158580117
76,"1031585801",9.0,"4",103158580117
76,"1031585801",9.0,"3",103158580118
77,"1031585801",14.14,"3",103158580118
78,"1031585801",18.86,"3",103158580118
78,"1031585801",18.86,"2",103158580119
79,"1031585801",20.57,"2",103158580119
80,"1031585801",12.43,"2",103158580119
81,"1031585801",23.57,"2",10315940619
81,"1031585801",23.57,"2",103158580119
0,"103159406",0.0,"2",10315940619
1,"103159406",0.0,"2",10315940619
2,"103159406",0.43,"2",10315940619
3,"103159406",2.0,"2",10315940619
4,"103159406",4.71,"2",10315940619
5,"103159406",9.57,"2",10315940619
5,"103159406",9.57,"3",10315940620
6,"103159406",27.29,"3",10315940620
7,"103159406",40.71,"3",10315940620
7,"103159406",40.71,"4",10315940621
8,"103159406",52.71,"4",10315940621
9,"103159406",24.43,"4",10315940621
10,"103159406",27.0,"4",10315940621
11,"103159406",30.86,"4",10315940621
12,"103159406",33.43,"4",10315940621
13,"103159406",14.14,"4",10315940621
13,"103159406",14.14,"3",10315940622
14,"103159406",28.29,"3",10315940622
15,"103159406",33.43,"3",10315940622
16,"103159406",46.29,"3",10315940622
16,"103159406",46.29,"4",10315940623
17,"103159406",39.86,"4",10315940623
18,"103159406",23.14,"4",10315940623
18,"103159406",23.14,"3",10315940624
19,"103159406",29.57,"3",10315940624
19,"103159406",29.57,"4",10315940625
20,"103159406",34.71,"4",10315940625
21,"103159406",16.71,"4",10315940625
21,"103159406",16.71,"3",10315940626
22,"103159406",16.71,"3",10315940626
23,"103159406",7.71,"3",10315940626
24,"103159406",19.71,"3",10315940626
25,"103159406",9.43,"3",10315940626
26,"103159406",8.57,"3",10315940626
27,"103159406",6.0,"3",10315940626
28,"103159406",8.57,"3",10315940626
29,"103159406",4.71,"3",10315940626
30,"103159406",6.43,"3",10315940626
30,"103159406",6.43,"2",10315940627
31,"103159406",9.86,"2",10315940627
32,"103159406",14.14,"2",10315940627
33,"103159406",10.29,"2",10315940627
34,"103159406",11.57,"2",10315940627
35,"103159406",7.29,"2",10315940627
36,"103159406",9.43,"2",10315940627
37,"103159406",5.57,"2",10315940627
38,"103159406",4.71,"2",10315940627
39,"103159406",4.29,"2",10315940627
40,"103159406",7.57,"2",10315940627
41,"103159406",5.29,"2",10315940627
42,"103159406",12.29,"2",10315940627
43,"103159406",15.86,"2",10315940627
44,"103159406",22.71,"2",10315940627
45,"103159406",47.14,"2",10315940627
45,"103159406",47.14,"3",10315940628
46,"103159406",51.43,"3",10315940628
46,"103159406",51.43,"4",10315940629
47,"103159406",24.43,"4",10315940629
48,"103159406",24.43,"4",10315940629
49,"103159406",28.29,"4",10315940629
50,"103159406",12.86,"4",10315940629
50,"103159406",12.86,"3",10315940630
51,"103159406",14.14,"3",10315940630
52,"103159406",14.14,"3",10315940630
53,"103159406",18.0,"3",10315940630
53,"103159406",18.0,"2",10315940631
54,"103159406",20.57,"2",10315940631
55,"103159406",30.86,"2",10315940631
56,"103159406",36.0,"2",10315940631
57,"103159406",70.71,"2",10315940631
57,"103159406",70.71,"3",10315940632
58,"103159406",144.0,"3",10315940632
58,"103159406",144.0,"4",10315940633
59,"103159406",104.14,"4",10315940633
60,"103159406",69.43,"4",10315940633
61,"103159406",61.71,"4",10315940633
62,"103159406",61.71,"4",10315940633
63,"103159406",38.57,"4",10315940633
64,"103159406",34.71,"4",10315940633
65,"103159406",43.71,"4",10315940633
66,"103159406",23.14,"4",10315940633
67,"103159406",15.43,"4",10315940633
67,"103159406",15.43,"3",10315940634
68,"103159406",15.43,"3",10315940634
69,"103159406",7.71,"3",10315940634
69,"103159406",7.71,"2",10315940635
70,"103159406",15.86,"2",10315940635
71,"103159406",12.43,"2",10315940635
72,"103159406",10.29,"2",10315940635
73,"103159406",11.14,"2",10315940635
74,"103159406",16.29,"2",10315940635
75,"103159406",14.14,"2",10315940635
76,"103159406",15.43,"2",10315940635
77,"103159406",22.71,"2",10315940635
78,"103159406",37.29,"2",10315940635
78,"103159406",37.29,"3",10315940636
79,"103159406",23.14,"3",10315940636
80,"103159406",9.0,"3",10315940636
80,"103159406",9.0,"2",10315940637
81,"103159406",10.71,"2",10315940637
81,"103159406",10.71,"2",103171643137
0,"1031716431",0.0,"2",103171643137
1,"1031716431",0.0,"2",103171643137
2,"1031716431",0.0,"2",103171643137
3,"1031716431",0.0,"2",103171643137
4,"1031716431",0.0,"2",103171643137
5,"1031716431",1.71,"2",103171643137
6,"1031716431",8.0,"2",103171643137
6,"1031716431",8.0,"3",103171643138
7,"1031716431",8.0,"3",103171643138
8,"1031716431",16.43,"3",103171643138
9,"1031716431",28.29,"3",103171643138
10,"1031716431",41.57,"3",103171643138
10,"1031716431",41.57,"4",103171643139
11,"1031716431",65.57,"4",103171643139
12,"1031716431",56.57,"4",103171643139
