"wk","tr","nc","stg","id"
0,"12212010551",0.29,"1",122120105511
1,"12212010551",2.14,"1",122120105511
1,"12212010551",2.14,"1b",122120105512
2,"12212010551",5.57,"1b",122120105512
2,"12212010551",5.57,"3",122120105513
3,"12212010551",6.29,"3",122120105513
4,"12212010551",2.43,"3",122120105513
4,"12212010551",2.43,"2",122120105514
5,"12212010551",3.14,"2",122120105514
6,"12212010551",3.86,"2",122120105514
7,"12212010551",7.43,"2",122120105514
8,"12212010551",22.57,"2",122120105514
8,"12212010551",22.57,"3",122120105515
9,"12212010551",26.14,"3",122120105515
9,"12212010551",26.14,"4",122120105516
10,"12212010551",50.14,"4",122120105516
11,"12212010551",28.29,"4",122120105516
11,"12212010551",28.29,"3",122120105517
12,"12212010551",16.71,"3",122120105517
13,"12212010551",21.86,"3",122120105517
14,"12212010551",45.0,"3",122120105517
15,"12212010551",43.71,"3",122120105517
15,"12212010551",43.71,"4",122120105518
16,"12212010551",29.57,"4",122120105518
17,"12212010551",19.29,"4",122120105518
18,"12212010551",14.14,"4",122120105518
18,"12212010551",14.14,"3",122120105519
19,"12212010551",10.29,"3",122120105519
20,"12212010551",8.14,"3",122120105519
20,"12212010551",8.14,"2",1221201055110
21,"12212010551",6.86,"2",1221201055110
22,"12212010551",3.0,"2",1221201055110
22,"12212010551",3.0,"1b",1221201055111
23,"12212010551",3.29,"1b",1221201055111
24,"12212010551",6.0,"1b",1221201055111
24,"12212010551",6.0,"1",1221201055112
25,"12212010551",7.86,"1",1221201055112
26,"12212010551",41.57,"1",1221201055112
27,"12212010551",90.0,"1",1221201055112
27,"12212010551",90.0,"2",1221201055113
28,"12212010551",147.86,"2",1221201055113
28,"12212010551",147.86,"3",1221201055114
29,"12212010551",131.14,"3",1221201055114
29,"12212010551",131.14,"4",1221201055115
30,"12212010551",42.43,"4",1221201055115
31,"12212010551",50.14,"4",1221201055115
31,"12212010551",50.14,"3",1221201055116
32,"12212010551",34.71,"3",1221201055116
33,"12212010551",50.14,"3",1221201055116
33,"12212010551",50.14,"2",1221201055117
34,"12212010551",23.14,"2",1221201055117
34,"12212010551",23.14,"1b",1221201055118
35,"12212010551",42.43,"1b",1221201055118
35,"12212010551",42.43,"1",1221201055119
36,"12212010551",38.57,"1",1221201055119
37,"12212010551",75.86,"1",1221201055119
38,"12212010551",132.43,"1",1221201055119
39,"12212010551",304.71,"1",1221201055119
40,"12212010551",428.14,"1",1221201055119
41,"12212010551",1249.71,"1",1221201055119
41,"12212010551",1249.71,"1b",1221201055120
42,"12212010551",3159.0,"1b",1221201055120
42,"12212010551",3159.0,"2",1221201055121
43,"12212010551",6665.14,"2",1221201055121
43,"12212010551",6665.14,"3",1221201055122
44,"12212010551",8748.0,"3",1221201055122
44,"12212010551",8748.0,"4",1221201055123
45,"12212010551",6561.0,"4",1221201055123
46,"12212010551",5311.29,"4",1221201055123
47,"12212010551",937.29,"4",1221201055123
47,"12212010551",937.29,"3",1221201055124
48,"12212010551",2395.29,"3",1221201055124
48,"12212010551",2395.29,"4",1221201055125
49,"12212010551",2291.14,"4",1221201055125
50,"12212010551",2395.29,"4",1221201055125
50,"12212010551",2395.29,"3",1221201055126
51,"12212010551",2291.14,"3",1221201055126
51,"12212010551",2291.14,"4",1221201055127
52,"12212010551",937.29,"4",1221201055127
53,"12212010551",1249.71,"4",1221201055127
53,"12212010551",1249.71,"3",1221201055128
54,"12212010551",694.29,"3",1221201055128
54,"12212010551",694.29,"4",1221201055129
55,"12212010551",590.14,"4",1221201055129
56,"12212010551",312.43,"4",1221201055129
56,"12212010551",312.43,"3",1221201055130
57,"12212010551",451.29,"3",1221201055130
58,"12212010551",786.86,"3",1221201055130
58,"12212010551",786.86,"2",1221201055131
59,"12212010551",1249.71,"2",1221201055131
59,"12212010551",1249.71,"3",1221201055132
60,"12212010551",1041.43,"3",1221201055132
60,"12212010551",1041.43,"4",1221201055133
61,"12212010551",694.29,"4",1221201055133
62,"12212010551",555.43,"4",1221201055133
62,"12212010551",555.43,"3",1221201055134
63,"12212010551",208.29,"3",1221201055134
64,"12212010551",555.43,"3",1221201055134
