"wk","tr","nc","stg","id"
0,"10782010551",0.29,"1",107820105511
1,"10782010551",2.14,"1",107820105511
1,"10782010551",2.14,"1b",107820105512
2,"10782010551",5.57,"1b",107820105512
2,"10782010551",5.57,"3",107820105513
3,"10782010551",6.29,"3",107820105513
4,"10782010551",2.43,"3",107820105513
4,"10782010551",2.43,"2",107820105514
5,"10782010551",3.14,"2",107820105514
6,"10782010551",3.86,"2",107820105514
7,"10782010551",7.43,"2",107820105514
8,"10782010551",22.57,"2",107820105514
8,"10782010551",22.57,"3",107820105515
9,"10782010551",26.14,"3",107820105515
9,"10782010551",26.14,"4",107820105516
10,"10782010551",50.14,"4",107820105516
11,"10782010551",28.29,"4",107820105516
11,"10782010551",28.29,"3",107820105517
12,"10782010551",16.71,"3",107820105517
13,"10782010551",21.86,"3",107820105517
14,"10782010551",45.0,"3",107820105517
15,"10782010551",42.43,"3",107820105517
15,"10782010551",42.43,"4",107820105518
16,"10782010551",25.71,"4",107820105518
17,"10782010551",19.29,"4",107820105518
18,"10782010551",11.57,"4",107820105518
18,"10782010551",11.57,"3",107820105519
19,"10782010551",11.57,"3",107820105519
20,"10782010551",11.57,"3",107820105519
20,"10782010551",11.57,"2",1078201055110
21,"10782010551",6.43,"2",1078201055110
22,"10782010551",6.0,"2",1078201055110
22,"10782010551",6.0,"1b",1078201055111
23,"10782010551",6.43,"1b",1078201055111
24,"10782010551",9.43,"1b",1078201055111
24,"10782010551",9.43,"1",1078201055112
25,"10782010551",5.57,"1",1078201055112
26,"10782010551",8.14,"1",1078201055112
27,"10782010551",7.29,"1",1078201055112
28,"10782010551",11.57,"1",1078201055112
29,"10782010551",18.0,"1",1078201055112
30,"10782010551",30.0,"1",1078201055112
31,"10782010551",65.57,"1",1078201055112
32,"10782010551",59.14,"1",1078201055112
33,"10782010551",119.57,"1",1078201055112
34,"10782010551",131.14,"1",1078201055112
35,"10782010551",277.71,"1",1078201055112
35,"10782010551",277.71,"1b",1078201055113
36,"10782010551",381.86,"1b",1078201055113
36,"10782010551",381.86,"3",1078201055114
37,"10782010551",254.57,"3",1078201055114
37,"10782010551",254.57,"4",1078201055115
38,"10782010551",219.86,"4",1078201055115
39,"10782010551",104.14,"4",1078201055115
40,"10782010551",111.86,"4",1078201055115
41,"10782010551",150.43,"4",1078201055115
42,"10782010551",46.29,"4",1078201055115
42,"10782010551",46.29,"3",1078201055116
43,"10782010551",69.43,"3",1078201055116
44,"10782010551",61.71,"3",1078201055116
44,"10782010551",61.71,"2",1078201055117
45,"10782010551",54.0,"2",1078201055117
46,"10782010551",38.57,"2",1078201055117
46,"10782010551",38.57,"1b",1078201055118
47,"10782010551",38.57,"1b",1078201055118
48,"10782010551",37.29,"1b",1078201055118
48,"10782010551",37.29,"1",1078201055119
49,"10782010551",32.14,"1",1078201055119
50,"10782010551",64.29,"1",1078201055119
51,"10782010551",137.57,"1",1078201055119
52,"10782010551",146.57,"1",1078201055119
53,"10782010551",343.29,"1",1078201055119
53,"10782010551",343.29,"1b",1078201055120
54,"10782010551",648.0,"1b",1078201055120
54,"10782010551",648.0,"3",1078201055121
55,"10782010551",729.0,"3",1078201055121
55,"10782010551",729.0,"4",1078201055122
56,"10782010551",555.43,"4",1078201055122
57,"10782010551",243.0,"4",1078201055122
58,"10782010551",243.0,"4",1078201055122
59,"10782010551",219.86,"4",1078201055122
60,"10782010551",208.29,"4",1078201055122
61,"10782010551",104.14,"4",1078201055122
61,"10782010551",104.14,"3",1078201055123
62,"10782010551",69.43,"3",1078201055123
63,"10782010551",54.0,"3",1078201055123
63,"10782010551",54.0,"2",1078201055124
64,"10782010551",61.71,"2",1078201055124
65,"10782010551",19.29,"2",1078201055124
65,"10782010551",19.29,"1b",1078201055125
66,"10782010551",30.86,"1b",1078201055125
67,"10782010551",38.57,"1b",1078201055125
67,"10782010551",38.57,"1",1078201055126
68,"10782010551",36.0,"1",1078201055126
69,"10782010551",52.71,"1",1078201055126
70,"10782010551",92.57,"1",1078201055126
71,"10782010551",208.29,"1",1078201055126
72,"10782010551",385.71,"1",1078201055126
72,"10782010551",385.71,"2",1078201055127
73,"10782010551",729.0,"2",1078201055127
73,"10782010551",729.0,"3",1078201055128
74,"10782010551",393.43,"3",1078201055128
74,"10782010551",393.43,"4",1078201055129
75,"10782010551",219.86,"4",1078201055129
76,"10782010551",196.71,"4",1078201055129
77,"10782010551",185.14,"4",1078201055129
78,"10782010551",92.57,"4",1078201055129
78,"10782010551",92.57,"3",1078201055130
79,"10782010551",146.57,"3",1078201055130
79,"10782010551",146.57,"4",1078201055131
80,"10782010551",50.14,"4",1078201055131
81,"10782010551",54.0,"4",1078201055131
81,"10782010551",54.0,"1",1078236805632
0,"10782368056",0.0,"1",1078236805632
1,"10782368056",0.0,"1",1078236805632
2,"10782368056",0.0,"1",1078236805632
3,"10782368056",0.0,"1",1078236805632
4,"10782368056",0.0,"1",1078236805632
5,"10782368056",0.0,"1",1078236805632
6,"10782368056",0.14,"1",1078236805632
7,"10782368056",1.43,"1",1078236805632
7,"10782368056",1.43,"1b",1078236805633
8,"10782368056",8.86,"1b",1078236805633
8,"10782368056",8.86,"3",1078236805634
9,"10782368056",12.29,"3",1078236805634
10,"10782368056",16.71,"3",1078236805634
11,"10782368056",15.0,"3",1078236805634
12,"10782368056",16.71,"3",1078236805634
13,"10782368056",19.71,"3",1078236805634
14,"10782368056",16.71,"3",1078236805634
14,"10782368056",16.71,"2",1078236805635
15,"10782368056",17.57,"2",1078236805635
16,"10782368056",29.57,"2",1078236805635
