"wk","tr","nc","stg","id"
0,"13611555476",0.0,"1",136115554761
1,"13611555476",0.0,"1",136115554761
2,"13611555476",0.0,"1",136115554761
3,"13611555476",0.0,"1",136115554761
4,"13611555476",1.29,"1",136115554761
4,"13611555476",1.29,"1b",136115554762
5,"13611555476",3.86,"1b",136115554762
5,"13611555476",3.86,"2",136115554763
6,"13611555476",5.29,"2",136115554763
6,"13611555476",5.29,"3",136115554764
7,"13611555476",6.86,"3",136115554764
8,"13611555476",4.0,"3",136115554764
8,"13611555476",4.0,"2",136115554765
9,"13611555476",2.71,"2",136115554765
10,"13611555476",3.86,"2",136115554765
11,"13611555476",2.86,"2",136115554765
12,"13611555476",2.43,"2",136115554765
13,"13611555476",1.0,"2",136115554765
14,"13611555476",1.43,"2",136115554765
14,"13611555476",1.43,"1b",136115554766
15,"13611555476",0.57,"1b",136115554766
16,"13611555476",0.57,"1b",136115554766
17,"13611555476",0.14,"1b",136115554766
18,"13611555476",0.43,"1b",136115554766
19,"13611555476",0.71,"1b",136115554766
20,"13611555476",0.43,"1b",136115554766
21,"13611555476",0.57,"1b",136115554766
22,"13611555476",2.14,"1b",136115554766
22,"13611555476",2.14,"2",136115554767
23,"13611555476",1.43,"2",136115554767
24,"13611555476",0.86,"2",136115554767
25,"13611555476",0.71,"2",136115554767
25,"13611555476",0.71,"1b",136115554768
26,"13611555476",0.57,"1b",136115554768
27,"13611555476",0.71,"1b",136115554768
27,"13611555476",0.71,"2",136115554769
28,"13611555476",0.0,"2",136115554769
29,"13611555476",0.14,"2",136115554769
29,"13611555476",0.14,"1b",1361155547610
30,"13611555476",0.71,"1b",1361155547610
31,"13611555476",3.14,"1b",1361155547610
31,"13611555476",3.14,"1",1361155547611
32,"13611555476",9.14,"1",1361155547611
33,"13611555476",26.71,"1",1361155547611
34,"13611555476",70.71,"1",1361155547611
34,"13611555476",70.71,"1b",1361155547612
35,"13611555476",145.29,"1b",1361155547612
35,"13611555476",145.29,"2",1361155547613
36,"13611555476",131.14,"2",1361155547613
36,"13611555476",131.14,"3",1361155547614
37,"13611555476",173.57,"3",1361155547614
37,"13611555476",173.57,"4",1361155547615
38,"13611555476",154.29,"4",1361155547615
39,"13611555476",61.71,"4",1361155547615
40,"13611555476",46.29,"4",1361155547615
41,"13611555476",57.86,"4",1361155547615
41,"13611555476",57.86,"3",1361155547616
42,"13611555476",54.0,"3",1361155547616
42,"13611555476",54.0,"4",1361155547617
43,"13611555476",32.14,"4",1361155547617
44,"13611555476",36.0,"4",1361155547617
45,"13611555476",19.29,"4",1361155547617
46,"13611555476",9.0,"4",1361155547617
46,"13611555476",9.0,"3",1361155547618
47,"13611555476",19.29,"3",1361155547618
48,"13611555476",13.71,"3",1361155547618
48,"13611555476",13.71,"2",1361155547619
49,"13611555476",12.86,"2",1361155547619
50,"13611555476",13.71,"2",1361155547619
50,"13611555476",13.71,"1b",1361155547620
51,"13611555476",18.86,"1b",1361155547620
52,"13611555476",27.86,"1b",1361155547620
52,"13611555476",27.86,"2",1361155547621
53,"13611555476",27.0,"2",1361155547621
54,"13611555476",7.71,"2",1361155547621
54,"13611555476",7.71,"1b",1361155547622
55,"13611555476",21.86,"1b",1361155547622
56,"13611555476",19.29,"1b",1361155547622
56,"13611555476",19.29,"1",1361155547623
57,"13611555476",14.14,"1",1361155547623
58,"13611555476",12.86,"1",1361155547623
59,"13611555476",25.29,"1",1361155547623
60,"13611555476",30.43,"1",1361155547623
61,"13611555476",74.57,"1",1361155547623
62,"13611555476",173.57,"1",1361155547623
62,"13611555476",173.57,"2",1361155547624
63,"13611555476",189.0,"2",1361155547624
63,"13611555476",189.0,"4",1361155547625
64,"13611555476",92.57,"4",1361155547625
65,"13611555476",57.86,"4",1361155547625
66,"13611555476",30.86,"4",1361155547625
67,"13611555476",34.71,"4",1361155547625
68,"13611555476",12.86,"4",1361155547625
68,"13611555476",12.86,"3",1361155547626
69,"13611555476",10.29,"3",1361155547626
70,"13611555476",7.29,"3",1361155547626
70,"13611555476",7.29,"2",1361155547627
71,"13611555476",4.29,"2",1361155547627
72,"13611555476",7.71,"2",1361155547627
72,"13611555476",7.71,"1b",1361155547628
73,"13611555476",6.43,"1b",1361155547628
74,"13611555476",5.14,"1b",1361155547628
74,"13611555476",5.14,"1",1361155547629
75,"13611555476",14.14,"1",1361155547629
76,"13611555476",28.71,"1",1361155547629
77,"13611555476",67.71,"1",1361155547629
77,"13611555476",67.71,"1b",1361155547630
78,"13611555476",135.0,"1b",1361155547630
78,"13611555476",135.0,"3",1361155547631
79,"13611555476",111.86,"3",1361155547631
79,"13611555476",111.86,"4",1361155547632
80,"13611555476",115.71,"4",1361155547632
81,"13611555476",69.43,"4",1361155547632
81,"13611555476",69.43,"1",1361195841833
0,"13611958418",0.0,"1",1361195841833
1,"13611958418",0.0,"1",1361195841833
2,"13611958418",0.0,"1",1361195841833
3,"13611958418",0.0,"1",1361195841833
4,"13611958418",0.43,"1",1361195841833
4,"13611958418",0.43,"1b",1361195841834
5,"13611958418",4.86,"1b",1361195841834
5,"13611958418",4.86,"3",1361195841835
6,"13611958418",4.0,"3",1361195841835
7,"13611958418",2.57,"3",1361195841835
7,"13611958418",2.57,"2",1361195841836
8,"13611958418",2.0,"2",1361195841836
9,"13611958418",2.14,"2",1361195841836
10,"13611958418",2.57,"2",1361195841836
11,"13611958418",5.14,"2",1361195841836
11,"13611958418",5.14,"3",1361195841837
12,"13611958418",5.71,"3",1361195841837
13,"13611958418",3.71,"3",1361195841837
13,"13611958418",3.71,"2",1361195841838
14,"13611958418",3.14,"2",1361195841838
15,"13611958418",4.14,"2",1361195841838
16,"13611958418",7.43,"2",1361195841838
16,"13611958418",7.43,"3",1361195841839
17,"13611958418",18.71,"3",1361195841839
18,"13611958418",20.14,"3",1361195841839
19,"13611958418",53.57,"3",1361195841839
19,"13611958418",53.57,"4",1361195841840
20,"13611958418",25.71,"4",1361195841840
21,"13611958418",23.14,"4",1361195841840
22,"13611958418",16.71,"4",1361195841840
23,"13611958418",19.29,"4",1361195841840
23,"13611958418",19.29,"3",1361195841841
24,"13611958418",12.86,"3",1361195841841
25,"13611958418",15.43,"3",1361195841841
26,"13611958418",11.14,"3",1361195841841
27,"13611958418",12.0,"3",1361195841841
28,"13611958418",6.0,"3",1361195841841
29,"13611958418",8.14,"3",1361195841841
29,"13611958418",8.14,"2",1361195841842
30,"13611958418",6.43,"2",1361195841842
31,"13611958418",6.0,"2",1361195841842
31,"13611958418",6.0,"1b",1361195841843
32,"13611958418",11.57,"1b",1361195841843
33,"13611958418",18.86,"1b",1361195841843
33,"13611958418",18.86,"1",1361195841844
34,"13611958418",68.14,"1",1361195841844
34,"13611958418",68.14,"1b",1361195841845
35,"13611958418",142.71,"1b",1361195841845
35,"13611958418",142.71,"2",1361195841846
36,"13611958418",223.71,"2",1361195841846
36,"13611958418",223.71,"4",1361195841847
37,"13611958418",219.86,"4",1361195841847
38,"13611958418",266.14,"4",1361195841847
39,"13611958418",127.29,"4",1361195841847
40,"13611958418",57.86,"4",1361195841847
41,"13611958418",119.57,"4",1361195841847
42,"13611958418",65.57,"4",1361195841847
43,"13611958418",27.0,"4",1361195841847
44,"13611958418",25.71,"4",1361195841847
44,"13611958418",25.71,"3",1361195841848
45,"13611958418",32.14,"3",1361195841848
45,"13611958418",32.14,"4",1361195841849
46,"13611958418",21.86,"4",1361195841849
47,"13611958418",10.29,"4",1361195841849
47,"13611958418",10.29,"3",1361195841850
48,"13611958418",6.0,"3",1361195841850
49,"13611958418",11.57,"3",1361195841850
49,"13611958418",11.57,"2",1361195841851
50,"13611958418",14.57,"2",1361195841851
51,"13611958418",14.14,"2",1361195841851
51,"13611958418",14.14,"1b",1361195841852
52,"13611958418",60.0,"1b",1361195841852
53,"13611958418",99.0,"1b",1361195841852
53,"13611958418",99.0,"3",1361195841853
54,"13611958418",123.43,"3",1361195841853
54,"13611958418",123.43,"4",1361195841854
55,"13611958418",108.0,"4",1361195841854
56,"13611958418",69.43,"4",1361195841854
57,"13611958418",65.57,"4",1361195841854
58,"13611958418",50.14,"4",1361195841854
59,"13611958418",30.86,"4",1361195841854
60,"13611958418",50.14,"4",1361195841854
61,"13611958418",23.14,"4",1361195841854
62,"13611958418",28.29,"4",1361195841854
63,"13611958418",10.29,"4",1361195841854
63,"13611958418",10.29,"3",1361195841855
64,"13611958418",11.57,"3",1361195841855
65,"13611958418",16.71,"3",1361195841855
66,"13611958418",22.29,"3",1361195841855
66,"13611958418",22.29,"2",1361195841856
67,"13611958418",45.43,"2",1361195841856
67,"13611958418",45.43,"3",1361195841857
68,"13611958418",51.43,"3",1361195841857
68,"13611958418",51.43,"4",1361195841858
69,"13611958418",36.0,"4",1361195841858
70,"13611958418",18.0,"4",1361195841858
70,"13611958418",18.0,"3",1361195841859
71,"13611958418",21.86,"3",1361195841859
72,"13611958418",20.57,"3",1361195841859
72,"13611958418",20.57,"2",1361195841860
73,"13611958418",16.71,"2",1361195841860
74,"13611958418",15.43,"2",1361195841860
74,"13611958418",15.43,"1b",1361195841861
75,"13611958418",36.0,"1b",1361195841861
75,"13611958418",36.0,"2",1361195841862
76,"13611958418",32.14,"2",1361195841862
76,"13611958418",32.14,"3",1361195841863
77,"13611958418",47.57,"3",1361195841863
77,"13611958418",47.57,"4",1361195841864
78,"13611958418",24.43,"4",1361195841864
79,"13611958418",19.29,"4",1361195841864
80,"13611958418",12.86,"4",1361195841864
