"wk","tr","nc","stg","id"
0,"11872010551",0.14,"2",118720105511
1,"11872010551",3.57,"2",118720105511
2,"11872010551",4.29,"2",118720105511
3,"11872010551",4.71,"2",118720105511
4,"11872010551",2.86,"2",118720105511
5,"11872010551",4.29,"2",118720105511
6,"11872010551",3.14,"2",118720105511
7,"11872010551",1.71,"2",118720105511
8,"11872010551",1.57,"2",118720105511
9,"11872010551",0.86,"2",118720105511
10,"11872010551",0.43,"2",118720105511
11,"11872010551",1.0,"2",118720105511
12,"11872010551",1.29,"2",118720105511
13,"11872010551",0.71,"2",118720105511
14,"11872010551",1.43,"2",118720105511
15,"11872010551",2.14,"2",118720105511
16,"11872010551",0.86,"2",118720105511
17,"11872010551",0.71,"2",118720105511
18,"11872010551",0.43,"2",118720105511
19,"11872010551",0.43,"2",118720105511
20,"11872010551",0.29,"2",118720105511
21,"11872010551",0.14,"2",118720105511
22,"11872010551",0.14,"2",118720105511
23,"11872010551",0.0,"2",118720105511
24,"11872010551",0.43,"2",118720105511
25,"11872010551",0.71,"2",118720105511
26,"11872010551",0.43,"2",118720105511
27,"11872010551",0.14,"2",118720105511
28,"11872010551",0.14,"2",118720105511
29,"11872010551",0.0,"2",118720105511
30,"11872010551",1.0,"2",118720105511
31,"11872010551",5.43,"2",118720105511
32,"11872010551",11.14,"2",118720105511
33,"11872010551",19.71,"2",118720105511
34,"11872010551",33.0,"2",118720105511
35,"11872010551",27.0,"2",118720105511
36,"11872010551",39.86,"2",118720105511
37,"11872010551",38.57,"2",118720105511
38,"11872010551",42.43,"2",118720105511
39,"11872010551",36.0,"2",118720105511
40,"11872010551",55.29,"2",118720105511
41,"11872010551",48.86,"2",118720105511
42,"11872010551",137.57,"2",118720105511
43,"11872010551",138.86,"2",118720105511
44,"11872010551",138.86,"2",118720105511
45,"11872010551",185.14,"2",118720105511
46,"11872010551",312.43,"2",118720105511
47,"11872010551",324.0,"2",118720105511
48,"11872010551",347.14,"2",118720105511
49,"11872010551",243.0,"2",118720105511
50,"11872010551",358.71,"2",118720105511
51,"11872010551",428.14,"2",118720105511
52,"11872010551",347.14,"2",118720105511
53,"11872010551",312.43,"2",118720105511
54,"11872010551",254.57,"2",118720105511
55,"11872010551",300.86,"2",118720105511
56,"11872010551",358.71,"2",118720105511
57,"11872010551",428.14,"2",118720105511
58,"11872010551",393.43,"2",118720105511
59,"11872010551",324.0,"2",118720105511
60,"11872010551",405.0,"2",118720105511
61,"11872010551",254.57,"2",118720105511
62,"11872010551",208.29,"2",118720105511
63,"11872010551",231.43,"2",118720105511
64,"11872010551",127.29,"2",118720105511
65,"11872010551",127.29,"2",118720105511
66,"11872010551",119.57,"2",118720105511
67,"11872010551",88.71,"2",118720105511
68,"11872010551",46.29,"2",118720105511
69,"11872010551",27.0,"2",118720105511
70,"11872010551",21.86,"2",118720105511
71,"11872010551",20.57,"2",118720105511
72,"11872010551",20.57,"2",118720105511
73,"11872010551",20.57,"2",118720105511
74,"11872010551",46.29,"2",118720105511
75,"11872010551",42.43,"2",118720105511
