"wk","tr","nc","stg","id"
0,"10892010551",0.0,"1",108920105511
0,"10892010551",0.0,"1b",108920105512
1,"10892010551",0.43,"1b",108920105512
2,"10892010551",0.0,"1b",108920105512
3,"10892010551",0.29,"1b",108920105512
4,"10892010551",0.14,"1b",108920105512
4,"10892010551",0.14,"1",108920105513
5,"10892010551",4.71,"1",108920105513
5,"10892010551",4.71,"2",108920105514
6,"10892010551",7.29,"2",108920105514
6,"10892010551",7.29,"3",108920105515
7,"10892010551",8.71,"3",108920105515
8,"10892010551",16.71,"3",108920105515
9,"10892010551",10.29,"3",108920105515
10,"10892010551",7.71,"3",108920105515
11,"10892010551",8.14,"3",108920105515
12,"10892010551",4.71,"3",108920105515
12,"10892010551",4.71,"2",108920105516
13,"10892010551",5.14,"2",108920105516
14,"10892010551",4.71,"2",108920105516
14,"10892010551",4.71,"1b",108920105517
15,"10892010551",14.14,"1b",108920105517
16,"10892010551",13.29,"1b",108920105517
16,"10892010551",13.29,"1",108920105518
17,"10892010551",21.43,"1",108920105518
18,"10892010551",29.57,"1",108920105518
18,"10892010551",29.57,"1b",108920105519
19,"10892010551",46.29,"1b",108920105519
20,"10892010551",79.71,"1b",108920105519
20,"10892010551",79.71,"3",1089201055110
21,"10892010551",198.0,"3",1089201055110
21,"10892010551",198.0,"4",1089201055111
22,"10892010551",88.71,"4",1089201055111
23,"10892010551",42.43,"4",1089201055111
24,"10892010551",34.71,"4",1089201055111
25,"10892010551",36.0,"4",1089201055111
26,"10892010551",34.71,"4",1089201055111
27,"10892010551",16.71,"4",1089201055111
28,"10892010551",9.0,"4",1089201055111
28,"10892010551",9.0,"3",1089201055112
29,"10892010551",7.71,"3",1089201055112
30,"10892010551",8.14,"3",1089201055112
30,"10892010551",8.14,"2",1089201055113
31,"10892010551",6.43,"2",1089201055113
32,"10892010551",27.86,"2",1089201055113
32,"10892010551",27.86,"1b",1089201055114
33,"10892010551",66.0,"1b",1089201055114
34,"10892010551",104.14,"1b",1089201055114
34,"10892010551",104.14,"1",1089201055115
35,"10892010551",231.43,"1",1089201055115
36,"10892010551",493.71,"1",1089201055115
36,"10892010551",493.71,"1b",1089201055116
37,"10892010551",1492.71,"1b",1089201055116
37,"10892010551",1492.71,"4",1089201055117
38,"10892010551",1110.86,"4",1089201055117
39,"10892010551",729.0,"4",1089201055117
40,"10892010551",416.57,"4",1089201055117
41,"10892010551",624.86,"4",1089201055117
42,"10892010551",208.29,"4",1089201055117
43,"10892010551",312.43,"4",1089201055117
44,"10892010551",219.86,"4",1089201055117
45,"10892010551",162.0,"4",1089201055117
46,"10892010551",104.14,"4",1089201055117
47,"10892010551",138.86,"4",1089201055117
47,"10892010551",138.86,"3",1089201055118
48,"10892010551",150.43,"3",1089201055118
49,"10892010551",77.14,"3",1089201055118
50,"10892010551",30.86,"3",1089201055118
50,"10892010551",30.86,"2",1089201055119
51,"10892010551",23.14,"2",1089201055119
52,"10892010551",33.43,"2",1089201055119
52,"10892010551",33.43,"1b",1089201055120
53,"10892010551",39.86,"1b",1089201055120
54,"10892010551",78.43,"1b",1089201055120
54,"10892010551",78.43,"1",1089201055121
55,"10892010551",115.71,"1",1089201055121
56,"10892010551",189.0,"1",1089201055121
57,"10892010551",725.14,"1",1089201055121
57,"10892010551",725.14,"1b",1089201055122
58,"10892010551",1643.14,"1b",1089201055122
58,"10892010551",1643.14,"3",1089201055123
59,"10892010551",1388.57,"3",1089201055123
59,"10892010551",1388.57,"4",1089201055124
60,"10892010551",833.14,"4",1089201055124
61,"10892010551",624.86,"4",1089201055124
62,"10892010551",624.86,"4",1089201055124
63,"10892010551",347.14,"4",1089201055124
64,"10892010551",381.86,"4",1089201055124
65,"10892010551",312.43,"4",1089201055124
66,"10892010551",162.0,"4",1089201055124
67,"10892010551",127.29,"4",1089201055124
67,"10892010551",127.29,"3",1089201055125
68,"10892010551",54.0,"3",1089201055125
69,"10892010551",88.71,"3",1089201055125
69,"10892010551",88.71,"2",1089201055126
70,"10892010551",46.29,"2",1089201055126
71,"10892010551",92.57,"2",1089201055126
71,"10892010551",92.57,"1b",1089201055127
72,"10892010551",119.57,"1b",1089201055127
73,"10892010551",165.86,"1b",1089201055127
73,"10892010551",165.86,"2",1089201055128
74,"10892010551",196.71,"2",1089201055128
74,"10892010551",196.71,"3",1089201055129
75,"10892010551",231.43,"3",1089201055129
76,"10892010551",115.71,"3",1089201055129
77,"10892010551",138.86,"3",1089201055129
77,"10892010551",138.86,"2",1089201055130
78,"10892010551",189.0,"2",1089201055130
78,"10892010551",189.0,"3",1089201055131
79,"10892010551",123.43,"3",1089201055131
80,"10892010551",131.14,"3",1089201055131
80,"10892010551",131.14,"2",1089201055132
81,"10892010551",158.14,"2",1089201055132
81,"10892010551",158.14,"1",1089236805633
0,"10892368056",0.0,"1",1089236805633
1,"10892368056",0.0,"1",1089236805633
2,"10892368056",0.0,"1",1089236805633
3,"10892368056",0.0,"1",1089236805633
4,"10892368056",0.0,"1",1089236805633
5,"10892368056",0.0,"1",1089236805633
6,"10892368056",0.0,"1",1089236805633
7,"10892368056",1.57,"1",1089236805633
7,"10892368056",1.57,"2",1089236805634
8,"10892368056",1.43,"2",1089236805634
9,"10892368056",1.0,"2",1089236805634
9,"10892368056",1.0,"1b",1089236805635
10,"10892368056",1.0,"1b",1089236805635
10,"10892368056",1.0,"2",1089236805636
11,"10892368056",1.57,"2",1089236805636
12,"10892368056",1.86,"2",1089236805636
13,"10892368056",1.71,"2",1089236805636
14,"10892368056",2.71,"2",1089236805636
15,"10892368056",3.29,"2",1089236805636
15,"10892368056",3.29,"1b",1089236805637
16,"10892368056",2.43,"1b",1089236805637
17,"10892368056",3.0,"1b",1089236805637
17,"10892368056",3.0,"1",1089236805638
18,"10892368056",2.29,"1",1089236805638
19,"10892368056",1.43,"1",1089236805638
20,"10892368056",1.14,"1",1089236805638
21,"10892368056",0.71,"1",1089236805638
22,"10892368056",0.57,"1",1089236805638
23,"10892368056",0.86,"1",1089236805638
24,"10892368056",0.29,"1",1089236805638
25,"10892368056",0.29,"1",1089236805638
26,"10892368056",0.57,"1",1089236805638
27,"10892368056",0.57,"1",1089236805638
28,"10892368056",0.14,"1",1089236805638
29,"10892368056",0.0,"1",1089236805638
30,"10892368056",2.57,"1",1089236805638
31,"10892368056",11.0,"1",1089236805638
32,"10892368056",17.14,"1",1089236805638
33,"10892368056",30.43,"1",1089236805638
34,"10892368056",56.57,"1",1089236805638
35,"10892368056",190.29,"1",1089236805638
36,"10892368056",327.86,"1",1089236805638
36,"10892368056",327.86,"1b",1089236805639
37,"10892368056",428.14,"1b",1089236805639
37,"10892368056",428.14,"2",1089236805640
38,"10892368056",532.29,"2",1089236805640
38,"10892368056",532.29,"3",1089236805641
39,"10892368056",636.43,"3",1089236805641
39,"10892368056",636.43,"4",1089236805642
40,"10892368056",590.14,"4",1089236805642
41,"10892368056",208.29,"4",1089236805642
42,"10892368056",127.29,"4",1089236805642
43,"10892368056",150.43,"4",1089236805642
44,"10892368056",92.57,"4",1089236805642
44,"10892368056",92.57,"3",1089236805643
45,"10892368056",104.14,"3",1089236805643
46,"10892368056",92.57,"3",1089236805643
46,"10892368056",92.57,"2",1089236805644
47,"10892368056",88.71,"2",1089236805644
48,"10892368056",142.71,"2",1089236805644
48,"10892368056",142.71,"1b",1089236805645
49,"10892368056",162.0,"1b",1089236805645
50,"10892368056",246.86,"1b",1089236805645
50,"10892368056",246.86,"2",1089236805646
51,"10892368056",254.57,"2",1089236805646
51,"10892368056",254.57,"3",1089236805647
52,"10892368056",127.29,"3",1089236805647
53,"10892368056",127.29,"3",1089236805647
53,"10892368056",127.29,"2",1089236805648
54,"10892368056",88.71,"2",1089236805648
55,"10892368056",108.0,"2",1089236805648
55,"10892368056",108.0,"3",1089236805649
56,"10892368056",34.71,"3",1089236805649
57,"10892368056",15.43,"3",1089236805649
57,"10892368056",15.43,"2",1089236805650
58,"10892368056",30.86,"2",1089236805650
59,"10892368056",28.29,"2",1089236805650
59,"10892368056",28.29,"1b",1089236805651
60,"10892368056",36.0,"1b",1089236805651
61,"10892368056",52.71,"1b",1089236805651
61,"10892368056",52.71,"1",1089236805652
62,"10892368056",69.43,"1",1089236805652
63,"10892368056",241.71,"1",1089236805652
63,"10892368056",241.71,"1b",1089236805653
64,"10892368056",594.0,"1b",1089236805653
64,"10892368056",594.0,"3",1089236805654
65,"10892368056",509.14,"3",1089236805654
65,"10892368056",509.14,"4",1089236805655
66,"10892368056",208.29,"4",1089236805655
67,"10892368056",185.14,"4",1089236805655
68,"10892368056",150.43,"4",1089236805655
69,"10892368056",69.43,"4",1089236805655
70,"10892368056",123.43,"4",1089236805655
71,"10892368056",73.29,"4",1089236805655
71,"10892368056",73.29,"3",1089236805656
72,"10892368056",50.14,"3",1089236805656
73,"10892368056",46.29,"3",1089236805656
73,"10892368056",46.29,"2",1089236805657
74,"10892368056",42.43,"2",1089236805657
75,"10892368056",19.29,"2",1089236805657
75,"10892368056",19.29,"1b",1089236805658
76,"10892368056",33.43,"1b",1089236805658
77,"10892368056",42.43,"1b",1089236805658
77,"10892368056",42.43,"1",1089236805659
78,"10892368056",106.71,"1",1089236805659
79,"10892368056",135.0,"1",1089236805659
80,"10892368056",189.0,"1",1089236805659
81,"10892368056",324.0,"1",1089236805659
81,"10892368056",324.0,"1",1089308032059
0,"10893080320",0.0,"1",1089308032059
1,"10893080320",0.29,"1",1089308032059
2,"10893080320",0.86,"1",1089308032059
2,"10893080320",0.86,"1b",1089308032060
3,"10893080320",0.0,"1b",1089308032060
4,"10893080320",0.14,"1b",1089308032060
5,"10893080320",0.29,"1b",1089308032060
6,"10893080320",0.14,"1b",1089308032060
7,"10893080320",0.43,"1b",1089308032060
7,"10893080320",0.43,"1",1089308032061
8,"10893080320",2.43,"1",1089308032061
8,"10893080320",2.43,"2",1089308032062
9,"10893080320",2.29,"2",1089308032062
10,"10893080320",2.29,"2",1089308032062
11,"10893080320",3.0,"2",1089308032062
12,"10893080320",2.86,"2",1089308032062
13,"10893080320",3.86,"2",1089308032062
14,"10893080320",5.71,"2",1089308032062
14,"10893080320",5.71,"1b",1089308032063
15,"10893080320",4.86,"1b",1089308032063
16,"10893080320",4.43,"1b",1089308032063
16,"10893080320",4.43,"1",1089308032064
17,"10893080320",2.57,"1",1089308032064
18,"10893080320",3.86,"1",1089308032064
19,"10893080320",2.43,"1",1089308032064
20,"10893080320",2.14,"1",1089308032064
21,"10893080320",1.14,"1",1089308032064
22,"10893080320",0.29,"1",1089308032064
23,"10893080320",0.71,"1",1089308032064
24,"10893080320",1.14,"1",1089308032064
25,"10893080320",0.86,"1",1089308032064
26,"10893080320",0.43,"1",1089308032064
27,"10893080320",0.86,"1",1089308032064
28,"10893080320",0.57,"1",1089308032064
29,"10893080320",0.57,"1",1089308032064
30,"10893080320",1.43,"1",1089308032064
31,"10893080320",12.71,"1",1089308032064
32,"10893080320",40.71,"1",1089308032064
33,"10893080320",111.86,"1",1089308032064
34,"10893080320",227.57,"1",1089308032064
35,"10893080320",451.29,"1",1089308032064
35,"10893080320",451.29,"1b",1089308032065
36,"10893080320",856.29,"1b",1089308032065
36,"10893080320",856.29,"3",1089308032066
37,"10893080320",763.71,"3",1089308032066
37,"10893080320",763.71,"4",1089308032067
38,"10893080320",416.57,"4",1089308032067
39,"10893080320",312.43,"4",1089308032067
39,"10893080320",312.43,"3",1089308032068
40,"10893080320",196.71,"3",1089308032068
40,"10893080320",196.71,"4",1089308032069
41,"10893080320",92.57,"4",1089308032069
42,"10893080320",115.71,"4",1089308032069
43,"10893080320",92.57,"4",1089308032069
43,"10893080320",92.57,"3",1089308032070
44,"10893080320",111.86,"3",1089308032070
45,"10893080320",84.86,"3",1089308032070
45,"10893080320",84.86,"2",1089308032071
46,"10893080320",100.29,"2",1089308032071
47,"10893080320",119.57,"2",1089308032071
48,"10893080320",150.43,"2",1089308032071
49,"10893080320",219.86,"2",1089308032071
49,"10893080320",219.86,"3",1089308032072
50,"10893080320",335.57,"3",1089308032072
50,"10893080320",335.57,"4",1089308032073
51,"10893080320",196.71,"4",1089308032073
52,"10893080320",69.43,"4",1089308032073
53,"10893080320",73.29,"4",1089308032073
53,"10893080320",73.29,"3",1089308032074
54,"10893080320",84.86,"3",1089308032074
55,"10893080320",42.43,"3",1089308032074
