"wk","tr","nc","stg","id"
0,"12682010551",0.14,"2",126820105511
1,"12682010551",0.0,"2",126820105511
2,"12682010551",0.14,"2",126820105511
3,"12682010551",0.14,"2",126820105511
4,"12682010551",0.14,"2",126820105511
5,"12682010551",0.43,"2",126820105511
6,"12682010551",3.0,"2",126820105511
7,"12682010551",5.71,"2",126820105511
8,"12682010551",14.0,"2",126820105511
8,"12682010551",14.0,"3",126820105512
9,"12682010551",28.29,"3",126820105512
10,"12682010551",37.29,"3",126820105512
10,"12682010551",37.29,"4",126820105513
11,"12682010551",39.86,"4",126820105513
12,"12682010551",9.0,"4",126820105513
12,"12682010551",9.0,"3",126820105514
13,"12682010551",6.43,"3",126820105514
14,"12682010551",13.71,"3",126820105514
14,"12682010551",13.71,"2",126820105515
15,"12682010551",10.71,"2",126820105515
16,"12682010551",7.71,"2",126820105515
17,"12682010551",10.29,"2",126820105515
18,"12682010551",14.14,"2",126820105515
19,"12682010551",17.14,"2",126820105515
20,"12682010551",19.71,"2",126820105515
21,"12682010551",42.0,"2",126820105515
21,"12682010551",42.0,"3",126820105516
22,"12682010551",33.43,"3",126820105516
22,"12682010551",33.43,"4",126820105517
23,"12682010551",28.29,"4",126820105517
24,"12682010551",16.71,"4",126820105517
25,"12682010551",21.86,"4",126820105517
25,"12682010551",21.86,"3",126820105518
26,"12682010551",18.0,"3",126820105518
27,"12682010551",15.43,"3",126820105518
27,"12682010551",15.43,"2",126820105519
28,"12682010551",11.57,"2",126820105519
29,"12682010551",13.29,"2",126820105519
30,"12682010551",10.71,"2",126820105519
31,"12682010551",8.14,"2",126820105519
32,"12682010551",9.0,"2",126820105519
33,"12682010551",8.14,"2",126820105519
34,"12682010551",3.43,"2",126820105519
35,"12682010551",6.0,"2",126820105519
36,"12682010551",9.43,"2",126820105519
37,"12682010551",12.43,"2",126820105519
38,"12682010551",5.14,"2",126820105519
39,"12682010551",10.29,"2",126820105519
40,"12682010551",15.86,"2",126820105519
41,"12682010551",15.0,"2",126820105519
42,"12682010551",6.86,"2",126820105519
43,"12682010551",12.43,"2",126820105519
44,"12682010551",12.0,"2",126820105519
45,"12682010551",15.43,"2",126820105519
46,"12682010551",17.57,"2",126820105519
47,"12682010551",28.71,"2",126820105519
48,"12682010551",23.14,"2",126820105519
49,"12682010551",30.86,"2",126820105519
50,"12682010551",30.86,"2",126820105519
51,"12682010551",18.0,"2",126820105519
52,"12682010551",14.14,"2",126820105519
53,"12682010551",14.14,"2",126820105519
54,"12682010551",17.14,"2",126820105519
55,"12682010551",21.0,"2",126820105519
56,"12682010551",15.43,"2",126820105519
57,"12682010551",34.71,"2",126820105519
58,"12682010551",25.71,"2",126820105519
59,"12682010551",29.57,"2",126820105519
60,"12682010551",29.57,"2",126820105519
61,"12682010551",37.29,"2",126820105519
62,"12682010551",47.57,"2",126820105519
63,"12682010551",55.29,"2",126820105519
64,"12682010551",54.0,"2",126820105519
65,"12682010551",61.71,"2",126820105519
66,"12682010551",90.0,"2",126820105519
