"wk","tr","nc","stg","id"
0,51,0.86,"1",371
1,51,0.57,"1",371
1,51,0.57,"2",372
2,51,0.86,"2",372
3,51,0.86,"2",372
4,51,0.43,"2",372
5,51,0.57,"2",372
6,51,0.57,"2",372
7,51,0.86,"2",372
8,51,0.43,"2",372
9,51,1.29,"2",372
10,51,0.86,"2",372
10,51,0.86,"3",373
11,51,1.57,"3",373
12,51,1.14,"3",373
13,51,2.29,"3",373
14,51,0.86,"3",373
15,51,1.71,"3",373
16,51,0.29,"3",373
17,51,0.57,"3",373
17,51,0.57,"2",374
18,51,0.29,"2",374
19,51,0,"2",374
20,51,0,"2",374
21,51,0.14,"2",374
22,51,0,"2",374
22,51,0,"1b",375
23,51,0,"1b",375
24,51,0,"1b",375
25,51,0,"1b",375
26,51,0,"1b",375
26,51,0,"1",376
27,51,0.29,"1",376
28,51,0.29,"1",376
28,51,0.29,"2",377
29,51,0.29,"2",377
30,51,0.57,"2",377
31,51,0.43,"2",377
32,51,0.57,"2",377
33,51,1,"2",377
34,51,0.86,"2",377
35,51,0.14,"2",377
36,51,0.71,"2",377
37,51,1.29,"2",377
38,51,0.43,"2",377
38,51,0.43,"3",378
39,51,0.57,"3",378
40,51,0.86,"3",378
41,51,1.57,"3",378
42,51,0.86,"3",378
42,51,0.86,"2",379
43,51,1.71,"2",379
44,51,0.71,"2",379
45,51,2,"2",379
46,51,0.86,"2",379
46,51,0.86,"3",380
47,51,1.14,"3",380
48,51,1.71,"3",380
49,51,2.14,"3",380
50,51,1.71,"3",380
51,51,2.57,"3",380
52,51,2.14,"3",380
0,697,0.86,"1",4700
1,697,1,"1",4700
1,697,1,"2",4701
2,697,1.14,"2",4701
2,697,1.14,"3",4702
3,697,0.43,"3",4702
4,697,0.86,"3",4702
5,697,0.29,"3",4702
5,697,0.29,"2",4703
6,697,0.43,"2",4703
7,697,0.29,"2",4703
8,697,0.14,"2",4703
9,697,0,"2",4703
10,697,0,"2",4703
10,697,0,"1b",4704
11,697,0,"1b",4704
12,697,0.14,"1b",4704
13,697,0,"1b",4704
14,697,0.29,"1b",4704
14,697,0.29,"2",4705
15,697,0.57,"2",4705
16,697,0.29,"2",4705
17,697,0.57,"2",4705
18,697,0.29,"2",4705
19,697,0.43,"2",4705
20,697,0.29,"2",4705
21,697,1.14,"2",4705
22,697,0.57,"2",4705
23,697,0.57,"2",4705
24,697,0.43,"2",4705
25,697,0.43,"2",4705
26,697,0.86,"2",4705
27,697,0.43,"2",4705
28,697,0.29,"2",4705
29,697,0.43,"2",4705
30,697,0.29,"2",4705
31,697,0.43,"2",4705
32,697,0.29,"2",4705
33,697,0.43,"2",4705
34,697,0.14,"2",4705
35,697,0.14,"2",4705
36,697,0.29,"2",4705
37,697,0.29,"2",4705
38,697,0.57,"2",4705
39,697,0.71,"2",4705
40,697,2.57,"2",4705
41,697,2,"2",4705
41,697,2,"3",4706
42,697,3,"3",4706
43,697,2.86,"3",4706
44,697,1.57,"3",4706
45,697,0.71,"3",4706
46,697,0.86,"3",4706
46,697,0.86,"2",4707
47,697,1.29,"2",4707
48,697,1,"2",4707
49,697,1.86,"2",4707
49,697,1.86,"3",4708
50,697,1.43,"3",4708
51,697,1.71,"3",4708
52,697,3,"3",4708
0,1348,1,"1",9081
1,1348,2,"1",9081
1,1348,2,"2",9082
2,1348,2,"2",9082
2,1348,2,"3",9083
3,1348,2.71,"3",9083
4,1348,2.14,"3",9083
5,1348,2.71,"3",9083
6,1348,1.71,"3",9083
7,1348,2,"3",9083
8,1348,2.29,"3",9083
9,1348,0.57,"3",9083
10,1348,0.43,"3",9083
11,1348,0.43,"3",9083
11,1348,0.43,"2",9084
12,1348,0.57,"2",9084
13,1348,0.71,"2",9084
14,1348,1,"2",9084
15,1348,1.29,"2",9084
15,1348,1.29,"3",9085
16,1348,1.57,"3",9085
17,1348,0.71,"3",9085
18,1348,0.86,"3",9085
19,1348,0.29,"3",9085
20,1348,0,"3",9085
20,1348,0,"2",9086
21,1348,0.29,"2",9086
22,1348,0.43,"2",9086
23,1348,0.43,"2",9086
24,1348,0.71,"2",9086
25,1348,1,"2",9086
26,1348,1,"2",9086
27,1348,1,"2",9086
28,1348,0,"2",9086
29,1348,0.57,"2",9086
30,1348,0.14,"2",9086
31,1348,0.29,"2",9086
32,1348,0.29,"2",9086
33,1348,0.14,"2",9086
34,1348,0,"2",9086
35,1348,0,"2",9086
36,1348,0.14,"2",9086
36,1348,0.14,"1b",9087
37,1348,0.14,"1b",9087
37,1348,0.14,"2",9088
38,1348,0.29,"2",9088
39,1348,0.14,"2",9088
40,1348,0.14,"2",9088
41,1348,0.43,"2",9088
41,1348,0.43,"1b",9089
42,1348,1.14,"1b",9089
42,1348,1.14,"2",9090
43,1348,0.71,"2",9090
44,1348,0.71,"2",9090
45,1348,1.57,"2",9090
46,1348,1.43,"2",9090
46,1348,1.43,"3",9091
47,1348,0.43,"3",9091
48,1348,0.86,"3",9091
49,1348,0.29,"3",9091
50,1348,0.71,"3",9091
50,1348,0.71,"2",9092
51,1348,0.71,"2",9092
52,1348,0.57,"2",9092
0,1994,0.86,"1",13705
1,1994,0.86,"1",13705
1,1994,0.86,"2",13706
2,1994,0.71,"2",13706
3,1994,0,"2",13706
4,1994,0.43,"2",13706
5,1994,0,"2",13706
6,1994,0.43,"2",13706
7,1994,0,"2",13706
8,1994,0,"2",13706
9,1994,0,"2",13706
10,1994,0,"2",13706
10,1994,0,"1b",13707
11,1994,0,"1b",13707
12,1994,0,"1b",13707
13,1994,0,"1b",13707
13,1994,0,"1",13708
14,1994,0,"1",13708
15,1994,0,"1",13708
16,1994,0,"1",13708
17,1994,0,"1",13708
18,1994,0,"1",13708
19,1994,0,"1",13708
20,1994,0,"1",13708
21,1994,0,"1",13708
22,1994,0,"1",13708
23,1994,0,"1",13708
24,1994,0,"1",13708
25,1994,0,"1",13708
26,1994,0.14,"1",13708
27,1994,0,"1",13708
28,1994,0.57,"1",13708
28,1994,0.57,"1b",13709
29,1994,0.57,"1b",13709
29,1994,0.57,"2",13710
30,1994,0.57,"2",13710
31,1994,0.71,"2",13710
32,1994,0,"2",13710
33,1994,0.14,"2",13710
34,1994,0.57,"2",13710
35,1994,1,"2",13710
36,1994,0.71,"2",13710
37,1994,0,"2",13710
38,1994,0.29,"2",13710
39,1994,0.29,"2",13710
40,1994,0.43,"2",13710
41,1994,0.71,"2",13710
42,1994,1.14,"2",13710
43,1994,1,"2",13710
44,1994,0.57,"2",13710
45,1994,2.29,"2",13710
46,1994,2.29,"2",13710
46,1994,2.29,"3",13711
47,1994,1.57,"3",13711
48,1994,1,"3",13711
49,1994,0.43,"3",13711
50,1994,0.71,"3",13711
51,1994,0.29,"3",13711
51,1994,0.29,"2",13712
52,1994,0,"2",13712
0,2641,0.86,"1",18180
1,2641,0.43,"1",18180
1,2641,0.43,"2",18181
2,2641,0.43,"2",18181
3,2641,1,"2",18181
4,2641,0.43,"2",18181
5,2641,0.71,"2",18181
6,2641,0,"2",18181
7,2641,0,"2",18181
8,2641,0,"2",18181
9,2641,0,"2",18181
9,2641,0,"1b",18182
10,2641,0.14,"1b",18182
11,2641,0,"1b",18182
12,2641,0,"1b",18182
13,2641,0.14,"1b",18182
14,2641,0,"1b",18182
15,2641,0,"1b",18182
16,2641,0,"1b",18182
17,2641,0,"1b",18182
18,2641,0,"1b",18182
19,2641,0,"1b",18182
19,2641,0,"1",18183
20,2641,0,"1",18183
21,2641,0,"1",18183
22,2641,0.14,"1",18183
23,2641,0,"1",18183
23,2641,0,"1b",18184
24,2641,0,"1b",18184
25,2641,0,"1b",18184
26,2641,0,"1b",18184
27,2641,0,"1b",18184
28,2641,0,"1b",18184
28,2641,0,"1",18185
29,2641,0,"1",18185
30,2641,0,"1",18185
31,2641,0.14,"1",18185
32,2641,0.14,"1",18185
32,2641,0.14,"1b",18186
33,2641,0.57,"1b",18186
33,2641,0.57,"2",18187
34,2641,0.14,"2",18187
35,2641,0.29,"2",18187
36,2641,0.14,"2",18187
37,2641,0,"2",18187
38,2641,0,"2",18187
38,2641,0,"1b",18188
39,2641,0,"1b",18188
40,2641,0,"1b",18188
41,2641,0.14,"1b",18188
41,2641,0.14,"1",18189
42,2641,0,"1",18189
43,2641,0,"1",18189
44,2641,0,"1",18189
45,2641,0.14,"1",18189
46,2641,0.29,"1",18189
47,2641,0.43,"1",18189
47,2641,0.43,"2",18190
48,2641,0.14,"2",18190
49,2641,0,"2",18190
50,2641,0.14,"2",18190
51,2641,0.43,"2",18190
52,2641,0.29,"2",18190
0,3291,0.86,"1",22571
1,3291,1.71,"1",22571
1,3291,1.71,"2",22572
2,3291,2.57,"2",22572
2,3291,2.57,"3",22573
3,3291,1.29,"3",22573
4,3291,2.14,"3",22573
5,3291,1.71,"3",22573
6,3291,0.57,"3",22573
7,3291,0.57,"3",22573
8,3291,0.86,"3",22573
8,3291,0.86,"2",22574
9,3291,0.14,"2",22574
10,3291,0.57,"2",22574
11,3291,0.14,"2",22574
12,3291,0.14,"2",22574
13,3291,0,"2",22574
14,3291,0.14,"2",22574
15,3291,0.14,"2",22574
16,3291,0,"2",22574
17,3291,0.14,"2",22574
18,3291,0.29,"2",22574
19,3291,0.29,"2",22574
20,3291,0,"2",22574
21,3291,0.29,"2",22574
22,3291,0,"2",22574
23,3291,0.14,"2",22574
24,3291,0.43,"2",22574
25,3291,0.29,"2",22574
26,3291,0.29,"2",22574
27,3291,0.14,"2",22574
28,3291,0.57,"2",22574
29,3291,0.43,"2",22574
30,3291,0.43,"2",22574
31,3291,0.43,"2",22574
32,3291,0.71,"2",22574
33,3291,1.29,"2",22574
34,3291,1.29,"2",22574
34,3291,1.29,"3",22575
35,3291,1.57,"3",22575
36,3291,1,"3",22575
37,3291,0.57,"3",22575
38,3291,0.43,"3",22575
38,3291,0.43,"2",22576
39,3291,0.14,"2",22576
40,3291,0.43,"2",22576
41,3291,1,"2",22576
42,3291,0.86,"2",22576
43,3291,1.57,"2",22576
44,3291,1.71,"2",22576
44,3291,1.71,"3",22577
45,3291,1.57,"3",22577
46,3291,0.57,"3",22577
47,3291,2,"3",22577
48,3291,1.43,"3",22577
49,3291,2.29,"3",22577
50,3291,1.57,"3",22577
51,3291,1.14,"3",22577
52,3291,0.71,"3",22577
52,3291,0.71,"2",22578
0,3938,0.86,"1",26975
1,3938,1,"1",26975
1,3938,1,"2",26976
2,3938,1,"2",26976
2,3938,1,"3",26977
3,3938,0.71,"3",26977
4,3938,0.71,"3",26977
5,3938,0.57,"3",26977
6,3938,0.71,"3",26977
6,3938,0.71,"2",26978
7,3938,1.14,"2",26978
8,3938,0.86,"2",26978
8,3938,0.86,"3",26979
9,3938,1,"3",26979
10,3938,0.71,"3",26979
11,3938,0.29,"3",26979
12,3938,0.43,"3",26979
12,3938,0.43,"2",26980
13,3938,1.14,"2",26980
14,3938,0.57,"2",26980
14,3938,0.57,"3",26981
15,3938,0.57,"3",26981
16,3938,0.29,"3",26981
17,3938,0.14,"3",26981
17,3938,0.14,"2",26982
18,3938,0.57,"2",26982
19,3938,0.14,"2",26982
20,3938,0.14,"2",26982
21,3938,0,"2",26982
22,3938,0,"2",26982
23,3938,0,"2",26982
23,3938,0,"1b",26983
24,3938,0,"1b",26983
25,3938,0.29,"1b",26983
26,3938,0.43,"1b",26983
26,3938,0.43,"2",26984
27,3938,0.71,"2",26984
28,3938,0.57,"2",26984
29,3938,1.43,"2",26984
30,3938,1.29,"2",26984
30,3938,1.29,"3",26985
31,3938,1.29,"3",26985
32,3938,1.14,"3",26985
33,3938,1.43,"3",26985
34,3938,2.43,"3",26985
35,3938,0.57,"3",26985
36,3938,1.43,"3",26985
37,3938,0.57,"3",26985
37,3938,0.57,"2",26986
38,3938,0.43,"2",26986
39,3938,1.29,"2",26986
40,3938,1.29,"2",26986
41,3938,2,"2",26986
41,3938,2,"3",26987
42,3938,3.14,"3",26987
43,3938,3.14,"3",26987
44,3938,2.57,"3",26987
45,3938,3.43,"3",26987
46,3938,3.43,"3",26987
47,3938,3.14,"3",26987
48,3938,3,"3",26987
49,3938,3,"3",26987
50,3938,3.43,"3",26987
51,3938,3.14,"3",26987
52,3938,2.57,"3",26987
0,4587,0.86,"1",31284
1,4587,1.43,"1",31284
1,4587,1.43,"2",31285
2,4587,1.86,"2",31285
2,4587,1.86,"3",31286
3,4587,1,"3",31286
4,4587,1.29,"3",31286
5,4587,1.57,"3",31286
6,4587,1.71,"3",31286
7,4587,0.86,"3",31286
8,4587,1.14,"3",31286
9,4587,0.86,"3",31286
9,4587,0.86,"2",31287
10,4587,1.29,"2",31287
11,4587,0.86,"2",31287
12,4587,0.29,"2",31287
13,4587,0.29,"2",31287
14,4587,0.43,"2",31287
15,4587,0.71,"2",31287
16,4587,1.29,"2",31287
17,4587,0.86,"2",31287
18,4587,0.29,"2",31287
19,4587,0.57,"2",31287
20,4587,0.43,"2",31287
21,4587,0.86,"2",31287
22,4587,0.86,"2",31287
23,4587,1,"2",31287
24,4587,1,"2",31287
25,4587,1.14,"2",31287
26,4587,0.29,"2",31287
27,4587,0.43,"2",31287
28,4587,0.71,"2",31287
29,4587,0.86,"2",31287
30,4587,0.29,"2",31287
31,4587,1,"2",31287
32,4587,0.86,"2",31287
33,4587,0.86,"2",31287
34,4587,1,"2",31287
34,4587,1,"3",31288
35,4587,1.29,"3",31288
36,4587,1,"3",31288
37,4587,0.86,"3",31288
38,4587,0.29,"3",31288
39,4587,1.29,"3",31288
39,4587,1.29,"2",31289
40,4587,1.43,"2",31289
41,4587,2.86,"2",31289
41,4587,2.86,"3",31290
42,4587,5,"3",31290
43,4587,4.43,"3",31290
44,4587,3.71,"3",31290
45,4587,4.43,"3",31290
46,4587,3.57,"3",31290
47,4587,3.43,"3",31290
48,4587,3.57,"3",31290
49,4587,2.86,"3",31290
50,4587,3.43,"3",31290
51,4587,3.14,"3",31290
52,4587,3,"3",31290
0,5235,0.86,"1",35786
1,5235,1.43,"1",35786
1,5235,1.43,"2",35787
2,5235,1.71,"2",35787
2,5235,1.71,"3",35788
3,5235,0.43,"3",35788
4,5235,0.43,"3",35788
5,5235,0.71,"3",35788
5,5235,0.71,"2",35789
6,5235,0.71,"2",35789
7,5235,0.29,"2",35789
8,5235,0,"2",35789
9,5235,0,"2",35789
10,5235,0,"2",35789
10,5235,0,"1b",35790
11,5235,0,"1b",35790
12,5235,0,"1b",35790
13,5235,0,"1b",35790
13,5235,0,"1",35791
14,5235,0,"1",35791
15,5235,0,"1",35791
16,5235,0,"1",35791
17,5235,0,"1",35791
18,5235,0,"1",35791
19,5235,0,"1",35791
20,5235,0,"1",35791
21,5235,0,"1",35791
22,5235,0,"1",35791
23,5235,0,"1",35791
24,5235,0,"1",35791
25,5235,0,"1",35791
26,5235,0.14,"1",35791
27,5235,0.43,"1",35791
28,5235,0,"1",35791
28,5235,0,"2",35792
