"wk","tr","nc","stg","id"
0,625,0.86,"1",4030
1,625,1.57,"1",4030
2,625,2.71,"1",4030
3,625,3.14,"1",4030
4,625,5.57,"1",4030
5,625,7.43,"1",4030
6,625,8.57,"1",4030
7,625,12.43,"1",4030
8,625,13.57,"1",4030
9,625,33.86,"1",4030
10,625,46.86,"1",4030
11,625,74.29,"1",4030
12,625,148.57,"1",4030
13,625,212.57,"1",4030
13,625,212.57,"1b",4031
14,625,374.86,"1b",4031
15,625,630.86,"1b",4031
15,625,630.86,"3",4032
16,625,557.71,"3",4032
17,625,493.71,"3",4032
18,625,566.86,"3",4032
19,625,694.86,"3",4032
19,625,694.86,"4",4033
20,625,420.57,"4",4033
21,625,219.43,"4",4033
22,625,192,"4",4033
23,625,112,"4",4033
24,625,43.43,"4",4033
25,625,29.71,"4",4033
25,625,29.71,"3",4034
26,625,13.14,"3",4034
27,625,20,"3",4034
28,625,19.43,"3",4034
28,625,19.43,"2",4035
29,625,16,"2",4035
30,625,24,"2",4035
31,625,32.57,"2",4035
31,625,32.57,"1b",4036
32,625,42.86,"1b",4036
33,625,68,"1b",4036
34,625,130.86,"1b",4036
34,625,130.86,"1",4037
35,625,150.86,"1",4037
35,625,150.86,"1b",4038
36,625,212.57,"1b",4038
37,625,372.57,"1b",4038
38,625,502.86,"1b",4038
38,625,502.86,"3",4039
39,625,475.43,"3",4039
40,625,420.57,"3",4039
41,625,420.57,"3",4039
42,625,310.86,"3",4039
43,625,283.43,"3",4039
44,625,192,"3",4039
45,625,98.29,"3",4039
46,625,66.29,"3",4039
47,625,57.14,"3",4039
48,625,59.43,"3",4039
48,625,59.43,"2",4040
49,625,25.14,"2",4040
50,625,28,"2",4040
50,625,28,"1b",4041
51,625,29.71,"1b",4041
52,625,29.14,"1b",4041
0,1277,0.86,"1",8352
1,1277,3.14,"1",8352
2,1277,4,"1",8352
3,1277,5.71,"1",8352
4,1277,8.57,"1",8352
5,1277,12.43,"1",8352
6,1277,20.43,"1",8352
7,1277,38.86,"1",8352
8,1277,54.86,"1",8352
9,1277,100.57,"1",8352
10,1277,144,"1",8352
10,1277,144,"1b",8353
11,1277,237.71,"1b",8353
12,1277,288,"1b",8353
13,1277,576,"1b",8353
14,1277,768,"1b",8353
14,1277,768,"3",8354
15,1277,548.57,"3",8354
15,1277,548.57,"4",8355
16,1277,365.71,"4",8355
17,1277,292.57,"4",8355
18,1277,310.86,"4",8355
19,1277,219.43,"4",8355
20,1277,118.86,"4",8355
21,1277,68.57,"4",8355
22,1277,48,"4",8355
23,1277,64,"4",8355
23,1277,64,"3",8356
24,1277,41.14,"3",8356
25,1277,43.43,"3",8356
26,1277,40.57,"3",8356
26,1277,40.57,"2",8357
27,1277,41.71,"2",8357
28,1277,40,"2",8357
29,1277,57.14,"2",8357
29,1277,57.14,"1b",8358
30,1277,48,"1b",8358
31,1277,78.86,"1b",8358
32,1277,89.14,"1b",8358
32,1277,89.14,"1",8359
33,1277,114.29,"1",8359
34,1277,84.57,"1",8359
34,1277,84.57,"1b",8360
35,1277,93.71,"1b",8360
36,1277,164.57,"1b",8360
37,1277,194.29,"1b",8360
38,1277,285.71,"1b",8360
39,1277,384,"1b",8360
40,1277,347.43,"1b",8360
41,1277,484.57,"1b",8360
41,1277,484.57,"3",8361
42,1277,466.29,"3",8361
43,1277,420.57,"3",8361
44,1277,265.14,"3",8361
45,1277,192,"3",8361
46,1277,123.43,"3",8361
47,1277,100.57,"3",8361
47,1277,100.57,"2",8362
48,1277,89.14,"2",8362
49,1277,91.43,"2",8362
50,1277,68.57,"2",8362
50,1277,68.57,"1b",8363
51,1277,91.43,"1b",8363
52,1277,91.43,"1b",8363
0,1920,1,"1",13107
1,1920,1.57,"1",13107
2,1920,3.71,"1",13107
3,1920,4.71,"1",13107
4,1920,6.29,"1",13107
5,1920,8.71,"1",13107
6,1920,10.14,"1",13107
7,1920,13.29,"1",13107
8,1920,18,"1",13107
9,1920,24.57,"1",13107
10,1920,33.14,"1",13107
11,1920,53.14,"1",13107
12,1920,94.29,"1",13107
13,1920,203.43,"1",13107
14,1920,333.71,"1",13107
14,1920,333.71,"1b",13108
15,1920,612.57,"1b",13108
15,1920,612.57,"3",13109
16,1920,621.71,"3",13109
17,1920,704,"3",13109
18,1920,585.14,"3",13109
18,1920,585.14,"4",13110
19,1920,301.71,"4",13110
20,1920,210.29,"4",13110
21,1920,155.43,"4",13110
22,1920,73.14,"4",13110
23,1920,59.43,"4",13110
24,1920,59.43,"4",13110
24,1920,59.43,"3",13111
25,1920,57.14,"3",13111
26,1920,41.14,"3",13111
26,1920,41.14,"2",13112
27,1920,29.71,"2",13112
28,1920,32.57,"2",13112
29,1920,34.29,"2",13112
29,1920,34.29,"1b",13113
30,1920,44,"1b",13113
31,1920,57.14,"1b",13113
32,1920,80,"1b",13113
32,1920,80,"1",13114
33,1920,125.71,"1",13114
34,1920,189.71,"1",13114
34,1920,189.71,"1b",13115
35,1920,228.57,"1b",13115
36,1920,237.71,"1b",13115
37,1920,292.57,"1b",13115
38,1920,347.43,"1b",13115
39,1920,402.29,"1b",13115
39,1920,402.29,"3",13116
40,1920,384,"3",13116
41,1920,265.14,"3",13116
42,1920,301.71,"3",13116
43,1920,457.14,"3",13116
44,1920,448,"3",13116
45,1920,411.43,"3",13116
46,1920,320,"3",13116
47,1920,256,"3",13116
48,1920,164.57,"3",13116
49,1920,50.29,"3",13116
50,1920,36.57,"3",13116
51,1920,17.71,"3",13116
51,1920,17.71,"2",13117
52,1920,10.29,"2",13117
0,2568,0.86,"1",17530
1,2568,2.14,"1",17530
2,2568,4.86,"1",17530
3,2568,6.71,"1",17530
4,2568,11.86,"1",17530
5,2568,17.29,"1",17530
6,2568,29.14,"1",17530
7,2568,37.71,"1",17530
8,2568,49.71,"1",17530
9,2568,66.29,"1",17530
10,2568,137.14,"1",17530
11,2568,210.29,"1",17530
11,2568,210.29,"1b",17531
12,2568,233.14,"1b",17531
13,2568,484.57,"1b",17531
14,2568,667.43,"1b",17531
14,2568,667.43,"3",17532
15,2568,832,"3",17532
15,2568,832,"4",17533
16,2568,566.86,"4",17533
17,2568,201.14,"4",17533
18,2568,155.43,"4",17533
19,2568,114.29,"4",17533
20,2568,59.43,"4",17533
21,2568,61.71,"4",17533
22,2568,45.71,"4",17533
22,2568,45.71,"3",17534
23,2568,86.86,"3",17534
24,2568,70.86,"3",17534
25,2568,91.43,"3",17534
25,2568,91.43,"2",17535
26,2568,134.86,"2",17535
27,2568,132.57,"2",17535
28,2568,137.14,"2",17535
29,2568,141.71,"2",17535
30,2568,132.57,"2",17535
31,2568,155.43,"2",17535
32,2568,166.86,"2",17535
33,2568,219.43,"2",17535
