"wk","tr","nc","stg","id"
0,215,0.86,"1",1732
1,215,1.14,"1",1732
1,215,1.14,"1b",1733
2,215,0.43,"1b",1733
2,215,0.43,"2",1734
3,215,1.43,"2",1734
4,215,0.71,"2",1734
5,215,1.29,"2",1734
6,215,0.29,"2",1734
7,215,1.14,"2",1734
8,215,1.43,"2",1734
9,215,1,"2",1734
10,215,0.14,"2",1734
11,215,0,"2",1734
11,215,0,"1b",1735
12,215,0,"1b",1735
13,215,0,"1b",1735
14,215,0,"1b",1735
14,215,0,"1",1736
15,215,0.29,"1",1736
16,215,0,"1",1736
16,215,0,"1b",1737
17,215,0.14,"1b",1737
18,215,0.14,"1b",1737
19,215,0.29,"1b",1737
20,215,0.14,"1b",1737
21,215,0.29,"1b",1737
22,215,0,"1b",1737
23,215,0.29,"1b",1737
23,215,0.29,"1",1738
24,215,0,"1",1738
24,215,0,"1b",1739
25,215,0,"1b",1739
26,215,0,"1b",1739
27,215,0.29,"1b",1739
28,215,0.43,"1b",1739
29,215,0.29,"1b",1739
30,215,0.29,"1b",1739
31,215,0.86,"1b",1739
32,215,0.86,"1b",1739
33,215,1.43,"1b",1739
34,215,2.29,"1b",1739
34,215,2.29,"2",1740
35,215,0.86,"2",1740
36,215,0.86,"2",1740
37,215,1.29,"2",1740
38,215,1.14,"2",1740
39,215,2,"2",1740
40,215,3,"2",1740
41,215,2.71,"2",1740
42,215,1.86,"2",1740
43,215,2.43,"2",1740
44,215,2.14,"2",1740
45,215,2.29,"2",1740
46,215,1.43,"2",1740
47,215,2,"2",1740
48,215,3.71,"2",1740
49,215,2.86,"2",1740
50,215,2.43,"2",1740
51,215,2.43,"2",1740
52,215,2.57,"2",1740
0,860,0.86,"1",6003
1,860,1,"1",6003
1,860,1,"2",6004
2,860,1.29,"2",6004
3,860,1.14,"2",6004
4,860,1.14,"2",6004
5,860,2.29,"2",6004
6,860,1.71,"2",6004
7,860,2.86,"2",6004
8,860,1.71,"2",6004
9,860,1.57,"2",6004
10,860,0.86,"2",6004
11,860,1.29,"2",6004
12,860,1.14,"2",6004
13,860,0.71,"2",6004
14,860,0.71,"2",6004
14,860,0.71,"1b",6005
15,860,0.57,"1b",6005
16,860,0.29,"1b",6005
17,860,1.14,"1b",6005
18,860,0.86,"1b",6005
19,860,0.57,"1b",6005
19,860,0.57,"2",6006
20,860,0.71,"2",6006
21,860,1,"2",6006
22,860,0.71,"2",6006
23,860,0.71,"2",6006
24,860,0.14,"2",6006
25,860,0.14,"2",6006
26,860,0.29,"2",6006
26,860,0.29,"1b",6007
27,860,0.29,"1b",6007
28,860,0.29,"1b",6007
29,860,0.43,"1b",6007
30,860,0.43,"1b",6007
31,860,0.86,"1b",6007
32,860,1.43,"1b",6007
33,860,2,"1b",6007
33,860,2,"2",6008
34,860,1.71,"2",6008
35,860,1.14,"2",6008
36,860,1.29,"2",6008
37,860,2,"2",6008
38,860,1.29,"2",6008
39,860,0.71,"2",6008
40,860,2,"2",6008
41,860,1.86,"2",6008
42,860,2,"2",6008
43,860,2.29,"2",6008
44,860,2.57,"2",6008
45,860,2.57,"2",6008
46,860,3.14,"2",6008
47,860,2.29,"2",6008
48,860,1.86,"2",6008
49,860,2.86,"2",6008
50,860,2.14,"2",6008
51,860,1.86,"2",6008
52,860,1.43,"2",6008
0,1509,1,"1",10733
1,1509,1.57,"1",10733
1,1509,1.57,"1b",10734
2,1509,1.43,"1b",10734
2,1509,1.43,"2",10735
3,1509,1,"2",10735
4,1509,1.14,"2",10735
5,1509,1.71,"2",10735
6,1509,1.14,"2",10735
7,1509,0.86,"2",10735
8,1509,0.86,"2",10735
9,1509,1.14,"2",10735
10,1509,1.14,"2",10735
11,1509,0.57,"2",10735
12,1509,0.43,"2",10735
13,1509,0.29,"2",10735
13,1509,0.29,"1b",10736
14,1509,0.57,"1b",10736
15,1509,0.43,"1b",10736
16,1509,0.71,"1b",10736
17,1509,1.14,"1b",10736
17,1509,1.14,"2",10737
18,1509,0.71,"2",10737
19,1509,0,"2",10737
20,1509,0.14,"2",10737
21,1509,0.29,"2",10737
21,1509,0.29,"1b",10738
22,1509,0.29,"1b",10738
23,1509,0,"1b",10738
24,1509,0.14,"1b",10738
24,1509,0.14,"1",10739
25,1509,0,"1",10739
26,1509,0,"1",10739
27,1509,0.14,"1",10739
28,1509,0.14,"1",10739
29,1509,0.43,"1",10739
29,1509,0.43,"1b",10740
30,1509,0.57,"1b",10740
31,1509,1.71,"1b",10740
32,1509,1.71,"1b",10740
32,1509,1.71,"2",10741
33,1509,0.43,"2",10741
34,1509,0.71,"2",10741
35,1509,0.43,"2",10741
35,1509,0.43,"1b",10742
36,1509,0.43,"1b",10742
37,1509,0.29,"1b",10742
38,1509,1,"1b",10742
39,1509,0.14,"1b",10742
40,1509,0.71,"1b",10742
41,1509,0.71,"1b",10742
42,1509,0.86,"1b",10742
43,1509,1,"1b",10742
43,1509,1,"2",10743
44,1509,0.43,"2",10743
45,1509,0.57,"2",10743
46,1509,0.71,"2",10743
47,1509,0.71,"2",10743
47,1509,0.71,"1b",10744
48,1509,0.43,"1b",10744
49,1509,0.43,"1b",10744
50,1509,0.57,"1b",10744
51,1509,0.43,"1b",10744
52,1509,0.14,"1b",10744
0,2156,0.86,"1",15137
1,2156,1,"1",15137
1,2156,1,"1b",15138
2,2156,1.29,"1b",15138
2,2156,1.29,"2",15139
3,2156,0.86,"2",15139
4,2156,1.57,"2",15139
5,2156,1,"2",15139
6,2156,1.71,"2",15139
7,2156,0.71,"2",15139
8,2156,0.71,"2",15139
9,2156,0.86,"2",15139
10,2156,0.14,"2",15139
10,2156,0.14,"1b",15140
11,2156,0.86,"1b",15140
12,2156,0.57,"1b",15140
13,2156,0.43,"1b",15140
14,2156,0.57,"1b",15140
15,2156,0.86,"1b",15140
16,2156,0,"1b",15140
17,2156,0,"1b",15140
18,2156,0,"1b",15140
18,2156,0,"1",15141
19,2156,0,"1",15141
20,2156,0,"1",15141
21,2156,0,"1",15141
22,2156,0,"1",15141
23,2156,0,"1",15141
24,2156,0,"1",15141
25,2156,0,"1",15141
26,2156,0.14,"1",15141
27,2156,0,"1",15141
28,2156,0.71,"1",15141
29,2156,0.86,"1",15141
29,2156,0.86,"1b",15142
30,2156,0.86,"1b",15142
30,2156,0.86,"2",15143
31,2156,0.43,"2",15143
32,2156,0.86,"2",15143
33,2156,0.43,"2",15143
33,2156,0.43,"1b",15144
34,2156,1,"1b",15144
35,2156,0.86,"1b",15144
35,2156,0.86,"2",15145
36,2156,1.71,"2",15145
37,2156,0.86,"2",15145
38,2156,0,"2",15145
39,2156,0,"2",15145
39,2156,0,"1b",15146
40,2156,0.14,"1b",15146
41,2156,0.29,"1b",15146
42,2156,0.57,"1b",15146
43,2156,0.57,"1b",15146
44,2156,0.71,"1b",15146
45,2156,2.29,"1b",15146
46,2156,1,"1b",15146
46,2156,1,"2",15147
47,2156,0.57,"2",15147
48,2156,0.71,"2",15147
49,2156,0.14,"2",15147
49,2156,0.14,"1b",15148
50,2156,0.57,"1b",15148
51,2156,0.29,"1b",15148
52,2156,0.57,"1b",15148
0,2804,0.86,"1",19822
1,2804,0.29,"1",19822
1,2804,0.29,"1b",19823
2,2804,0.43,"1b",19823
3,2804,1.14,"1b",19823
4,2804,0.29,"1b",19823
4,2804,0.29,"2",19824
5,2804,0.14,"2",19824
6,2804,0,"2",19824
7,2804,0,"2",19824
7,2804,0,"1b",19825
8,2804,0,"1b",19825
9,2804,0,"1b",19825
10,2804,0.14,"1b",19825
10,2804,0.14,"1",19826
11,2804,0.29,"1",19826
12,2804,0.71,"1",19826
12,2804,0.71,"1b",19827
13,2804,1.14,"1b",19827
14,2804,1,"1b",19827
15,2804,0.86,"1b",19827
15,2804,0.86,"2",19828
16,2804,0.71,"2",19828
17,2804,0.71,"2",19828
18,2804,0.57,"2",19828
19,2804,0.29,"2",19828
19,2804,0.29,"1b",19829
20,2804,0,"1b",19829
21,2804,0.14,"1b",19829
22,2804,0.14,"1b",19829
23,2804,0,"1b",19829
24,2804,0,"1b",19829
25,2804,0,"1b",19829
26,2804,0,"1b",19829
26,2804,0,"1",19830
27,2804,0,"1",19830
28,2804,0,"1",19830
29,2804,0,"1",19830
30,2804,0,"1",19830
31,2804,0.14,"1",19830
32,2804,0,"1",19830
33,2804,0.14,"1",19830
33,2804,0.14,"1b",19831
34,2804,0.14,"1b",19831
35,2804,0,"1b",19831
36,2804,0.14,"1b",19831
37,2804,0.14,"1b",19831
37,2804,0.14,"1",19832
38,2804,0,"1",19832
38,2804,0,"1b",19833
39,2804,0,"1b",19833
40,2804,0,"1b",19833
41,2804,0.14,"1b",19833
42,2804,0,"1b",19833
42,2804,0,"1",19834
43,2804,0.29,"1",19834
44,2804,0,"1",19834
44,2804,0,"1b",19835
45,2804,0.14,"1b",19835
46,2804,0,"1b",19835
47,2804,0,"1b",19835
48,2804,0,"1b",19835
48,2804,0,"1",19836
49,2804,0,"1",19836
50,2804,0.14,"1",19836
51,2804,0.14,"1",19836
52,2804,0,"1",19836
0,3453,0.86,"1",24048
1,3453,1.57,"1",24048
1,3453,1.57,"1b",24049
2,3453,2.14,"1b",24049
2,3453,2.14,"2",24050
3,3453,2.43,"2",24050
4,3453,1.86,"2",24050
5,3453,1.14,"2",24050
6,3453,0.71,"2",24050
7,3453,0.43,"2",24050
7,3453,0.43,"1b",24051
8,3453,1.29,"1b",24051
9,3453,1.29,"1b",24051
9,3453,1.29,"2",24052
10,3453,0.71,"2",24052
11,3453,0.43,"2",24052
12,3453,0.71,"2",24052
12,3453,0.71,"1b",24053
13,3453,0.43,"1b",24053
14,3453,0.71,"1b",24053
15,3453,0.57,"1b",24053
16,3453,0.29,"1b",24053
17,3453,0.57,"1b",24053
18,3453,0.29,"1b",24053
19,3453,0.29,"1b",24053
20,3453,0.14,"1b",24053
21,3453,0.14,"1b",24053
22,3453,0.14,"1b",24053
23,3453,0.29,"1b",24053
24,3453,0.43,"1b",24053
25,3453,0.57,"1b",24053
26,3453,0.57,"1b",24053
27,3453,0.43,"1b",24053
28,3453,1,"1b",24053
29,3453,0.29,"1b",24053
30,3453,1.29,"1b",24053
31,3453,1.43,"1b",24053
32,3453,1.43,"1b",24053
32,3453,1.43,"2",24054
33,3453,0.71,"2",24054
34,3453,0.71,"2",24054
35,3453,1,"2",24054
36,3453,2,"2",24054
36,3453,2,"1b",24055
37,3453,1.57,"1b",24055
37,3453,1.57,"2",24056
38,3453,1,"2",24056
39,3453,0.43,"2",24056
40,3453,0.71,"2",24056
40,3453,0.71,"1b",24057
41,3453,1.29,"1b",24057
42,3453,1,"1b",24057
42,3453,1,"2",24058
43,3453,0.43,"2",24058
44,3453,1,"2",24058
45,3453,1,"2",24058
46,3453,0.86,"2",24058
46,3453,0.86,"1b",24059
47,3453,2.14,"1b",24059
47,3453,2.14,"2",24060
48,3453,1.71,"2",24060
49,3453,0.57,"2",24060
50,3453,0.57,"2",24060
51,3453,0.57,"2",24060
52,3453,0.57,"2",24060
52,3453,0.57,"1b",24061
0,4100,0.86,"1",28387
1,4100,1,"1",28387
1,4100,1,"1b",28388
2,4100,0.86,"1b",28388
2,4100,0.86,"2",28389
3,4100,2,"2",28389
4,4100,1.14,"2",28389
5,4100,1.29,"2",28389
6,4100,0.71,"2",28389
7,4100,1.71,"2",28389
7,4100,1.71,"1b",28390
8,4100,1,"1b",28390
8,4100,1,"2",28391
9,4100,0.86,"2",28391
10,4100,0.86,"2",28391
11,4100,0.57,"2",28391
12,4100,1.14,"2",28391
12,4100,1.14,"1b",28392
13,4100,1,"1b",28392
13,4100,1,"2",28393
14,4100,0.71,"2",28393
15,4100,0.57,"2",28393
16,4100,0.43,"2",28393
17,4100,0.29,"2",28393
17,4100,0.29,"1b",28394
18,4100,0.29,"1b",28394
19,4100,0.43,"1b",28394
20,4100,0.29,"1b",28394
21,4100,0.14,"1b",28394
22,4100,0,"1b",28394
23,4100,0.29,"1b",28394
23,4100,0.29,"1",28395
24,4100,0.43,"1",28395
24,4100,0.43,"1b",28396
25,4100,0.57,"1b",28396
26,4100,0.29,"1b",28396
27,4100,0.86,"1b",28396
28,4100,2,"1b",28396
28,4100,2,"2",28397
29,4100,1.86,"2",28397
30,4100,1,"2",28397
31,4100,1.14,"2",28397
32,4100,1,"2",28397
33,4100,0.57,"2",28397
33,4100,0.57,"1b",28398
34,4100,1.14,"1b",28398
35,4100,0.57,"1b",28398
35,4100,0.57,"2",28399
36,4100,0.29,"2",28399
37,4100,0.57,"2",28399
38,4100,0.71,"2",28399
39,4100,0.57,"2",28399
39,4100,0.57,"1b",28400
40,4100,1.71,"1b",28400
41,4100,2.14,"1b",28400
41,4100,2.14,"2",28401
42,4100,3.29,"2",28401
43,4100,3.14,"2",28401
44,4100,2.57,"2",28401
45,4100,5.29,"2",28401
46,4100,4.57,"2",28401
47,4100,3,"2",28401
48,4100,4,"2",28401
49,4100,3,"2",28401
50,4100,2.71,"2",28401
51,4100,3,"2",28401
52,4100,4.57,"2",28401
0,4748,0.86,"1",32619
1,4748,1.43,"1",32619
1,4748,1.43,"1b",32620
2,4748,1.86,"1b",32620
2,4748,1.86,"2",32621
3,4748,1.71,"2",32621
4,4748,1.14,"2",32621
5,4748,1.43,"2",32621
6,4748,1.86,"2",32621
7,4748,1.57,"2",32621
8,4748,1.14,"2",32621
9,4748,1,"2",32621
10,4748,0.71,"2",32621
10,4748,0.71,"1b",32622
11,4748,0.86,"1b",32622
12,4748,1,"1b",32622
13,4748,1,"1b",32622
13,4748,1,"2",32623
14,4748,0.29,"2",32623
15,4748,1,"2",32623
16,4748,1.43,"2",32623
17,4748,1.14,"2",32623
18,4748,0.57,"2",32623
19,4748,0.29,"2",32623
20,4748,0.29,"2",32623
20,4748,0.29,"1b",32624
21,4748,0.29,"1b",32624
22,4748,0,"1b",32624
23,4748,0.57,"1b",32624
24,4748,0.43,"1b",32624
25,4748,0.57,"1b",32624
26,4748,0.29,"1b",32624
27,4748,0.43,"1b",32624
28,4748,0.71,"1b",32624
29,4748,0.86,"1b",32624
30,4748,1.14,"1b",32624
31,4748,1.14,"1b",32624
31,4748,1.14,"2",32625
32,4748,1,"2",32625
33,4748,1.43,"2",32625
34,4748,1.29,"2",32625
35,4748,1,"2",32625
36,4748,1,"2",32625
37,4748,0.86,"2",32625
38,4748,1.14,"2",32625
39,4748,0.71,"2",32625
40,4748,1.71,"2",32625
41,4748,3.43,"2",32625
42,4748,3.86,"2",32625
43,4748,3.86,"2",32625
44,4748,4,"2",32625
45,4748,6.29,"2",32625
46,4748,5.71,"2",32625
46,4748,5.71,"3",32626
47,4748,4.43,"3",32626
48,4748,4.14,"3",32626
49,4748,3.71,"3",32626
50,4748,3.43,"3",32626
50,4748,3.43,"2",32627
51,4748,3.43,"2",32627
52,4748,3.71,"2",32627
0,5395,0.86,"1",37165
1,5395,2.14,"1",37165
1,5395,2.14,"1b",37166
2,5395,1.57,"1b",37166
2,5395,1.57,"2",37167
3,5395,0.86,"2",37167
4,5395,1.86,"2",37167
5,5395,2.86,"2",37167
6,5395,3.14,"2",37167
7,5395,3.43,"2",37167
8,5395,4.57,"2",37167
9,5395,4.43,"2",37167
10,5395,3.71,"2",37167
11,5395,1.86,"2",37167
12,5395,1.14,"2",37167
13,5395,0.43,"2",37167
14,5395,0.43,"2",37167
14,5395,0.43,"1b",37168
15,5395,0.29,"1b",37168
16,5395,0.29,"1b",37168
17,5395,0.14,"1b",37168
18,5395,0.14,"1b",37168
18,5395,0.14,"1",37169
19,5395,0.14,"1",37169
19,5395,0.14,"1b",37170
20,5395,0.14,"1b",37170
21,5395,0.14,"1b",37170
22,5395,0.14,"1b",37170
23,5395,0.14,"1b",37170
24,5395,0,"1b",37170
24,5395,0,"1",37171
25,5395,0,"1",37171
26,5395,0.14,"1",37171
27,5395,0.29,"1",37171
28,5395,0.29,"1",37171
28,5395,0.29,"1b",37172
29,5395,0.14,"1b",37172
30,5395,0.14,"1b",37172
31,5395,0.29,"1b",37172
32,5395,0.29,"1b",37172
33,5395,0.14,"1b",37172
34,5395,0.14,"1b",37172
35,5395,0.29,"1b",37172
36,5395,0.43,"1b",37172
37,5395,0.43,"1b",37172
38,5395,0.14,"1b",37172
39,5395,0.14,"1b",37172
40,5395,0.57,"1b",37172
41,5395,0.29,"1b",37172
42,5395,0.43,"1b",37172
43,5395,0.14,"1b",37172
44,5395,0.86,"1b",37172
45,5395,0.57,"1b",37172
46,5395,0.43,"1b",37172
47,5395,1,"1b",37172
47,5395,1,"2",37173
48,5395,1.29,"2",37173
49,5395,1,"2",37173
50,5395,1,"2",37173
51,5395,1,"2",37173
52,5395,0.29,"2",37173
52,5395,0.29,"1b",37174
0,6043,0.86,"1",41821
1,6043,2,"1",41821
1,6043,2,"1b",41822
2,6043,1.86,"1b",41822
2,6043,1.86,"2",41823
3,6043,1,"2",41823
4,6043,1.29,"2",41823
5,6043,1.71,"2",41823
6,6043,1.14,"2",41823
7,6043,1.43,"2",41823
8,6043,0.57,"2",41823
9,6043,1.14,"2",41823
9,6043,1.14,"1b",41824
10,6043,1,"1b",41824
11,6043,1.14,"1b",41824
11,6043,1.14,"2",41825
12,6043,0.14,"2",41825
13,6043,1.29,"2",41825
14,6043,1.14,"2",41825
14,6043,1.14,"1b",41826
15,6043,0.43,"1b",41826
15,6043,0.43,"2",41827
16,6043,1.43,"2",41827
17,6043,0.57,"2",41827
18,6043,0.43,"2",41827
19,6043,0.71,"2",41827
20,6043,0.57,"2",41827
21,6043,0.29,"2",41827
22,6043,0.29,"2",41827
22,6043,0.29,"1b",41828
23,6043,0.14,"1b",41828
24,6043,0.29,"1b",41828
25,6043,0.29,"1b",41828
26,6043,0.14,"1b",41828
27,6043,0.57,"1b",41828
28,6043,0.29,"1b",41828
29,6043,1,"1b",41828
30,6043,0.43,"1b",41828
31,6043,1.14,"1b",41828
31,6043,1.14,"2",41829
32,6043,0.57,"2",41829
33,6043,1,"2",41829
34,6043,0.57,"2",41829
35,6043,0.71,"2",41829
35,6043,0.71,"1b",41830
36,6043,0.14,"1b",41830
37,6043,0,"1b",41830
38,6043,0.14,"1b",41830
39,6043,0.14,"1b",41830
39,6043,0.14,"1",41831
40,6043,0.57,"1",41831
40,6043,0.57,"1b",41832
41,6043,1.14,"1b",41832
42,6043,2,"1b",41832
42,6043,2,"2",41833
43,6043,0.43,"2",41833
44,6043,0.71,"2",41833
45,6043,0.43,"2",41833
46,6043,1,"2",41833
46,6043,1,"1b",41834
47,6043,0.43,"1b",41834
48,6043,1,"1b",41834
49,6043,1.29,"1b",41834
50,6043,1.57,"1b",41834
50,6043,1.57,"2",41835
51,6043,2.43,"2",41835
52,6043,2.29,"2",41835
0,6691,0.86,"1",46456
1,6691,1.29,"1",46456
1,6691,1.29,"1b",46457
2,6691,2.43,"1b",46457
2,6691,2.43,"2",46458
3,6691,1.71,"2",46458
4,6691,2.29,"2",46458
5,6691,1.14,"2",46458
6,6691,0.57,"2",46458
7,6691,0.43,"2",46458
7,6691,0.43,"1b",46459
8,6691,0,"1b",46459
9,6691,0,"1b",46459
10,6691,0,"1b",46459
10,6691,0,"1",46460
11,6691,0,"1",46460
12,6691,0,"1",46460
13,6691,0,"1",46460
14,6691,0,"1",46460
15,6691,0,"1",46460
16,6691,0.14,"1",46460
17,6691,0.14,"1",46460
18,6691,0.14,"1",46460
19,6691,0.29,"1",46460
19,6691,0.29,"1b",46461
20,6691,0,"1b",46461
21,6691,0,"1b",46461
22,6691,0,"1b",46461
23,6691,0,"1b",46461
23,6691,0,"1",46462
24,6691,0,"1",46462
25,6691,0,"1",46462
26,6691,0.14,"1",46462
27,6691,0,"1",46462
28,6691,0.14,"1",46462
28,6691,0.14,"1b",46463
29,6691,0.43,"1b",46463
30,6691,0.43,"1b",46463
31,6691,0.71,"1b",46463
32,6691,0.57,"1b",46463
33,6691,0.57,"1b",46463
34,6691,0.71,"1b",46463
35,6691,0.14,"1b",46463
36,6691,0.57,"1b",46463
37,6691,0.71,"1b",46463
38,6691,1.29,"1b",46463
39,6691,0.71,"1b",46463
39,6691,0.71,"2",46464
40,6691,0.86,"2",46464
41,6691,0.86,"2",46464
42,6691,0.14,"2",46464
43,6691,0.57,"2",46464
43,6691,0.57,"1b",46465
44,6691,0.43,"1b",46465
45,6691,0.86,"1b",46465
46,6691,0.43,"1b",46465
46,6691,0.43,"2",46466
47,6691,0,"2",46466
48,6691,0.43,"2",46466
49,6691,0.43,"2",46466
50,6691,1.29,"2",46466
50,6691,1.29,"1b",46467
