"wk","tr","nc","stg","id"
0,454,0.86,"1",3142
1,454,1.57,"1",3142
2,454,2.71,"1",3142
3,454,3.14,"1",3142
4,454,5.14,"1",3142
5,454,6.86,"1",3142
6,454,10.14,"1",3142
7,454,15.57,"1",3142
8,454,31.86,"1",3142
9,454,46.86,"1",3142
9,454,46.86,"1b",3143
10,454,71.43,"1b",3143
11,454,146.29,"1b",3143
11,454,146.29,"3",3144
12,454,150.86,"3",3144
12,454,150.86,"4",3145
13,454,80,"4",3145
14,454,77.71,"4",3145
15,454,57.14,"4",3145
16,454,45.71,"4",3145
17,454,18.29,"4",3145
18,454,17.14,"4",3145
19,454,13.71,"4",3145
19,454,13.71,"3",3146
20,454,14.29,"3",3146
21,454,12.57,"3",3146
21,454,12.57,"2",3147
22,454,13,"2",3147
23,454,7.43,"2",3147
24,454,10.29,"2",3147
24,454,10.29,"1b",3148
25,454,13.14,"1b",3148
26,454,16.43,"1b",3148
27,454,24.57,"1b",3148
27,454,24.57,"1",3149
28,454,31.43,"1",3149
29,454,46.29,"1",3149
30,454,63.43,"1",3149
31,454,74.86,"1",3149
31,454,74.86,"1b",3150
32,454,64,"1b",3150
33,454,128,"1b",3150
34,454,139.43,"1b",3150
35,454,210.29,"1b",3150
36,454,205.71,"1b",3150
37,454,228.57,"1b",3150
38,454,374.86,"1b",3150
39,454,292.57,"1b",3150
40,454,576,"1b",3150
41,454,731.43,"1b",3150
41,454,731.43,"3",3151
42,454,475.43,"3",3151
43,454,493.71,"3",3151
44,454,420.57,"3",3151
45,454,338.29,"3",3151
46,454,256,"3",3151
47,454,237.71,"3",3151
48,454,57.14,"3",3151
49,454,61.71,"3",3151
50,454,43.43,"3",3151
50,454,43.43,"2",3152
51,454,22.29,"2",3152
52,454,25.71,"2",3152
0,1103,0.86,"1",7482
1,1103,3.14,"1",7482
2,1103,4,"1",7482
3,1103,5.71,"1",7482
4,1103,7.71,"1",7482
5,1103,11,"1",7482
6,1103,17.86,"1",7482
7,1103,41.14,"1",7482
7,1103,41.14,"1b",7483
8,1103,56,"1b",7483
9,1103,112,"1b",7483
9,1103,112,"3",7484
10,1103,148.57,"3",7484
11,1103,105.14,"3",7484
11,1103,105.14,"4",7485
12,1103,64,"4",7485
13,1103,29.71,"4",7485
14,1103,12.57,"4",7485
15,1103,14.29,"4",7485
15,1103,14.29,"3",7486
16,1103,14.29,"3",7486
17,1103,15.43,"3",7486
18,1103,12.57,"3",7486
18,1103,12.57,"2",7487
19,1103,17.14,"2",7487
20,1103,22.86,"2",7487
21,1103,27.43,"2",7487
21,1103,27.43,"1b",7488
22,1103,37.71,"1b",7488
23,1103,42.29,"1b",7488
24,1103,49.71,"1b",7488
25,1103,53.14,"1b",7488
26,1103,84.57,"1b",7488
27,1103,125.71,"1b",7488
28,1103,162.29,"1b",7488
29,1103,171.43,"1b",7488
30,1103,217.14,"1b",7488
31,1103,251.43,"1b",7488
32,1103,411.43,"1b",7488
33,1103,530.29,"1b",7488
33,1103,530.29,"3",7489
34,1103,365.71,"3",7489
35,1103,201.14,"3",7489
36,1103,274.29,"3",7489
37,1103,210.29,"3",7489
38,1103,68.57,"3",7489
39,1103,70.86,"3",7489
40,1103,70.86,"3",7489
40,1103,70.86,"2",7490
41,1103,57.14,"2",7490
42,1103,36.57,"2",7490
43,1103,23.43,"2",7490
43,1103,23.43,"1b",7491
44,1103,29.71,"1b",7491
45,1103,40.57,"1b",7491
46,1103,42.86,"1b",7491
46,1103,42.86,"1",7492
