"wk","tr","nc","stg","id"
0,"11571532991",0.0,"1",115715329911
1,"11571532991",0.0,"1",115715329911
2,"11571532991",0.0,"1",115715329911
3,"11571532991",0.0,"1",115715329911
4,"11571532991",0.0,"1",115715329911
5,"11571532991",0.0,"1",115715329911
6,"11571532991",0.0,"1",115715329911
7,"11571532991",0.0,"1",115715329911
8,"11571532991",0.0,"1",115715329911
9,"11571532991",0.29,"1",115715329911
10,"11571532991",0.29,"1",115715329911
10,"11571532991",0.29,"1b",115715329912
11,"11571532991",1.57,"1b",115715329912
12,"11571532991",1.0,"1b",115715329912
13,"11571532991",3.0,"1b",115715329912
13,"11571532991",3.0,"2",115715329913
14,"11571532991",3.71,"2",115715329913
15,"11571532991",4.86,"2",115715329913
16,"11571532991",2.43,"2",115715329913
17,"11571532991",2.0,"2",115715329913
18,"11571532991",1.29,"2",115715329913
19,"11571532991",2.0,"2",115715329913
20,"11571532991",2.0,"2",115715329913
21,"11571532991",0.86,"2",115715329913
21,"11571532991",0.86,"1b",115715329914
22,"11571532991",0.14,"1b",115715329914
23,"11571532991",0.14,"1b",115715329914
24,"11571532991",0.29,"1b",115715329914
25,"11571532991",0.0,"1b",115715329914
25,"11571532991",0.0,"1",115715329915
26,"11571532991",0.0,"1",115715329915
27,"11571532991",0.0,"1",115715329915
28,"11571532991",0.0,"1",115715329915
29,"11571532991",0.0,"1",115715329915
30,"11571532991",0.29,"1",115715329915
31,"11571532991",0.43,"1",115715329915
32,"11571532991",0.57,"1",115715329915
33,"11571532991",0.14,"1",115715329915
34,"11571532991",1.29,"1",115715329915
35,"11571532991",2.86,"1",115715329915
36,"11571532991",4.43,"1",115715329915
37,"11571532991",11.29,"1",115715329915
38,"11571532991",15.86,"1",115715329915
39,"11571532991",18.57,"1",115715329915
40,"11571532991",41.14,"1",115715329915
41,"11571532991",76.57,"1",115715329915
41,"11571532991",76.57,"1b",115715329916
42,"11571532991",82.29,"1b",115715329916
42,"11571532991",82.29,"3",115715329917
43,"11571532991",50.29,"3",115715329917
43,"11571532991",50.29,"4",115715329918
44,"11571532991",27.43,"4",115715329918
45,"11571532991",9.14,"4",115715329918
45,"11571532991",9.14,"3",115715329919
46,"11571532991",9.57,"3",115715329919
47,"11571532991",4.0,"3",115715329919
47,"11571532991",4.0,"2",1157153299110
48,"11571532991",2.71,"2",1157153299110
49,"11571532991",3.86,"2",1157153299110
49,"11571532991",3.86,"1b",1157153299111
50,"11571532991",4.0,"1b",1157153299111
51,"11571532991",3.71,"1b",1157153299111
51,"11571532991",3.71,"1",1157153299112
52,"11571532991",4.0,"1",1157153299112
53,"11571532991",5.71,"1",1157153299112
54,"11571532991",12.14,"1",1157153299112
55,"11571532991",17.29,"1",1157153299112
56,"11571532991",17.14,"1",1157153299112
57,"11571532991",40.0,"1",1157153299112
58,"11571532991",41.14,"1",1157153299112
59,"11571532991",74.29,"1",1157153299112
59,"11571532991",74.29,"2",1157153299113
60,"11571532991",70.86,"2",1157153299113
60,"11571532991",70.86,"4",1157153299114
61,"11571532991",34.29,"4",1157153299114
62,"11571532991",27.43,"4",1157153299114
62,"11571532991",27.43,"3",1157153299115
63,"11571532991",9.14,"3",1157153299115
63,"11571532991",9.14,"4",1157153299116
64,"11571532991",6.0,"4",1157153299116
65,"11571532991",2.57,"4",1157153299116
65,"11571532991",2.57,"3",1157153299117
66,"11571532991",0.57,"3",1157153299117
67,"11571532991",0.86,"3",1157153299117
67,"11571532991",0.86,"2",1157153299118
68,"11571532991",0.86,"2",1157153299118
69,"11571532991",0.71,"2",1157153299118
69,"11571532991",0.71,"1b",1157153299119
70,"11571532991",1.29,"1b",1157153299119
71,"11571532991",1.43,"1b",1157153299119
71,"11571532991",1.43,"1",1157153299120
72,"11571532991",1.14,"1",1157153299120
73,"11571532991",1.29,"1",1157153299120
74,"11571532991",0.57,"1",1157153299120
75,"11571532991",0.29,"1",1157153299120
76,"11571532991",0.57,"1",1157153299120
77,"11571532991",1.14,"1",1157153299120
78,"11571532991",0.57,"1",1157153299120
79,"11571532991",0.43,"1",1157153299120
80,"11571532991",0.71,"1",1157153299120
81,"11571532991",2.57,"1",1157153299120
81,"11571532991",2.57,"1",1157156215320
0,"11571562153",0.0,"1",1157156215320
1,"11571562153",0.0,"1",1157156215320
2,"11571562153",0.14,"1",1157156215320
3,"11571562153",0.0,"1",1157156215320
4,"11571562153",1.0,"1",1157156215320
4,"11571562153",1.0,"2",1157156215321
5,"11571562153",1.0,"2",1157156215321
6,"11571562153",0.86,"2",1157156215321
6,"11571562153",0.86,"1b",1157156215322
7,"11571562153",1.71,"1b",1157156215322
8,"11571562153",7.43,"1b",1157156215322
8,"11571562153",7.43,"2",1157156215323
9,"11571562153",7.43,"2",1157156215323
9,"11571562153",7.43,"3",1157156215324
10,"11571562153",6.71,"3",1157156215324
11,"11571562153",3.43,"3",1157156215324
11,"11571562153",3.43,"2",1157156215325
12,"11571562153",3.57,"2",1157156215325
13,"11571562153",5.43,"2",1157156215325
14,"11571562153",7.0,"2",1157156215325
15,"11571562153",4.43,"2",1157156215325
16,"11571562153",8.0,"2",1157156215325
17,"11571562153",8.57,"2",1157156215325
17,"11571562153",8.57,"3",1157156215326
18,"11571562153",4.14,"3",1157156215326
19,"11571562153",3.14,"3",1157156215326
19,"11571562153",3.14,"2",1157156215327
20,"11571562153",1.57,"2",1157156215327
21,"11571562153",1.57,"2",1157156215327
21,"11571562153",1.57,"1b",1157156215328
22,"11571562153",1.86,"1b",1157156215328
22,"11571562153",1.86,"2",1157156215329
23,"11571562153",0.57,"2",1157156215329
24,"11571562153",0.14,"2",1157156215329
24,"11571562153",0.14,"1b",1157156215330
