"wk","tr","nc","stg","id"
0,"10082010551",0.0,"2",100820105511
1,"10082010551",0.0,"2",100820105511
2,"10082010551",1.0,"2",100820105511
3,"10082010551",1.0,"2",100820105511
4,"10082010551",1.43,"2",100820105511
5,"10082010551",2.71,"2",100820105511
6,"10082010551",5.29,"2",100820105511
7,"10082010551",13.43,"2",100820105511
7,"10082010551",13.43,"3",100820105512
8,"10082010551",31.29,"3",100820105512
9,"10082010551",60.43,"3",100820105512
9,"10082010551",60.43,"4",100820105513
10,"10082010551",51.43,"4",100820105513
11,"10082010551",34.71,"4",100820105513
12,"10082010551",24.43,"4",100820105513
13,"10082010551",28.29,"4",100820105513
13,"10082010551",28.29,"3",100820105514
14,"10082010551",30.86,"3",100820105514
14,"10082010551",30.86,"4",100820105515
15,"10082010551",20.57,"4",100820105515
16,"10082010551",9.0,"4",100820105515
16,"10082010551",9.0,"3",100820105516
17,"10082010551",18.86,"3",100820105516
18,"10082010551",17.57,"3",100820105516
19,"10082010551",12.0,"3",100820105516
20,"10082010551",9.86,"3",100820105516
21,"10082010551",7.29,"3",100820105516
21,"10082010551",7.29,"2",100820105517
22,"10082010551",7.71,"2",100820105517
22,"10082010551",7.71,"3",100820105518
23,"10082010551",6.86,"3",100820105518
24,"10082010551",2.14,"3",100820105518
24,"10082010551",2.14,"2",100820105519
25,"10082010551",5.86,"2",100820105519
25,"10082010551",5.86,"3",1008201055110
26,"10082010551",5.43,"3",1008201055110
27,"10082010551",3.57,"3",1008201055110
27,"10082010551",3.57,"2",1008201055111
28,"10082010551",3.43,"2",1008201055111
29,"10082010551",4.57,"2",1008201055111
30,"10082010551",7.86,"2",1008201055111
31,"10082010551",33.43,"2",1008201055111
31,"10082010551",33.43,"3",1008201055112
32,"10082010551",70.71,"3",1008201055112
32,"10082010551",70.71,"4",1008201055113
33,"10082010551",32.14,"4",1008201055113
34,"10082010551",28.29,"4",1008201055113
35,"10082010551",29.57,"4",1008201055113
36,"10082010551",28.29,"4",1008201055113
37,"10082010551",38.57,"4",1008201055113
38,"10082010551",33.43,"4",1008201055113
39,"10082010551",28.29,"4",1008201055113
40,"10082010551",42.43,"4",1008201055113
41,"10082010551",25.71,"4",1008201055113
41,"10082010551",25.71,"3",1008201055114
42,"10082010551",21.86,"3",1008201055114
43,"10082010551",12.86,"3",1008201055114
44,"10082010551",33.43,"3",1008201055114
44,"10082010551",33.43,"2",1008201055115
45,"10082010551",105.43,"2",1008201055115
45,"10082010551",105.43,"3",1008201055116
46,"10082010551",208.29,"3",1008201055116
46,"10082010551",208.29,"4",1008201055117
47,"10082010551",312.43,"4",1008201055117
48,"10082010551",231.43,"4",1008201055117
49,"10082010551",196.71,"4",1008201055117
50,"10082010551",115.71,"4",1008201055117
51,"10082010551",108.0,"4",1008201055117
52,"10082010551",92.57,"4",1008201055117
53,"10082010551",50.14,"4",1008201055117
54,"10082010551",38.57,"4",1008201055117
55,"10082010551",38.57,"4",1008201055117
56,"10082010551",75.86,"4",1008201055117
57,"10082010551",133.71,"4",1008201055117
58,"10082010551",100.29,"4",1008201055117
59,"10082010551",84.86,"4",1008201055117
60,"10082010551",73.29,"4",1008201055117
61,"10082010551",42.43,"4",1008201055117
62,"10082010551",34.71,"4",1008201055117
63,"10082010551",46.29,"4",1008201055117
64,"10082010551",59.14,"4",1008201055117
65,"10082010551",30.86,"4",1008201055117
66,"10082010551",27.0,"4",1008201055117
67,"10082010551",16.71,"4",1008201055117
68,"10082010551",18.0,"4",1008201055117
69,"10082010551",21.86,"4",1008201055117
69,"10082010551",21.86,"3",1008201055118
70,"10082010551",27.0,"3",1008201055118
71,"10082010551",46.29,"3",1008201055118
71,"10082010551",46.29,"4",1008201055119
72,"10082010551",34.71,"4",1008201055119
73,"10082010551",28.29,"4",1008201055119
74,"10082010551",34.71,"4",1008201055119
75,"10082010551",23.14,"4",1008201055119
76,"10082010551",29.57,"4",1008201055119
77,"10082010551",24.43,"4",1008201055119
