"wk","tr","nc","stg","id"
0,"12302010551",0.43,"1",123020105511
1,"12302010551",4.71,"1",123020105511
1,"12302010551",4.71,"2",123020105512
2,"12302010551",7.29,"2",123020105512
2,"12302010551",7.29,"3",123020105513
3,"12302010551",10.71,"3",123020105513
4,"12302010551",21.86,"3",123020105513
5,"12302010551",57.43,"3",123020105513
5,"12302010551",57.43,"4",123020105514
6,"12302010551",51.43,"4",123020105514
7,"12302010551",36.0,"4",123020105514
8,"12302010551",21.86,"4",123020105514
8,"12302010551",21.86,"3",123020105515
9,"12302010551",30.86,"3",123020105515
9,"12302010551",30.86,"4",123020105516
10,"12302010551",14.14,"4",123020105516
11,"12302010551",15.43,"4",123020105516
11,"12302010551",15.43,"3",123020105517
12,"12302010551",11.57,"3",123020105517
13,"12302010551",13.71,"3",123020105517
14,"12302010551",11.14,"3",123020105517
14,"12302010551",11.14,"2",123020105518
15,"12302010551",9.86,"2",123020105518
16,"12302010551",9.0,"2",123020105518
16,"12302010551",9.0,"1b",123020105519
17,"12302010551",10.71,"1b",123020105519
18,"12302010551",12.43,"1b",123020105519
18,"12302010551",12.43,"1",1230201055110
19,"12302010551",16.29,"1",1230201055110
20,"12302010551",56.14,"1",1230201055110
20,"12302010551",56.14,"1b",1230201055111
21,"12302010551",141.43,"1b",1230201055111
21,"12302010551",141.43,"3",1230201055112
22,"12302010551",196.71,"3",1230201055112
22,"12302010551",196.71,"4",1230201055113
23,"12302010551",127.29,"4",1230201055113
24,"12302010551",231.43,"4",1230201055113
25,"12302010551",69.43,"4",1230201055113
26,"12302010551",38.57,"4",1230201055113
27,"12302010551",84.86,"4",1230201055113
28,"12302010551",50.14,"4",1230201055113
29,"12302010551",11.57,"4",1230201055113
29,"12302010551",11.57,"3",1230201055114
30,"12302010551",33.43,"3",1230201055114
31,"12302010551",27.0,"3",1230201055114
31,"12302010551",27.0,"2",1230201055115
32,"12302010551",10.29,"2",1230201055115
33,"12302010551",19.29,"2",1230201055115
33,"12302010551",19.29,"1",1230201055116
34,"12302010551",38.57,"1",1230201055116
35,"12302010551",84.86,"1",1230201055116
36,"12302010551",257.14,"1",1230201055116
37,"12302010551",1080.0,"1",1230201055116
38,"12302010551",3888.0,"1",1230201055116
38,"12302010551",3888.0,"1b",1230201055117
39,"12302010551",11039.14,"1b",1230201055117
39,"12302010551",11039.14,"3",1230201055118
40,"12302010551",24369.43,"3",1230201055118
40,"12302010551",24369.43,"4",1230201055119
41,"12302010551",3297.77,"4",1230201055119
42,"12302010551",2395.29,"4",1230201055119
42,"12302010551",2395.29,"3",1230201055120
43,"12302010551",2187.0,"3",1230201055120
43,"12302010551",2187.0,"4",1230201055121
44,"12302010551",2603.57,"4",1230201055121
45,"12302010551",1353.86,"4",1230201055121
45,"12302010551",1353.86,"3",1230201055122
46,"12302010551",1041.43,"3",1230201055122
46,"12302010551",1041.43,"4",1230201055123
47,"12302010551",451.29,"4",1230201055123
48,"12302010551",729.0,"4",1230201055123
48,"12302010551",729.0,"3",1230201055124
49,"12302010551",416.57,"3",1230201055124
50,"12302010551",381.86,"3",1230201055124
50,"12302010551",381.86,"2",1230201055125
51,"12302010551",451.29,"2",1230201055125
52,"12302010551",867.86,"2",1230201055125
53,"12302010551",867.86,"2",1230201055125
53,"12302010551",867.86,"1b",1230201055126
54,"12302010551",1666.29,"1b",1230201055126
54,"12302010551",1666.29,"1",1230201055127
