"wk","tr","nc","stg","id"
0,"21491532991",0.0,"1",214915329911
1,"21491532991",0.0,"1",214915329911
2,"21491532991",0.0,"1",214915329911
3,"21491532991",0.0,"1",214915329911
4,"21491532991",0.0,"1",214915329911
5,"21491532991",0.0,"1",214915329911
6,"21491532991",0.0,"1",214915329911
7,"21491532991",0.43,"1",214915329911
8,"21491532991",2.57,"1",214915329911
9,"21491532991",8.14,"1",214915329911
9,"21491532991",8.14,"2",214915329912
10,"21491532991",12.29,"2",214915329912
10,"21491532991",12.29,"3",214915329913
11,"21491532991",13.0,"3",214915329913
12,"21491532991",21.29,"3",214915329913
13,"21491532991",36.0,"3",214915329913
14,"21491532991",34.29,"3",214915329913
14,"21491532991",34.29,"2",214915329914
15,"21491532991",53.71,"2",214915329914
16,"21491532991",68.57,"2",214915329914
16,"21491532991",68.57,"3",214915329915
17,"21491532991",73.14,"3",214915329915
17,"21491532991",73.14,"4",214915329916
18,"21491532991",25.14,"4",214915329916
19,"21491532991",25.14,"4",214915329916
19,"21491532991",25.14,"3",214915329917
20,"21491532991",66.29,"3",214915329917
21,"21491532991",61.71,"3",214915329917
21,"21491532991",61.71,"2",214915329918
22,"21491532991",98.29,"2",214915329918
23,"21491532991",118.86,"2",214915329918
23,"21491532991",118.86,"1b",214915329919
24,"21491532991",237.71,"1b",214915329919
24,"21491532991",237.71,"2",2149153299110
25,"21491532991",260.57,"2",2149153299110
25,"21491532991",260.57,"4",2149153299111
26,"21491532991",137.14,"4",2149153299111
27,"21491532991",100.57,"4",2149153299111
28,"21491532991",64.0,"4",2149153299111
29,"21491532991",34.29,"4",2149153299111
29,"21491532991",34.29,"3",2149153299112
30,"21491532991",18.29,"3",2149153299112
31,"21491532991",41.14,"3",2149153299112
31,"21491532991",41.14,"2",2149153299113
32,"21491532991",80.0,"2",2149153299113
33,"21491532991",157.71,"2",2149153299113
33,"21491532991",157.71,"1",2149153299114
34,"21491532991",539.43,"1",2149153299114
35,"21491532991",1225.14,"1",2149153299114
36,"21491532991",4050.29,"1",2149153299114
36,"21491532991",4050.29,"1b",2149153299115
37,"21491532991",7204.57,"1b",2149153299115
37,"21491532991",7204.57,"2",2149153299116
38,"21491532991",16530.29,"2",2149153299116
38,"21491532991",16530.29,"3",2149153299117
39,"21491532991",19299.03,"3",2149153299117
39,"21491532991",19299.03,"4",2149153299118
40,"21491532991",11453.14,"4",2149153299118
41,"21491532991",9544.29,"4",2149153299118
42,"21491532991",6490.11,"4",2149153299118
43,"21491532991",3956.86,"4",2149153299118
44,"21491532991",2633.14,"4",2149153299118
44,"21491532991",2633.14,"3",2149153299119
45,"21491532991",1097.14,"3",2149153299119
