"wk","tr","nc","stg","id"
0,"12962010551",0.0,"2",129620105511
1,"12962010551",0.0,"2",129620105511
2,"12962010551",1.0,"2",129620105511
3,"12962010551",1.0,"2",129620105511
4,"12962010551",1.43,"2",129620105511
5,"12962010551",2.71,"2",129620105511
6,"12962010551",5.29,"2",129620105511
7,"12962010551",13.43,"2",129620105511
7,"12962010551",13.43,"3",129620105512
8,"12962010551",31.29,"3",129620105512
9,"12962010551",60.43,"3",129620105512
9,"12962010551",60.43,"4",129620105513
10,"12962010551",51.43,"4",129620105513
11,"12962010551",34.71,"4",129620105513
12,"12962010551",24.43,"4",129620105513
13,"12962010551",28.29,"4",129620105513
13,"12962010551",28.29,"3",129620105514
14,"12962010551",30.86,"3",129620105514
14,"12962010551",30.86,"4",129620105515
15,"12962010551",20.57,"4",129620105515
16,"12962010551",9.0,"4",129620105515
16,"12962010551",9.0,"3",129620105516
17,"12962010551",18.86,"3",129620105516
18,"12962010551",17.57,"3",129620105516
18,"12962010551",17.57,"2",129620105517
19,"12962010551",19.29,"2",129620105517
20,"12962010551",12.86,"2",129620105517
21,"12962010551",14.14,"2",129620105517
22,"12962010551",18.43,"2",129620105517
23,"12962010551",37.71,"2",129620105517
24,"12962010551",68.14,"2",129620105517
24,"12962010551",68.14,"3",129620105518
25,"12962010551",45.0,"3",129620105518
25,"12962010551",45.0,"4",129620105519
26,"12962010551",106.71,"4",129620105519
27,"12962010551",69.43,"4",129620105519
28,"12962010551",34.71,"4",129620105519
28,"12962010551",34.71,"3",1296201055110
29,"12962010551",57.86,"3",1296201055110
30,"12962010551",38.57,"3",1296201055110
30,"12962010551",38.57,"2",1296201055111
31,"12962010551",46.29,"2",1296201055111
32,"12962010551",46.29,"2",1296201055111
33,"12962010551",36.0,"2",1296201055111
34,"12962010551",64.29,"2",1296201055111
35,"12962010551",47.57,"2",1296201055111
36,"12962010551",131.14,"2",1296201055111
37,"12962010551",119.57,"2",1296201055111
38,"12962010551",381.86,"2",1296201055111
39,"12962010551",729.0,"2",1296201055111
40,"12962010551",1886.14,"2",1296201055111
40,"12962010551",1886.14,"3",1296201055112
41,"12962010551",3506.14,"3",1296201055112
41,"12962010551",3506.14,"4",1296201055113
42,"12962010551",3957.43,"4",1296201055113
43,"12962010551",3228.43,"4",1296201055113
43,"12962010551",3228.43,"3",1296201055114
44,"12962010551",5311.29,"3",1296201055114
44,"12962010551",5311.29,"4",1296201055115
45,"12962010551",3436.71,"4",1296201055115
46,"12962010551",3645.0,"4",1296201055115
46,"12962010551",3645.0,"3",1296201055116
47,"12962010551",2187.0,"3",1296201055116
47,"12962010551",2187.0,"4",1296201055117
48,"12962010551",3436.71,"4",1296201055117
49,"12962010551",3020.14,"4",1296201055117
49,"12962010551",3020.14,"3",1296201055118
50,"12962010551",2499.43,"3",1296201055118
50,"12962010551",2499.43,"4",1296201055119
51,"12962010551",1770.43,"4",1296201055119
52,"12962010551",833.14,"4",1296201055119
52,"12962010551",833.14,"3",1296201055120
53,"12962010551",1180.29,"3",1296201055120
53,"12962010551",1180.29,"4",1296201055121
54,"12962010551",1249.71,"4",1296201055121
55,"12962010551",763.71,"4",1296201055121
55,"12962010551",763.71,"3",1296201055122
56,"12962010551",381.86,"3",1296201055122
57,"12962010551",590.14,"3",1296201055122
57,"12962010551",590.14,"2",1296201055123
58,"12962010551",798.43,"2",1296201055123
58,"12962010551",798.43,"3",1296201055124
59,"12962010551",1180.29,"3",1296201055124
59,"12962010551",1180.29,"4",1296201055125
60,"12962010551",694.29,"4",1296201055125
61,"12962010551",451.29,"4",1296201055125
61,"12962010551",451.29,"3",1296201055126
62,"12962010551",208.29,"3",1296201055126
63,"12962010551",312.43,"3",1296201055126
63,"12962010551",312.43,"2",1296201055127
64,"12962010551",347.14,"2",1296201055127
65,"12962010551",358.71,"2",1296201055127
66,"12962010551",381.86,"2",1296201055127
67,"12962010551",902.57,"2",1296201055127
67,"12962010551",902.57,"3",1296201055128
68,"12962010551",1805.14,"3",1296201055128
68,"12962010551",1805.14,"4",1296201055129
69,"12962010551",1874.57,"4",1296201055129
70,"12962010551",3332.57,"4",1296201055129
70,"12962010551",3332.57,"3",1296201055130
71,"12962010551",1562.14,"3",1296201055130
71,"12962010551",1562.14,"4",1296201055131
72,"12962010551",937.29,"4",1296201055131
73,"12962010551",867.86,"4",1296201055131
73,"12962010551",867.86,"3",1296201055132
74,"12962010551",1249.71,"3",1296201055132
74,"12962010551",1249.71,"4",1296201055133
75,"12962010551",1284.43,"4",1296201055133
76,"12962010551",902.57,"4",1296201055133
76,"12962010551",902.57,"3",1296201055134
77,"12962010551",972.0,"3",1296201055134
78,"12962010551",1284.43,"3",1296201055134
78,"12962010551",1284.43,"4",1296201055135
79,"12962010551",694.29,"4",1296201055135
80,"12962010551",381.86,"4",1296201055135
80,"12962010551",381.86,"3",1296201055136
81,"12962010551",659.57,"3",1296201055136
81,"12962010551",659.57,"2",1296236805637
0,"12962368056",0.0,"2",1296236805637
1,"12962368056",0.0,"2",1296236805637
2,"12962368056",0.0,"2",1296236805637
3,"12962368056",0.0,"2",1296236805637
4,"12962368056",0.0,"2",1296236805637
5,"12962368056",0.0,"2",1296236805637
6,"12962368056",0.0,"2",1296236805637
7,"12962368056",0.43,"2",1296236805637
8,"12962368056",1.71,"2",1296236805637
9,"12962368056",2.86,"2",1296236805637
10,"12962368056",3.57,"2",1296236805637
11,"12962368056",5.14,"2",1296236805637
12,"12962368056",2.29,"2",1296236805637
13,"12962368056",2.71,"2",1296236805637
14,"12962368056",2.71,"2",1296236805637
15,"12962368056",4.0,"2",1296236805637
16,"12962368056",5.43,"2",1296236805637
17,"12962368056",4.71,"2",1296236805637
18,"12962368056",5.0,"2",1296236805637
19,"12962368056",6.14,"2",1296236805637
20,"12962368056",11.71,"2",1296236805637
21,"12962368056",8.57,"2",1296236805637
22,"12962368056",11.57,"2",1296236805637
23,"12962368056",16.71,"2",1296236805637
24,"12962368056",18.86,"2",1296236805637
25,"12962368056",23.14,"2",1296236805637
26,"12962368056",33.43,"2",1296236805637
27,"12962368056",34.71,"2",1296236805637
28,"12962368056",16.71,"2",1296236805637
29,"12962368056",43.71,"2",1296236805637
29,"12962368056",43.71,"3",1296236805638
30,"12962368056",32.14,"3",1296236805638
31,"12962368056",34.71,"3",1296236805638
31,"12962368056",34.71,"2",1296236805639
32,"12962368056",41.14,"2",1296236805639
33,"12962368056",32.14,"2",1296236805639
34,"12962368056",43.71,"2",1296236805639
35,"12962368056",91.29,"2",1296236805639
36,"12962368056",204.43,"2",1296236805639
37,"12962368056",459.0,"2",1296236805639
38,"12962368056",520.71,"2",1296236805639
39,"12962368056",891.0,"2",1296236805639
39,"12962368056",891.0,"3",1296236805640
40,"12962368056",1249.71,"3",1296236805640
40,"12962368056",1249.71,"4",1296236805641
41,"12962368056",1388.57,"4",1296236805641
42,"12962368056",729.0,"4",1296236805641
42,"12962368056",729.0,"3",1296236805642
43,"12962368056",1076.14,"3",1296236805642
43,"12962368056",1076.14,"4",1296236805643
44,"12962368056",972.0,"4",1296236805643
45,"12962368056",694.29,"4",1296236805643
45,"12962368056",694.29,"3",1296236805644
46,"12962368056",972.0,"3",1296236805644
47,"12962368056",1423.29,"3",1296236805644
47,"12962368056",1423.29,"4",1296236805645
48,"12962368056",937.29,"4",1296236805645
49,"12962368056",486.0,"4",1296236805645
49,"12962368056",486.0,"3",1296236805646
50,"12962368056",1180.29,"3",1296236805646
50,"12962368056",1180.29,"4",1296236805647
51,"12962368056",555.43,"4",1296236805647
52,"12962368056",381.86,"4",1296236805647
52,"12962368056",381.86,"3",1296236805648
53,"12962368056",486.0,"3",1296236805648
54,"12962368056",520.71,"3",1296236805648
54,"12962368056",520.71,"2",1296236805649
55,"12962368056",312.43,"2",1296236805649
