"wk","tr","nc","stg","id"
0,"6371054940",0.0,"1",63710549401
1,"6371054940",0.0,"1",63710549401
2,"6371054940",0.0,"1",63710549401
3,"6371054940",0.0,"1",63710549401
4,"6371054940",0.14,"1",63710549401
5,"6371054940",0.0,"1",63710549401
6,"6371054940",0.14,"1",63710549401
7,"6371054940",0.29,"1",63710549401
7,"6371054940",0.29,"1b",63710549402
8,"6371054940",0.71,"1b",63710549402
9,"6371054940",0.71,"1b",63710549402
10,"6371054940",1.57,"1b",63710549402
11,"6371054940",3.57,"1b",63710549402
11,"6371054940",3.57,"2",63710549403
12,"6371054940",3.71,"2",63710549403
13,"6371054940",3.29,"2",63710549403
14,"6371054940",1.57,"2",63710549403
14,"6371054940",1.57,"1b",63710549404
15,"6371054940",0.86,"1b",63710549404
16,"6371054940",1.0,"1b",63710549404
16,"6371054940",1.0,"1",63710549405
17,"6371054940",0.86,"1",63710549405
18,"6371054940",1.29,"1",63710549405
19,"6371054940",1.43,"1",63710549405
20,"6371054940",1.86,"1",63710549405
21,"6371054940",2.43,"1",63710549405
22,"6371054940",2.86,"1",63710549405
23,"6371054940",2.71,"1",63710549405
24,"6371054940",1.71,"1",63710549405
25,"6371054940",1.43,"1",63710549405
26,"6371054940",0.71,"1",63710549405
27,"6371054940",1.0,"1",63710549405
28,"6371054940",1.29,"1",63710549405
29,"6371054940",1.14,"1",63710549405
30,"6371054940",39.86,"1",63710549405
31,"6371054940",94.29,"1",63710549405
32,"6371054940",215.43,"1",63710549405
32,"6371054940",215.43,"1b",63710549406
33,"6371054940",290.29,"1b",63710549406
33,"6371054940",290.29,"2",63710549407
34,"6371054940",274.29,"2",63710549407
34,"6371054940",274.29,"3",63710549408
35,"6371054940",256.0,"3",63710549408
35,"6371054940",256.0,"4",63710549409
36,"6371054940",173.71,"4",63710549409
37,"6371054940",100.57,"4",63710549409
37,"6371054940",100.57,"3",637105494010
38,"6371054940",82.29,"3",637105494010
39,"6371054940",91.43,"3",637105494010
39,"6371054940",91.43,"2",637105494011
40,"6371054940",105.14,"2",637105494011
41,"6371054940",164.57,"2",637105494011
42,"6371054940",157.71,"2",637105494011
43,"6371054940",146.29,"2",637105494011
43,"6371054940",146.29,"1b",637105494012
44,"6371054940",235.43,"1b",637105494012
44,"6371054940",235.43,"2",637105494013
45,"6371054940",249.14,"2",637105494013
45,"6371054940",249.14,"3",637105494014
46,"6371054940",217.14,"3",637105494014
