"wk","tr","nc","stg","id"
0,"11861532991",0.0,"1",118615329911
1,"11861532991",0.0,"1",118615329911
2,"11861532991",0.0,"1",118615329911
3,"11861532991",0.0,"1",118615329911
4,"11861532991",0.0,"1",118615329911
5,"11861532991",0.0,"1",118615329911
6,"11861532991",0.0,"1",118615329911
7,"11861532991",0.86,"1",118615329911
7,"11861532991",0.86,"1b",118615329912
8,"11861532991",1.86,"1b",118615329912
8,"11861532991",1.86,"2",118615329913
9,"11861532991",1.71,"2",118615329913
9,"11861532991",1.71,"1b",118615329914
10,"11861532991",0.86,"1b",118615329914
11,"11861532991",1.14,"1b",118615329914
11,"11861532991",1.14,"2",118615329915
12,"11861532991",1.14,"2",118615329915
13,"11861532991",0.86,"2",118615329915
13,"11861532991",0.86,"1b",118615329916
14,"11861532991",0.57,"1b",118615329916
14,"11861532991",0.57,"2",118615329917
15,"11861532991",1.29,"2",118615329917
16,"11861532991",1.86,"2",118615329917
17,"11861532991",3.14,"2",118615329917
18,"11861532991",1.71,"2",118615329917
18,"11861532991",1.71,"1b",118615329918
19,"11861532991",2.43,"1b",118615329918
20,"11861532991",1.43,"1b",118615329918
20,"11861532991",1.43,"2",118615329919
21,"11861532991",1.29,"2",118615329919
22,"11861532991",0.86,"2",118615329919
22,"11861532991",0.86,"1b",1186153299110
23,"11861532991",1.14,"1b",1186153299110
23,"11861532991",1.14,"2",1186153299111
24,"11861532991",0.43,"2",1186153299111
25,"11861532991",0.71,"2",1186153299111
25,"11861532991",0.71,"1b",1186153299112
26,"11861532991",0.14,"1b",1186153299112
27,"11861532991",0.29,"1b",1186153299112
27,"11861532991",0.29,"1",1186153299113
28,"11861532991",0.14,"1",1186153299113
29,"11861532991",0.0,"1",1186153299113
30,"11861532991",0.71,"1",1186153299113
31,"11861532991",2.0,"1",1186153299113
32,"11861532991",2.29,"1",1186153299113
33,"11861532991",3.71,"1",1186153299113
34,"11861532991",7.71,"1",1186153299113
35,"11861532991",9.14,"1",1186153299113
36,"11861532991",16.57,"1",1186153299113
37,"11861532991",30.29,"1",1186153299113
38,"11861532991",48.0,"1",1186153299113
39,"11861532991",77.71,"1",1186153299113
39,"11861532991",77.71,"1b",1186153299114
40,"11861532991",70.86,"1b",1186153299114
41,"11861532991",61.71,"1b",1186153299114
41,"11861532991",61.71,"1",1186153299115
42,"11861532991",82.29,"1",1186153299115
42,"11861532991",82.29,"1b",1186153299116
43,"11861532991",130.29,"1b",1186153299116
43,"11861532991",130.29,"2",1186153299117
44,"11861532991",157.71,"2",1186153299117
44,"11861532991",157.71,"3",1186153299118
45,"11861532991",89.14,"3",1186153299118
45,"11861532991",89.14,"4",1186153299119
46,"11861532991",84.57,"4",1186153299119
47,"11861532991",34.29,"4",1186153299119
48,"11861532991",16.57,"4",1186153299119
49,"11861532991",12.57,"4",1186153299119
49,"11861532991",12.57,"3",1186153299120
50,"11861532991",4.14,"3",1186153299120
51,"11861532991",3.0,"3",1186153299120
51,"11861532991",3.0,"2",1186153299121
52,"11861532991",2.43,"2",1186153299121
53,"11861532991",2.71,"2",1186153299121
53,"11861532991",2.71,"1b",1186153299122
54,"11861532991",4.71,"1b",1186153299122
55,"11861532991",9.71,"1b",1186153299122
55,"11861532991",9.71,"1",1186153299123
56,"11861532991",13.86,"1",1186153299123
57,"11861532991",17.29,"1",1186153299123
58,"11861532991",34.29,"1",1186153299123
59,"11861532991",78.29,"1",1186153299123
59,"11861532991",78.29,"1b",1186153299124
60,"11861532991",39.43,"1b",1186153299124
60,"11861532991",39.43,"3",1186153299125
61,"11861532991",22.86,"3",1186153299125
62,"11861532991",13.71,"3",1186153299125
62,"11861532991",13.71,"2",1186153299126
63,"11861532991",6.29,"2",1186153299126
64,"11861532991",3.86,"2",1186153299126
64,"11861532991",3.86,"1b",1186153299127
65,"11861532991",3.71,"1b",1186153299127
66,"11861532991",3.14,"1b",1186153299127
66,"11861532991",3.14,"1",1186153299128
67,"11861532991",5.14,"1",1186153299128
68,"11861532991",6.43,"1",1186153299128
69,"11861532991",8.29,"1",1186153299128
70,"11861532991",9.57,"1",1186153299128
71,"11861532991",15.71,"1",1186153299128
72,"11861532991",23.43,"1",1186153299128
73,"11861532991",39.43,"1",1186153299128
74,"11861532991",68.57,"1",1186153299128
74,"11861532991",68.57,"1b",1186153299129
75,"11861532991",61.14,"1b",1186153299129
76,"11861532991",68.57,"1b",1186153299129
77,"11861532991",155.43,"1b",1186153299129
77,"11861532991",155.43,"3",1186153299130
78,"11861532991",134.86,"3",1186153299130
79,"11861532991",128.0,"3",1186153299130
79,"11861532991",128.0,"4",1186153299131
80,"11861532991",59.43,"4",1186153299131
81,"11861532991",34.29,"4",1186153299131
81,"11861532991",34.29,"1",1186156215332
0,"11861562153",0.0,"1",1186156215332
1,"11861562153",0.57,"1",1186156215332
1,"11861562153",0.57,"1b",1186156215333
2,"11861562153",1.57,"1b",1186156215333
2,"11861562153",1.57,"2",1186156215334
3,"11861562153",1.14,"2",1186156215334
4,"11861562153",2.29,"2",1186156215334
4,"11861562153",2.29,"1b",1186156215335
5,"11861562153",2.86,"1b",1186156215335
5,"11861562153",2.86,"2",1186156215336
6,"11861562153",6.29,"2",1186156215336
6,"11861562153",6.29,"3",1186156215337
7,"11861562153",4.29,"3",1186156215337
8,"11861562153",1.86,"3",1186156215337
8,"11861562153",1.86,"2",1186156215338
9,"11861562153",1.29,"2",1186156215338
10,"11861562153",1.14,"2",1186156215338
11,"11861562153",0.71,"2",1186156215338
11,"11861562153",0.71,"1b",1186156215339
12,"11861562153",0.86,"1b",1186156215339
12,"11861562153",0.86,"2",1186156215340
13,"11861562153",0.29,"2",1186156215340
14,"11861562153",0.43,"2",1186156215340
14,"11861562153",0.43,"1b",1186156215341
15,"11861562153",0.0,"1b",1186156215341
16,"11861562153",0.0,"1b",1186156215341
16,"11861562153",0.0,"1",1186156215342
17,"11861562153",0.0,"1",1186156215342
18,"11861562153",0.0,"1",1186156215342
19,"11861562153",0.0,"1",1186156215342
20,"11861562153",0.29,"1",1186156215342
21,"11861562153",0.0,"1",1186156215342
21,"11861562153",0.0,"1b",1186156215343
22,"11861562153",0.0,"1b",1186156215343
23,"11861562153",0.0,"1b",1186156215343
23,"11861562153",0.0,"1",1186156215344
24,"11861562153",0.0,"1",1186156215344
25,"11861562153",0.0,"1",1186156215344
26,"11861562153",1.0,"1",1186156215344
27,"11861562153",1.71,"1",1186156215344
27,"11861562153",1.71,"2",1186156215345
28,"11861562153",1.71,"2",1186156215345
29,"11861562153",0.29,"2",1186156215345
29,"11861562153",0.29,"1b",1186156215346
30,"11861562153",0.71,"1b",1186156215346
31,"11861562153",0.57,"1b",1186156215346
31,"11861562153",0.57,"1",1186156215347
32,"11861562153",2.43,"1",1186156215347
33,"11861562153",1.86,"1",1186156215347
34,"11861562153",6.29,"1",1186156215347
35,"11861562153",9.86,"1",1186156215347
36,"11861562153",22.29,"1",1186156215347
37,"11861562153",21.71,"1",1186156215347
38,"11861562153",22.86,"1",1186156215347
39,"11861562153",32.57,"1",1186156215347
40,"11861562153",46.29,"1",1186156215347
41,"11861562153",56.57,"1",1186156215347
42,"11861562153",57.71,"1",1186156215347
42,"11861562153",57.71,"1b",1186156215348
43,"11861562153",89.14,"1b",1186156215348
44,"11861562153",93.71,"1b",1186156215348
44,"11861562153",93.71,"2",1186156215349
45,"11861562153",80.0,"2",1186156215349
45,"11861562153",80.0,"3",1186156215350
46,"11861562153",48.0,"3",1186156215350
46,"11861562153",48.0,"4",1186156215351
47,"11861562153",27.43,"4",1186156215351
48,"11861562153",15.43,"4",1186156215351
48,"11861562153",15.43,"3",1186156215352
49,"11861562153",8.57,"3",1186156215352
49,"11861562153",8.57,"4",1186156215353
50,"11861562153",5.0,"4",1186156215353
51,"11861562153",2.71,"4",1186156215353
51,"11861562153",2.71,"3",1186156215354
52,"11861562153",1.29,"3",1186156215354
53,"11861562153",0.71,"3",1186156215354
53,"11861562153",0.71,"2",1186156215355
54,"11861562153",0.86,"2",1186156215355
55,"11861562153",1.0,"2",1186156215355
55,"11861562153",1.0,"1b",1186156215356
56,"11861562153",1.14,"1b",1186156215356
57,"11861562153",3.57,"1b",1186156215356
57,"11861562153",3.57,"1",1186156215357
58,"11861562153",10.29,"1",1186156215357
59,"11861562153",16.71,"1",1186156215357
60,"11861562153",22.14,"1",1186156215357
61,"11861562153",24.57,"1",1186156215357
62,"11861562153",33.71,"1",1186156215357
63,"11861562153",50.29,"1",1186156215357
64,"11861562153",64.57,"1",1186156215357
65,"11861562153",70.86,"1",1186156215357
65,"11861562153",70.86,"1b",1186156215358
66,"11861562153",75.43,"1b",1186156215358
67,"11861562153",109.71,"1b",1186156215358
67,"11861562153",109.71,"2",1186156215359
68,"11861562153",84.57,"2",1186156215359
68,"11861562153",84.57,"3",1186156215360
69,"11861562153",68.57,"3",1186156215360
69,"11861562153",68.57,"4",1186156215361
70,"11861562153",38.86,"4",1186156215361
71,"11861562153",32.0,"4",1186156215361
71,"11861562153",32.0,"3",1186156215362
72,"11861562153",18.29,"3",1186156215362
72,"11861562153",18.29,"4",1186156215363
73,"11861562153",8.57,"4",1186156215363
74,"11861562153",4.57,"4",1186156215363
74,"11861562153",4.57,"3",1186156215364
75,"11861562153",1.71,"3",1186156215364
76,"11861562153",1.14,"3",1186156215364
76,"11861562153",1.14,"2",1186156215365
77,"11861562153",1.86,"2",1186156215365
78,"11861562153",2.57,"2",1186156215365
78,"11861562153",2.57,"1b",1186156215366
79,"11861562153",4.86,"1b",1186156215366
80,"11861562153",3.57,"1b",1186156215366
80,"11861562153",3.57,"1",1186156215367
81,"11861562153",7.29,"1",1186156215367
81,"11861562153",7.29,"1",1186196029767
0,"11861960297",0.0,"1",1186196029767
1,"11861960297",0.0,"1",1186196029767
2,"11861960297",0.0,"1",1186196029767
3,"11861960297",0.0,"1",1186196029767
4,"11861960297",0.0,"1",1186196029767
5,"11861960297",0.0,"1",1186196029767
6,"11861960297",0.0,"1",1186196029767
7,"11861960297",0.0,"1",1186196029767
8,"11861960297",0.0,"1",1186196029767
9,"11861960297",0.0,"1",1186196029767
10,"11861960297",0.0,"1",1186196029767
11,"11861960297",0.29,"1",1186196029767
11,"11861960297",0.29,"1b",1186196029768
12,"11861960297",0.86,"1b",1186196029768
12,"11861960297",0.86,"2",1186196029769
13,"11861960297",0.29,"2",1186196029769
14,"11861960297",0.29,"2",1186196029769
14,"11861960297",0.29,"1b",1186196029770
15,"11861960297",0.14,"1b",1186196029770
16,"11861960297",0.0,"1b",1186196029770
16,"11861960297",0.0,"1",1186196029771
17,"11861960297",0.0,"1",1186196029771
18,"11861960297",0.0,"1",1186196029771
19,"11861960297",0.0,"1",1186196029771
20,"11861960297",0.0,"1",1186196029771
21,"11861960297",0.0,"1",1186196029771
22,"11861960297",0.43,"1",1186196029771
23,"11861960297",0.43,"1",1186196029771
23,"11861960297",0.43,"1b",1186196029772
24,"11861960297",0.43,"1b",1186196029772
25,"11861960297",0.14,"1b",1186196029772
26,"11861960297",0.43,"1b",1186196029772
27,"11861960297",1.29,"1b",1186196029772
27,"11861960297",1.29,"2",1186196029773
28,"11861960297",0.43,"2",1186196029773
29,"11861960297",0.0,"2",1186196029773
29,"11861960297",0.0,"1b",1186196029774
30,"11861960297",0.29,"1b",1186196029774
31,"11861960297",0.43,"1b",1186196029774
31,"11861960297",0.43,"1",1186196029775
32,"11861960297",4.0,"1",1186196029775
33,"11861960297",12.86,"1",1186196029775
34,"11861960297",22.86,"1",1186196029775
35,"11861960297",25.14,"1",1186196029775
36,"11861960297",48.0,"1",1186196029775
37,"11861960297",83.43,"1",1186196029775
37,"11861960297",83.43,"1b",1186196029776
38,"11861960297",107.43,"1b",1186196029776
39,"11861960297",146.29,"1b",1186196029776
40,"11861960297",221.71,"1b",1186196029776
40,"11861960297",221.71,"2",1186196029777
41,"11861960297",269.71,"2",1186196029777
41,"11861960297",269.71,"4",1186196029778
42,"11861960297",73.14,"4",1186196029778
43,"11861960297",36.57,"4",1186196029778
43,"11861960297",36.57,"3",1186196029779
44,"11861960297",26.29,"3",1186196029779
44,"11861960297",26.29,"4",1186196029780
45,"11861960297",10.86,"4",1186196029780
46,"11861960297",2.29,"4",1186196029780
46,"11861960297",2.29,"3",1186196029781
47,"11861960297",1.86,"3",1186196029781
