"wk","tr","nc","stg","id"
0,"1461054940",0.0,"1",14610549401
1,"1461054940",0.0,"1",14610549401
2,"1461054940",0.0,"1",14610549401
3,"1461054940",0.0,"1",14610549401
4,"1461054940",0.14,"1",14610549401
5,"1461054940",0.0,"1",14610549401
6,"1461054940",0.14,"1",14610549401
7,"1461054940",0.14,"1",14610549401
8,"1461054940",2.0,"1",14610549401
8,"1461054940",2.0,"2",14610549402
9,"1461054940",4.43,"2",14610549402
10,"1461054940",3.14,"2",14610549402
11,"1461054940",4.0,"2",14610549402
12,"1461054940",2.29,"2",14610549402
13,"1461054940",2.29,"2",14610549402
14,"1461054940",3.0,"2",14610549402
15,"1461054940",0.71,"2",14610549402
16,"1461054940",0.43,"2",14610549402
16,"1461054940",0.43,"1b",14610549403
17,"1461054940",0.29,"1b",14610549403
18,"1461054940",0.29,"1b",14610549403
18,"1461054940",0.29,"1",14610549404
19,"1461054940",0.29,"1",14610549404
20,"1461054940",0.29,"1",14610549404
21,"1461054940",0.0,"1",14610549404
22,"1461054940",0.0,"1",14610549404
23,"1461054940",0.0,"1",14610549404
24,"1461054940",0.0,"1",14610549404
25,"1461054940",0.0,"1",14610549404
26,"1461054940",0.0,"1",14610549404
27,"1461054940",0.43,"1",14610549404
28,"1461054940",1.57,"1",14610549404
28,"1461054940",1.57,"1b",14610549405
29,"1461054940",2.57,"1b",14610549405
30,"1461054940",2.57,"1b",14610549405
30,"1461054940",2.57,"1",14610549406
31,"1461054940",3.0,"1",14610549406
32,"1461054940",3.0,"1",14610549406
33,"1461054940",3.14,"1",14610549406
34,"1461054940",1.86,"1",14610549406
35,"1461054940",1.86,"1",14610549406
36,"1461054940",2.14,"1",14610549406
37,"1461054940",1.14,"1",14610549406
38,"1461054940",4.29,"1",14610549406
39,"1461054940",8.86,"1",14610549406
40,"1461054940",14.57,"1",14610549406
41,"1461054940",11.43,"1",14610549406
42,"1461054940",9.14,"1",14610549406
43,"1461054940",7.0,"1",14610549406
44,"1461054940",4.71,"1",14610549406
45,"1461054940",5.0,"1",14610549406
46,"1461054940",5.0,"1",14610549406
47,"1461054940",5.57,"1",14610549406
48,"1461054940",5.57,"1",14610549406
49,"1461054940",6.14,"1",14610549406
50,"1461054940",4.29,"1",14610549406
51,"1461054940",3.71,"1",14610549406
52,"1461054940",2.71,"1",14610549406
53,"1461054940",3.86,"1",14610549406
54,"1461054940",1.43,"1",14610549406
55,"1461054940",1.0,"1",14610549406
56,"1461054940",3.86,"1",14610549406
57,"1461054940",5.43,"1",14610549406
58,"1461054940",4.57,"1",14610549406
59,"1461054940",3.43,"1",14610549406
60,"1461054940",1.71,"1",14610549406
61,"1461054940",1.0,"1",14610549406
62,"1461054940",1.29,"1",14610549406
63,"1461054940",1.14,"1",14610549406
64,"1461054940",0.86,"1",14610549406
65,"1461054940",1.29,"1",14610549406
66,"1461054940",2.14,"1",14610549406
67,"1461054940",2.86,"1",14610549406
68,"1461054940",2.14,"1",14610549406
69,"1461054940",1.14,"1",14610549406
70,"1461054940",1.29,"1",14610549406
71,"1461054940",1.86,"1",14610549406
72,"1461054940",1.57,"1",14610549406
73,"1461054940",2.29,"1",14610549406
74,"1461054940",1.86,"1",14610549406
75,"1461054940",0.86,"1",14610549406
76,"1461054940",0.43,"1",14610549406
77,"1461054940",0.57,"1",14610549406
78,"1461054940",1.0,"1",14610549406
79,"1461054940",1.71,"1",14610549406
80,"1461054940",4.57,"1",14610549406
81,"1461054940",7.0,"1",14610549406
81,"1461054940",7.0,"1",14611483076
0,"1461148307",0.14,"1",14611483076
1,"1461148307",0.0,"1",14611483076
2,"1461148307",0.43,"1",14611483076
3,"1461148307",0.14,"1",14611483076
3,"1461148307",0.14,"1b",14611483077
4,"1461148307",0.86,"1b",14611483077
4,"1461148307",0.86,"2",14611483078
5,"1461148307",0.14,"2",14611483078
6,"1461148307",0.14,"2",14611483078
6,"1461148307",0.14,"1b",14611483079
7,"1461148307",0.14,"1b",14611483079
8,"1461148307",1.14,"1b",14611483079
8,"1461148307",1.14,"2",146114830710
9,"1461148307",2.29,"2",146114830710
10,"1461148307",1.14,"2",146114830710
10,"1461148307",1.14,"1b",146114830711
11,"1461148307",1.57,"1b",146114830711
11,"1461148307",1.57,"2",146114830712
12,"1461148307",1.57,"2",146114830712
13,"1461148307",1.71,"2",146114830712
14,"1461148307",2.14,"2",146114830712
15,"1461148307",1.43,"2",146114830712
16,"1461148307",0.86,"2",146114830712
16,"1461148307",0.86,"1b",146114830713
17,"1461148307",0.43,"1b",146114830713
18,"1461148307",0.29,"1b",146114830713
18,"1461148307",0.29,"1",146114830714
19,"1461148307",0.57,"1",146114830714
20,"1461148307",1.43,"1",146114830714
20,"1461148307",1.43,"1b",146114830715
21,"1461148307",1.43,"1b",146114830715
