"wk","tr","nc","stg","id"
0,"2771582118",0.0,"1",27715821181
1,"2771582118",0.0,"1",27715821181
2,"2771582118",0.0,"1",27715821181
3,"2771582118",0.0,"1",27715821181
4,"2771582118",0.0,"1",27715821181
5,"2771582118",2.0,"1",27715821181
5,"2771582118",2.0,"1b",27715821182
6,"2771582118",7.14,"1b",27715821182
6,"2771582118",7.14,"3",27715821183
7,"2771582118",5.29,"3",27715821183
8,"2771582118",7.86,"3",27715821183
9,"2771582118",7.71,"3",27715821183
10,"2771582118",6.86,"3",27715821183
11,"2771582118",9.86,"3",27715821183
12,"2771582118",15.0,"3",27715821183
13,"2771582118",14.57,"3",27715821183
14,"2771582118",8.57,"3",27715821183
15,"2771582118",13.29,"3",27715821183
16,"2771582118",16.71,"3",27715821183
17,"2771582118",14.57,"3",27715821183
18,"2771582118",33.0,"3",27715821183
19,"2771582118",34.71,"3",27715821183
19,"2771582118",34.71,"4",27715821184
20,"2771582118",50.14,"4",27715821184
21,"2771582118",20.57,"4",27715821184
21,"2771582118",20.57,"3",27715821185
22,"2771582118",21.86,"3",27715821185
23,"2771582118",20.57,"3",27715821185
24,"2771582118",21.86,"3",27715821185
25,"2771582118",38.57,"3",27715821185
25,"2771582118",38.57,"4",27715821186
26,"2771582118",30.86,"4",27715821186
27,"2771582118",21.86,"4",27715821186
27,"2771582118",21.86,"3",27715821187
28,"2771582118",23.14,"3",27715821187
29,"2771582118",30.86,"3",27715821187
30,"2771582118",28.29,"3",27715821187
30,"2771582118",28.29,"4",27715821188
31,"2771582118",51.43,"4",27715821188
32,"2771582118",25.71,"4",27715821188
33,"2771582118",39.86,"4",27715821188
34,"2771582118",29.57,"4",27715821188
35,"2771582118",34.71,"4",27715821188
36,"2771582118",34.71,"4",27715821188
37,"2771582118",20.57,"4",27715821188
37,"2771582118",20.57,"3",27715821189
38,"2771582118",18.0,"3",27715821189
39,"2771582118",19.29,"3",27715821189
40,"2771582118",34.71,"3",27715821189
41,"2771582118",51.43,"3",27715821189
41,"2771582118",51.43,"4",277158211810
42,"2771582118",38.57,"4",277158211810
43,"2771582118",32.14,"4",277158211810
44,"2771582118",28.29,"4",277158211810
45,"2771582118",21.86,"4",277158211810
46,"2771582118",28.29,"4",277158211810
47,"2771582118",30.86,"4",277158211810
48,"2771582118",28.29,"4",277158211810
49,"2771582118",18.0,"4",277158211810
49,"2771582118",18.0,"3",277158211811
50,"2771582118",30.86,"3",277158211811
51,"2771582118",33.43,"3",277158211811
51,"2771582118",33.43,"4",277158211812
52,"2771582118",41.14,"4",277158211812
53,"2771582118",38.57,"4",277158211812
54,"2771582118",33.43,"4",277158211812
55,"2771582118",30.86,"4",277158211812
56,"2771582118",32.14,"4",277158211812
57,"2771582118",20.57,"4",277158211812
58,"2771582118",29.57,"4",277158211812
59,"2771582118",24.43,"4",277158211812
60,"2771582118",25.71,"4",277158211812
60,"2771582118",25.71,"3",277158211813
61,"2771582118",20.57,"3",277158211813
61,"2771582118",20.57,"4",277158211814
62,"2771582118",18.0,"4",277158211814
63,"2771582118",21.86,"4",277158211814
64,"2771582118",18.0,"4",277158211814
64,"2771582118",18.0,"3",277158211815
65,"2771582118",14.14,"3",277158211815
66,"2771582118",16.71,"3",277158211815
66,"2771582118",16.71,"2",277158211816
67,"2771582118",30.86,"2",277158211816
67,"2771582118",30.86,"3",277158211817
68,"2771582118",30.86,"3",277158211817
68,"2771582118",30.86,"4",277158211818
69,"2771582118",23.14,"4",277158211818
70,"2771582118",25.71,"4",277158211818
71,"2771582118",10.29,"4",277158211818
71,"2771582118",10.29,"3",277158211819
72,"2771582118",10.29,"3",277158211819
