"wk","tr","nc","stg","id"
0,"11632010551",0.0,"2",116320105511
1,"11632010551",0.0,"2",116320105511
2,"11632010551",0.0,"2",116320105511
3,"11632010551",0.0,"2",116320105511
4,"11632010551",0.0,"2",116320105511
5,"11632010551",0.0,"2",116320105511
6,"11632010551",0.86,"2",116320105511
7,"11632010551",0.57,"2",116320105511
8,"11632010551",0.43,"2",116320105511
9,"11632010551",0.0,"2",116320105511
10,"11632010551",0.0,"2",116320105511
11,"11632010551",0.14,"2",116320105511
12,"11632010551",0.43,"2",116320105511
13,"11632010551",0.43,"2",116320105511
14,"11632010551",1.86,"2",116320105511
15,"11632010551",1.14,"2",116320105511
16,"11632010551",1.0,"2",116320105511
17,"11632010551",0.29,"2",116320105511
18,"11632010551",0.43,"2",116320105511
19,"11632010551",0.14,"2",116320105511
20,"11632010551",0.0,"2",116320105511
21,"11632010551",0.14,"2",116320105511
22,"11632010551",0.14,"2",116320105511
23,"11632010551",0.0,"2",116320105511
24,"11632010551",0.0,"2",116320105511
25,"11632010551",0.14,"2",116320105511
26,"11632010551",0.29,"2",116320105511
27,"11632010551",1.57,"2",116320105511
28,"11632010551",3.29,"2",116320105511
29,"11632010551",2.29,"2",116320105511
30,"11632010551",2.0,"2",116320105511
31,"11632010551",3.0,"2",116320105511
32,"11632010551",4.71,"2",116320105511
33,"11632010551",3.86,"2",116320105511
34,"11632010551",1.43,"2",116320105511
35,"11632010551",2.86,"2",116320105511
36,"11632010551",4.0,"2",116320105511
37,"11632010551",3.14,"2",116320105511
38,"11632010551",3.14,"2",116320105511
39,"11632010551",2.14,"2",116320105511
40,"11632010551",1.14,"2",116320105511
41,"11632010551",1.57,"2",116320105511
42,"11632010551",0.57,"2",116320105511
43,"11632010551",1.14,"2",116320105511
44,"11632010551",1.29,"2",116320105511
45,"11632010551",2.14,"2",116320105511
46,"11632010551",5.86,"2",116320105511
47,"11632010551",7.43,"2",116320105511
48,"11632010551",10.29,"2",116320105511
49,"11632010551",6.43,"2",116320105511
50,"11632010551",7.71,"2",116320105511
51,"11632010551",4.71,"2",116320105511
52,"11632010551",9.0,"2",116320105511
53,"11632010551",18.0,"2",116320105511
54,"11632010551",19.29,"2",116320105511
55,"11632010551",18.0,"2",116320105511
56,"11632010551",34.71,"2",116320105511
57,"11632010551",16.71,"2",116320105511
58,"11632010551",14.14,"2",116320105511
59,"11632010551",14.14,"2",116320105511
60,"11632010551",16.71,"2",116320105511
61,"11632010551",12.86,"2",116320105511
62,"11632010551",12.86,"2",116320105511
63,"11632010551",12.0,"2",116320105511
64,"11632010551",8.57,"2",116320105511
65,"11632010551",12.86,"2",116320105511
66,"11632010551",12.0,"2",116320105511
67,"11632010551",8.57,"2",116320105511
68,"11632010551",10.71,"2",116320105511
69,"11632010551",15.43,"2",116320105511
70,"11632010551",22.29,"2",116320105511
71,"11632010551",25.71,"2",116320105511
72,"11632010551",28.29,"2",116320105511
73,"11632010551",21.86,"2",116320105511
74,"11632010551",25.71,"2",116320105511
75,"11632010551",18.0,"2",116320105511
76,"11632010551",9.0,"2",116320105511
77,"11632010551",4.71,"2",116320105511
78,"11632010551",6.86,"2",116320105511
79,"11632010551",2.57,"2",116320105511
80,"11632010551",4.57,"2",116320105511
81,"11632010551",3.0,"2",116320105511
81,"11632010551",3.0,"2",116323680561
0,"11632368056",0.0,"2",116323680561
1,"11632368056",0.0,"2",116323680561
2,"11632368056",0.0,"2",116323680561
3,"11632368056",0.0,"2",116323680561
4,"11632368056",0.0,"2",116323680561
5,"11632368056",0.0,"2",116323680561
6,"11632368056",0.14,"2",116323680561
7,"11632368056",0.57,"2",116323680561
8,"11632368056",1.0,"2",116323680561
9,"11632368056",0.14,"2",116323680561
10,"11632368056",0.29,"2",116323680561
11,"11632368056",0.57,"2",116323680561
12,"11632368056",0.0,"2",116323680561
13,"11632368056",0.0,"2",116323680561
14,"11632368056",0.0,"2",116323680561
15,"11632368056",0.0,"2",116323680561
